i was originally going to give the spanish prisoner two and half stars . 	Translation	Positive	Negative	EmotionRationale
the spanish prisoner will leave you seriously puzzled and intrigued . 	the spanish prisoner will leave you seriously puzled and intrigued .	1	-2	 the[0] spanish[0] prisoner[-1] will[0] leave[0] you[0] seriously[0] puzzled/puzled[0] and[0] intrigued[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after seeing the film again , i noticed that the details mamet uses are so incredibly accurate it is frightening . 	after seeing the film again , i noticed that the details mamet uses are so incredibly accurate it is frightening .	1	-4	 after[0] seeing[0] the[0] film[0] again[0] i[0] noticed[0] that[0] the[0] details[0] mamet[0] uses[0] are[0] so[0] incredibly[0] accurate[0] it[0] is[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his direction is very subtle ; as he leaves so many clues explaining what is going on and who is who but it is still very difficult to tell what exactly is happening even if you see all of them , or think you see all of them . 	his direction is very subtle ; as he leaves so many clues explaining what is going on and who is who but it is still very difficult to tell what exactly is happening even if you see all of them , or think you see all of them .	1	-3	 his[0] direction[0] is[0] very[0] subtle[0] as[0] he[0] leaves[0] so[0] many[0] clues[0] explaining[0] what[0] is[0] going[0] on[0] and[0] who[0] is[0] who[0] but[0] it[0] is[0] still[0] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] tell[0] what[0] exactly[0] is[0] happening[0] even[0] if[0] you[0] see[0] all[0] of[0] them[0] or[0] think[0] you[0] see[0] all[0] of[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story follows a young up and coming businessman , joe ross , ( campbell scott ) who has just created a mysterious and lucrative " process " that everyone is trying to get their hands on . 	the story follows a young up and coming businessman , joe ross , ( campbell scot ) who has just created a mysterious and lucrative " process " that everyone is trying to get their hands on .	1	-1	 the[0] story[0] follows[0] a[0] young[0] up[0] and[0] coming[0] businessman[0] joe[0] ross[0] campbell[0] scott/scot[0] who[0] has[0] just[0] created[0] a[0] mysterious[0] and[0] lucrative[0] process[0] that[0] everyone[0] is[0] trying[0] to[0] get[0] their[0] hands[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon ross does not know who he can trust or who is after his " process . " 	soon ross does not know who he can trust or who is after his " process .<br> "	2	-1	 soon[0] ross[0] does[0] not[0] know[0] who[0] he[0] can[0] trust[1] or[0] who[0] is[0] after[0] his[0] process[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
through his journey ross meets a number of mysterious characters : the rich and popular jimmy dell , a secretary who has a huge crush on ross , and ross' boss mr . klein . 	through his journey ross meets a number of mysterious characters : the rich and popular jimmy dell , a secretary who has a huge crush on ross , and ross' boss mr .<br> klein .	1	-2	 through[0] his[0] journey[0] ross[0] meets[0] a[0] number[0] of[0] mysterious[0] characters[0] the[0] rich[0] and[0] popular[0] jimmy[0] dell[0] a[0] secretary[0] who[0] has[0] a[0] huge[0] crush[-1] on[0] ross[0] and[0] ross'[0] boss[0] mr[0] [[Sentence=-2,1=word max, 1-5]] klein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
played by steve martin , rebecca pidgeon , and ben gazarra respectively , the supporting cast is very solid especially martin , who deserved an oscar nomination for his commanding and manipulative role . 	played by steve martin , rebecca pidgeon , and ben gazarra respectively , the supporting cast is very solid especially martin , who deserved an oscar nomination for his commanding and manipulative role .	3	-2	 played[0] by[0] steve[0] martin[0] rebecca[0] pidgeon[0] and[0] ben[0] gazarra[0] respectively[2] the[0] supporting[1] cast[0] is[0] very[0] solid[0] especially[0] martin[0] who[0] deserved[0] an[0] oscar[0] nomination[0] for[0] his[0] commanding[0] and[0] manipulative[-1] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the most interesting character in the film , though , was campbell scott's joe ross . 	the most interesting character in the film , though , was campbell scott's joe ross .	2	-1	 the[0] most[0] interesting[1] character[0] in[0] the[0] film[0] though[0] was[0] campbell[0] scott's[0] joe[0] ross[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the character's transformation from an ingenuous and polite rookie to a paranoid veteran is very apparent and justifiable . 	the character's transformation from an ingenuous and polite rookie to a paranoid veteran is very apparent and justifiable .	1	-3	 the[0] character's[0] transformation[0] from[0] an[0] ingenuous[0] and[0] polite[0] rookie[0] to[0] a[0] paranoid[-2] veteran[0] is[0] very[0] apparent[0] and[0] justifiable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
david mamet's script is so interesting because we know people don't actually talk like the characters in the film , yet we feel so connected to some of them . 	david mamet's script is so interesting because we know people don't actually talk like the characters in the film , yet we feel so connected to some of them .	2	-1	 david[0] mamet's[0] script[0] is[0] so[0] interesting[1] because[0] we[0] know[0] people[0] don't[0] actually[0] talk[0] like[1] the[0] characters[0] in[0] the[0] film[0] yet[0] we[0] feel[0] so[0] connected[0] to[0] some[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his beguiling style could fool any viewer up for the challenge . 	his beguiling style could fool any viewer up for the challenge .	1	-2	 his[0] beguiling[0] style[0] could[0] fool[-1][--1 LastWordBoosterStrength] any[0] viewer[0] up[0] for[0] the[0] challenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a must see , for those interested in solving a complex puzzle of a movie . 	this is a must see , for those interested in solving a complex puzle of a movie .	2	-1	 this[0] is[0] a[0] must[0] see[0] for[0] those[0] interested[1] in[0] solving[0] a[0] complex[0] puzzle/puzle[0] of[0] a[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
