jerry springer has got nothing on " wild things . " 	Translation	Positive	Negative	EmotionRationale
duquette and perez , however , begin to suspect that there's more afoot to the case than just false accusations . 	duquette and perez , however , begin to suspect that there's more afoot to the case than just false accusations .	1	-2	 duquette[0] and[0] perez[0] however[0] begin[0] to[0] suspect[-1] that[0] there's[0] more[0] afoot[0] to[0] the[0] case[0] than[0] just[0] false[0] accusations[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if there's a major drawback to " wild things , " it's that it's oversexed to a fault . 	if there's a major drawback to " wild things , " it's that it's oversexed to a fault .	1	-2	 if[0] there's[0] a[0] major[0] drawback[0] to[0] wild[0] things[0] it's[0] that[0] it's[0] oversexed[0] to[0] a[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the much-talked-about hotel room menage-a-trois between dillon , campbell and richards is a turn-off . 	the much-talked-about hotel room menage-a-trois between dillon , campbell and richards is a turn-off .	1	-1	 the[0] much[0] talked[0] about[0] hotel[0] room[0] menage[0] a[0] trois[0] between[0] dillon[0] campbell[0] and[0] richards[0] is[0] a[0] turn[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also cut short ( sorry , guys ) , and should have been cut shorter -- the movie grinds to a halt for pure titillation once too often . 	it's also cut short ( sorry , guys ) , and should have been cut shorter - the movie grinds to a halt for pure titillation once too often .	1	-2	 it's[0] also[0] cut[0] short[0] sorry[-1] guys[0] and[0] should[0] have[0] been[0] cut[0] shorter[0] the[0] movie[0] grinds[0] to[0] a[0] halt[0] for[0] pure[0] titillation[0] once[0] too[0] often[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what we don't see is far more effective than what we do . 	what we don't see is far more effective than what we do .	1	-1	 what[0] we[0] don't[0] see[0] is[0] far[0] more[0] effective[0] than[0] what[0] we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another example of this is kevin bacon needlessly going the full monty in a shower scene . 	another example of this is kevin bacon needlessly going the full monty in a shower scene .	1	-1	 another[0] example[0] of[0] this[0] is[0] kevin[0] bacon[0] needlessly[0] going[0] the[0] full[0] monty[0] in[0] a[0] shower[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
er , no thanks . 	er , no thanks .	2	-1	 er[0] no[0] thanks[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , bacon's duquette feels simultaneously underdeveloped and overwritten . 	also , bacon's duquette feels simultaneously underdeveloped and overwritten .	1	-1	 also[0] bacon's[0] duquette[0] feels[0] simultaneously[0] underdeveloped[0] and[0] overwritten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
daphne rubin-vega , from broadway's " rent , " tries to compensate for a superfluous character . 	daphne rubin-vega , from broadway's " rent , " tries to compensate for a superfluous character .	1	-2	 daphne[0] rubin[0] vega[0] from[0] broadway's[0] rent[0] tries[0] to[0] compensate[0] for[0] a[0] superfluous[-1] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
theresa russell is just plain wooden . 	theresa russell is just plain wooden .	1	-1	 theresa[0] russell[0] is[0] just[0] plain[0] wooden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when , in the end , all is out in the open , ask yourself if certain scenes involving these three were really necessary . 	and when , in the end , all is out in the open , ask yourself if certain scenes involving these three were really necessary .	1	-1	 and[0] when[0] in[0] the[0] end[0] all[0] is[0] out[0] in[0] the[0] open[0] ask[0] yourself[0] if[0] certain[0] scenes[0] involving[0] these[0] three[0] were[0] really[0] necessary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what keeps the movie from being throwaway junk is an engaging chain of surprises ( some predictable , some not ) that never seems to end . 	but what keeps the movie from being throwaway junk is an engaging chain of surprises ( some predictable , some not ) that never seems to end .	1	-2	 but[0] what[0] keeps[0] the[0] movie[0] from[0] being[0] throwaway[0] junk[-1] is[0] an[0] engaging[0] chain[0] of[0] surprises[0] some[0] predictable[0] some[0] not[0] that[0] never[0] seems[0] to[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " wild things " has more twists than a crate full of corkscrews , and most are so gleefully , over-the-top nasty that you can't help but be charmed by their absurd showmanship . 	 " wild things " has more twists than a crate full of corkscrews , and most are so gleefully , over-the-top nasty that you can't help but be charmed by their absurd showmanship .	2	-3	 wild[0] things[0] has[0] more[0] twists[0] than[0] a[0] crate[0] full[0] of[0] corkscrews[0] and[0] most[0] are[0] so[0] gleefully[0] over[0] the[0] top[0] nasty[-2] that[0] you[0] can't[0] help[0] but[0] be[0] charmed[1] by[0] their[0] absurd[-1] showmanship[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a great deal of amusement also comes from watching bill murray in a supporting part that appears to have been written for his sly comedic talent ; murray's a stitch , especially when pulling up beside the van ryan limo after winning lombardo's case and flipping them off . 	a great deal of amusement also comes from watching bill murray in a supporting part that appears to have been written for his sly comedic talent ; murray's a stitch , especially when pulling up beside the van ryan limo after winning lombardo's case and flipping them off .	3	-2	 a[0] great[2] deal[0] of[0] amusement[1] also[0] comes[0] from[0] watching[0] bill[0] murray[0] in[0] a[0] supporting[1] part[0] that[0] appears[0] to[0] have[0] been[0] written[0] for[0] his[0] sly[-1] comedic[0] talent[1] murray's[0] a[0] stitch[0] especially[0] when[0] pulling[0] up[0] beside[0] the[0] van[0] ryan[0] limo[0] after[0] winning[1] lombardo's[0] case[0] and[0] flipping[0] them[0] off[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and don't leave when the closing credits hit the screen , or you'll miss the film's best part -- four bonus flashbacks that smooth over plot holes while offering a few more tiny turns , plus a final scene that caps everything off with a great stunner of a bombshell . 	and don't leave when the closing credits hit the screen , or you'll miss the film's best part - four bonus flashbacks that smooth over plot holes while offering a few more tiny turns , plus a final scene that caps everything off with a great stunner of a bombshell .	3	-2	 and[0] don't[0] leave[0] when[0] the[0] closing[0] credits[0] hit[0] the[0] screen[0] or[0] you'll[0] miss[-1] the[0] film's[0] best[1] part[0] four[0] bonus[0] flashbacks[0] that[0] smooth[0] over[0] plot[0] holes[0] while[0] offering[0] a[0] few[0] more[0] tiny[0] turns[0] plus[0] a[0] final[0] scene[0] that[0] caps[0] everything[0] off[0] with[0] a[0] great[2] stunner[0] of[0] a[0] bombshell[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
speaking of bombshells , denise richards , who plays almost every scene in a blue bikini top , does the teen tease thing with a malicious allure that she was never allowed to flaunt in " starship troopers . " 	speaking of bombshells , denise richards , who plays almost every scene in a blue bikini top , does the teen tease thing with a malicious allure that she was never allowed to flaunt in " starship troopers .<br> "	2	-4	 speaking[0] of[0] bombshells[-1] denise[0] richards[0] who[0] plays[1] almost[0] every[0] scene[0] in[0] a[0] blue[0] bikini[0] top[0] does[0] the[0] teen[0] tease[-1] thing[0] with[0] a[0] malicious[-3] allure[0] that[0] she[0] was[0] never[0] allowed[0] to[0] flaunt[0] in[0] starship[0] troopers[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
matt dillon flexes his sleepy-voiced sex appeal , and pulls off personality changes with chameleonic precision . 	matt dillon flexes his sleepy-voiced sex appeal , and pulls off personality changes with chameleonic precision .	1	-1	 matt[0] dillon[0] flexes[0] his[0] sleepy[0] voiced[0] sex[0] appeal[0] and[0] pulls[0] off[0] personality[0] changes[0] with[0] chameleonic[0] precision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neve campbell , lovely as ever except when sporting a blond wig , gives suzie a vengeful vulnerability that makes her the most interesting member of the conspiring trio . 	neve campbell , lovely as ever except when sporting a blond wig , gives suzie a vengeful vulnerability that makes her the most interesting member of the conspiring trio .	2	-3	 neve[0] campbell[0] lovely[1] as[0] ever[0] except[0] when[0] sporting[0] a[0] blond[0] wig[0] gives[0] suzie[0] a[0] vengeful[0] vulnerability[-2] that[0] makes[0] her[0] the[0] most[0] interesting[1] member[0] of[0] the[0] conspiring[0] trio[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
re-edited and toned down a bit , the dynamics between these three actors could have carried the film to greater lengths . 	re-edited and toned down a bit , the dynamics between these three actors could have carried the film to greater lengths .	3	-1	 re[0] edited[0] and[0] toned[0] down[0] a[0] bit[0] the[0] dynamics[1] between[0] these[0] three[0] actors[0] could[0] have[0] carried[0] the[0] film[0] to[0] greater[2] lengths[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but what we're given works well enough . 	but what we're given works well enough .	1	-1	 but[0] what[0] we're[0] given[0] works[0] well[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " wild things " is highly entertaining and , indeed , very wild . 	 " wild things " is highly entertaining and , indeed , very wild .	1	-1	 wild[0] things[0] is[0] highly[0] entertaining[0] and[0] indeed[0] very[0] wild[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
