according to hollywood movies made in last few decades , life in small town is one of the worst things that could happen to a human being . 	Translation	Positive	Negative	EmotionRationale
after the premiere , fellini rejected any claims about autobiographical character of this film , but it doesn't matter whether rimini of amarcord actually resembles rimini of fellini's childhood or not ; any place and any time could resemble characters and situations of this film . 	after the premiere , fellini rejected any claims about autobiographical character of this film , but it doesn't matter whether rimini of amarcord actually resembles rimini of fellini's childhood or not ; any place and any time could resemble characters and situations of this film .	1	-2	 after[0] the[0] premiere[0] fellini[0] rejected[-1] any[0] claims[0] about[0] autobiographical[0] character[0] of[0] this[0] film[0] but[0] it[0] doesn't[0] matter[0] whether[0] rimini[0] of[0] amarcord[0] actually[0] resembles[0] rimini[0] of[0] fellini's[0] childhood[0] or[0] not[0] any[0] place[0] and[0] any[0] time[0] could[0] resemble[0] characters[0] and[0] situations[0] of[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fellini's views on nostalgia are clearly illustrated with a way he mixes reality and fantasy in this film . 	fellini's views on nostalgia are clearly illustrated with a way he mixes reality and fantasy in this film .	1	-1	 fellini's[0] views[0] on[0] nostalgia[0] are[0] clearly[0] illustrated[0] with[0] a[0] way[0] he[0] mixes[0] reality[0] and[0] fantasy[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the most naturalistic scenes are laced with dark humour and grotesque images . 	even the most naturalistic scenes are laced with dark humour and grotesque images .	3	-2	 even[0] the[0] most[0] naturalistic[0] scenes[0] are[0] laced[0] with[0] dark[0] humour[2] and[0] grotesque[-1] images[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
characters look like caricatures , actors playing them often deliberately overact , and women , especially those who fuel titta's sexual fantasies , often have certain body parts with gargantuan proportions . 	characters look like caricatures , actors playing them often deliberately overact , and women , especially those who fuel titta's sexual fantasies , often have certain body parts with gargantuan proportions .	2	-1	 characters[0] look[0] like[1] caricatures[0] actors[0] playing[1] them[0] often[0] deliberately[0] overact[0] and[0] women[0] especially[0] those[0] who[0] fuel[0] titta's[0] sexual[0] fantasies[0] often[0] have[0] certain[0] body[0] parts[0] with[0] gargantuan[0] proportions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
every now and then , scenes that depict 1930s reality gradually slide into fantasies of movie's characters and rimini becomes almost indistinguishable from the magical place in characters' visions . 	every now and then , scenes that depict 1930s reality gradually slide into fantasies of movie's characters and rimini becomes almost indistinguishable from the magical place in characters' visions .	1	-1	 every[0] now[0] and[0] then[0] scenes[0] that[0] depict[0] 1930s[0] reality[0] gradually[0] slide[0] into[0] fantasies[0] of[0] movie's[0] characters[0] and[0] rimini[0] becomes[0] almost[0] indistinguishable[0] from[0] the[0] magical[0] place[0] in[0] characters'[0] visions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of that , almost everything in this film looks different , and in most cases better , than it would have looked in the real life . 	because of that , almost everything in this film looks different , and in most cases better , than it would have looked in the real life .	1	-1	 because[0] of[0] that[0] almost[0] everything[0] in[0] this[0] film[0] looks[0] different[0] and[0] in[0] most[0] cases[0] better[0] than[0] it[0] would[0] have[0] looked[0] in[0] the[0] real[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the fascism gets fellinian make-over - fellini views mussolini's totalitarian regime as nothing more than visual spectacle ( explaining why similar regimes enjoyed such popular support throughout history ) and opportunity for comedy . 	even the fascism gets fellinian make-over - fellini views mussolini's totalitarian regime as nothing more than visual spectacle ( explaining why similar regimes enjoyed such popular support throughout history ) and opportunity for comedy .	3	-1	 even[0] the[0] fascism[0] gets[0] fellinian[0] make[0] over[0] fellini[0] views[0] mussolini's[0] totalitarian[0] regime[0] as[0] nothing[0] more[0] than[0] visual[0] spectacle[0] explaining[0] why[0] similar[0] regimes[0] enjoyed[2] such[0] popular[0] support[1] throughout[0] history[0] and[0] opportunity[0] for[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when fascists finally show their true colours and begin torturing their opponents , even this becomes opportunity for scenes of macabre humour . 	when fascists finally show their true colours and begin torturing their opponents , even this becomes opportunity for scenes of macabre humour .	3	-4	 when[0] fascists[0] finally[0] show[0] their[0] true[1] colours[0] and[0] begin[0] torturing[-3] their[0] opponents[0] even[0] this[0] becomes[0] opportunity[0] for[0] scenes[0] of[0] macabre[0] humour[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
unlike many of his italian colleagues in 1970s , who had used 1930s period setting to explicitly condemn fascism and serve fashionable political agenda , fellini doesn't care that much about politics . 	unlike many of his italian colleagues in 1970s , who had used 1930s period setting to explicitly condemn fascism and serve fashionable political agenda , fellini doesn't care that much about politics .	2	-2	 unlike[0] many[0] of[0] his[0] italian[0] colleagues[0] in[0] 1970s[0] who[0] had[0] used[0] 1930s[0] period[0] setting[0] to[0] explicitly[0] condemn[-1] fascism[0] and[0] serve[0] fashionable[0] political[0] agenda[0] fellini[0] doesn't[0] care[1] that[0] much[0] about[0] politics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lack of self-righteous moral perspective is compensated with fellini's humanistic approach to his characters . 	lack of self-righteous moral perspective is compensated with fellini's humanistic approach to his characters .	1	-2	 lack[-1] of[0] self[0] righteous[0] moral[0] perspective[0] is[0] compensated[0] with[0] fellini's[0] humanistic[0] approach[0] to[0] his[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each of them , regardless of age , gender , social class or physical appearance , is given opportunity to express his or her views , dreams and fears . 	each of them , regardless of age , gender , social class or physical appearance , is given opportunity to express his or her views , dreams and fears .	1	-3	 each[0] of[0] them[0] regardless[-1] of[0] age[0] gender[0] social[0] class[0] or[0] physical[0] appearance[0] is[0] given[0] opportunity[0] to[0] express[0] his[0] or[0] her[0] views[0] dreams[0] and[0] fears[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fellini treats all those characters with warmth and affection , even when he paints them as grotesque caricatures of real people . 	fellini treats all those characters with warmth and affection , even when he paints them as grotesque caricatures of real people .	3	-2	 fellini[0] treats[0] all[0] those[0] characters[0] with[0] warmth[0] and[0] affection[2] even[0] when[0] he[0] paints[0] them[0] as[0] grotesque[-1] caricatures[0] of[0] real[0] people[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because of this warmth and democratic spirit , amarcord could be viewed as one of the most humane films of 20th century , and it keeps its general feel good atmosphere despite depicting having many uncomfortable , melancholic and even tragic moments . 	because of this warmth and democratic spirit , amarcord could be viewed as one of the most humane films of 20th century , and it keeps its general feel good atmosphere despite depicting having many uncomfortable , melancholic and even tragic moments .	2	-5	 because[0] of[0] this[0] warmth[0] and[0] democratic[0] spirit[0] amarcord[0] could[0] be[0] viewed[0] as[0] one[0] of[0] the[0] most[0] humane[0] films[0] of[0] 20th[0] century[0] and[0] it[0] keeps[0] its[0] general[0] feel[0] good[1] atmosphere[0] despite[0] depicting[0] having[0] many[0] uncomfortable[-2] melancholic[-3][-1 MultiplePositiveWords] and[0] even[0] tragic[-2] moments[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
fellini couldn't produce such effects without using his own directorial talent that gave a very personal touch to this movie . 	fellini couldn't produce such effects without using his own directorial talent that gave a very personal touch to this movie .	2	-1	 fellini[0] couldn't[0] produce[0] such[0] effects[0] without[0] using[0] his[0] own[0] directorial[0] talent[1] that[0] gave[0] a[0] very[0] personal[0] touch[0] to[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
vignettes aren't memorable because of the characters only ; fellini uses camera , painting film in bright colours , especially in the scenes that depict character's fantasies . 	vignettes aren't memorable because of the characters only ; fellini uses camera , painting film in bright colours , especially in the scenes that depict character's fantasies .	1	-1	 vignettes[0] aren't[0] memorable[0] because[0] of[0] the[0] characters[0] only[0] fellini[0] uses[0] camera[0] painting[0] film[0] in[0] bright[0] colours[0] especially[0] in[0] the[0] scenes[0] that[0] depict[0] character's[0] fantasies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fellini also knows how to use locations , whether such location happens to be luxurious hotel , bright-coloured beach or rural countryside . 	fellini also knows how to use locations , whether such location happens to be luxurious hotel , bright-coloured beach or rural countryside .	1	-1	 fellini[0] also[0] knows[0] how[0] to[0] use[0] locations[0] whether[0] such[0] location[0] happens[0] to[0] be[0] luxurious[0] hotel[0] bright[0] coloured[0] beach[0] or[0] rural[0] countryside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the down-to-earth streets of rimini , where everyone knows everyone , gets magical dimension during the snowfall . 	even the down-to-earth streets of rimini , where everyone knows everyone , gets magical dimension during the snowfall .	1	-1	 even[0] the[0] down[0] to[0] earth[0] streets[0] of[0] rimini[0] where[0] everyone[0] knows[0] everyone[0] gets[0] magical[0] dimension[0] during[0] the[0] snowfall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , lack of credible special effects somewhat diminished the same effect during the ocean liner scene . 	on the other hand , lack of credible special effects somewhat diminished the same effect during the ocean liner scene .	2	-2	 on[0] the[0] other[0] hand[0] lack[-1] of[0] credible[0] special[1] effects[0] somewhat[0] diminished[0] the[0] same[0] effect[0] during[0] the[0] ocean[0] liner[0] scene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this atmosphere is also provided by incredible talent of composer and fellini's long-time associate nino rota . 	this atmosphere is also provided by incredible talent of composer and fellini's long-time associate nino rota .	2	-1	 this[0] atmosphere[0] is[0] also[0] provided[0] by[0] incredible[0] talent[1] of[0] composer[0] and[0] fellini's[0] long[0] time[0] associate[0] nino[0] rota[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his amarcord theme is probably one of the most recognisable , most popular and most relaxing and uplifting pieces of film music ever produced . 	his amarcord theme is probably one of the most recognisable , most popular and most relaxing and uplifting pieces of film music ever produced .	3	-1	 his[0] amarcord[0] theme[0] is[0] probably[0] one[0] of[0] the[0] most[0] recognisable[0] most[0] popular[0] and[0] most[0] relaxing[2] and[0] uplifting[0] pieces[0] of[0] film[0] music[0] ever[0] produced[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that music alone should be the reason to view amarcord as one of the indisputable classics of seventh art . 	that music alone should be the reason to view amarcord as one of the indisputable classics of seventh art .	1	-1	 that[0] music[0] alone[0] should[0] be[0] the[0] reason[0] to[0] view[0] amarcord[0] as[0] one[0] of[0] the[0] indisputable[0] classics[0] of[0] seventh[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
