when i first heard that disney's next animated feature was going to be tarzan , i was almost horrified . 	Translation	Positive	Negative	EmotionRationale
clayton tricks tarzan into taking him , jane , and porter to see the apes , who are convinced that he has betrayed them . 	clayton tricks tarzan into taking him , jane , and porter to see the apes , who are convinced that he has betrayed them .	1	-3	 clayton[0] tricks[-1] tarzan[0] into[0] taking[0] him[0] jane[0] and[0] porter[0] to[0] see[0] the[0] apes[0] who[0] are[0] convinced[0] that[0] he[0] has[0] betrayed[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
worse , clayton has plotted to send the gorillas to london for money . 	worse , clayton has plotted to send the gorillas to london for money .	1	-3	 worse[-2] clayton[0] has[0] plotted[0] to[0] send[0] the[0] gorillas[0] to[0] london[0] for[0] money[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will tarzan find out which family he belongs to and save the apes ? 	will tarzan find out which family he belongs to and save the apes ?	2	-1	 will[0] tarzan[0] find[0] out[0] which[0] family[0] he[0] belongs[0] to[0] and[0] save[1] the[0] apes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not gonna tell you , sorry . 	i'm not gonna tell you , sorry .	1	-2	 i'm[0] not[0] gonna[0] tell[0] you[0] sorry[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you're gonna have to see for yourself . 	you're gonna have to see for yourself .	1	-1	 you're[0] gonna[0] have[0] to[0] see[0] for[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and see it you should ; the animation is , as always , top notch , particularly when tarzan goes soaring through the trees ( read that , skateboarding ) . 	and see it you should ; the animation is , as always , top notch , particularly when tarzan goes soaring through the trees ( read that , skateboarding ) .	1	-1	 and[0] see[0] it[0] you[0] should[0] the[0] animation[0] is[0] as[0] always[0] top[0] notch[0] particularly[0] when[0] tarzan[0] goes[0] soaring[0] through[0] the[0] trees[0] read[0] that[0] skateboarding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the deep canvas computer generated effect adds an authentic feeling to the jungle which tarzan lives in . 	the deep canvas computer generated effect adds an authentic feeling to the jungle which tarzan lives in .	1	-1	 the[0] deep[0] canvas[0] computer[0] generated[0] effect[0] adds[0] an[0] authentic[0] feeling[0] to[0] the[0] jungle[0] which[0] tarzan[0] lives[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it seems similar to the computer imagery/cel animation combination in rival disney animted films , such as fox's anastasia and dreamworks' prince of egypt . 	in fact , it seems similar to the computer imagery/cel animation combination in rival disney animted films , such as fox's anastasia and dreamworks' prince of egypt .	1	-2	 in[0] fact[0] it[0] seems[0] similar[0] to[0] the[0] computer[0] imagery/cel[0] animation[0] combination[0] in[0] rival[-1] disney[0] animted[0] films[0] such[0] as[0] fox's[0] anastasia[0] and[0] dreamworks'[0] prince[0] of[0] egypt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
could it be that disney was actually taking ideas from their rivals ? 	could it be that disney was actually taking ideas from their rivals ?	1	-1	 could[0] it[0] be[0] that[0] disney[0] was[0] actually[0] taking[0] ideas[0] from[0] their[0] rivals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the casting is fairly good . 	the casting is fairly good .	2	-1	 the[0] casting[0] is[0] fairly[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tony goldwyn is emotionally believeable as tarzan ( and to my relief , the animators have succeeded in not making him another hercules . 	tony goldwyn is emotionally believeable as tarzan ( and to my relief , the animators have succeeded in not making him another hercules .	3	-1	 tony[0] goldwyn[0] is[0] emotionally[0] believeable[0] as[0] tarzan[0] and[0] to[0] my[0] relief[1] the[0] animators[0] have[0] succeeded[2] in[0] not[0] making[0] him[0] another[0] hercules[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nicely done ) , and glenn close is wonderful as kala ( she has a beautiful singing voice , too , by the way ) . 	nicely done ) , and glen close is wonderful as kala ( she has a beautiful singing voice , too , by the way ) .	3	-1	 nicely[1] done[0] and[0] glenn/glen[0] close[0] is[0] wonderful[2] as[0] kala[0] she[0] has[0] a[0] beautiful[2] singing[0] voice[0] too[0] by[0] the[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lance henrikson as kerchak somewhat reminds me of robby benson's beast voice , which makes him all the more ferocious and gripping . 	lance henrikson as kerchak somewhat reminds me of robby benson's beast voice , which makes him all the more ferocious and gripping .	1	-4	 lance[0] henrikson[0] as[0] kerchak[0] somewhat[0] reminds[0] me[0] of[0] robby[0] benson's[0] beast[0] voice[0] which[0] makes[0] him[0] all[0] the[0] more[0] ferocious[-3] and[0] gripping[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
minnie driver had me a little worried at first as the voice of jane . 	minnie driver had me a little worried at first as the voice of jane .	1	-4	 minnie[0] driver[0] had[0] me[0] a[0] little[0] worried[-3] at[0] first[0] as[0] the[0] voice[0] of[0] jane[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i thought she had the most annoying voice in the whole film ( when i first saw the trailers ) , but when i saw the film , i didn't have a problem with her . 	i thought she had the most annoying voice in the whole film ( when i first saw the trailers ) , but when i saw the film , i didn't have a problem with her .	1	-3	 i[0] thought[0] she[0] had[0] the[0] most[0] annoying[-2] voice[0] in[0] the[0] whole[0] film[0] when[0] i[0] first[0] saw[0] the[0] trailers[0] but[0] when[0] i[0] saw[0] the[0] film[0] i[0] didn't[0] have[0] a[0] problem[-1] with[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i take back my insult on driver . 	i take back my insult on driver .	1	-3	 i[0] take[0] back[0] my[0] insult[-2] on[0] driver[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's nice to hear nigel hawthorne do another voice for a disney animated feature ( he was fflewdurr flamm in disney's most underrated classic , the black cauldron ) ; he is funny and delightful as professor porter . 	it's nice to hear nigel hawthorne do another voice for a disney animated feature ( he was fflewdur flam in disney's most underrated classic , the black cauldron ) ; he is funny and delightful as professor porter .	3	-1	 it's[0] nice[1] to[0] hear[0] nigel[0] hawthorne[0] do[0] another[0] voice[0] for[0] a[0] disney[0] animated[0] feature[0] he[0] was[0] fflewdurr/fflewdur[0] flamm/flam[0] in[0] disney's[0] most[0] underrated[0] classic[0] the[0] black[0] cauldron[0] he[0] is[0] funny[1] and[0] delightful[2] as[0] professor[0] porter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the villiany side of the voices , brian blessed ( the guy who did boss nass in star wars : episode i-the phantom menace ) brings a pompous , and later on vicious , voice to the sinister clayton . 	on the villiany side of the voices , brian blessed ( the guy who did boss nass in star wars : episode i-the phantom menace ) brings a pompous , and later on vicious , voice to the sinister clayton .	2	-4	 on[0] the[0] villiany[0] side[0] of[0] the[0] voices[0] brian[0] blessed[1] the[0] guy[0] who[0] did[0] boss[0] nass[0] in[0] star[0] wars[-2] episode[0] i[0] the[0] phantom[0] menace[-2] brings[0] a[0] pompous[-1] and[0] later[0] on[0] vicious[-3] voice[0] to[0] the[0] sinister[-3] clayton[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he might not be the strongest character in the film ( he's just a plain bad guy , nothing else ) , but blessed's vocal work contributes greatly . 	he might not be the strongest character in the film ( he's just a plain bad guy , nothing else ) , but blessed's vocal work contributes greatly .	3	-2	 he[0] might[0] not[0] be[0] the[0] strongest[0] character[0] in[0] the[0] film[0] he's[0] just[0] a[0] plain[0] bad[-1] guy[0] nothing[0] else[0] but[0] blessed's[1] vocal[0] work[0] contributes[0] greatly[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but if there is any voice that i think steals the whole show , it should be rosie o'donnell , who is hilariously funny as terk . 	but if there is any voice that i think steals the whole show , it should be rosie o'donnell , who is hilariously funny as terk .	3	-3	 but[0] if[0] there[0] is[0] any[0] voice[0] that[0] i[0] think[0] steals[-2] the[0] whole[0] show[0] it[0] should[0] be[0] rosie[0] o'donnell[0] who[0] is[0] hilariously[2] funny[1] as[0] terk[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she also has a fiesty attitude ( " i'm gonna kill ya ! " 	she also has a fiesty attitude ( " i'm gonna kill ya !<br> "	1	-2	 she[0] also[0] has[0] a[0] fiesty[0] attitude[0] i'm[0] gonna[0] kill[-1] ya[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she says , more than once ) . 	she says , more than once ) .	1	-1	 she[0] says[0] more[0] than[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i almost sung along with her during one of the film's best moments , where the apes make a mess of the human's camp , via song , er , scatting " shoo-be-doo , da-be-dah " . 	i almost sung along with her during one of the film's best moments , where the apes make a mess of the human's camp , via song , er , scatting " shoo-be-do , da-be-dah " .	2	-1	 i[0] almost[0] sung[0] along[0] with[0] her[0] during[0] one[0] of[0] the[0] film's[0] best[1] moments[0] where[0] the[0] apes[0] make[0] a[0] mess[0] of[0] the[0] human's[0] camp[0] via[0] song[0] er[0] scatting[0] shoo[0] be[0] doo/do[0] da[0] be[0] dah[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can see why she wanted to have a rock song for the film , she's a good singer . 	i can see why she wanted to have a rock song for the film , she's a good singer .	2	-1	 i[0] can[0] see[0] why[0] she[0] wanted[0] to[0] have[0] a[0] rock[1] song[0] for[0] the[0] film[0] she's[0] a[0] good[1] singer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not that she was the only funny character in the film , though . 	not that she was the only funny character in the film , though .	2	-1	 not[0] that[0] she[0] was[0] the[0] only[0] funny[1] character[0] in[0] the[0] film[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wayne knight ( who played stan in space jam ) gives a whimsically funny style to tantor , an elephant who is especially worried about stepping into " un-sanitary " water . 	wayne knight ( who played stan in space jam ) gives a whimsically funny style to tantor , an elephant who is especially worried about stepping into " un-sanitary " water .	2	-5	 wayne[0] knight[0] who[0] played[0] stan[0] in[0] space[0] jam[0] gives[0] a[0] whimsically[0] funny[1] style[0] to[0] tantor[0] an[0] elephant[0] who[0] is[0] especially[0] worried[-3][-1 LastWordBoosterStrength] about[0] stepping[0] into[0] un[0] sanitary[0] water[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
 ( thankfully , there is no real sound of flatuence-that would have killed the picture ) . 	 ( thankfully , there is no real sound of flatuence-that would have killed the picture ) .	2	-4	 thankfully[1] there[0] is[0] no[0] real[0] sound[0] of[0] flatuence[0] that[0] would[0] have[0] killed[-3] the[0] picture[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the songs , as i said before , are decent , mostly sung by collins . 	the songs , as i said before , are decent , mostly sung by collins .	1	-1	 the[0] songs[0] as[0] i[0] said[0] before[0] are[0] decent[0] mostly[0] sung[0] by[0] collins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this sets a new standard for disney animated films because for the first time , the characters do not sing . 	this sets a new standard for disney animated films because for the first time , the characters do not sing .	1	-1	 this[0] sets[0] a[0] new[0] standard[0] for[0] disney[0] animated[0] films[0] because[0] for[0] the[0] first[0] time[0] the[0] characters[0] do[0] not[0] sing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i tolerate musical numbers from characters a lot more than some other guys would , but i found this to be a nice change of pace . 	i tolerate musical numbers from characters a lot more than some other guys would , but i found this to be a nice change of pace .	2	-1	 i[0] tolerate[0] musical[0] numbers[0] from[0] characters[0] a[0] lot[0] more[0] than[0] some[0] other[0] guys[0] would[0] but[0] i[0] found[0] this[0] to[0] be[0] a[0] nice[1] change[0] of[0] pace[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story does have elements of comedy in it , but they also load it with strong dramatic touches , which makes this film far better than the unbelieveably uninspired hercules . 	the story does have elements of comedy in it , but they also load it with strong dramatic touches , which makes this film far better than the unbelieveably uninspired hercules .	1	-1	 the[0] story[0] does[0] have[0] elements[0] of[0] comedy[0] in[0] it[0] but[0] they[0] also[0] load[0] it[0] with[0] strong[0] dramatic[0] touches[0] which[0] makes[0] this[0] film[0] far[0] better[0] than[0] the[0] unbelieveably[0] uninspired[0] hercules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if there is anything disappointing about tarzan , it might be the omission of the 'n sync version of " trashing the camp " from the film . 	if there is anything disappointing about tarzan , it might be the omission of the 'n sync version of " trashing the camp " from the film .	1	-2	 if[0] there[0] is[0] anything[0] disappointing[-1] about[0] tarzan[0] it[0] might[0] be[0] the[0] omission[0] of[0] the[0] 'n[0] sync[0] version[0] of[0] trashing[-1] the[0] camp[0] from[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i heard it on the soundtrack , and wondered where it was going to be . 	i heard it on the soundtrack , and wondered where it was going to be .	1	-1	 i[0] heard[0] it[0] on[0] the[0] soundtrack[0] and[0] wondered[0] where[0] it[0] was[0] going[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was upset that it wasn't , because i had thought of taking a few friends of mine who like 'n sync to see tarzan . 	i was upset that it wasn't , because i had thought of taking a few friends of mine who like 'n sync to see tarzan .	2	-3	 i[0] was[0] upset[-2] that[0] it[0] wasn't[0] because[0] i[0] had[0] thought[0] of[0] taking[0] a[0] few[0] friends[1] of[0] mine[0] who[0] like[1] 'n[0] sync[0] to[0] see[0] tarzan[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oh , well . . . 	oh , well .<br> .<br> .	1	-1	 oh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , i was enthralled with tarzan . 	overall , i was enthralled with tarzan .	1	-1	 overall[0] i[0] was[0] enthralled[0] with[0] tarzan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wouldn't hold it high the way i do with mulan or the hunchback of notre dame ( my all-time favorite disney classics ) , but this film deserves a high place among disney's greatest achievements . 	i wouldn't hold it high the way i do with mulan or the hunchback of notre dame ( my all-time favorite disney classics ) , but this film deserves a high place among disney's greatest achievements .	3	-1	 i[0] wouldn't[0] hold[0] it[0] high[0] the[0] way[0] i[0] do[0] with[0] mulan[0] or[0] the[0] hunchback[0] of[0] notre[0] dame[0] my[0] all[0] time[0] favorite[1] disney[0] classics[0] but[0] this[0] film[0] deserves[0] a[0] high[0] place[0] among[0] disney's[0] greatest[2] achievements[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i give a nod to disney for following up their spectacular * * * * * masterpiece , mulan , with this great animated adaption of egar rice burrough's tarzan . 	i give a nod to disney for following up their spectacular * * * * * masterpiece , mulan , with this great animated adaption of egar rice burrough's tarzan .	3	-1	 i[0] give[0] a[0] nod[0] to[0] disney[0] for[0] following[0] up[0] their[0] spectacular[0] masterpiece[0] mulan[0] with[0] this[0] great[2] animated[0] adaption[0] of[0] egar[0] rice[0] burrough's[0] tarzan[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
