most people fit into two different categories : you either love woody allen , or you hate his guts . 	Translation	Positive	Negative	EmotionRationale
sexual innuendoes and profanity pop up occasionally , which makes dreamworks' animated feature geared more for an adult crowd . 	sexual innuendoes and profanity pop up occasionally , which makes dreamworks' animated feature geared more for an adult crowd .	1	-1	 sexual[0] innuendoes[0] and[0] profanity[0] pop[0] up[0] occasionally[0] which[0] makes[0] dreamworks'[0] animated[0] feature[0] geared[0] more[0] for[0] an[0] adult[0] crowd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the humor is also written especially for adults , though many kids were laughing in the theater i attended . 	the humor is also written especially for adults , though many kids were laughing in the theater i attended .	3	-1	 the[0] humor[2] is[0] also[0] written[0] especially[0] for[0] adults[0] though[0] many[0] kids[0] were[0] laughing[1] in[0] the[0] theater[0] i[0] attended[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the type of film that should be made for families more often : entertaining for kids and entertaining for parents . 	this is the type of film that should be made for families more often : entertaining for kids and entertaining for parents .	1	-1	 this[0] is[0] the[0] type[0] of[0] film[0] that[0] should[0] be[0] made[0] for[0] families[0] more[0] often[0] entertaining[0] for[0] kids[0] and[0] entertaining[0] for[0] parents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
antz begins with a hilarious monologue which seems a meld between woody allen's shtick and franz kafka's metamorphosis , the short story of a man who wakes up to discover himself as a bug . 	antz begins with a hilarious monologue which seems a meld between woody allen's shtick and franz kafka's metamorphosis , the short story of a man who wakes up to discover himself as a bug .	3	-2	 antz[0] begins[0] with[0] a[0] hilarious[2] monologue[0] which[0] seems[0] a[0] meld[0] between[0] woody[0] allen's[0] shtick[0] and[0] franz[0] kafka's[0] metamorphosis[0] the[0] short[0] story[0] of[0] a[0] man[0] who[0] wakes[0] up[0] to[0] discover[0] himself[0] as[0] a[0] bug[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
z ( allen ) is a troubled ant , believing he was not made to be a worker . 	z ( allen ) is a troubled ant , believing he was not made to be a worker .	1	-2	 z[0] allen[0] is[0] a[0] troubled[-1] ant[0] believing[0] he[0] was[0] not[0] made[0] to[0] be[0] a[0] worker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " when you're the middle child in a family of five million . . . " he comments about his neglected childhood . 	 " when you're the middle child in a family of five million .<br> .<br> .<br> " he comments about his neglected childhood .	1	-1	 when[0] you're[0] the[0] middle[0] child[0] in[0] a[0] family[0] of[0] five[0] million[0] [[Sentence=-1,1=word max, 1-5]] he[0] comments[0] about[0] his[0] neglected[0] childhood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one night , z is sitting in a bar with his friend weaver ( sylvester stallone ) , discussing his pathetic place in life . 	one night , z is sitting in a bar with his friend weaver ( sylvester stallone ) , discussing his pathetic place in life .	2	-3	 one[0] night[0] z[0] is[0] sitting[0] in[0] a[0] bar[0] with[0] his[0] friend[1] weaver[0] sylvester[0] stallone[0] discussing[0] his[0] pathetic[-2] place[0] in[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in walks princess bala ( sharon stone ) , whom no one recognizes without a crown . 	in walks princess bala ( sharon stone ) , whom no one recognizes without a crown .	1	-1	 in[0] walks[0] princess[0] bala[0] sharon[0] stone[0] whom[0] no[0] one[0] recognizes[0] without[0] a[0] crown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bala asks z is he would like to dance , and they engage in a pulp fiction-esque dance while everyone else is following the leader . 	bala asks z is he would like to dance , and they engage in a pulp fiction-esque dance while everyone else is following the leader .	1	-1	 bala[0] asks[0] z[0] is[0] he[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] dance[0] and[0] they[0] engage[0] in[0] a[0] pulp[0] fiction[0] esque[0] dance[0] while[0] everyone[0] else[0] is[0] following[0] the[0] leader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after discovering that she is the princess , z falls in love , but there's a problem : bala is getting married to general mandible ( gene hackman ) , a ruthless leader who merely wants to control a better and stronger colony . 	after discovering that she is the princess , z falls in love , but there's a problem : bala is getting married to general mandible ( gene hackman ) , a ruthless leader who merely wants to control a better and stronger colony .	3	-3	 after[0] discovering[0] that[0] she[0] is[0] the[0] princess[0] z[0] falls[0] in[0] love[2] but[0] there's[0] a[0] problem[-1] bala[0] is[0] getting[0] married[0] to[0] general[0] mandible[0] gene[0] hackman[0] a[0] ruthless[-2] leader[0] who[0] merely[0] wants[0] to[0] control[0] a[0] better[0] and[0] stronger[0] colony[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in order to do that , he must eliminate not only the queen ( anne bancroft ) , but the weakest of the colony , namely the worker ants . 	in order to do that , he must eliminate not only the queen ( anne bancroft ) , but the weakest of the colony , namely the worker ants .	1	-2	 in[0] order[0] to[0] do[0] that[0] he[0] must[0] eliminate[-1] not[0] only[0] the[0] queen[0] anne[0] bancroft[0] but[0] the[0] weakest[-1] of[0] the[0] colony[0] namely[0] the[0] worker[0] ants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but to get rid of the queen , he needs to get rid of the loyal army ants who would be willing to die for her . 	but to get rid of the queen , he needs to get rid of the loyal army ants who would be willing to die for her .	2	-2	 but[0] to[0] get[0] rid[-1] of[0] the[0] queen[0] he[0] needs[0] to[0] get[0] rid[-1] of[0] the[0] loyal[1] army[0] ants[0] who[0] would[0] be[0] willing[0] to[0] die[0] for[0] her[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he and colonel cutter ( christopher walkin ) come up with a plan to send the loyal ants off to battle , where they will surely be killed . 	he and colonel cutter ( christopher walkin ) come up with a plan to send the loyal ants off to battle , where they will surely be killed .	2	-4	 he[0] and[0] colonel[0] cutter[0] christopher[0] walkin[0] come[0] up[0] with[0] a[0] plan[0] to[0] send[0] the[0] loyal[1] ants[0] off[0] to[0] battle[-1] where[0] they[0] will[0] surely[0] be[0] killed[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the queen is reluctant at first , but decides it is best for the colony . 	the queen is reluctant at first , but decides it is best for the colony .	2	-2	 the[0] queen[0] is[0] reluctant[-1] at[0] first[0] but[0] decides[0] it[0] is[0] best[1] for[0] the[0] colony[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , z wants to meet bala again , and he asks weaver , an army ant , to switch places with him . 	meanwhile , z wants to meet bala again , and he asks weaver , an army ant , to switch places with him .	1	-1	 meanwhile[0] z[0] wants[0] to[0] meet[0] bala[0] again[0] and[0] he[0] asks[0] weaver[0] an[0] army[0] ant[0] to[0] switch[0] places[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so z gets sent off to battle , but he manages to survive the slaughter by the termites . 	so z gets sent off to battle , but he manages to survive the slaughter by the termites .	1	-2	 so[0] z[0] gets[0] sent[0] off[0] to[0] battle[-1] but[0] he[0] manages[0] to[0] survive[0] the[0] slaughter[-1] by[0] the[0] termites[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the battle sequence is absolutely stunning , though you may have flashbacks to starship troopers , which contained a very similar sequence . 	the battle sequence is absolutely stunning , though you may have flashbacks to starship troopers , which contained a very similar sequence .	1	-2	 the[0] battle[-1] sequence[0] is[0] absolutely[0] stunning[0] though[0] you[0] may[0] have[0] flashbacks[0] to[0] starship[0] troopers[0] which[0] contained[0] a[0] very[0] similar[0] sequence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , antz and that 1997 film were both in production around the same time , so the similarities are merely coincidence . 	however , antz and that 1997 film were both in production around the same time , so the similarities are merely coincidence .	1	-1	 however[0] antz[0] and[0] that[0] 1997[0] film[0] were[0] both[0] in[0] production[0] around[0] the[0] same[0] time[0] so[0] the[0] similarities[0] are[0] merely[0] coincidence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second half of the film revolves around z's kidnapping of bala , and their search for a mythical place called insectopia . 	the second half of the film revolves around z's kidnapping of bala , and their search for a mythical place called insectopia .	1	-1	 the[0] second[0] half[0] of[0] the[0] film[0] revolves[0] around[0] z's[0] kidnapping[0] of[0] bala[0] and[0] their[0] search[0] for[0] a[0] mythical[0] place[0] called[0] insectopia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there , an ant can be his own boss and have all the food he wants . 	there , an ant can be his own boss and have all the food he wants .	1	-1	 there[0] an[0] ant[0] can[0] be[0] his[0] own[0] boss[0] and[0] have[0] all[0] the[0] food[0] he[0] wants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the adventures z and bala get into are surprisingly high in tension , especially one involving a magnifying glass . 	the adventures z and bala get into are surprisingly high in tension , especially one involving a magnifying glass .	1	-3	 the[0] adventures[0] z[0] and[0] bala[0] get[0] into[0] are[0] surprisingly[0] high[0] in[0] tension[-2] especially[0] one[0] involving[0] a[0] magnifying[0] glass[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
looming over the targets like the spaceships from independence day ( in fact , i'm just going to assume that the producers referenced id4 intentionally ) . 	looming over the targets like the spaceships from independence day ( in fact , i'm just going to assume that the producers referenced id4 intentionally ) .	2	-1	 looming[0] over[0] the[0] targets[0] like[1] the[0] spaceships[0] from[0] independence[0] day[0] in[0] fact[0] i'm[0] just[0] going[0] to[0] assume[0] that[0] the[0] producers[0] referenced[0] id4[0] intentionally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ants look up in awe , and then a beam of fire blasts into the ground . 	the ants look up in awe , and then a beam of fire blasts into the ground .	1	-1	 the[0] ants[0] look[0] up[0] in[0] awe[0] and[0] then[0] a[0] beam[0] of[0] fire[0] blasts[0] into[0] the[0] ground[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
visually , it's an exciting rush of adrenaline . 	visually , it's an exciting rush of adrenaline .	3	-1	 visually[0] it's[0] an[0] exciting[2] rush[0] of[0] adrenaline[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but don't be fooled . . . 	but don't be fooled .<br> .<br> .	2	-1	 but[0] don't[0] be[0] fooled[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
little kids shouldn't see this , as they may just try and copy it . 	little kids shouldn't see this , as they may just try and copy it .	1	-1	 little[0] kids[0] shouldn't[0] see[0] this[0] as[0] they[0] may[0] just[0] try[0] and[0] copy[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after seeing antz , i vowed never to intentionally step on an ant again . 	after seeing antz , i vowed never to intentionally step on an ant again .	1	-1	 after[0] seeing[0] antz[0] i[0] vowed[0] never[0] to[0] intentionally[0] step[0] on[0] an[0] ant[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopefully , children will learn that killing ants is rather cruel . 	hopefully , children will learn that killing ants is rather cruel .	1	-4	 hopefully[0] children[0] will[0] learn[0] that[0] killing[-1] ants[0] is[0] rather[0] cruel[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as an animated film , antz is probably the best you will find to date . 	as an animated film , antz is probably the best you will find to date .	2	-1	 as[0] an[0] animated[0] film[0] antz[0] is[0] probably[0] the[0] best[1] you[0] will[0] find[0] to[0] date[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
visually , it's as stunning as what dreams may come . 	visually , it's as stunning as what dreams may come .	1	-1	 visually[0] it's[0] as[0] stunning[0] as[0] what[0] dreams[0] may[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best aspect of animation is the fact that the characters aren't limited by gravity . 	the best aspect of animation is the fact that the characters aren't limited by gravity .	2	-1	 the[0] best[1] aspect[0] of[0] animation[0] is[0] the[0] fact[0] that[0] the[0] characters[0] aren't[0] limited[0] by[0] gravity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they can take ridiculous situations and make them seem plausible . 	they can take ridiculous situations and make them seem plausible .	1	-3	 they[0] can[0] take[0] ridiculous[-2] situations[0] and[0] make[0] them[0] seem[0] plausible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one great moment involves a mass of worker ants bunching up to form a wrecking ball . 	one great moment involves a mass of worker ants bunching up to form a wrecking ball .	3	-2	 one[0] great[2] moment[0] involves[0] a[0] mass[0] of[0] worker[0] ants[0] bunching[0] up[0] to[0] form[0] a[0] wrecking[-1] ball[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the animation is so perfect that you can virtually see every single ant on the ball . 	the animation is so perfect that you can virtually see every single ant on the ball .	2	-1	 the[0] animation[0] is[0] so[0] perfect[1] that[0] you[0] can[0] virtually[0] see[0] every[0] single[0] ant[0] on[0] the[0] ball[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the most exhilarating scene involves bala getting stuck to the bottom of a young boy's shoe . 	however , the most exhilarating scene involves bala getting stuck to the bottom of a young boy's shoe .	1	-1	 however[0] the[0] most[0] exhilarating[0] scene[0] involves[0] bala[0] getting[0] stuck[0] to[0] the[0] bottom[0] of[0] a[0] young[0] boy's[0] shoe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's truly a great example of film making at its finest . 	it's truly a great example of film making at its finest .	3	-1	 it's[0] truly[1] a[0] great[2] example[0] of[0] film[0] making[0] at[0] its[0] finest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with computer technology , the animators have carefully made the ants' faces look similar to the actors providing the voices . 	with computer technology , the animators have carefully made the ants' faces look similar to the actors providing the voices .	1	-1	 with[0] computer[0] technology[0] the[0] animators[0] have[0] carefully[0] made[0] the[0] ants'[0] faces[0] look[0] similar[0] to[0] the[0] actors[0] providing[0] the[0] voices[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best example would have to be barbatus ( danny glover ) . 	the best example would have to be barbatus ( danny glover ) .	2	-1	 the[0] best[1] example[0] would[0] have[0] to[0] be[0] barbatus[0] danny[0] glover[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at one point , you can even see the pores on his face ( although , i doubt ants have pores . . . 	at one point , you can even see the pores on his face ( although , i doubt ants have pores .<br> .<br> .	1	-2	 at[0] one[0] point[0] you[0] can[0] even[0] see[0] the[0] pores[0] on[0] his[0] face[0] although[0] i[0] doubt[-1] ants[0] have[0] pores[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do they ? ) . 	do they ?<br> ) .	1	-1	 do[0] they[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barbatus also has a touching but rather gruesome scene as he has his final words with z without a body . 	barbatus also has a touching but rather gruesome scene as he has his final words with z without a body .	1	-1	 barbatus[0] also[0] has[0] a[0] touching[0] but[0] rather[0] gruesome[0] scene[0] as[0] he[0] has[0] his[0] final[0] words[0] with[0] z[0] without[0] a[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
young kids may be disturbed by the site of a dismembered head , but a good deal of humor is derived ( more appropriate for adults , of course ) . 	young kids may be disturbed by the site of a dismembered head , but a good deal of humor is derived ( more appropriate for adults , of course ) .	3	-2	 young[0] kids[0] may[0] be[0] disturbed[-1] by[0] the[0] site[0] of[0] a[0] dismembered[0] head[0] but[0] a[0] good[1] deal[0] of[0] humor[2] is[0] derived[0] more[0] appropriate[0] for[0] adults[0] of[0] course[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
disney's a bug's life looks good , but i don't know if they will be able to best dreamworks' newest animated feature in terms of animation . 	disney's a bug's life looks good , but i don't know if they will be able to best dreamworks' newest animated feature in terms of animation .	2	-1	 disney's[0] a[0] bug's[0] life[0] looks[0] good[1] but[0] i[0] don't[0] know[0] if[0] they[0] will[0] be[0] able[0] to[0] best[1] dreamworks'[0] newest[0] animated[0] feature[0] in[0] terms[0] of[0] animation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if not , then dreamworks will have done something no other studio could do : go head to head with the big mouse , and knock him down ( yes , anastasia was good , but not nearly as good as even the worst of disney ) . 	if not , then dreamworks will have done something no other studio could do : go head to head with the big mouse , and knock him down ( yes , anastasia was good , but not nearly as good as even the worst of disney ) .	2	-3	 if[0] not[0] then[0] dreamworks[0] will[0] have[0] done[0] something[0] no[0] other[0] studio[0] could[0] do[0] go[0] head[0] to[0] head[0] with[0] the[0] big[0] mouse[0] and[0] knock[0] him[0] down[0] yes[0] anastasia[0] was[0] good[1] but[0] not[0] nearly[0] as[0] good[1] as[0] even[0] the[0] worst[-2] of[0] disney[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
vocal talent is always essential to an animated feature , and antz has one of the best line-ups seen since toy story . 	vocal talent is always essential to an animated feature , and antz has one of the best line-ups seen since toy story .	2	-1	 vocal[0] talent[1] is[0] always[0] essential[0] to[0] an[0] animated[0] feature[0] and[0] antz[0] has[0] one[0] of[0] the[0] best[1] line[0] ups[0] seen[0] since[0] toy[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , it far exceeds that one . 	in fact , it far exceeds that one .	1	-1	 in[0] fact[0] it[0] far[0] exceeds[0] that[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody allen has always been funny , but here he transcends most of what he's done in the past few years . 	woody allen has always been funny , but here he transcends most of what he's done in the past few years .	2	-1	 woody[0] allen[0] has[0] always[0] been[0] funny[1] but[0] here[0] he[0] transcends[0] most[0] of[0] what[0] he's[0] done[0] in[0] the[0] past[0] few[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
without a body , his comic timing is the most noticeable thing . 	without a body , his comic timing is the most noticeable thing .	1	-1	 without[0] a[0] body[0] his[0] comic[0] timing[0] is[0] the[0] most[0] noticeable[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , i'm pretty sure that the writers let him improvise a lot of his lines . 	in fact , i'm pretty sure that the writers let him improvise a lot of his lines .	3	-1	 in[0] fact[0] i'm[0] pretty[2] sure[0] that[0] the[0] writers[0] let[0] him[0] improvise[0] a[0] lot[0] of[0] his[0] lines[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sharon stone as bala shows off some of her comic ability , though for the most part , stone works best as a dramatic actress . 	sharon stone as bala shows off some of her comic ability , though for the most part , stone works best as a dramatic actress .	2	-1	 sharon[0] stone[0] as[0] bala[0] shows[0] off[0] some[0] of[0] her[0] comic[0] ability[0] though[0] for[0] the[0] most[0] part[0] stone[0] works[0] best[1] as[0] a[0] dramatic[0] actress[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
