with a team of 200 graphic artists and animators working on this first film production from game developer squaresoft's square pictures , final fantasy , inspired by the top-selling game franchise , is visually awe-inspiring and groundbreaking . 	Translation	Positive	Negative	EmotionRationale
while the images serve the sci-fi aspect of the film well , the storytelling doesn't . 	while the images serve the sci-fi aspect of the film well , the storytelling doesn't .	1	-1	 while[0] the[0] images[0] serve[0] the[0] sci[0] fi[0] aspect[0] of[0] the[0] film[0] well[0] the[0] storytelling[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's unfortunate , because the plot seems so intricately thought out . 	it's unfortunate , because the plot seems so intricately thought out .	1	-2	 it's[0] unfortunate[-1] because[0] the[0] plot[0] seems[0] so[0] intricately[0] thought[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps it was far too complex and enormous to be entirely incorporated into the script . 	perhaps it was far too complex and enormous to be entirely incorporated into the script .	1	-1	 perhaps[0] it[0] was[0] far[0] too[0] complex[0] and[0] enormous[0] to[0] be[0] entirely[0] incorporated[0] into[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some could blame this weakness on the fact that it was a japanese concept translated to english , except two americans wrote the screenplay . 	some could blame this weakness on the fact that it was a japanese concept translated to english , except two americans wrote the screenplay .	1	-2	 some[0] could[0] blame[-1][--1 LastWordBoosterStrength] this[0] weakness[-1] on[0] the[0] fact[0] that[0] it[0] was[0] a[0] japanese[0] concept[0] translated[0] to[0] english[0] except[0] two[0] americans[0] wrote[0] the[0] screenplay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nevertheless , the end result is an elaborate story complicated by confusing holes . 	nevertheless , the end result is an elaborate story complicated by confusing holes .	1	-2	 nevertheless[0] the[0] end[0] result[0] is[0] an[0] elaborate[0] story[0] complicated[-1] by[0] confusing[-1] holes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why do these aliens feed on souls ? 	why do these aliens feed on souls ?	1	-1	 why[0] do[0] these[0] aliens[0] feed[0] on[0] souls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if they can pass through bodies and ships , how can humans hurt them with guns ? 	if they can pass through bodies and ships , how can humans hurt them with guns ?	1	-3	 if[0] they[0] can[0] pass[0] through[0] bodies[0] and[0] ships[0] how[0] can[0] humans[0] hurt[-2] them[0] with[0] guns[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what is so special about the " spirits " that they would create a force strong enough to destroy the aliens ? 	what is so special about the " spirits " that they would create a force strong enough to destroy the aliens ?	2	-3	 what[0] is[0] so[0] special[1] about[0] the[0] spirits[0] that[0] they[0] would[0] create[0] a[0] force[-1] strong[0] enough[0] to[0] destroy[-2] the[0] aliens[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
worse yet , the dialogue is scripted to be either like a science-heavy star trek episode , an installment of die hard , or a sappy love story , depending on who's doing the talking . 	worse yet , the dialogue is scripted to be either like a science-heavy star trek episode , an instalment of die hard , or a sappy love story , depending on who's doing the talking .	3	-3	 worse[-2] yet[0] the[0] dialogue[0] is[0] scripted[0] to[0] be[0] either[0] like[1] a[0] science[0] heavy[0] star[0] trek[0] episode[0] an[0] installment/instalment[0] of[0] die[0] hard[0] or[0] a[0] sappy[0] love[2] story[0] depending[0] on[0] who's[0] doing[0] the[0] talking[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for the most part , it's bearable considering the genre , but tedious speeches and cheesy lines don't do anything to help the actors and can get annoying in the longer scenes . 	for the most part , it's bearable considering the genre , but tedious speeches and cheesy lines don't do anything to help the actors and can get annoying in the longer scenes .	1	-3	 for[0] the[0] most[0] part[0] it's[0] bearable[0] considering[0] the[0] genre[0] but[0] tedious[-2] speeches[0] and[0] cheesy[0] lines[0] don't[0] do[0] anything[0] to[0] help[0] the[0] actors[0] and[0] can[0] get[0] annoying[-2] in[0] the[0] longer[0] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only exception is steve buscemi as pilot neil fleming , who always has great cracks during tense moments . 	the only exception is steve buscemi as pilot neil fleming , who always has great cracks during tense moments .	3	-3	 the[0] only[0] exception[0] is[0] steve[0] buscemi[0] as[0] pilot[0] neil[0] fleming[0] who[0] always[0] has[0] great[2] cracks[0] during[0] tense[-2] moments[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but , when the lights come up and the credits roll , you're more likely to be remarking on how fantastic the film looked . 	but , when the lights come up and the credits roll , you're more likely to be remarking on how fantastic the film looked .	3	-1	 but[0] when[0] the[0] lights[0] come[0] up[0] and[0] the[0] credits[0] roll[0] you're[0] more[0] likely[0] to[0] be[0] remarking[0] on[0] how[0] fantastic[2] the[0] film[0] looked[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's no question that the roughly 33 million people who have bought at least one final fantasy game will be eager to see this movie , and so should anyone who enjoys being floored by the best cg animation ever put to film . 	there's no question that the roughly 33 million people who have bought at least one final fantasy game will be eager to see this movie , and so should anyone who enjoys being floored by the best cg animation ever put to film .	3	-2	 there's[0] no[0] question[0] that[0] the[0] roughly[-1] 33[0] million[0] people[0] who[0] have[0] bought[0] at[0] least[0] one[0] final[0] fantasy[0] game[0] will[0] be[0] eager[0] to[0] see[0] this[0] movie[0] and[0] so[0] should[0] anyone[0] who[0] enjoys[2] being[0] floored[0] by[0] the[0] best[1] cg[0] animation[0] ever[0] put[0] to[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you'd be living in a fantasy world of your own if you expected much more . 	you'd be living in a fantasy world of your own if you expected much more .	1	-1	 you'd[0] be[0] living[0] in[0] a[0] fantasy[0] world[0] of[0] your[0] own[0] if[0] you[0] expected[0] much[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
