usually when a blockbuster comes out , it's loaded with effects , stars , bad scripts , and plenty of action . 	Translation	Positive	Negative	EmotionRationale
the whole premise is rather ridiculous , but packs a few punches to keep interest . 	the whole premise is rather ridiculous , but packs a few punches to keep interest .	2	-3	 the[0] whole[0] premise[0] is[0] rather[0] ridiculous[-2] but[0] packs[0] a[0] few[0] punches[-1] to[0] keep[0] interest[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for one , the film is considerably clever . 	for one , the film is considerably clever .	1	-1	 for[0] one[0] the[0] film[0] is[0] considerably[0] clever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it literally pokes fun at super hero films , like batman and robin , superman etc . in fact , many scenes are similar to batman and robin , including the opening sequence , only altered in a humorous and superior way . 	it literally pokes fun at super hero films , like batman and robin , superman etc .<br> in fact , many scenes are similar to batman and robin , including the opening sequence , only altered in a humorous and superior way .	4	-1	 it[0] literally[0] pokes[0] fun[1] at[0] super[2] hero[2][+1 MultiplePositiveWords] films[0] like[1] batman[0] and[0] robin[0] superman[0] etc[0] [[Sentence=-1,4=word max, 1-5]] in[0] fact[0] many[0] scenes[0] are[0] similar[0] to[0] batman[0] and[0] robin[0] including[0] the[0] opening[0] sequence[0] only[0] altered[0] in[0] a[0] humorous[2] and[0] superior[2] way[0] [[Sentence=-1,3=word max, 1-5]][[[4,-1 max of sentences]]]
a part of the cleverness comes from the cast . 	a part of the cleverness comes from the cast .	1	-1	 a[0] part[0] of[0] the[0] cleverness[0] comes[0] from[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes a film with such talent is overblown , but the acting is what keeps it alive here . 	sometimes a film with such talent is overblown , but the acting is what keeps it alive here .	2	-1	 sometimes[0] a[0] film[0] with[0] such[0] talent[1] is[0] overblown[0] but[0] the[0] acting[0] is[0] what[0] keeps[0] it[0] alive[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while azaria and macy were enteratining , 2 characters really stood out . 	while azaria and macy were enteratining , 2 characters really stood out .	1	-1	 while[0] azaria[0] and[0] macy[0] were[0] enteratining[0] 2[0] characters[0] really[0] stood[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one was paul reuben . 	one was paul reuben .	1	-1	 one[0] was[0] paul[0] reuben[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter how disgusting or revolting " mr . splein " may be , you still can't help but laugh . 	no matter how disgusting or revolting " mr .<br> splein " may be , you still can't help but laugh .	2	-4	 no[0] matter[0] how[0] disgusting[-3] or[0] revolting[-1] mr[0] [[Sentence=-4,1=word max, 1-5]] splein[0] may[0] be[0] you[0] still[0] can't[0] help[0] but[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
it' so incredibly moronic , it's just a riot watching reuben relieve himself of bodily functions . 	it' so incredibly moronic , it's just a riot watching reuben relieve himself of bodily functions .	2	-5	 it'[0] so[0] incredibly[0] moronic[-2][-2 LastWordBoosterStrength] it's[0] just[0] a[0] riot[0] watching[0] reuben[0] relieve[1] himself[0] of[0] bodily[0] functions[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
janeane garafalo also was an interesting character . 	janeane garafalo also was an interesting character .	2	-1	 janeane[0] garafalo[0] also[0] was[0] an[0] interesting[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she seemed to be the most outgoing and convincing character on screem , due to her enthusiasm , that kept the film flowing . 	she seemed to be the most outgoing and convincing character on screem , due to her enthusiasm , that kept the film flowing .	3	-1	 she[0] seemed[0] to[0] be[0] the[0] most[0] outgoing[0] and[0] convincing[0] character[0] on[0] screem[0] due[0] to[0] her[0] enthusiasm[2] that[0] kept[0] the[0] film[0] flowing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
men is worth seeing alone , for those 2 troubled heroes . 	men is worth seeing alone , for those 2 troubled heroes .	3	-2	 men[0] is[0] worth[0] seeing[0] alone[0] for[0] those[0] 2[0] troubled[-1] heroes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the downside , a few of the heroes and especially the villain never really lift off . 	on the downside , a few of the heroes and especially the villain never really lift off .	3	-3	 on[0] the[0] downside[0] a[0] few[0] of[0] the[0] heroes[2] and[0] especially[0] the[0] villain[-2] never[0] really[0] lift[0] off[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kel mitchell and geoffrey rush , were both utterly useless . 	kel mitchell and geoffrey rush , were both utterly useless .	1	-3	 kel[0] mitchell[0] and[0] geoffrey[0] rush[0] were[0] both[0] utterly[0] useless[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their parts were so limited , they'd be lucky at all to be on screen for more than 20 minutes . 	their parts were so limited , they'd be lucky at all to be on screen for more than 20 minutes .	2	-1	 their[0] parts[0] were[0] so[0] limited[0] they'd[0] be[0] lucky[1] at[0] all[0] to[0] be[0] on[0] screen[0] for[0] more[0] than[0] 20[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ben stiller too was wasted , mostly because of his unlikeable power and dialogue . 	ben stiller too was wasted , mostly because of his unlikeable power and dialogue .	1	-2	 ben[0] stiller[0] too[0] was[0] wasted[-1] mostly[0] because[0] of[0] his[0] unlikeable[0] power[0] and[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
none of these characters get a rise out of anybody , but happily they are lost in the charming flow of the film . 	none of these characters get a rise out of anybody , but happily they are lost in the charming flow of the film .	3	-1	 none[0] of[0] these[0] characters[0] get[0] a[0] rise[0] out[0] of[0] anybody[0] but[0] happily[2] they[0] are[0] lost[0] in[0] the[0] charming[1] flow[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as far as the budget goes , it was wisely spent on the cast , not the effects . 	as far as the budget goes , it was wisely spent on the cast , not the effects .	1	-1	 as[0] far[0] as[0] the[0] budget[0] goes[0] it[0] was[0] wisely[0] spent[0] on[0] the[0] cast[0] not[0] the[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the set designs and action all look nice , i'm glad there was a seperate aspect , that the film focused on , and for that i applaud . 	while the set designs and action all look nice , i'm glad there was a seperate aspect , that the film focused on , and for that i applaud .	2	-1	 while[0] the[0] set[0] designs[0] and[0] action[0] all[0] look[0] nice[1] i'm[0] glad[1] there[0] was[0] a[0] seperate[0] aspect[0] that[0] the[0] film[0] focused[0] on[0] and[0] for[0] that[0] i[0] applaud[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
slow at times , and rather pointless , mystery men still delivers . 	slow at times , and rather pointless , mystery men still delivers .	1	-2	 slow[0] at[0] times[0] and[0] rather[0] pointless[-1] mystery[0] men[0] still[0] delivers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it forgets about money making , because it's not likely to make a bundle like it's proceeders , and that's what works . 	it forgets about money making , because it's not likely to make a bundle like it's proceeders , and that's what works .	2	-1	 it[0] forgets[0] about[0] money[0] making[0] because[0] it's[0] not[0] likely[0] to[0] make[0] a[0] bundle[0] like[1] it's[0] proceeders[0] and[0] that's[0] what[0] works[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stupid ? 	stupid ?	1	-2	 stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe , but for once i'm not disappointed . 	maybe , but for once i'm not disappointed .	2	-1	 maybe[0] but[0] for[0] once[0] i'm[0] not[0] disappointed[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no one expected an intelligent film , but you get a film thats wit captures your attention and makes you forget this miserable year . 	no one expected an intelligent film , but you get a film thats wit captures your attention and makes you forget this miserable year .	2	-3	 no[0] one[0] expected[0] an[0] intelligent[1] film[0] but[0] you[0] get[0] a[0] film[0] thats[0] wit[0] captures[-1] your[0] attention[0] and[0] makes[0] you[0] forget[0] this[0] miserable[-2] year[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
