the soldiers of three kings have taken their cue from movies about vietnam . 	Translation	Positive	Negative	EmotionRationale
the situation could go off without a hitch : the former enemies bear no grudges . 	the situation could go off without a hitch : the former enemies bear no grudges .	1	-2	 the[0] situation[0] could[0] go[0] off[0] without[0] a[0] hitch[0] the[0] former[0] enemies[-1] bear[0] no[0] grudges[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the money hungry gates has a conscience , and when one female bystander is shot by a sadistic grunt before these americans have left the scene , he orders barlow , elgin and vig to open fire on the surrounding arab forces . 	but the money hungry gates has a conscience , and when one female bystander is shot by a sadistic grunt before these americans have left the scene , he orders barlow , elgin and vig to open fire on the surrounding arab forces .	1	-2	 but[0] the[0] money[0] hungry[-1] gates[0] has[0] a[0] conscience[0] and[0] when[0] one[0] female[0] bystander[0] is[0] shot[-1] by[0] a[0] sadistic[0] grunt[0] before[0] these[0] americans[0] have[0] left[0] the[0] scene[0] he[0] orders[0] barlow[0] elgin[0] and[0] vig[0] to[0] open[0] fire[0] on[0] the[0] surrounding[0] arab[0] forces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result : barlow is kidnapped , and the filmmakers imply that these would-be kings are seeing more action than they ever did during wartime . 	the result : barlow is kidnapped , and the filmmakers imply that these would-be kings are seeing more action than they ever did during wartime .	1	-1	 the[0] result[0] barlow[0] is[0] kidnapped[0] and[0] the[0] filmmakers[0] imply[0] that[0] these[0] would[0] be[0] kings[0] are[0] seeing[0] more[0] action[0] than[0] they[0] ever[0] did[0] during[0] wartime[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barlow is eventually locked in a dank room and wired up to a shocking device . 	barlow is eventually locked in a dank room and wired up to a shocking device .	1	-3	 barlow[0] is[0] eventually[0] locked[0] in[0] a[0] dank[0] room[0] and[0] wired[0] up[0] to[0] a[0] shocking[-2] device[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his interrogator lost his family to the bombs , and he wants barlow to imagine the demise of his own wife and child . 	his interrogator lost his family to the bombs , and he wants barlow to imagine the demise of his own wife and child .	1	-2	 his[0] interrogator[0] lost[0] his[0] family[0] to[0] the[0] bombs[-1] and[0] he[0] wants[0] barlow[0] to[0] imagine[0] the[0] demise[-1] of[0] his[0] own[0] wife[0] and[0] child[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( he does , in chilling , lasting images . ) 	 ( he does , in chilling , lasting images .<br> )	1	-1	 he[0] does[0] in[0] chilling[0] lasting[0] images[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i liked these scenes best , because the political became personal . 	i liked these scenes best , because the political became personal .	3	-1	 i[0] liked[2] these[0] scenes[0] best[1] because[0] the[0] political[0] became[0] personal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's one thing to champion the plight of thousands ; it's another to see a ceiling cave in atop a baby in a crib . 	it's one thing to champion the plight of thousands ; it's another to see a ceiling cave in atop a baby in a crib .	2	-2	 it's[0] one[0] thing[0] to[0] champion[0] the[0] plight[-1] of[0] thousands[0] it's[0] another[0] to[0] see[0] a[0] ceiling[0] cave[0] in[0] atop[0] a[0] baby[1] in[0] a[0] crib[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
russell has shocked us before : his first film , spanking the monkey , is about a young man's affair with his bedridden mother . 	russell has shocked us before : his first film , spanking the monkey , is about a young man's affair with his bedridden mother .	1	-3	 russell[0] has[0] shocked[-2] us[0] before[0] his[0] first[0] film[0] spanking[0] the[0] monkey[0] is[0] about[0] a[0] young[0] man's[0] affair[0] with[0] his[0] bedridden[0] mother[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( it's great . ) 	 ( it's great .<br> )	3	-1	 it's[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his second , flirting with disaster , features a character who has an armpit fetish . 	his second , flirting with disaster , features a character who has an armpit fetish .	2	-2	 his[0] second[0] flirting[1] with[0] disaster[-1] features[0] a[0] character[0] who[0] has[0] an[0] armpit[0] fetish[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one could argue that it's easier to make an audience react to such sexual deviance than explosions , though ; russell disturbs us in three kings by being no-nonsense about the violence . 	one could argue that it's easier to make an audience react to such sexual deviance than explosions , though ; russell disturbs us in three kings by being no-nonsense about the violence .	1	-4	 one[0] could[0] argue[-1][--1 LastWordBoosterStrength] that[0] it's[0] easier[0] to[0] make[0] an[0] audience[0] react[0] to[0] such[0] sexual[0] deviance[0] than[0] explosions[-1] though[0] russell[0] disturbs[-1] us[0] in[0] three[0] kings[0] by[0] being[0] no[0] nonsense[-1] about[0] the[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when barlow conjures the detonation of his suburban home , russell mutes the sound-we're paying attention to the debris instead of thx bombast . 	when barlow conjures the detonation of his suburban home , russell mutes the sound-we're paying attention to the debris instead of thanks bombast .	1	-2	 when[0] barlow[0] conjures[0] the[0] detonation[0] of[0] his[0] suburban[0] home[0] russell[0] mutes[0] the[0] sound[0] we're[0] paying[0] attention[0] to[0] the[0] debris[0] instead[0] of[0] thx[0] bombast[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
three kings is russell's first visually arresting picture . 	three kings is russell's first visually arresting picture .	1	-1	 three[0] kings[0] is[0] russell's[0] first[0] visually[0] arresting[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stylistically , it stands apart from other war dramas . 	stylistically , it stands apart from other war dramas .	1	-3	 stylistically[0] it[0] stands[0] apart[0] from[0] other[0] war[-2] dramas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
newton thomas sigel's cinematography of the exteriors is overexposed and extremely grainy , which is , of course , entirely appropriate . 	newton thomas sigel's cinematography of the exteriors is overexposed and extremely grainy , which is , of course , entirely appropriate .	1	-1	 newton[0] thomas[0] sigel's[0] cinematography[0] of[0] the[0] exteriors[0] is[0] overexposed[0] and[0] extremely[0] grainy[0] which[0] is[0] of[0] course[0] entirely[0] appropriate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one practically breaks out in sweat staring at the screen . 	one practically breaks out in sweat staring at the screen .	1	-1	 one[0] practically[0] breaks[0] out[0] in[0] sweat[0] staring[0] at[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( a friend enthusiastically added , " it's like having sand in your eyes . " ) 	 ( a friend enthusiastically added , " it's like having sand in your eyes .<br> " )	3	-1	 a[0] friend[1] enthusiastically[2] added[0] it's[0] like[1] having[0] sand[0] in[0] your[0] eyes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this also helps to blur the fact that the actual locations are far removed from the persian gulf facade . 	this also helps to blur the fact that the actual locations are far removed from the persian gulf facade .	1	-2	 this[0] also[0] helps[0] to[0] blur[-1] the[0] fact[0] that[0] the[0] actual[0] locations[0] are[0] far[0] removed[0] from[0] the[0] persian[0] gulf[0] facade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( three kings was shot in arizona , california , and mexico . ) 	 ( three kings was shot in arizona , california , and mexico .<br> )	1	-2	 three[0] kings[0] was[0] shot[-1] in[0] arizona[0] california[0] and[0] mexico[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
russell throws plenty at sigel's camera for it to observe-as was the case with russell's previous efforts , the most absurd moments are also the film's most realistic , even the most poignant . 	russell throws plenty at sigel's camera for it to observe-as was the case with russell's previous efforts , the most absurd moments are also the film's most realistic , even the most poignant .	1	-2	 russell[0] throws[0] plenty[0] at[0] sigel's[0] camera[0] for[0] it[0] to[0] observe[0] as[0] was[0] the[0] case[0] with[0] russell's[0] previous[0] efforts[0] the[0] most[0] absurd[-1] moments[0] are[0] also[0] the[0] film's[0] most[0] realistic[0] even[0] the[0] most[0] poignant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( we watch a bullet puncture an organ from the inside . ) 	 ( we watch a bullet puncture an organ from the inside .<br> )	1	-2	 we[0] watch[0] a[0] bullet[-1] puncture[0] an[0] organ[0] from[0] the[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if anything , three kings settles down and stops surprising us . 	if anything , three kings settles down and stops surprising us .	1	-1	 if[0] anything[0] three[0] kings[0] settles[0] down[0] and[0] stops[0] surprising[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its climax is pure hollywood , no doubt the answer to why a major studio felt comfortable getting into bed with the indie-minded russell . 	its climax is pure hollywood , no doubt the answer to why a major studio felt comfortable getting into bed with the indie-minded russell .	2	-2	 its[0] climax[0] is[0] pure[0] hollywood[0] no[0] doubt[-1] the[0] answer[0] to[0] why[0] a[0] major[0] studio[0] felt[0] comfortable[1] getting[0] into[0] bed[0] with[0] the[0] indie[0] minded[0] russell[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
subsequently , the characters become more cartoonish-barlow's post-torture revelry felt phony , and chief , a strong presence in the first third , fails to escape the god-fearing-ultra-serious-anti-racist-black-man-of-power clich ? -so much for cube avoiding token status . 	subsequently , the characters become more cartoonish-barlow's post-torture revelry felt phony , and chief , a strong presence in the first third , fails to escape the god-fearing-ultra-serious-anti-racist-black-man-of-power clich ?<br> -so much for cube avoiding token status .	1	-4	 subsequently[0] the[0] characters[0] become[0] more[0] cartoonish[0] barlow's[0] post[0] torture[-3] revelry[0] felt[0] phony[0] and[0] chief[0] a[0] strong[0] presence[0] in[0] the[0] first[0] third[0] fails[-2] to[0] escape[0] the[0] god[0] fearing[-2] ultra[0] serious[-1] anti[0] racist[-1] black[0] man[0] of[0] power[0] clich[0] [[Sentence=-4,1=word max, 1-5]] so[0] much[0] for[0] cube[0] avoiding[-1] token[0] status[0] [[Sentence=-2,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( the arab players , on the other hand , duck stereotype . ) 	 ( the arab players , on the other hand , duck stereotype .<br> )	1	-1	 the[0] arab[0] players[0] on[0] the[0] other[0] hand[0] duck[0] stereotype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clooney , too , transforms into a blandly heroic protestor-marching with the rebels , i waited for him to shout , " let my people go ! " 	clooney , too , transforms into a blandly heroic protestor-marching with the rebels , i waited for him to shout , " let my people go !<br> "	3	-2	 clooney[0] too[0] transforms[0] into[0] a[0] blandly[0] heroic[2] protestor[-1] marching[0] with[0] the[0] rebels[-1] i[0] waited[0] for[0] him[0] to[0] shout[0] let[0] my[0] people[0] go[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hayseed vig notwithstanding , the protagonists are very intelligent , and self-serving , too ; i had a glimmer of hope , based on russell's filmography , that our antiheroes would revert to their greedy selves at some juncture . 	hayseed vig notwithstanding , the protagonists are very intelligent , and self-serving , too ; i had a glimmer of hope , based on russell's filmography , that our antiheroes would revert to their greedy selves at some juncture .	3	-3	 hayseed[0] vig[0] notwithstanding[0] the[0] protagonists[0] are[0] very[0] intelligent[1][1 LastWordBoosterStrength] and[0] self[0] serving[0] too[0] i[0] had[0] a[0] glimmer[0] of[0] hope[2] based[0] on[0] russell's[0] filmography[0] that[0] our[0] antiheroes[0] would[0] revert[-1][--1 LastWordBoosterStrength] to[0] their[0] greedy[-2] selves[0] at[0] some[0] juncture[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( it's not spoiling much to write that . ) 	 ( it's not spoiling much to write that .<br> )	2	-1	 it's[0] not[0] spoiling[-1][NegatedDueToPreviousWord] much[0] to[0] write[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then again , what historical importance would such nastiness serve ? 	then again , what historical importance would such nastiness serve ?	1	-3	 then[0] again[0] what[0] historical[0] importance[0] would[0] such[0] nastiness[-2] serve[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( there's already enough cynicism in the film's mentioning of kuwait's oil-infested waters . ) 	 ( there's already enough cynicism in the film's mentioning of kuwait's oil-infested waters .<br> )	1	-3	 there's[0] already[0] enough[0] cynicism[-1] in[0] the[0] film's[0] mentioning[0] of[0] kuwait's[0] oil[0] infested[-2] waters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
russell offers the masses a primer on the oft-dismissed gulf conflict , and pulled off a neat trick : a war tale full of battles that takes place after a truce has been declared . 	russell offers the masses a primer on the oft-dismissed gulf conflict , and pulled off a neat trick : a war tale full of battles that takes place after a truce has been declared .	1	-3	 russell[0] offers[0] the[0] masses[0] a[0] primer[0] on[0] the[0] oft[0] dismissed[-1] gulf[0] conflict[-1] and[0] pulled[0] off[0] a[0] neat[0] trick[-1] a[0] war[-2] tale[0] full[0] of[0] battles[-1] that[0] takes[0] place[0] after[0] a[0] truce[0] has[0] been[0] declared[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if he set out to make something socially/culturally/politically/globally significant , he succeeded . 	if he set out to make something socially/culturally/politically/globally significant , he succeeded .	3	-1	 if[0] he[0] set[0] out[0] to[0] make[0] something[0] socially/culturally/politically/globally[0] significant[0] he[0] succeeded[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with flair . 	with flair .	1	-1	 with[0] flair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
