seen december 28 , 1997 at 8 : 45 p . m . at the crossgates mall cinema 18 ( guilderland , ny ) , theater #8 , with matt perreault and my sister jena for free ( matt paid using pre-paid passes ) . 	Translation	Positive	Negative	EmotionRationale
he single-handedly takes out a small army of terrorists , and then must escape in the nick of time by flying away in a fighter jet while the co-pilot tries to strangle him and a terrorist in another jet tries to shoot him down ! 	he single-handedly takes out a small army of terrorists , and then must escape in the nick of time by flying away in a fighter jet while the co-pilot tries to strangle him and a terrorist in another jet tries to shoot him down !	1	-3	 he[0] single[0] handedly[0] takes[0] out[0] a[0] small[0] army[0] of[0] terrorists[-2] and[0] then[0] must[0] escape[0] in[0] the[0] nick[0] of[0] time[0] by[0] flying[0] away[0] in[0] a[0] fighter[-2] jet[0] while[0] the[0] co[0] pilot[0] tries[0] to[0] strangle[-2] him[0] and[0] a[0] terrorist[-2] in[0] another[0] jet[0] tries[0] to[0] shoot[-1] him[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this might sound like the kind of cliches films like this are notorious for ( over- ) using , but it works here because the film knows how to get our attention quickly . 	this might sound like the kind of cliches films like this are notorious for ( over- ) using , but it works here because the film knows how to get our attention quickly .	2	-2	 this[0] might[0] sound[0] like[1] the[0] kind[1] of[0] cliches[0] films[0] like[1] this[0] are[0] notorious[-1] for[0] over[0] using[0] but[0] it[0] works[0] here[0] because[0] the[0] film[0] knows[0] how[0] to[0] get[0] our[0] attention[0] quickly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not about the payoff because it's obvious bond will escape , instead , it's the way it processes the action sequences by going over the top and not apologizing for it , all the while creating for witty , hysterical comedy . 	it's not about the payoff because it's obvious bond will escape , instead , it's the way it processes the action sequences by going over the top and not apologizing for it , all the while creating for witty , hysterical comedy .	1	-2	 it's[0] not[0] about[0] the[0] payoff[0] because[0] it's[0] obvious[0] bond[0] will[0] escape[0] instead[0] it's[0] the[0] way[0] it[0] processes[0] the[0] action[0] sequences[0] by[0] going[0] over[0] the[0] top[0] and[0] not[0] apologizing[0] for[0] it[0] all[0] the[0] while[0] creating[0] for[0] witty[0] hysterical[-1] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems less emphasis is placed on the villains in thrillers anymore , because of political correctness , and just plain copping-out on behalf of the filmmakers ( even the term " villain " sounds passe ) . 	it seems less emphasis is placed on the villains in thrillers anymore , because of political correctness , and just plain coping-out on behalf of the filmmakers ( even the term " villain " sounds passe ) .	2	-3	 it[0] seems[0] less[0] emphasis[0] is[0] placed[0] on[0] the[0] villains[-2] in[0] thrillers[1] anymore[0] because[0] of[0] political[0] correctness[0] and[0] just[0] plain[0] copping/coping[0] out[0] on[0] behalf[0] of[0] the[0] filmmakers[0] even[0] the[0] term[0] villain[-2] sounds[0] passe[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what the film deserves kudos for is its ability to create a villain as heinous as they come , yet making him seem completely plausible . 	what the film deserves kudos for is its ability to create a villain as heinous as they come , yet making him seem completely plausible .	1	-5	 what[0] the[0] film[0] deserves[0] kudos[0] for[0] is[0] its[0] ability[0] to[0] create[0] a[0] villain[-2] as[0] heinous[-4] as[0] they[0] come[0] yet[0] making[0] him[0] seem[0] completely[0] plausible[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
jonathon pryce delivers a perfect performance as the arrogant , cunning elliot carver , a media mogul whose goal is to take over the world , that is , through his massive media empire , not through nuclear weapons . 	jonathon pryce delivers a perfect performance as the arrogant , cunning elliot carver , a media mogul whose goal is to take over the world , that is , through his massive media empire , not through nuclear weapons .	2	-3	 jonathon[0] pryce[-1] delivers[0] a[0] perfect[1] performance[0] as[0] the[0] arrogant[-2] cunning[0] elliot[0] carver[0] a[0] media[0] mogul[0] whose[0] goal[0] is[0] to[0] take[0] over[0] the[0] world[0] that[0] is[0] through[0] his[0] massive[0] media[0] empire[0] not[0] through[0] nuclear[0] weapons[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
through some interesting detective work , bond and the english ministry of defense believe carver is behind the trouble brewing in the southern asian seas as a way to create and accurately cover his own news . 	through some interesting detective work , bond and the english ministry of defense believe carver is behind the trouble brewing in the southern asian seas as a way to create and accurately cover his own news .	1	-2	 through[0] some[0] interesting[1][-1 LastWordBoosterStrength] detective[0] work[0] bond[0] and[0] the[0] english[0] ministry[0] of[0] defense[0] believe[0] carver[0] is[0] behind[0] the[0] trouble[-1] brewing[0] in[0] the[0] southern[0] asian[0] seas[0] as[0] a[0] way[0] to[0] create[0] and[0] accurately[0] cover[0] his[0] own[0] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only is that an original idea for a conflict , but one which could carry over into reality . 	not only is that an original idea for a conflict , but one which could carry over into reality .	1	-2	 not[0] only[0] is[0] that[0] an[0] original[0] idea[0] for[0] a[0] conflict[-1] but[0] one[0] which[0] could[0] carry[0] over[0] into[0] reality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
surprisingly , this is about as detailed as the story allows the specific plot to become . 	surprisingly , this is about as detailed as the story allows the specific plot to become .	1	-1	 surprisingly[0] this[0] is[0] about[0] as[0] detailed[0] as[0] the[0] story[0] allows[0] the[0] specific[0] plot[0] to[0] become[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's hook is the action , and of course those cool gadgets and we get plenty of that here as bond goes out to investigate carver and finds himself in a jam or two along the way . 	the film's hook is the action , and of course those cool gadgets and we get plenty of that here as bond goes out to investigate carver and finds himself in a jam or two along the way .	2	-1	 the[0] film's[0] hook[0] is[0] the[0] action[0] and[0] of[0] course[0] those[0] cool[1] gadgets[0] and[0] we[0] get[0] plenty[0] of[0] that[0] here[0] as[0] bond[0] goes[0] out[0] to[0] investigate[0] carver[0] and[0] finds[0] himself[0] in[0] a[0] jam[0] or[0] two[0] along[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story works much like bond himself - always on the run and concentrates more on the individual conflicts than any general plot . 	the story works much like bond himself - always on the run and concentrates more on the individual conflicts than any general plot .	2	-2	 the[0] story[0] works[0] much[0] like[1] bond[0] himself[0] always[0] on[0] the[0] run[0] and[0] concentrates[0] more[0] on[0] the[0] individual[0] conflicts[-1] than[0] any[0] general[0] plot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
somehow a chinese agent , wai lin ( yeoh ) , bumps into bond a few too many times and they find themselves working together . 	somehow a chinese agent , wai lin ( yeoh ) , bumps into bond a few too many times and they find themselves working together .	1	-1	 somehow[0] a[0] chinese[0] agent[0] wai[0] lin[0] yeoh[0] bumps[0] into[0] bond[0] a[0] few[0] too[0] many[0] times[0] and[0] they[0] find[0] themselves[0] working[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the chemistry between brosnon and yeoh is rigid , but also works because of this , not in spite of it . 	the chemistry between brosnon and yeoh is rigid , but also works because of this , not in spite of it .	4	-2	 the[0] chemistry[0] between[0] brosnon[0] and[0] yeoh[0] is[0] rigid[-1] but[0] also[0] works[0] because[0] of[0] this[0] not[0] in[0] spite[-3][NegatedDueToPreviousWord] of[0] it[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the two are constantly on the run from carver and his goons , yet the film manages to balance the stunts and special effects with its clever story . 	the two are constantly on the run from carver and his goons , yet the film manages to balance the stunts and special effects with its clever story .	2	-1	 the[0] two[0] are[0] constantly[0] on[0] the[0] run[0] from[0] carver[0] and[0] his[0] goons[0] yet[0] the[0] film[0] manages[0] to[0] balance[0] the[0] stunts[0] and[0] special[1] effects[0] with[0] its[0] clever[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although " tomorrow never dies " is far from perfect , it is quite an impressive film in terms of its ability to be so cliche and cartoony and not make plausibility an issue . 	although " tomorrow never dies " is far from perfect , it is quite an impressive film in terms of its ability to be so cliche and cartoony and not make plausibility an issue .	2	-1	 although[0] tomorrow[0] never[0] dies[0] is[0] far[0] from[0] perfect[1] it[0] is[0] quite[0] an[0] impressive[1] film[0] in[0] terms[0] of[0] its[0] ability[0] to[0] be[0] so[0] cliche[0] and[0] cartoony[0] and[0] not[0] make[0] plausibility[0] an[0] issue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
