trekkies , roger nygard's energetic and hilarious documentary , brings viewers into the world of the star trek conventions . 	Translation	Positive	Negative	EmotionRationale
arguably the most famous of all the trekkies , she wears her uniform every waking hour as many die-hard fans do . 	arguably the most famous of all the trekies , she wears her uniform every waking hour as many die-hard fans do .	1	-2	 arguably[-1] the[0] most[0] famous[0] of[0] all[0] the[0] trekkies/trekies[0] she[0] wears[0] her[0] uniform[0] every[0] waking[0] hour[0] as[0] many[0] die[0] hard[0] fans[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her claim to fame is that , as a juror on the whitewater trial , she wore it in court as well . 	her claim to fame is that , as a juror on the whitewater trial , she wore it in court as well .	1	-1	 her[0] claim[0] to[0] fame[0] is[0] that[0] as[0] a[0] juror[0] on[0] the[0] whitewater[0] trial[0] she[0] wore[0] it[0] in[0] court[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " every day i would walk past the reporters with a vulcan-like stoicism , " she says , describing her way of dealing with the crowd of reporters who became obsessed with her obsession . 	 " every day i would walk past the reporters with a vulcan-like stoicism , " she says , describing her way of dealing with the crowd of reporters who became obsessed with her obsession .	2	-3	 every[0] day[0] i[0] would[0] walk[0] past[0] the[0] reporters[0] with[0] a[0] vulcan[0] like[1] stoicism[0] she[0] says[0] describing[0] her[0] way[0] of[0] dealing[0] with[0] the[0] crowd[0] of[0] reporters[0] who[0] became[0] obsessed[-2] with[0] her[0] obsession[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she doesn't quite understand all of the uproar . 	she doesn't quite understand all of the uproar .	1	-2	 she[0] doesn't[0] quite[0] understand[0] all[0] of[0] the[0] uproar[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " i'm an officer of the federation 24 hours a day , " she reminds us . 	 " i'm an officer of the federation 24 hours a day , " she reminds us .	1	-1	 i'm[0] an[0] officer[0] of[0] the[0] federation[0] 24[0] hours[0] a[0] day[0] she[0] reminds[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her fealty to her hobby approaches that of a religious faith . 	her fealty to her hobby approaches that of a religious faith .	2	-1	 her[0] fealty[0] to[0] her[0] hobby[0] approaches[0] that[0] of[0] a[0] religious[0] faith[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along with the laugher the show evokes , there is an equal measure of sincere appreciation for people with such loyalty . 	along with the laugher the show evokes , there is an equal measure of sincere appreciation for people with such loyalty .	2	-1	 along[0] with[0] the[0] laugher[1] the[0] show[0] evokes[0] there[0] is[0] an[0] equal[0] measure[0] of[0] sincere[0] appreciation[1] for[0] people[0] with[0] such[0] loyalty[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and their infectious joy provokes a certain envy of their enjoyment . 	and their infectious joy provokes a certain envy of their enjoyment .	3	-3	 and[0] their[0] infectious[-1] joy[2] provokes[0] a[0] certain[0] envy[-2] of[0] their[0] enjoyment[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
few other avocations could give this much satisfaction . 	few other avocations could give this much satisfaction .	2	-1	 few[0] other[0] avocations[0] could[0] give[0] this[0] much[0] satisfaction[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these people are having the time of their lives . 	these people are having the time of their lives .	1	-1	 these[0] people[0] are[0] having[0] the[0] time[0] of[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( for the record , i'm not a star trek fan although i have seen some of the movies . ) 	 ( for the record , i'm not a star trek fan although i have seen some of the movies .<br> )	1	-1	 for[0] the[0] record[0] i'm[0] not[0] a[0] star[0] trek[0] fan[0] although[0] i[0] have[0] seen[0] some[0] of[0] the[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film interviews the various star trek series's stars as well as its fans . 	the film interviews the various star trek series's stars as well as its fans .	1	-1	 the[0] film[0] interviews[0] the[0] various[0] star[0] trek[0] series's[0] stars[0] as[0] well[0] as[0] its[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stars had thought the convention idea was a lark and would soon fade , but over twenty years later , the conventions are still going strong . 	the stars had thought the convention idea was a lark and would soon fade , but over twenty years later , the conventions are still going strong .	1	-1	 the[0] stars[0] had[0] thought[0] the[0] convention[0] idea[0] was[0] a[0] lark[0] and[0] would[0] soon[0] fade[0] but[0] over[0] twenty[0] years[0] later[0] the[0] conventions[0] are[0] still[0] going[0] strong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
filled with anecdotes , the show talks about the happenings at the various conventions . 	filled with anecdotes , the show talks about the happenings at the various conventions .	1	-1	 filled[0] with[0] anecdotes[0] the[0] show[0] talks[0] about[0] the[0] happenings[0] at[0] the[0] various[0] conventions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one , the actor who plays q was so sick that he thought he would have to cancel . 	at one , the actor who plays q was so sick that he thought he would have to cancel .	2	-2	 at[0] one[0] the[0] actor[0] who[0] plays[1] q[0] was[0] so[0] sick[-1] that[0] he[0] thought[0] he[0] would[0] have[0] to[0] cancel[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after appearing briefly , he drank some water and left . 	after appearing briefly , he drank some water and left .	1	-1	 after[0] appearing[0] briefly[0] he[0] drank[0] some[0] water[0] and[0] left[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they decided to auction off his half-empty glass , joking that it had the " q virus . " 	they decided to auction off his half-empty glass , joking that it had the " q virus .<br> "	3	-1	 they[0] decided[0] to[0] auction[0] off[0] his[0] half[0] empty[0] glass[0] joking[2] that[0] it[0] had[0] the[0] q[0] virus[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the guy who won the bidding immediately drank the water and screamed to the crowd that he now had the q virus too . 	the guy who won the bidding immediately drank the water and screamed to the crowd that he now had the q virus too .	1	-4	 the[0] guy[0] who[0] won[0] the[0] bidding[0] immediately[0] drank[0] the[0] water[0] and[0] screamed[-3] to[0] the[0] crowd[0] that[0] he[0] now[0] had[0] the[0] q[0] virus[0] too[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with dedication comes a certain amount of stupidity . 	with dedication comes a certain amount of stupidity .	1	-2	 with[0] dedication[0] comes[0] a[0] certain[0] amount[0] of[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not just flitting among people , the documentary takes the time to let you get to know the trekkies . 	not just flitting among people , the documentary takes the time to let you get to know the trekies .	1	-1	 not[0] just[0] flitting[0] among[0] people[0] the[0] documentary[0] takes[0] the[0] time[0] to[0] let[0] you[0] get[0] to[0] know[0] the[0] trekkies/trekies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one guy is a trekkie cross-dresser , another dresses her cat , and then there is the dentist . 	one guy is a trekie cross-dresser , another dresses her cat , and then there is the dentist .	1	-2	 one[0] guy[0] is[0] a[0] trekkie/trekie[0] cross[-1] dresser[0] another[0] dresses[0] her[0] cat[0] and[0] then[0] there[0] is[0] the[0] dentist[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dentist has his entire office made up to look like a star trek set . 	the dentist has his entire office made up to look like a star trek set .	2	-2	 the[0] dentist[-1] has[0] his[0] entire[0] office[0] made[0] up[0] to[0] look[0] like[1] a[0] star[0] trek[0] set[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he , his oral hygienists , his receptionist , his wife , and his kids wear the outfits all of the time . 	he , his oral hygienists , his receptionist , his wife , and his kids wear the outfits all of the time .	1	-1	 he[0] his[0] oral[0] hygienists[0] his[0] receptionist[0] his[0] wife[0] and[0] his[0] kids[0] wear[0] the[0] outfits[0] all[0] of[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it appears that his workers are permitted to take them off when they go home , but not his family . 	it appears that his workers are permitted to take them off when they go home , but not his family .	1	-1	 it[0] appears[0] that[0] his[0] workers[0] are[0] permitted[0] to[0] take[0] them[0] off[0] when[0] they[0] go[0] home[0] but[0] not[0] his[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for variety , he and his family do change characters from time to time . 	for variety , he and his family do change characters from time to time .	1	-1	 for[0] variety[0] he[0] and[0] his[0] family[0] do[0] change[0] characters[0] from[0] time[0] to[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he says his patients like it . 	he says his patients like it .	2	-1	 he[0] says[0] his[0] patients[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , there was this one complainer , but he had a problem with his bill anyway . 	well , there was this one complainer , but he had a problem with his bill anyway .	1	-2	 well[0] there[0] was[0] this[0] one[0] complainer[-1] but[0] he[0] had[0] a[0] problem[-1] with[0] his[0] bill[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are summer schools for klingon with ph . d . linguists to teach the language . 	there are summer schools for klingon with ph .<br> d .<br> linguists to teach the language .	1	-1	 there[0] are[0] summer[0] schools[0] for[0] klingon[0] with[0] ph[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] linguists[0] to[0] teach[0] the[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hamlet is now available in klingon , albeit perhaps not at your local bookstore , and they are working on translating the bible . 	hamlet is now available in klingon , albeit perhaps not at your local bookstore , and they are working on translating the bible .	1	-1	 hamlet[0] is[0] now[0] available[0] in[0] klingon[0] albeit[0] perhaps[0] not[0] at[0] your[0] local[0] bookstore[0] and[0] they[0] are[0] working[0] on[0] translating[0] the[0] bible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they even sell united federation passports that are real enough that trekkies have used them to fool customs , even u . s . customs . 	they even sell united federation passports that are real enough that trekies have used them to fool customs , even you .<br> s .<br> customs .	1	-2	 they[0] even[0] sell[0] united[0] federation[0] passports[0] that[0] are[0] real[0] enough[0] that[0] trekkies/trekies[0] have[0] used[0] them[0] to[0] fool[-1] customs[0] even[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] customs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie bogs down only briefly when it tries to argue the series's larger meaning about diversity and humanitarian concerns . 	the movie bogs down only briefly when it tries to argue the series's larger meaning about diversity and humanitarian concerns .	1	-2	 the[0] movie[0] bogs[0] down[0] only[0] briefly[0] when[0] it[0] tries[0] to[0] argue[-1] the[0] series's[0] larger[0] meaning[0] about[0] diversity[0] and[0] humanitarian[0] concerns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sandwiched in-between the levity , the switch in tone doesn't work . 	sandwiched in-between the levity , the switch in tone doesn't work .	1	-1	 sandwiched[0] in[0] between[0] the[0] levity[0] the[0] switch[0] in[0] tone[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the incessantly up-beat film ends with a singing elvis impersonator . 	the incessantly up-beat film ends with a singing elvis impersonator .	1	-1	 the[0] incessantly[0] up[0] beat[0] film[0] ends[0] with[0] a[0] singing[0] elvis[0] impersonator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he fits right in . 	he fits right in .	1	-1	 he[0] fits[0] right[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trekkies runs a breezy 1 : 26 . 	trekies runs a breezy 1 : 26 .	1	-1	 trekkies/trekies[0] runs[0] a[0] breezy[0] 1[0] 26[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not rated but would be pg for brief sexual references and would be fine for all ages . 	it is not rated but would be pg for brief sexual references and would be fine for all ages .	3	-1	 it[0] is[0] not[0] rated[0] but[0] would[0] be[0] pg[0] for[0] brief[0] sexual[0] references[0] and[0] would[0] be[0] fine[2] for[0] all[0] ages[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
