david mamet has long been my favorite screenwriter and director . 	Translation	Positive	Negative	EmotionRationale
it all seems fairly frivolous , and no matter how you look at it , the winslow case is not the trial of the century . 	it all seems fairly frivolous , and no matter how you look at it , the winslow case is not the trial of the century .	1	-2	 it[0] all[0] seems[0] fairly[0] frivolous[-1] and[0] no[0] matter[0] how[0] you[0] look[0] at[0] it[0] the[0] winslow[0] case[0] is[0] not[0] the[0] trial[0] of[0] the[0] century[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but arthur is determined to keep his family's word clean and he is willing to go quite far to make sure of that . 	but arthur is determined to keep his family's word clean and he is willing to go quite far to make sure of that .	1	-1	 but[0] arthur[0] is[0] determined[0] to[0] keep[0] his[0] family's[0] word[0] clean[0] and[0] he[0] is[0] willing[0] to[0] go[0] quite[0] far[0] to[0] make[0] sure[0] of[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon enough , sir robert morton along with the rest of the country becomes equally wrapped up in the proceedings . 	soon enough , sir robert morton along with the rest of the country becomes equally wrapped up in the proceedings .	1	-1	 soon[0] enough[0] sir[0] robert[0] morton[0] along[0] with[0] the[0] rest[0] of[0] the[0] country[0] becomes[0] equally[0] wrapped[0] up[0] in[0] the[0] proceedings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so do we . 	so do we .	1	-1	 so[0] do[0] we[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all david mamet does for the script is tighten and hone the dialogue , but his style is still fairly apparent . 	all david mamet does for the script is tighten and hone the dialogue , but his style is still fairly apparent .	1	-1	 all[0] david[0] mamet[0] does[0] for[0] the[0] script[0] is[0] tighten[0] and[0] hone[0] the[0] dialogue[0] but[0] his[0] style[0] is[0] still[0] fairly[0] apparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters still talk in his trademark staccatto lines and there is still tension present in conversations that no ordinary writer would be able to make tense . 	the characters still talk in his trademark staccato lines and there is still tension present in conversations that no ordinary writer would be able to make tense .	1	-3	 the[0] characters[0] still[0] talk[0] in[0] his[0] trademark[0] staccatto/staccato[0] lines[0] and[0] there[0] is[0] still[0] tension[-2] present[0] in[0] conversations[0] that[0] no[0] ordinary[0] writer[0] would[0] be[0] able[0] to[0] make[0] tense[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but this is not mamet's norm , and it's refreshing to see mamet deviate from his world of crooks , gangsters as con men , wonderful as those films were . 	but this is not mamet's norm , and it's refreshing to see mamet deviate from his world of crooks , gangsters as con men , wonderful as those films were .	3	-2	 but[0] this[0] is[0] not[0] mamet's[0] norm[0] and[0] it's[0] refreshing[0] to[0] see[0] mamet[0] deviate[-1] from[0] his[0] world[0] of[0] crooks[0] gangsters[0] as[0] con[0] men[0] wonderful[2] as[0] those[0] films[0] were[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nigel hawthorne's performance is nearly flawless . 	nigel hawthorne's performance is nearly flawless .	2	-1	 nigel[0] hawthorne's[0] performance[0] is[0] nearly[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his delivery is that of a dignified yet not pompous man who seems to be getting beaten at his own game . 	his delivery is that of a dignified yet not pompous man who seems to be getting beaten at his own game .	2	-1	 his[0] delivery[0] is[0] that[0] of[0] a[0] dignified[1] yet[0] not[0] pompous[-1][NegatedDueToPreviousWord] man[0] who[0] seems[0] to[0] be[0] getting[0] beaten[0] at[0] his[0] own[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we pity the man , but we also like him . 	we pity the man , but we also like him .	2	-2	 we[0] pity[-1] the[0] man[0] but[0] we[0] also[0] like[1] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rebecca pidgeon , david mamet's wife , who gave a fairly awful performance in the spanish prisoner is at the top of her game here as arthur's oldest daughter , a flailing feminist who gives her all to the winslow case as a way for making up for her lack of success in the women's suffrage movement . 	rebecca pidgeon , david mamet's wife , who gave a fairly awful performance in the spanish prisoner is at the top of her game here as arthur's oldest daughter , a flailing feminist who gives her all to the winslow case as a way for making up for her lack of success in the women's suffrage movement .	3	-4	 rebecca[0] pidgeon[0] david[0] mamet's[0] wife[0] who[0] gave[0] a[0] fairly[0] awful[-3] performance[0] in[0] the[0] spanish[0] prisoner[-1] is[0] at[0] the[0] top[0] of[0] her[0] game[0] here[0] as[0] arthur's[0] oldest[0] daughter[0] a[0] flailing[0] feminist[0] who[0] gives[0] her[0] all[0] to[0] the[0] winslow[0] case[0] as[0] a[0] way[0] for[0] making[0] up[0] for[0] her[0] lack[-1] of[0] success[2] in[0] the[0] women's[0] suffrage[0] movement[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the winslow boy is a wonderful movie that avoids cliches such as a seemingly inevitable courtroom scene and shoots higher -- it wants to make a real impact rather than a phony one . 	the winslow boy is a wonderful movie that avoids cliches such as a seemingly inevitable courtroom scene and shoots higher - it wants to make a real impact rather than a phony one .	3	-2	 the[0] winslow[0] boy[0] is[0] a[0] wonderful[2] movie[0] that[0] avoids[-1] cliches[0] such[0] as[0] a[0] seemingly[0] inevitable[0] courtroom[0] scene[0] and[0] shoots[-1] higher[0] it[0] wants[0] to[0] make[0] a[0] real[0] impact[0] rather[0] than[0] a[0] phony[0] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
be honest : did you feel anything profound at or after the courtroom scenes in films like a time to kill ? 	be honest : did you feel anything profound at or after the courtroom scenes in films like a time to kill ?	2	-2	 be[0] honest[0] did[0] you[0] feel[0] anything[0] profound[0] at[0] or[0] after[0] the[0] courtroom[0] scenes[0] in[0] films[0] like[1] a[0] time[0] to[0] kill[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you wanted to but didn't , this is a movie for you . 	if you wanted to but didn't , this is a movie for you .	1	-1	 if[0] you[0] wanted[0] to[0] but[0] didn't[0] this[0] is[0] a[0] movie[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the epitome of subtlety : it's powerful without being too emotional , sad without even trying to be depressing . 	it is the epitome of subtlety : it's powerful without being too emotional , sad without even trying to be depressing .	1	-4	 it[0] is[0] the[0] epitome[0] of[0] subtlety[0] it's[0] powerful[0] without[0] being[0] too[0] emotional[-1] sad[-3] without[0] even[0] trying[0] to[0] be[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
david mamet can churn out some great scripts , but in this movie he proves to those who ever doubted it once and for all that he is a hell of a director too . 	david mamet can churn out some great scripts , but in this movie he proves to those who ever doubted it once and for all that he is a hell of a director too .	2	-2	 david[0] mamet[0] can[0] churn[0] out[0] some[0] great[2][-1 LastWordBoosterStrength] scripts[0] but[0] in[0] this[0] movie[0] he[0] proves[0] to[0] those[0] who[0] ever[0] doubted[-1] it[0] once[0] and[0] for[0] all[0] that[0] he[0] is[0] a[0] hell[-1] of[0] a[0] director[0] too[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is almost a national treasure . 	he is almost a national treasure .	2	-1	 he[0] is[0] almost[0] a[0] national[0] treasure[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his films deserve their own genre . 	his films deserve their own genre .	1	-1	 his[0] films[0] deserve[0] their[0] own[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
