what if one of our cities became the target for terror ? 	Translation	Positive	Negative	EmotionRationale
hostages are taken at a school . 	hostages are taken at a school .	1	-1	 hostages[0] are[0] taken[0] at[0] a[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the wave of terrorist activity crests , the president must consider if the only way to save the city and break the grip of fear is to declare martial law . 	as the wave of terrorist activity crests , the president must consider if the only way to save the city and break the grip of fear is to declare martial law .	2	-4	 as[0] the[0] wave[0] of[0] terrorist[-2] activity[0] crests[0] the[0] president[0] must[0] consider[0] if[0] the[0] only[0] way[0] to[0] save[1] the[0] city[0] and[0] break[0] the[0] grip[0] of[0] fear[-3] is[0] to[0] declare[0] martial[0] law[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
devereaux argues against that eventuality , but is nevertheless ready to lead 10 , 000 men into action on american soil . 	devereaux argues against that eventuality , but is nevertheless ready to lead 10 , 00 men into action on american soil .	1	-2	 devereaux[0] argues[-1] against[-1] that[0] eventuality[0] but[0] is[0] nevertheless[0] ready[0] to[0] lead[0] 10[0] 000/00[0] men[0] into[0] action[0] on[0] american[0] soil[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another person not in favor of martial law is anthony hubbard ( denzel washington ) , the fbi agent in charge of investigating the terrorist activities . 	another person not in favor of martial law is anthony hubbard ( denzel washington ) , the fbi agent in charge of investigating the terrorist activities .	1	-3	 another[0] person[0] not[0] in[0] favor[1][NegatedDueToPreviousWord] of[0] martial[0] law[0] is[0] anthony[0] hubbard[0] denzel[0] washington[0] the[0] fbi[0] agent[0] in[0] charge[-1] of[0] investigating[0] the[0] terrorist[-2] activities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his staff is comprised of smart , energetic , intelligent men and women very much unlike the usual group o ! 	his staff is comprised of smart , energetic , intelligent men and women very much unlike the usual group o !	2	-1	 his[0] staff[0] is[0] comprised[0] of[0] smart[1] energetic[0] intelligent[1] men[0] and[0] women[0] very[0] much[0] unlike[0] the[0] usual[0] group[0] o[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
f moronic feds we're used to seeing in movies . 	f moronic feds we're used to seeing in movies .	1	-3	 f[0] moronic[-2] feds[0] we're[0] used[0] to[0] seeing[0] in[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hubbard develops an uneasy alliance with cia agent elise kraft ( annette bening ) , whose department knows more about the situation than they're willing to reveal . 	hubbard develops an uneasy alliance with cia agent elise kraft ( annette bening ) , whose department knows more about the situation than they're willing to reveal .	1	-2	 hubbard[0] develops[0] an[0] uneasy[-1] alliance[0] with[0] cia[0] agent[0] elise[0] kraft[0] annette[0] bening[0] whose[0] department[0] knows[0] more[0] about[0] the[0] situation[0] than[0] they're[0] willing[0] to[0] reveal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the attacks escalate . 	but the attacks escalate .	1	-3	 but[0] the[0] attacks[-2] escalate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fbi are helpless , chasing an invisible enemy . 	the fbi are helpless , chasing an invisible enemy .	1	-2	 the[0] fbi[0] are[0] helpless[-1] chasing[0] an[0] invisible[-1] enemy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the land is under siege . 	the land is under siege .	1	-2	 the[0] land[0] is[0] under[0] siege[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have lost control . . a 	they have lost control .<br> .<br> a	1	-1	 they[0] have[0] lost[0] control[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
terror is coming from within . . 	terror is coming from within .<br> .	1	-2	 terror[-1] is[0] coming[0] from[0] within[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's great about this film is that it is made as if holding up a mirror to life . 	what's great about this film is that it is made as if holding up a mirror to life .	3	-1	 what's[0] great[2] about[0] this[0] film[0] is[0] that[0] it[0] is[0] made[0] as[0] if[0] holding[0] up[0] a[0] mirror[0] to[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it reflects reality . 	it reflects reality .	1	-1	 it[0] reflects[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that's why it makes such an impact . 	and that's why it makes such an impact .	1	-1	 and[0] that's[0] why[0] it[0] makes[0] such[0] an[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edward zwick has created a clever , well written and terrifying thriller that may very well be one of the best films of the season . 	edward zwick has created a clever , well written and terrifying thriller that may very well be one of the best films of the season .	2	-4	 edward[0] zwick[0] has[0] created[0] a[0] clever[0] well[0] written[0] and[0] terrifying[-3] thriller[1] that[0] may[0] very[0] well[0] be[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] season[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the director manages to tell several stories simultaneously . 	the director manages to tell several stories simultaneously .	1	-1	 the[0] director[0] manages[0] to[0] tell[0] several[0] stories[0] simultaneously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so his film plays on several levels , never loosing focus on its main objective . 	and so his film plays on several levels , never loosing focus on its main objective .	2	-1	 and[0] so[0] his[0] film[0] plays[1] on[0] several[0] levels[0] never[0] loosing[0] focus[0] on[0] its[0] main[0] objective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is exploring the abuse of power , the distrustful relationships that exist between various segments of the u . s . government ( the army , the fbi , and the cia ) . 	he is exploring the abuse of power , the distrustful relationships that exist between various segments of the you .<br> s .<br> government ( the army , the fbi , and the cia ) .	1	-4	 he[0] is[0] exploring[0] the[0] abuse[-3] of[0] power[0] the[0] distrustful[-1] relationships[0] that[0] exist[0] between[0] various[0] segments[0] of[0] the[0] u[0] [[Sentence=-4,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] the[0] army[0] the[0] fbi[0] and[0] the[0] cia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
he takes a look at the complexities inherent when so many secrets and lies are involved . 	he takes a look at the complexities inherent when so many secrets and lies are involved .	1	-3	 he[0] takes[0] a[0] look[0] at[0] the[0] complexities[0] inherent[0] when[0] so[0] many[0] secrets[0] and[0] lies[-2] are[0] involved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the palestinian community in 1998 new york is treated exactly as japanese americans were during world war ii . 	the palestinian community in 1998 new york is treated exactly as japanese americans were during world war i .	1	-3	 the[0] palestinian[0] community[0] in[0] 1998[0] new[0] york[0] is[0] treated[0] exactly[0] as[0] japanese[0] americans[0] were[0] during[0] world[0] war[-2] ii/i[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are concentration camps and unlawful interments , all in the name of the " greater good . " 	there are concentration camps and unlawful interments , all in the name of the " greater good .<br> "	3	-2	 there[0] are[0] concentration[0] camps[0] and[0] unlawful[-1] interments[0] all[0] in[0] the[0] name[0] of[0] the[0] greater[2] good[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the latter part of the film the land of opportunities looses its heart and soul -- freedom . 	in the latter part of the film the land of opportunities looses its heart and soul - freedom .	1	-1	 in[0] the[0] latter[0] part[0] of[0] the[0] film[0] the[0] land[0] of[0] opportunities[0] looses[0] its[0] heart[0] and[0] soul[0] freedom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was that what the terror ! 	was that what the terror !	1	-2	 was[0] that[0] what[0] the[0] terror[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ists really wanted ? 	ists really wanted ?	1	-1	 ists[0] really[0] wanted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film has evoked protests and objections from the arab-american population in the u . s . and n . y . especially . 	this film has evoked protests and objections from the arab-american population in the you .<br> s .<br> and n .<br> y .<br> especially .	1	-2	 this[0] film[0] has[0] evoked[0] protests[-1] and[0] objections[-1] from[0] the[0] arab[0] american[0] population[0] in[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] and[0] n[0] [[Sentence=-1,1=word max, 1-5]] y[0] [[Sentence=-1,1=word max, 1-5]] especially[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
but to me these protests seem unnecessary . 	but to me these protests seem unnecessary .	1	-2	 but[0] to[0] me[0] these[0] protests[-1] seem[0] unnecessary[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
zwick is careful to not step over the line and make the palestinians typical hollywood bad guys . 	zwick is careful to not step over the line and make the palestinians typical hollywood bad guys .	1	-2	 zwick[0] is[0] careful[0] to[0] not[0] step[0] over[0] the[0] line[0] and[0] make[0] the[0] palestinians[0] typical[0] hollywood[0] bad[-1] guys[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script is therefore wonderfully balanced . 	the script is therefore wonderfully balanced .	3	-1	 the[0] script[0] is[0] therefore[0] wonderfully[2] balanced[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
agent hubbard's best friend and loyal colleague frank haddad ( tony shalhoub ) is lebanese-american . 	agent hubbard's best friend and loyal colleague frank haddad ( tony shalhoub ) is lebanese-american .	2	-1	 agent[0] hubbard's[0] best[1] friend[1] and[0] loyal[1] colleague[0] frank[0] haddad[0] tony[0] shalhoub[0] is[0] lebanese[0] american[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and it is quite often you hear lines such as " my first boyfriend was palestinian . 	and it is quite often you hear lines such as " my first boyfriend was palestinian .	1	-1	 and[0] it[0] is[0] quite[0] often[0] you[0] hear[0] lines[0] such[0] as[0] my[0] first[0] boyfriend[0] was[0] palestinian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they seduce you with their suffering " or " they love this country as much as we do . " 	they seduce you with their suffering " or " they love this country as much as we do .<br> "	3	-4	 they[0] seduce[0] you[0] with[0] their[0] suffering[-3] or[0] they[0] love[2] this[0] country[0] as[0] much[0] as[0] we[0] do[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but no matter how you twist this matter , you won't get away from the fact that when it comes to world wide terrorism it is arab-speaking population who are in the great majority . 	but no matter how you twist this matter , you won't get away from the fact that when it comes to world wide terrorism it is arab-speaking population who are in the great majority .	3	-3	 but[0] no[0] matter[0] how[0] you[0] twist[0] this[0] matter[0] you[0] won't[0] get[0] away[0] from[0] the[0] fact[0] that[0] when[0] it[0] comes[0] to[0] world[0] wide[0] terrorism[-2] it[0] is[0] arab[0] speaking[0] population[0] who[0] are[0] in[0] the[0] great[2] majority[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
more to the point , the siege demonstrates the injustice of blanket condemnation of any ethnic group by depicting the unfair treatment of all arab-americans by the u . s . military . 	more to the point , the siege demonstrates the injustice of blanket condemnation of any ethnic group by depicting the unfair treatment of all arab-americans by the you .<br> s .<br> military .	1	-2	 more[0] to[0] the[0] point[0] the[0] siege[-1] demonstrates[0] the[0] injustice[0] of[0] blanket[0] condemnation[-1] of[0] any[0] ethnic[0] group[0] by[0] depicting[0] the[0] unfair[-1] treatment[0] of[0] all[0] arab[0] americans[0] by[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] military[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
and thus this film does not serve as a source for discrimination in any ! 	and thus this film does not serve as a source for discrimination in any !	1	-3	 and[0] thus[0] this[0] film[0] does[0] not[0] serve[0] as[0] a[0] source[-1] for[0] discrimination[-2] in[0] any[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
way . 	way .	1	-1	 way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
denzel washington is dashing as always . 	denzel washington is dashing as always .	1	-1	 denzel[0] washington[0] is[0] dashing[0] as[0] always[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this role he is much more determined and stronger than usual . 	in this role he is much more determined and stronger than usual .	1	-1	 in[0] this[0] role[0] he[0] is[0] much[0] more[0] determined[0] and[0] stronger[0] than[0] usual[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anette bening is enjoyable and believable as a shadowy cia operative who prefers espionage , a network of snitches and seduction to gather information . . 	anette bening is enjoyable and believable as a shadowy cia operative who prefers espionage , a network of snitches and seduction to gather information .<br> .	3	-1	 anette[0] bening[0] is[0] enjoyable[2] and[0] believable[0] as[0] a[0] shadowy[0] cia[0] operative[0] who[0] prefers[0] espionage[0] a[0] network[0] of[0] snitches[0] and[0] seduction[0] to[0] gather[0] information[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bruce willis is terrifying as the sadist , hungry for power , that never looses his connection with the audience , since his point of view is not too hard to understand . 	bruce willis is terrifying as the sadist , hungry for power , that never looses his connection with the audience , since his point of view is not too hard to understand .	1	-4	 bruce[0] willis[0] is[0] terrifying[-3] as[0] the[0] sadist[0] hungry[-1] for[0] power[0] that[0] never[0] looses[0] his[0] connection[0] with[0] the[0] audience[0] since[0] his[0] point[0] of[0] view[0] is[0] not[0] too[0] hard[0] to[0] understand[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film is elegantly shaped . 	the film is elegantly shaped .	2	-1	 the[0] film[0] is[0] elegantly[1] shaped[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scenes are easily floating into each other and the film never seems overlong . 	the scenes are easily floating into each other and the film never seems overlong .	1	-1	 the[0] scenes[0] are[0] easily[0] floating[0] into[0] each[0] other[0] and[0] the[0] film[0] never[0] seems[0] overlong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
zwick knows exactly how to provoke tension , horror and emotions and does it with a rarely observed professionalism . 	zwick knows exactly how to provoke tension , horror and emotions and does it with a rarely observed professionalism .	1	-5	 zwick[0] knows[0] exactly[0] how[0] to[0] provoke[-1] tension[-2] horror[-3][-1 MultiplePositiveWords] and[0] emotions[0] and[0] does[0] it[0] with[0] a[0] rarely[0] observed[0] professionalism[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
he tightens the intensity as the events progress . 	he tightens the intensity as the events progress .	1	-1	 he[0] tightens[0] the[0] intensity[0] as[0] the[0] events[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when a plot twist comes , it actually is surprising . 	and when a plot twist comes , it actually is surprising .	1	-1	 and[0] when[0] a[0] plot[0] twist[0] comes[0] it[0] actually[0] is[0] surprising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not a film drained in patriotism , like the work of roland emerich . 	it is not a film drained in patriotism , like the work of roland emerich .	2	-1	 it[0] is[0] not[0] a[0] film[0] drained[0] in[0] patriotism[0] like[1] the[0] work[0] of[0] roland[0] emerich[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nor is it a film that portrays explosions purely for entertainment values . 	nor is it a film that portrays explosions purely for entertainment values .	2	-2	 nor[0] is[0] it[0] a[0] film[0] that[0] portrays[0] explosions[-1] purely[0] for[0] entertainment[0] values[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is a daring picture that has courage enough to undertake such a risky story and difficult journey . 	it is a daring picture that has courage enough to undertake such a risky story and difficult journey .	2	-2	 it[0] is[0] a[0] daring[0] picture[0] that[0] has[0] courage[1] enough[0] to[0] undertake[0] such[0] a[0] risky[-1] story[0] and[0] difficult[-1] journey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it has courage enough to get involved in politics . 	it has courage enough to get involved in politics .	2	-1	 it[0] has[0] courage[1] enough[0] to[0] get[0] involved[0] in[0] politics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it questions our foreign policies , mentality and defense . 	it questions our foreign policies , mentality and defense .	1	-2	 it[0] questions[0] our[0] foreign[-1] policies[0] mentality[0] and[0] defense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i must admit that it ends rather disappointing , as the director turns the patriotism way up and innovation down . 	i must admit that it ends rather disappointing , as the director turns the patriotism way up and innovation down .	1	-2	 i[0] must[0] admit[0] that[0] it[0] ends[0] rather[0] disappointing[-1] as[0] the[0] director[0] turns[0] the[0] patriotism[0] way[0] up[0] and[0] innovation[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but despite of that , it is certainly an intelligent and thrilling film that provokes emotions and thoughts ; a virtue that few summer films can boast of . 	but despite of that , it is certainly an intelligent and thrilling film that provokes emotions and thoughts ; a virtue that few summer films can boast of .	4	-2	 but[0] despite[0] of[0] that[0] it[0] is[0] certainly[0] an[0] intelligent[1] and[0] thrilling[3] film[0] that[0] provokes[0] emotions[0] and[0] thoughts[0] a[0] virtue[2] that[0] few[0] summer[0] films[0] can[0] boast[-1] of[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 " this is the u . s . army . 	 " this is the you .<br> s .<br> army .	1	-1	 this[0] is[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] army[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a broadsword , not a scalpel . 	it's a broadsword , not a scalpel .	1	-1	 it's[0] a[0] broadsword[0] not[0] a[0] scalpel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
believe me , you do not want us in an american city " - gen . william devereaux , " the siege " 	believe me , you do not want us in an american city " - gen .<br> william devereaux , " the siege "	1	-2	 believe[0] me[0] you[0] do[0] not[0] want[0] us[0] in[0] an[0] american[0] city[0] gen[0] [[Sentence=-1,1=word max, 1-5]] william[0] devereaux[0] the[0] siege[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
