let me first say that the conditions that i was forced to watch the matrix under were less than ideal . 	Translation	Positive	Negative	EmotionRationale
my guess on the sound seems like a fairly solid one considering the visual quality of the matrix . 	my guess on the sound seems like a fairly solid one considering the visual quality of the matrix .	2	-1	 my[0] guess[0] on[0] the[0] sound[0] seems[0] like[1] a[0] fairly[0] solid[0] one[0] considering[0] the[0] visual[0] quality[0] of[0] the[0] matrix[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is nothing short of stunning visually . 	it is nothing short of stunning visually .	1	-1	 it[0] is[0] nothing[0] short[0] of[0] stunning[0] visually[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , the rest of the film , while pretty good , doesn't quite measure up to the obvious effort that was expended on making this film look so darn good . 	sadly , the rest of the film , while pretty good , doesn't quite measure up to the obvious effort that was expended on making this film look so darn good .	3	-2	 sadly[-1] the[0] rest[0] of[0] the[0] film[0] while[0] pretty[2] good[1] doesn't[0] quite[0] measure[0] up[0] to[0] the[0] obvious[0] effort[0] that[0] was[0] expended[0] on[0] making[0] this[0] film[0] look[0] so[0] darn[-1] good[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the matrix has at it's core a good concept , although it strays into the confusing side more often than i would have liked . 	the matrix has at it's core a good concept , although it strays into the confusing side more often than i would have liked .	3	-2	 the[0] matrix[0] has[0] at[0] it's[0] core[0] a[0] good[1] concept[0] although[0] it[0] strays[0] into[0] the[0] confusing[-1] side[0] more[0] often[0] than[0] i[0] would[0] have[0] liked[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
keanu reeves plays a computer hacker who is drawn into the frightening realization that reality is just a hoax . 	keanu reeves plays a computer hacker who is drawn into the frightening realization that reality is just a hoax .	2	-4	 keanu[0] reeves[0] plays[1] a[0] computer[0] hacker[0] who[0] is[0] drawn[0] into[0] the[0] frightening[-3] realization[0] that[0] reality[0] is[0] just[0] a[0] hoax[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it turns out that that many years ago the world was devastated by some sort of disaster . 	it turns out that that many years ago the world was devastated by some sort of disaster .	1	-5	 it[0] turns[0] out[0] that[0] that[0] many[0] years[0] ago[0] the[0] world[0] was[0] devastated[-4] by[0] some[0] sort[0] of[0] disaster[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
now machines run the planet and humans spend their lives in a sort of incubator , plugged into a computer network . 	now machines run the planet and humans spend their lives in a sort of incubator , plugged into a computer network .	1	-1	 now[0] machines[0] run[0] the[0] planet[0] and[0] humans[0] spend[0] their[0] lives[0] in[0] a[0] sort[0] of[0] incubator[0] plugged[0] into[0] a[0] computer[0] network[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the computers are generating a virtual reality world which is a representation of the earth before it was destroyed . 	the computers are generating a virtual reality world which is a representation of the earth before it was destroyed .	1	-3	 the[0] computers[0] are[0] generating[0] a[0] virtual[0] reality[0] world[0] which[0] is[0] a[0] representation[0] of[0] the[0] earth[0] before[0] it[0] was[0] destroyed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the population of the planet never realizes that their entire life is a hoax and that they really spend their entire lives as comatose . 	the population of the planet never realizes that their entire life is a hoax and that they really spend their entire lives as comatose .	1	-1	 the[0] population[0] of[0] the[0] planet[0] never[0] realizes[0] that[0] their[0] entire[0] life[0] is[0] a[0] hoax[0] and[0] that[0] they[0] really[0] spend[0] their[0] entire[0] lives[0] as[0] comatose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is except a small band who have discovered this horrible secret and have escaped their virtual prisons . 	that is except a small band who have discovered this horrible secret and have escaped their virtual prisons .	1	-4	 that[0] is[0] except[0] a[0] small[0] band[0] who[0] have[0] discovered[0] this[0] horrible[-3] secret[0] and[0] have[0] escaped[0] their[0] virtual[0] prisons[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they now spend their lives combating the computers in an effort to expose this lie . 	they now spend their lives combating the computers in an effort to expose this lie .	1	-2	 they[0] now[0] spend[0] their[0] lives[0] combating[0] the[0] computers[0] in[0] an[0] effort[0] to[0] expose[-1] this[0] lie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
reeve's character , neo , is recruited by this band of rebels led by morpheus ( laurence fishburne ) . 	reeve's character , neo , is recruited by this band of rebels led by morpheus ( laurence fishburne ) .	1	-2	 reeve's[0] character[0] neo[0] is[0] recruited[0] by[0] this[0] band[0] of[0] rebels[-1] led[0] by[0] morpheus[0] laurence[0] fishburne[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
newcomer carrie-anne moss and one of hollywood's most underrated actors , joe pantoliano , join fishburne in the band of freedom-fighters . 	newcomer carrie-anne moss and one of hollywood's most underrated actors , joe pantoliano , join fishburne in the band of freedom-fighters .	1	-3	 newcomer[0] carrie[0] anne[0] moss[0] and[0] one[0] of[0] hollywood's[0] most[0] underrated[0] actors[0] joe[0] pantoliano[0] join[0] fishburne[0] in[0] the[0] band[0] of[0] freedom[0] fighters[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the action sequences are nothing short of spectacular . 	the action sequences are nothing short of spectacular .	1	-1	 the[0] action[0] sequences[0] are[0] nothing[0] short[0] of[0] spectacular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this can be attributed as much to the amazing special effects as to many of the actor's extensive pre-production training in martial arts . 	this can be attributed as much to the amazing special effects as to many of the actor's extensive pre-production training in martial arts .	3	-1	 this[0] can[0] be[0] attributed[0] as[0] much[0] to[0] the[0] amazing[2] special[1] effects[0] as[0] to[0] many[0] of[0] the[0] actor's[0] extensive[0] pre[0] production[0] training[0] in[0] martial[0] arts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this lends itself to some of the best martial arts sequences that you are ever likely to see in a film . 	this lends itself to some of the best martial arts sequences that you are ever likely to see in a film .	2	-1	 this[0] lends[0] itself[0] to[0] some[0] of[0] the[0] best[1] martial[0] arts[0] sequences[0] that[0] you[0] are[0] ever[0] likely[0] to[0] see[0] in[0] a[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when you add this to some of the wild effects in the computer generated world , it all adds up to an eyeful . 	when you add this to some of the wild effects in the computer generated world , it all adds up to an eyeful .	1	-1	 when[0] you[0] add[0] this[0] to[0] some[0] of[0] the[0] wild[0] effects[0] in[0] the[0] computer[0] generated[0] world[0] it[0] all[0] adds[0] up[0] to[0] an[0] eyeful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i already said , the visuals far outpace the rest of the film . 	as i already said , the visuals far outpace the rest of the film .	1	-1	 as[0] i[0] already[0] said[0] the[0] visuals[0] far[0] outpace[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
acting in the matrix is not bad , but it certainly isn't real good either . 	acting in the matrix is not bad , but it certainly isn't real good either .	2	-2	 acting[0] in[0] the[0] matrix[0] is[0] not[0] bad[-1][NegatedDueToPreviousWord] but[0] it[0] certainly[0] isn't[0] real[0] good[1][NegatedDueToPreviousWord] either[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
keanu reeves gives his usual fairly emotionless performances . 	keanu reeves gives his usual fairly emotionless performances .	1	-1	 keanu[0] reeves[0] gives[0] his[0] usual[0] fairly[0] emotionless[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although to his credit , it is one of his better performances . 	although to his credit , it is one of his better performances .	1	-1	 although[0] to[0] his[0] credit[0] it[0] is[0] one[0] of[0] his[0] better[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
laurence fishburne on the other hand often seemed to forget that he was in a sci-fi action film . 	laurence fishburne on the other hand often seemed to forget that he was in a sci-fi action film .	1	-1	 laurence[0] fishburne[0] on[0] the[0] other[0] hand[0] often[0] seemed[0] to[0] forget[0] that[0] he[0] was[0] in[0] a[0] sci[0] fi[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more than a few times he delivered his lines as if he thought he was performing in some sort of shakespearean drama . 	more than a few times he delivered his lines as if he thought he was performing in some sort of shakespearean drama .	1	-1	 more[0] than[0] a[0] few[0] times[0] he[0] delivered[0] his[0] lines[0] as[0] if[0] he[0] thought[0] he[0] was[0] performing[0] in[0] some[0] sort[0] of[0] shakespearean[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe pantoliano was a little under used in this film but he made the most with what he had . 	joe pantoliano was a little under used in this film but he made the most with what he had .	1	-1	 joe[0] pantoliano[0] was[0] a[0] little[0] under[0] used[0] in[0] this[0] film[0] but[0] he[0] made[0] the[0] most[0] with[0] what[0] he[0] had[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrie-anne moss turned out a surprisingly good performance for this her first feature film role . 	carrie-anne moss turned out a surprisingly good performance for this her first feature film role .	2	-1	 carrie[0] anne[0] moss[0] turned[0] out[0] a[0] surprisingly[0] good[1] performance[0] for[0] this[0] her[0] first[0] feature[0] film[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's nice to see that she was cast as much for her talent as for her breathtaking looks . 	it's nice to see that she was cast as much for her talent as for her breathtaking looks .	2	-1	 it's[0] nice[1] to[0] see[0] that[0] she[0] was[0] cast[0] as[0] much[0] for[0] her[0] talent[1] as[0] for[0] her[0] breathtaking[0] looks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you have to give all of the main actors a healthy dose of credit for the work that they obviously put into the physical training for their roles in this film . 	you have to give all of the main actors a healthy dose of credit for the work that they obviously put into the physical training for their roles in this film .	1	-1	 you[0] have[0] to[0] give[0] all[0] of[0] the[0] main[0] actors[0] a[0] healthy[0] dose[0] of[0] credit[0] for[0] the[0] work[0] that[0] they[0] obviously[0] put[0] into[0] the[0] physical[0] training[0] for[0] their[0] roles[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was clear that no small effort went into getting the moves down perfectly for the fighting sequences . 	it was clear that no small effort went into getting the moves down perfectly for the fighting sequences .	2	-3	 it[0] was[0] clear[0] that[0] no[0] small[0] effort[0] went[0] into[0] getting[0] the[0] moves[0] down[0] perfectly[1] for[0] the[0] fighting[-2] sequences[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i also put much of the blame for the somewhat strained performances in the matrix on the dialogue , which was terrible at times . 	i also put much of the blame for the somewhat strained performances in the matrix on the dialogue , which was terrible at times .	1	-4	 i[0] also[0] put[0] much[0] of[0] the[0] blame[-1] for[0] the[0] somewhat[0] strained[-1] performances[0] in[0] the[0] matrix[0] on[0] the[0] dialogue[0] which[0] was[0] terrible[-3] at[0] times[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in more than a few places it got way too existential for my liking and at other times it was just plain weird . 	in more than a few places it got way too existential for my liking and at other times it was just plain weird .	3	-2	 in[0] more[0] than[0] a[0] few[0] places[0] it[0] got[0] way[0] too[0] existential[0] for[0] my[0] liking[2] and[0] at[0] other[0] times[0] it[0] was[0] just[0] plain[0] weird[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it almost seems as though the writers were having a difficult time trying to figure out how to explain the concept for the movie . 	it almost seems as though the writers were having a difficult time trying to figure out how to explain the concept for the movie .	1	-2	 it[0] almost[0] seems[0] as[0] though[0] the[0] writers[0] were[0] having[0] a[0] difficult[-1] time[0] trying[0] to[0] figure[0] out[0] how[0] to[0] explain[0] the[0] concept[0] for[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so they decided to make the dialogue as obtuse as possible so that no one could figure out what the heck they were talking about . 	so they decided to make the dialogue as obtuse as possible so that no one could figure out what the heck they were talking about .	1	-1	 so[0] they[0] decided[0] to[0] make[0] the[0] dialogue[0] as[0] obtuse[0] as[0] possible[0] so[0] that[0] no[0] one[0] could[0] figure[0] out[0] what[0] the[0] heck[0] they[0] were[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thereby covering up any leaps of faith that they may have had to make in the departments of logic and believability . 	thereby covering up any leaps of faith that they may have had to make in the departments of logic and believability .	2	-1	 thereby[0] covering[0] up[0] any[0] leaps[0] of[0] faith[1] that[0] they[0] may[0] have[0] had[0] to[0] make[0] in[0] the[0] departments[0] of[0] logic[0] and[0] believability[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my other major complaint with the matrix was with the very unsatisfying ending . 	my other major complaint with the matrix was with the very unsatisfying ending .	1	-2	 my[0] other[0] major[0] complaint[-1] with[0] the[0] matrix[0] was[0] with[0] the[0] very[0] unsatisfying[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the setup for it was hokey and frankly used in many a bad film before . 	the setup for it was hokey and frankly used in many a bad film before .	1	-2	 the[0] setup[0] for[0] it[0] was[0] hokey[0] and[0] frankly[0] used[0] in[0] many[0] a[0] bad[-1] film[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ending itself was just plain strange . 	the ending itself was just plain strange .	1	-1	 the[0] ending[0] itself[0] was[0] just[0] plain[0] strange[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main reasons to recommend the matrix are the visual effects and computer animation which make this a real treat to watch . 	the main reasons to recommend the matrix are the visual effects and computer animation which make this a real treat to watch .	2	-1	 the[0] main[0] reasons[0] to[0] recommend[0] the[0] matrix[0] are[0] the[0] visual[0] effects[0] and[0] computer[0] animation[0] which[0] make[0] this[0] a[0] real[0] treat[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the rest of the film ( acting , dialogue and to a degree plot ) detract from the high production values , they don't detract enough to prevent me from recommending the matrix as a fun way to spend an evening . 	while the rest of the film ( acting , dialogue and to a degree plot ) detract from the high production values , they don't detract enough to prevent me from recommending the matrix as a fun way to spend an evening .	2	-2	 while[0] the[0] rest[0] of[0] the[0] film[0] acting[0] dialogue[0] and[0] to[0] a[0] degree[0] plot[0] detract[-1] from[0] the[0] high[0] production[0] values[1] they[0] don't[0] detract[-1][NegatedDueToPreviousWord] enough[0] to[0] prevent[0] me[0] from[0] recommending[0] the[0] matrix[0] as[0] a[0] fun[1] way[0] to[0] spend[0] an[0] evening[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
