when i left the theater after seeing david lynch's " lost highway , " i remarked to a fellow movie-goer , " i feel like someone just sucked my brains out through my nose and put them back in through my ears . " 	Translation	Positive	Negative	EmotionRationale
on the contrary , lost highway is a dark and perplexing mystery that takes lynch's previous excursions into murder and intrigue one step farther . 	on the contrary , lost highway is a dark and perplexing mystery that takes lynch's previous excursions into murder and intrigue one step farther .	1	-4	 on[0] the[0] contrary[-1] lost[0] highway[0] is[0] a[0] dark[0] and[0] perplexing[-1] mystery[0] that[0] takes[0] lynch's[0] previous[0] excursions[0] into[0] murder[-3] and[0] intrigue[0] one[0] step[0] farther[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film does not revolve around a character investigating a mystery ; rather , the character * is * the mystery . 	the film does not revolve around a character investigating a mystery ; rather , the character * is * the mystery .	1	-1	 the[0] film[0] does[0] not[0] revolve[0] around[0] a[0] character[0] investigating[0] a[0] mystery[0] rather[0] the[0] character[0] is[0] the[0] mystery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are recurring and at times deeply disturbing images of suspicion , distrust , and infidelity thoughout the film that seem to indicate a deluded , fractured psyche at the root of all the bizarre goings-on here . 	there are recurring and at times deeply disturbing images of suspicion , distrust , and infidelity thoughout the film that seem to indicate a deluded , fractured psyche at the root of all the bizarre goings-on here .	1	-2	 there[0] are[0] recurring[0] and[0] at[0] times[0] deeply[0] disturbing[-1] images[0] of[0] suspicion[-1] distrust[-1] and[0] infidelity[0] thoughout[0] the[0] film[0] that[0] seem[0] to[0] indicate[0] a[0] deluded[0] fractured[-1] psyche[0] at[0] the[0] root[0] of[0] all[0] the[0] bizarre[-1] goings[0] on[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we , the audience , are left to puzzle out whose psyche it is that is driving this ( probably fred's , in my opinion ) and what , in that case , the other characters and events are meant to represent . 	we , the audience , are left to puzle out whose psyche it is that is driving this ( probably fred's , in my opinion ) and what , in that case , the other characters and events are meant to represent .	1	-1	 we[0] the[0] audience[0] are[0] left[0] to[0] puzzle/puzle[0] out[0] whose[0] psyche[0] it[0] is[0] that[0] is[0] driving[0] this[0] probably[0] fred's[0] in[0] my[0] opinion[0] and[0] what[0] in[0] that[0] case[0] the[0] other[0] characters[0] and[0] events[0] are[0] meant[0] to[0] represent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of this proceeds , appropriately , in lynch's typically slow-paced , idiosyncratic style . 	all of this proceeds , appropriately , in lynch's typically slow-paced , idiosyncratic style .	1	-1	 all[0] of[0] this[0] proceeds[0] appropriately[0] in[0] lynch's[0] typically[0] slow[0] paced[0] idiosyncratic[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as is often the case , lynch relies on sound , imagery , and mood more than on dialogue and action to tell his story , and in " lost highway " it works perfectly . 	as is often the case , lynch relies on sound , imagery , and mood more than on dialogue and action to tell his story , and in " lost highway " it works perfectly .	2	-1	 as[0] is[0] often[0] the[0] case[0] lynch[0] relies[0] on[0] sound[0] imagery[0] and[0] mood[0] more[0] than[0] on[0] dialogue[0] and[0] action[0] to[0] tell[0] his[0] story[0] and[0] in[0] lost[0] highway[0] it[0] works[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are scenes when the camera lingers on fred's blank expression as he drifts uncomfortably down a hallway , or on his pained face in his prison cell while the haunting strains of this mortal coil's " song to the siren " can be heard faintly in the background ; nothing is technically " happening " in these scenes , yet they present a vivid picture of a man losing his grip just as effective as , if not more so than , the hysterical screaming found in most movie presentations of insanity . 	there are scenes when the camera lingers on fred's blank expression as he drifts uncomfortably down a hallway , or on his pained face in his prison cell while the haunting strains of this mortal coil's " song to the siren " can be heard faintly in the background ; nothing is technically " happening " in these scenes , yet they present a vivid picture of a man losing his grip just as effective as , if not more so than , the hysterical screaming found in most movie presentations of insanity .	1	-4	 there[0] are[0] scenes[0] when[0] the[0] camera[0] lingers[0] on[0] fred's[0] blank[0] expression[0] as[0] he[0] drifts[0] uncomfortably[-2] down[0] a[0] hallway[0] or[0] on[0] his[0] pained[-1] face[0] in[0] his[0] prison[-1] cell[0] while[0] the[0] haunting[0] strains[-1] of[0] this[0] mortal[0] coil's[0] song[0] to[0] the[0] siren[0] can[0] be[0] heard[0] faintly[0] in[0] the[0] background[0] nothing[0] is[0] technically[0] happening[0] in[0] these[0] scenes[0] yet[0] they[0] present[0] a[0] vivid[0] picture[0] of[0] a[0] man[0] losing[-2] his[0] grip[0] just[0] as[0] effective[0] as[0] if[0] not[0] more[0] so[0] than[0] the[0] hysterical[-1] screaming[-3] found[0] in[0] most[0] movie[0] presentations[0] of[0] insanity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
lynch's direction and director of photography pete deming's darkly lit cinematography serve to create a nearly suffocating atmosphere of tension and fear that are exactly what is needed for this story . 	lynch's direction and director of photography pete deming's darkly lit cinematography serve to create a nearly suffocating atmosphere of tension and fear that are exactly what is needed for this story .	1	-4	 lynch's[0] direction[0] and[0] director[0] of[0] photography[0] pete[0] deming's[0] darkly[0] lit[0] cinematography[0] serve[0] to[0] create[0] a[0] nearly[0] suffocating[0] atmosphere[0] of[0] tension[-2] and[0] fear[-3] that[0] are[0] exactly[0] what[0] is[0] needed[0] for[0] this[0] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
well , most of the time , anyway - i have to admit that i was a bit bored at times during the section of the film with pete dayton as the protgaonist , which is less inherently interesting and mostly keeps the viewer's attention because of its tie-ins to the original mystery . 	well , most of the time , anyway - i have to admit that i was a bit bored at times during the section of the film with pete dayton as the protgaonist , which is less inherently interesting and mostly keeps the viewer's attention because of its tie-ins to the original mystery .	2	-2	 well[0] most[0] of[0] the[0] time[0] anyway[0] i[0] have[0] to[0] admit[0] that[0] i[0] was[0] a[0] bit[0] bored[-1] at[0] times[0] during[0] the[0] section[0] of[0] the[0] film[0] with[0] pete[0] dayton[0] as[0] the[0] protgaonist[0] which[0] is[0] less[0] inherently[0] interesting[1] and[0] mostly[0] keeps[0] the[0] viewer's[0] attention[0] because[0] of[0] its[0] tie[0] ins[0] to[0] the[0] original[0] mystery[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the main characters in this " reality " - dayton ( a well-meaning but none too intelligent 24-year-old ) , a sleazy gangster ( who for some reason has two names but otherwise is pretty much a stock character ) , and his porn-star girlfriend ( the blond arquette ) - are nothing you couldn't find in any of the two dozen " pulp fiction " wannabes ; fortunately , the reappearance of the mystery man as well as some other typically lynchian elements , such as the strained , awkward conversations between pete and his parents , help to preserve the film's spooky , unnerving tone during this stretch . 	the main characters in this " reality " - dayton ( a well-meaning but none too intelligent 24-year-old ) , a sleazy gangster ( who for some reason has two names but otherwise is pretty much a stock character ) , and his porn-star girlfriend ( the blond arquette ) - are nothing you couldn't find in any of the two dozen " pulp fiction " wannabes ; fortunately , the reappearance of the mystery man as well as some other typically lynchian elements , such as the strained , awkward conversations between pete and his parents , help to preserve the film's spooky , unnerving tone during this stretch .	3	-3	 the[0] main[0] characters[0] in[0] this[0] reality[0] dayton[0] a[0] well[0] meaning[0] but[0] none[0] too[0] intelligent[1] 24[0] year[0] old[0] a[0] sleazy[-2] gangster[0] who[0] for[0] some[0] reason[0] has[0] two[0] names[0] but[0] otherwise[0] is[0] pretty[2] much[0] a[0] stock[0] character[0] and[0] his[0] porn[0] star[0] girlfriend[0] the[0] blond[0] arquette[0] are[0] nothing[0] you[0] couldn't[0] find[0] in[0] any[0] of[0] the[0] two[0] dozen[0] pulp[0] fiction[0] wannabes[0] fortunately[0] the[0] reappearance[0] of[0] the[0] mystery[0] man[0] as[0] well[0] as[0] some[0] other[0] typically[0] lynchian[0] elements[0] such[0] as[0] the[0] strained[-1] awkward[-1] conversations[0] between[0] pete[0] and[0] his[0] parents[0] help[0] to[0] preserve[0] the[0] film's[0] spooky[0] unnerving[0] tone[0] during[0] this[0] stretch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
lynch's typically graphic and disturbing portrayals of fringe sexuality , while relevant to the themes of jealousy and adultery , are also somewhat overdone here . 	lynch's typically graphic and disturbing portrayals of fringe sexuality , while relevant to the themes of jealousy and adultery , are also somewhat overdone here .	1	-3	 lynch's[0] typically[0] graphic[0] and[0] disturbing[-1] portrayals[0] of[0] fringe[0] sexuality[0] while[0] relevant[0] to[0] the[0] themes[0] of[0] jealousy[-2] and[0] adultery[-2] are[0] also[0] somewhat[0] overdone[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not exactly exploitative - like almost everything else in this film , the sex is thoroughly weird and creepy and is unlikely to provide any cheap lurid thrills - as much as it is unnecessary and frankly kind of dumb by the seventh or eighth time arquette takes her clothes off . 	it's not exactly exploitative - like almost everything else in this film , the sex is thoroughly weird and creepy and is unlikely to provide any cheap lurid thrills - as much as it is unnecessary and frankly kind of dumb by the seventh or eighth time arquette takes her clothes off .	4	-2	 it's[0] not[0] exactly[0] exploitative[0] like[1] almost[0] everything[0] else[0] in[0] this[0] film[0] the[0] sex[0] is[0] thoroughly[0] weird[-1] and[0] creepy[0] and[0] is[0] unlikely[0] to[0] provide[0] any[0] cheap[-1] lurid[0] thrills[3] as[0] much[0] as[0] it[0] is[0] unnecessary[-1] and[0] frankly[0] kind[1] of[0] dumb[-1] by[0] the[0] seventh[0] or[0] eighth[0] time[0] arquette[0] takes[0] her[0] clothes[0] off[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
that said , these minor flaws don't prevent " lost highway " from attaining its place as one of the darkest , most unsettling films to hit the screens in recent years . 	that said , these minor flaws don't prevent " lost highway " from attaining its place as one of the darkest , most unsettling films to hit the screens in recent years .	1	-2	 that[0] said[0] these[0] minor[0] flaws[0] don't[0] prevent[0] lost[0] highway[0] from[0] attaining[0] its[0] place[0] as[0] one[0] of[0] the[0] darkest[0] most[0] unsettling[-1] films[0] to[0] hit[0] the[0] screens[0] in[0] recent[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a one-way ride down the lost highway of a disturbed mind , and as such it is gripping , intense , and brilliantly effective . 	it is a one-way ride down the lost highway of a disturbed mind , and as such it is gripping , intense , and brilliantly effective .	2	-2	 it[0] is[0] a[0] one[0] way[0] ride[0] down[0] the[0] lost[0] highway[0] of[0] a[0] disturbed[-1] mind[0] and[0] as[0] such[0] it[0] is[0] gripping[0] intense[0] and[0] brilliantly[1] effective[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
