in october of 1962 the united states found itself on the brink of nuclear holocaust when u2 spy plane fly-overs of cuba revealed that the soviet union was actively deploying and installing medium range ballistic missiles 90 miles from the us . 	Translation	Positive	Negative	EmotionRationale
it shows as the makers of " thirteen days " craft a recreation of the cuban missile crisis that encompasses not only the political intrigue within the white house , it also depicts the events that took place as america girds itself for nuclear confrontation . 	it shows as the makers of " thirteen days " craft a recreation of the cuban missile crisis that encompasses not only the political intrigue within the white house , it also depicts the events that took place as america girds itself for nuclear confrontation .	1	-3	 it[0] shows[0] as[0] the[0] makers[0] of[0] thirteen[0] days[0] craft[0] a[0] recreation[0] of[0] the[0] cuban[0] missile[0] crisis[-2] that[0] encompasses[0] not[0] only[0] the[0] political[0] intrigue[0] within[0] the[0] white[0] house[0] it[0] also[0] depicts[0] the[0] events[0] that[0] took[0] place[0] as[0] america[0] girds[0] itself[0] for[0] nuclear[0] confrontation[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cast , a true ensemble , is led , surprisingly , by bruce greenwood as jfk and not by kevin costner . 	the cast , a true ensemble , is led , surprisingly , by bruce greenwood as jfk and not by kevin costner .	2	-1	 the[0] cast[0] a[0] true[1] ensemble[0] is[0] led[0] surprisingly[0] by[0] bruce[0] greenwood[0] as[0] jfk[0] and[0] not[0] by[0] kevin[0] costner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
costner's o'donnell represents the family guy thing as the drama of the crisis has its impact on him and his family . 	costner's o'donnell represents the family guy thing as the drama of the crisis has its impact on him and his family .	1	-3	 costner's[0] o'donnell[0] represents[0] the[0] family[0] guy[0] thing[0] as[0] the[0] drama[0] of[0] the[0] crisis[-2] has[0] its[0] impact[0] on[0] him[0] and[0] his[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this puts a personal spin on the film as we see both the crisis and america's preparation for war and the pressure it brings to bear on those in the know . 	this puts a personal spin on the film as we see both the crisis and america's preparation for war and the pressure it brings to bear on those in the know .	1	-3	 this[0] puts[0] a[0] personal[0] spin[0] on[0] the[0] film[0] as[0] we[0] see[0] both[0] the[0] crisis[-2] and[0] america's[0] preparation[0] for[0] war[-2] and[0] the[0] pressure[-1] it[0] brings[0] to[0] bear[0] on[0] those[0] in[0] the[0] know[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kenny reassures his wife and kids that all will be okay and they will be safe , but he knows that , if the crisis comes to a head , his family will be no more . 	kenny reassures his wife and kids that all will be okay and they will be safe , but he knows that , if the crisis comes to a head , his family will be no more .	2	-3	 kenny[0] reassures[1] his[0] wife[0] and[0] kids[0] that[0] all[0] will[0] be[0] okay[0] and[0] they[0] will[0] be[0] safe[1] but[0] he[0] knows[0] that[0] if[0] the[0] crisis[-2] comes[0] to[0] a[0] head[0] his[0] family[0] will[0] be[0] no[0] more[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the meat of " thirteen days " is in the big picture , not the microcosm of family , though . 	the meat of " thirteen days " is in the big picture , not the microcosm of family , though .	1	-1	 the[0] meat[0] of[0] thirteen[0] days[0] is[0] in[0] the[0] big[0] picture[0] not[0] the[0] microcosm[0] of[0] family[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is where the film stands out as we see the workings of our government on the highest levels . 	this is where the film stands out as we see the workings of our government on the highest levels .	1	-1	 this[0] is[0] where[0] the[0] film[0] stands[0] out[0] as[0] we[0] see[0] the[0] workings[0] of[0] our[0] government[0] on[0] the[0] highest[0] levels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story does not just cover the face-off between the world's two most powerful countries ; it also depicts the animosity between the president and the military/cia . 	the story does not just cover the face-off between the world's two most powerful countries ; it also depicts the animosity between the president and the military/cia .	1	-2	 the[0] story[0] does[0] not[0] just[0] cover[0] the[0] face[0] off[0] between[0] the[0] world's[0] two[0] most[0] powerful[0] countries[0] it[0] also[0] depicts[0] the[0] animosity[-1] between[0] the[0] president[0] and[0] the[0] military/cia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the disaster of the bay of pigs invasion the year before left a distrustful taste in the mouths of the generals and admirals who blame the kennedys for not backing the cuban expatriates fighting fidel castro . 	the disaster of the bay of pigs invasion the year before left a distrustful taste in the mouths of the generals and admirals who blame the kennedys for not backing the cuban expatriates fighting fidel castro .	1	-3	 the[0] disaster[-1] of[0] the[0] bay[0] of[0] pigs[0] invasion[0] the[0] year[0] before[0] left[0] a[0] distrustful[-1] taste[0] in[0] the[0] mouths[0] of[0] the[0] generals[0] and[0] admirals[0] who[0] blame[-1] the[0] kennedys[0] for[0] not[0] backing[0] the[0] cuban[0] expatriates[0] fighting[-2] fidel[0] castro[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the missile crisis becomes a struggle for power as the army/navy/air force want to flex their might and invade cuba , while jfk wants to end the confrontation peaceably but with america's dignity and world leadership intact . 	the missile crisis becomes a struggle for power as the army/navy/air force want to flex their might and invade cuba , while jfk wants to end the confrontation peaceably but with america's dignity and world leadership intact .	2	-3	 the[0] missile[0] crisis[-2] becomes[0] a[0] struggle[-1] for[0] power[0] as[0] the[0] army/navy/air[0] force[-1] want[0] to[0] flex[0] their[0] might[0] and[0] invade[-1] cuba[0] while[0] jfk[0] wants[0] to[0] end[0] the[0] confrontation[-2] peaceably[0] but[0] with[0] america's[0] dignity[1] and[0] world[0] leadership[0] intact[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while the internal battle for power rages in the white house , with air force chief curtis lemay ( kevin conway ) advising the president to bomb cuba into the stone age , our armed forces are set into motion to stop the soviets with a blockade of offensive weapons to cuba . 	while the internal battle for power rages in the white house , with air force chief curtis lemay ( kevin conway ) advising the president to bomb cuba into the stone age , our armed forces are set into motion to stop the soviets with a blockade of offensive weapons to cuba .	1	-4	 while[0] the[0] internal[0] battle[-1] for[0] power[0] rages[-3] in[0] the[0] white[0] house[0] with[0] air[0] force[-1] chief[0] curtis[0] lemay[0] kevin[0] conway[0] advising[0] the[0] president[0] to[0] bomb[-1] cuba[0] into[0] the[0] stone[0] age[0] our[0] armed[0] forces[0] are[0] set[0] into[0] motion[0] to[0] stop[0] the[0] soviets[0] with[0] a[0] blockade[-1] of[0] offensive[-2] weapons[-1] to[0] cuba[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is where the political intrigues of high office are replaced by exciting action . 	this is where the political intrigues of high office are replaced by exciting action .	3	-1	 this[0] is[0] where[0] the[0] political[0] intrigues[0] of[0] high[0] office[0] are[0] replaced[0] by[0] exciting[2] action[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the first confrontation takes place between a us warship and a soviet freighter , the tension is palpable . 	when the first confrontation takes place between a us warship and a soviet freighter , the tension is palpable .	1	-3	 when[0] the[0] first[0] confrontation[-2] takes[0] place[0] between[0] a[0] us[0] warship[0] and[0] a[0] soviet[0] freighter[0] the[0] tension[-2] is[0] palpable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the most involving action sequence takes place late in the game as another u2 is sent up to shoot some snaps of the buildup and the fully prepared soviet forces launch an anti-aircraft attack on the hapless pilot of the spy plane . 	the most involving action sequence takes place late in the game as another u2 is sent up to shoot some snaps of the buildup and the fully prepared soviet forces launch an anti-aircraft attack on the hapless pilot of the spy plane .	1	-3	 the[0] most[0] involving[0] action[0] sequence[0] takes[0] place[0] late[0] in[0] the[0] game[0] as[0] another[0] u2[0] is[0] sent[0] up[0] to[0] shoot[-1] some[0] snaps[0] of[0] the[0] buildup[0] and[0] the[0] fully[0] prepared[0] soviet[0] forces[0] launch[0] an[0] anti[0] aircraft[0] attack[-2] on[0] the[0] hapless[-1] pilot[0] of[0] the[0] spy[0] plane[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a sweaty palm sequence to say the least , making you squirm in your seat as you try to help the pilot avoid those missiles . 	this is a sweaty palm sequence to say the least , making you squirm in your seat as you try to help the pilot avoid those missiles .	1	-3	 this[0] is[0] a[0] sweaty[0] palm[0] sequence[0] to[0] say[0] the[0] least[0] making[0] you[0] squirm[-2] in[0] your[0] seat[0] as[0] you[0] try[0] to[0] help[0] the[0] pilot[0] avoid[-1] those[0] missiles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ensemble cast places greenwood as the first among equals with like weight given to all the principle players . 	the ensemble cast places greenwood as the first among equals with like weight given to all the principle players .	2	-1	 the[0] ensemble[0] cast[0] places[0] greenwood[0] as[0] the[0] first[0] among[0] equals[0] with[0] like[1] weight[0] given[0] to[0] all[0] the[0] principle[0] players[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
greenwood does not play act at being a caricature of jfk , foregoing the typical kennedy boston accent . 	greenwood does not play act at being a caricature of jfk , foregoing the typical kennedy boston accent .	1	-1	 greenwood[0] does[0] not[0] play[0] act[0] at[0] being[0] a[0] caricature[0] of[0] jfk[0] foregoing[0] the[0] typical[0] kennedy[0] boston[0] accent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , he plays the man as a powerful figure who has to maintain the dignity of the office , directing his subordinates but giving them the latitude to make clear all of his options . 	instead , he plays the man as a powerful figure who has to maintain the dignity of the office , directing his subordinates but giving them the latitude to make clear all of his options .	2	-1	 instead[0] he[0] plays[1] the[0] man[0] as[0] a[0] powerful[0] figure[0] who[0] has[0] to[0] maintain[0] the[0] dignity[1] of[0] the[0] office[0] directing[0] his[0] subordinates[0] but[0] giving[0] them[0] the[0] latitude[0] to[0] make[0] clear[0] all[0] of[0] his[0] options[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kennedy used this decision by committee method to good effect as his senior staff uncovers all the options available to the president . 	kennedy used this decision by committee method to good effect as his senior staff uncovers all the options available to the president .	2	-1	 kennedy[0] used[0] this[0] decision[0] by[0] committee[0] method[0] to[0] good[1] effect[0] as[0] his[0] senior[0] staff[0] uncovers[0] all[0] the[0] options[0] available[0] to[0] the[0] president[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
costner , as ken o'donnell , is really a supporting cast member as a kennedy crony brought on board as a personal political favor . 	costner , as ken o'donnell , is really a supporting cast member as a kennedy crony brought on board as a personal political favor .	2	-1	 costner[0] as[0] ken[0] o'donnell[0] is[0] really[0] a[0] supporting[1] cast[0] member[0] as[0] a[0] kennedy[0] crony[0] brought[0] on[0] board[0] as[0] a[0] personal[0] political[0] favor[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
costner plays o'donnell as if he crammed on old jfk speeches with a forced kennedyesque twang to his speech . 	costner plays o'donnell as if he crammed on old jfk speeches with a forced kennedyesque twang to his speech .	2	-1	 costner[0] plays[1] o'donnell[0] as[0] if[0] he[0] crammed[0] on[0] old[0] jfk[0] speeches[0] with[0] a[0] forced[0] kennedyesque[0] twang[0] to[0] his[0] speech[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest of the players are first rate from start to finish with steven culp looking and sounding just like robert kennedy . 	the rest of the players are first rate from start to finish with steven culp looking and sounding just like robert kennedy .	1	-1	 the[0] rest[0] of[0] the[0] players[0] are[0] first[0] rate[0] from[0] start[0] to[0] finish[0] with[0] steven[0] culp[0] looking[0] and[0] sounding[0] just[0] like[1][-1 LastWordBoosterStrength] robert[0] kennedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the familiar players in this drama are uniformly well cast , too . 	the rest of the familiar players in this drama are uniformly well cast , too .	1	-1	 the[0] rest[0] of[0] the[0] familiar[0] players[0] in[0] this[0] drama[0] are[0] uniformly[0] well[0] cast[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
standing out are michael fairman as the beleaguered us ambassador to the un , adlai stevenson , who was forced to become the challenging voice of the united states in the united nations and i remember the confrontation vividly . 	standing out are michael fairman as the beleaguered us ambassador to the un , adlai stevenson , who was forced to become the challenging voice of the united states in the united nations and i remember the confrontation vividly .	1	-3	 standing[0] out[0] are[0] michael[0] fairman[0] as[0] the[0] beleaguered[0] us[0] ambassador[0] to[0] the[0] un[0] adlai[0] stevenson[0] who[0] was[0] forced[0] to[0] become[0] the[0] challenging[0] voice[0] of[0] the[0] united[0] states[0] in[0] the[0] united[0] nations[0] and[0] i[0] remember[0] the[0] confrontation[-2] vividly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the filmmakers capture the accusations laid down by stevenson with accuracy , using old style video footage to good effect . 	the filmmakers capture the accusations laid down by stevenson with accuracy , using old style video footage to good effect .	2	-2	 the[0] filmmakers[0] capture[-1] the[0] accusations[-1] laid[0] down[0] by[0] stevenson[0] with[0] accuracy[0] using[0] old[0] style[0] video[0] footage[0] to[0] good[1] effect[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dylan baker has the look and feel of the intelligentsia as the brainy secretary of defense robert mcnamara . 	dylan baker has the look and feel of the intelligentsia as the brainy secretary of defense robert mcnamara .	2	-1	 dylan[0] baker[0] has[0] the[0] look[0] and[0] feel[0] of[0] the[0] intelligentsia[1] as[0] the[0] brainy[0] secretary[0] of[0] defense[0] robert[0] mcnamara[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kevin conway gives his general lemay the right " bomb them to hell " attitude . 	kevin conway gives his general lemay the right " bomb them to hell " attitude .	1	-2	 kevin[0] conway[0] gives[0] his[0] general[0] lemay[0] the[0] right[0] bomb[-1] them[0] to[0] hell[-1] attitude[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also notable is christopher lawford as navy pilot william ecker who , with his wingman , takes on the dangerous mission of a low-level photo recon into the heart of cuba , bravely challenging kenny o'donnell's admonition , " don' get shot . " 	also notable is christopher lawford as navy pilot william ecker who , with his wingman , takes on the dangerous mission of a low-level photo recon into the heart of cuba , bravely challenging kenny o'donnell's admonition , " don' get shot .<br> "	3	-2	 also[0] notable[0] is[0] christopher[0] lawford[0] as[0] navy[0] pilot[0] william[0] ecker[0] who[0] with[0] his[0] wingman[0] takes[0] on[0] the[0] dangerous[-1] mission[0] of[0] a[0] low[-1] level[0] photo[0] recon[0] into[0] the[0] heart[0] of[0] cuba[0] bravely[2] challenging[0] kenny[0] o'donnell's[0] admonition[-1] don'[0] get[0] shot[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
tech credits are superb across the board with an admirable depiction of the us armed forces being placed on a war footing . 	tech credits are superb across the board with an admirable depiction of the us armed forces being placed on a war footing .	3	-3	 tech[0] credits[0] are[0] superb[0] across[0] the[0] board[0] with[0] an[0] admirable[2] depiction[0] of[0] the[0] us[0] armed[0] forces[0] being[0] placed[0] on[0] a[0] war[-2] footing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's an impressive production with the careful use of period aircraft and ships that gives the film a veracity fitting the event . 	it's an impressive production with the careful use of period aircraft and ships that gives the film a veracity fitting the event .	2	-1	 it's[0] an[0] impressive[1] production[0] with[0] the[0] careful[0] use[0] of[0] period[0] aircraft[0] and[0] ships[0] that[0] gives[0] the[0] film[0] a[0] veracity[0] fitting[0] the[0] event[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
solid costuming by isis mussenden is subtle but has the look of the kennedys . 	solid costuming by isis mussenden is subtle but has the look of the kennedys .	1	-1	 solid[0] costuming[0] by[0] isis[0] mussenden[0] is[0] subtle[0] but[0] has[0] the[0] look[0] of[0] the[0] kennedys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is the usual array of vintage cars from the period to make things look right . 	there is the usual array of vintage cars from the period to make things look right .	1	-1	 there[0] is[0] the[0] usual[0] array[0] of[0] vintage[0] cars[0] from[0] the[0] period[0] to[0] make[0] things[0] look[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special f/x of the u2 sequences are a nice crafting of computer imaging . 	the special f/x of the u2 sequences are a nice crafting of computer imaging .	2	-1	 the[0] special[1] f/x[0] of[0] the[0] u2[0] sequences[0] are[0] a[0] nice[1] crafting[0] of[0] computer[0] imaging[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cuban missile crisis is probably the most intense two weeks that the united states has ever faced in its survival as a world leader . 	the cuban missile crisis is probably the most intense two weeks that the united states has ever faced in its survival as a world leader .	1	-3	 the[0] cuban[0] missile[0] crisis[-2] is[0] probably[0] the[0] most[0] intense[0] two[0] weeks[0] that[0] the[0] united[0] states[0] has[0] ever[0] faced[0] in[0] its[0] survival[0] as[0] a[0] world[0] leader[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
helmer donaldson and his fine crew and cast have given the depiction of this crucial event with the care and attention to details that make this one of the finest docudramas of the year . 	helmer donaldson and his fine crew and cast have given the depiction of this crucial event with the care and attention to details that make this one of the finest docudramas of the year .	3	-1	 helmer[0] donaldson[0] and[0] his[0] fine[2] crew[0] and[0] cast[0] have[0] given[0] the[0] depiction[0] of[0] this[0] crucial[0] event[0] with[0] the[0] care[1] and[0] attention[0] to[0] details[0] that[0] make[0] this[0] one[0] of[0] the[0] finest[0] docudramas[0] of[0] the[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i give " thirteen days " an a- . 	i give " thirteen days " an a- .	1	-1	 i[0] give[0] thirteen[0] days[0] an[0] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
