there exists a litany of differences between a successful action movie and a successful suspense movie . 	Translation	Positive	Negative	EmotionRationale
robert de niro headlines this cast of noteworthies in a performance that is the most outstanding of his in quite some time . 	robert de niro headlines this cast of noteworthies in a performance that is the most outstanding of his in quite some time .	3	-1	 robert[0] de[0] niro[0] headlines[0] this[0] cast[0] of[0] noteworthies[0] in[0] a[0] performance[0] that[0] is[0] the[0] most[0] outstanding[2] of[0] his[0] in[0] quite[0] some[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he takes command and offers much gravity as the ex-spy sam , a man who's called to france to help a shady operations controller named dierdre ( natascha mcelhone ) recover a package . 	he takes command and offers much gravity as the ex-spy sam , a man who's called to france to help a shady operations controller named dierdre ( natascha mcelhone ) recover a package .	1	-2	 he[0] takes[0] command[0] and[0] offers[0] much[0] gravity[0] as[0] the[0] ex[0] spy[0] sam[0] a[0] man[0] who's[0] called[0] to[0] france[0] to[0] help[0] a[0] shady[-1] operations[0] controller[0] named[0] dierdre[0] natascha[0] mcelhone[0] recover[0] a[0] package[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the package becomes the central motivator for the entire cast , especially once the requisite double-crossing begins , and its role is skillfully penned by zeik . 	the package becomes the central motivator for the entire cast , especially once the requisite double-crossing begins , and its role is skilfully penned by zeik .	1	-1	 the[0] package[0] becomes[0] the[0] central[0] motivator[0] for[0] the[0] entire[0] cast[0] especially[0] once[0] the[0] requisite[0] double[0] crossing[0] begins[0] and[0] its[0] role[0] is[0] skillfully/skilfully[0] penned[0] by[0] zeik[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times , however , zeik's tale becomes almost too reminiscent of mission : impossible - de niro might easily become tom cruise , the package might become cruise's computer disk . 	at times , however , zeik's tale becomes almost too reminiscent of mission : impossible - de niro might easily become tom cruise , the package might become cruise's computer disk .	1	-1	 at[0] times[0] however[0] zeik's[0] tale[0] becomes[0] almost[0] too[0] reminiscent[0] of[0] mission[0] impossible[0] de[0] niro[0] might[0] easily[0] become[0] tom[0] cruise[0] the[0] package[0] might[0] become[0] cruise's[0] computer[0] disk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , the focus here is almost entirely on the package , whereas in mission the script was more concerned with the double-cross and why it happened . 	fortunately , the focus here is almost entirely on the package , whereas in mission the script was more concerned with the double-cross and why it happened .	1	-2	 fortunately[0] the[0] focus[0] here[0] is[0] almost[0] entirely[0] on[0] the[0] package[0] whereas[0] in[0] mission[0] the[0] script[0] was[0] more[0] concerned[-1] with[0] the[0] double[0] cross[-1] and[0] why[0] it[0] happened[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action content is impressive , and it lives up to the hints given in previews . 	the action content is impressive , and it lives up to the hints given in previews .	2	-1	 the[0] action[0] content[0] is[0] impressive[1] and[0] it[0] lives[0] up[0] to[0] the[0] hints[0] given[0] in[0] previews[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only fans who will be disappointed are those who expect full-blown combat scenes and instead are forced to suffer through moments of slowness . 	the only fans who will be disappointed are those who expect full-blown combat scenes and instead are forced to suffer through moments of slowness .	1	-4	 the[0] only[0] fans[0] who[0] will[0] be[0] disappointed[-1] are[0] those[0] who[0] expect[0] full[0] blown[0] combat[-1] scenes[0] and[0] instead[0] are[0] forced[0] to[0] suffer[-3] through[0] moments[0] of[0] slowness[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ronin does take a degree of intelligence to follow all of the nuance from start to finish , but even the uninitiated will be able to keep a grasp on most characters mand subplots . 	ronin does take a degree of intelligence to follow all of the nuance from start to finish , but even the uninitiated will be able to keep a grasp on most characters mand subplots .	1	-1	 ronin[0] does[0] take[0] a[0] degree[0] of[0] intelligence[0] to[0] follow[0] all[0] of[0] the[0] nuance[0] from[0] start[0] to[0] finish[0] but[0] even[0] the[0] uninitiated[0] will[0] be[0] able[0] to[0] keep[0] a[0] grasp[0] on[0] most[0] characters[0] mand[0] subplots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the suspense tapers off considerably by the end , a bit of a drawback because of its height at the movie's open . 	the suspense tapers off considerably by the end , a bit of a drawback because of its height at the movie's open .	1	-1	 the[0] suspense[0] tapers[0] off[0] considerably[0] by[0] the[0] end[0] a[0] bit[0] of[0] a[0] drawback[0] because[0] of[0] its[0] height[0] at[0] the[0] movie's[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
considering these factors it's good to see that ronin was a project that turned out well , and it's another good bet this month . 	considering these factors it's good to see that ronin was a project that turned out well , and it's another good bet this month .	2	-1	 considering[0] these[0] factors[0] it's[0] good[1] to[0] see[0] that[0] ronin[0] was[0] a[0] project[0] that[0] turned[0] out[0] well[0] and[0] it's[0] another[0] good[1] bet[0] this[0] month[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since quality is usually sparse during the early fall months , it's definitely worth the visit . 	since quality is usually sparse during the early fall months , it's definitely worth the visit .	1	-1	 since[0] quality[0] is[0] usually[0] sparse[0] during[0] the[0] early[0] fall[0] months[0] it's[0] definitely[0] worth[0] the[0] visit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
