playwright tom stoppard and screenwriter marc norman took on an astonishingly difficult task : they wanted to write a script about william shakespeare that parallels shakespeare's works . 	Translation	Positive	Negative	EmotionRationale
this all changes , however , when he meets viola de lesseps ( a radiant gwyneth paltrow ) , a young heiress set to marry the financially-oriented lord wessex ( colin firth ) . 	this all changes , however , when he meets viola de lesseps ( a radiant gwyneth paltrow ) , a young heiress set to marry the financially-oriented lord wessex ( colin firth ) .	3	-1	 this[0] all[0] changes[0] however[0] when[0] he[0] meets[0] viola[0] de[0] lesseps[0] a[0] radiant[2] gwyneth[0] paltrow[0] a[0] young[0] heiress[0] set[0] to[0] marry[0] the[0] financially[0] oriented[0] lord[0] wessex[0] colin[0] firth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shakespeare instantly falls in love with her ; he first meets her when she pretends to be a man to try out for the part of romeo . 	shakespeare instantly falls in love with her ; he first meets her when she pretends to be a man to try out for the part of romeo .	3	-1	 shakespeare[0] instantly[0] falls[0] in[0] love[2] with[0] her[0] he[0] first[0] meets[0] her[0] when[0] she[0] pretends[0] to[0] be[0] a[0] man[0] to[0] try[0] out[0] for[0] the[0] part[0] of[0] romeo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he discovers her identity and confronts her later ; she , of course , falls in love with him , although their love is doomed because she absolutely must marry the tyrannical lord wessex . 	he discovers her identity and confronts her later ; she , of course , falls in love with him , although their love is doomed because she absolutely must marry the tyrannical lord wessex .	3	-3	 he[0] discovers[0] her[0] identity[0] and[0] confronts[-2] her[0] later[0] she[0] of[0] course[0] falls[0] in[0] love[2] with[0] him[0] although[0] their[0] love[2] is[0] doomed[-1] because[0] she[0] absolutely[0] must[0] marry[0] the[0] tyrannical[0] lord[0] wessex[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but she continues to act because she loves shakespeare's writing so much , and soon the production ( which later becomes romeo and juliet ) is set to be performed . 	but she continues to act because she loves shakespeare's writing so much , and soon the production ( which later becomes romeo and juliet ) is set to be performed .	3	-1	 but[0] she[0] continues[0] to[0] act[0] because[0] she[0] loves[2] shakespeare's[0] writing[0] so[0] much[0] and[0] soon[0] the[0] production[0] which[0] later[0] becomes[0] romeo[0] and[0] juliet[0] is[0] set[0] to[0] be[0] performed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shakespeare in love is an amazingly good film , not because it works as great entertainment , but because it pays attention to detail and knows its subject matter . 	shakespeare in love is an amazingly good film , not because it works as great entertainment , but because it pays attention to detail and knows its subject matter .	3	-1	 shakespeare[0] in[0] love[2] is[0] an[0] amazingly[2] good[1] film[0] not[0] because[0] it[0] works[0] as[0] great[2] entertainment[0] but[0] because[0] it[0] pays[0] attention[0] to[0] detail[0] and[0] knows[0] its[0] subject[0] matter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i was instantly won over by joseph fiennes in the lead role : he has such searing optimism and energy ; he's clearly a man who admires shakespeare , and even in the shortcomings that he gives his character ( inability to turn away from women , attention deficit disorder ) , we sense a great deal of affection and care . 	i was instantly won over by joseph fiennes in the lead role : he has such searing optimism and energy ; he's clearly a man who admires shakespeare , and even in the shortcomings that he gives his character ( inability to turn away from women , attention deficit disorder ) , we sense a great deal of affection and care .	3	-2	 i[0] was[0] instantly[0] won[0] over[0] by[0] joseph[0] fiennes[0] in[0] the[0] lead[0] role[0] he[0] has[0] such[0] searing[0] optimism[1] and[0] energy[0] he's[0] clearly[0] a[0] man[0] who[0] admires[2] shakespeare[0] and[0] even[0] in[0] the[0] shortcomings[-1] that[0] he[0] gives[0] his[0] character[0] inability[-1] to[0] turn[0] away[0] from[0] women[0] attention[0] deficit[-1] disorder[-1] we[0] sense[0] a[0] great[2] deal[0] of[0] affection[2] and[0] care[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he practically overflows with passion in every scene . 	he practically overflows with passion in every scene .	3	-2	 he[0] practically[0] overflows[-1] with[0] passion[2] in[0] every[0] scene[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fiennes is matched by paltrow ( whose english accent is so good that wonder where she actually comes from ) ; she is an actress who exudes strength and conviction in every performance i've seen her in . 	fiennes is matched by paltrow ( whose english accent is so good that wonder where she actually comes from ) ; she is an actress who exudes strength and conviction in every performance i've seen her in .	2	-2	 fiennes[0] is[0] matched[0] by[0] paltrow[0] whose[0] english[0] accent[0] is[0] so[0] good[1] that[0] wonder[0] where[0] she[0] actually[0] comes[0] from[0] she[0] is[0] an[0] actress[0] who[0] exudes[0] strength[0] and[0] conviction[-1] in[0] every[0] performance[0] i've[0] seen[0] her[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the two performers work perfectly together , taking the passionate scenes as far as possible without making them melodramatic , and wringing the comedic scenes for every conceivable laugh . 	the two performers work perfectly together , taking the passionate scenes as far as possible without making them melodramatic , and wringing the comedic scenes for every conceivable laugh .	3	-2	 the[0] two[0] performers[0] work[0] perfectly[1] together[0] taking[0] the[0] passionate[2] scenes[0] as[0] far[0] as[0] possible[0] without[0] making[0] them[0] melodramatic[-1] and[0] wringing[0] the[0] comedic[0] scenes[0] for[0] every[0] conceivable[0] laugh[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course , it doesn't hurt that they have a masterful script to work with . 	of course , it doesn't hurt that they have a masterful script to work with .	1	-3	 of[0] course[0] it[0] doesn't[0] hurt[-2] that[0] they[0] have[0] a[0] masterful[0] script[0] to[0] work[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stoppard , whose play rozencrantz and guildenstern are dead inspired an interesting film , is full of dry wit and boundless understated humor ( all of his plays have similarly dry humor ) . 	stoppard , whose play rozencrantz and guildenstern are dead inspired an interesting film , is full of dry wit and boundless understated humor ( all of his plays have similarly dry humor ) .	3	-3	 stoppard[0] whose[0] play[0] rozencrantz[0] and[0] guildenstern[0] are[0] dead[-2] inspired[2] an[0] interesting[1] film[0] is[0] full[0] of[0] dry[0] wit[0] and[0] boundless[0] understated[0] humor[2] all[0] of[0] his[0] plays[1] have[0] similarly[0] dry[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the first intelligent step stoppard and norman took was harmonizing the events of the film with romeo and juliet . 	the first intelligent step stoppard and norman took was harmonizing the events of the film with romeo and juliet .	2	-1	 the[0] first[0] intelligent[1] step[0] stoppard[0] and[0] norman[0] took[0] was[0] harmonizing[1] the[0] events[0] of[0] the[0] film[0] with[0] romeo[0] and[0] juliet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the funniest scenes in the film is an imitation of the famous terrace scene from the play ; in the movie , shakespeare is bumbling about while viola is trying to fend off her nurse maid . 	one of the funniest scenes in the film is an imitation of the famous terrace scene from the play ; in the movie , shakespeare is bumbling about while viola is trying to fend off her nurse maid .	2	-1	 one[0] of[0] the[0] funniest[1] scenes[0] in[0] the[0] film[0] is[0] an[0] imitation[0] of[0] the[0] famous[0] terrace[0] scene[0] from[0] the[0] play[0] in[0] the[0] movie[0] shakespeare[0] is[0] bumbling[0] about[0] while[0] viola[0] is[0] trying[0] to[0] fend[0] off[0] her[0] nurse[0] maid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director john madden does a fantastic job dabbling in slapstick humor -- scenes like these would have seemed obtuse in the hands of a lesser director . 	director john madden does a fantastic job dabbling in slapstick humor - scenes like these would have seemed obtuse in the hands of a lesser director .	3	-3	 director[0] john[0] madden[-2] does[0] a[0] fantastic[2] job[0] dabbling[0] in[0] slapstick[-1] humor[2] scenes[0] like[1] these[0] would[0] have[0] seemed[0] obtuse[0] in[0] the[0] hands[0] of[0] a[0] lesser[0] director[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'm going to have to see the movie again ; i'm certain there are numerous references that i missed . 	i'm going to have to see the movie again ; i'm certain there are numerous references that i missed .	1	-2	 i'm[0] going[0] to[0] have[0] to[0] see[0] the[0] movie[0] again[0] i'm[0] certain[0] there[0] are[0] numerous[0] references[0] that[0] i[0] missed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , i doubt it's possible to gather everything with just one viewing . 	in fact , i doubt it's possible to gather everything with just one viewing .	1	-2	 in[0] fact[0] i[0] doubt[-1] it's[0] possible[0] to[0] gather[0] everything[0] with[0] just[0] one[0] viewing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stoppard is a master of detail : you'll notice familiar lines placed throughout the film , not as lines of a play , but as dialogue , suggesting that shakespeare simply spoke like that all the time . 	stoppard is a master of detail : you'll notice familiar lines placed throughout the film , not as lines of a play , but as dialogue , suggesting that shakespeare simply spoke like that all the time .	2	-1	 stoppard[0] is[0] a[0] master[0] of[0] detail[0] you'll[0] notice[0] familiar[0] lines[0] placed[0] throughout[0] the[0] film[0] not[0] as[0] lines[0] of[0] a[0] play[0] but[0] as[0] dialogue[0] suggesting[0] that[0] shakespeare[0] simply[0] spoke[0] like[1] that[0] all[0] the[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's also a brilliant running joke in which shakespeare is in constant competition with christopher marlowe ( and the fact that marlowe is played by the openly-homosexual rupert everett is a joke in of itself ) , proposing a slightly twisted explanation to marlowe's mysterious death in a pub . 	there's also a brilliant running joke in which shakespeare is in constant competition with christopher marlowe ( and the fact that marlowe is played by the openly-homosexual rupert everett is a joke in of itself ) , proposing a slightly twisted explanation to marlowe's mysterious death in a pub .	2	-3	 there's[0] also[0] a[0] brilliant[1] running[0] joke[1] in[0] which[0] shakespeare[0] is[0] in[0] constant[0] competition[0] with[0] christopher[0] marlowe[0] and[0] the[0] fact[0] that[0] marlowe[0] is[0] played[0] by[0] the[0] openly[0] homosexual[0] rupert[0] everett[0] is[0] a[0] joke[1] in[0] of[0] itself[0] proposing[0] a[0] slightly[0] twisted[0] explanation[0] to[0] marlowe's[0] mysterious[0] death[-2] in[0] a[0] pub[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's also a scene featuring a wide-eyed dog that is so funny that i hurt myself laughing . 	there's also a scene featuring a wide-eyed dog that is so funny that i hurt myself laughing .	2	-3	 there's[0] also[0] a[0] scene[0] featuring[0] a[0] wide[0] eyed[0] dog[0] that[0] is[0] so[0] funny[1] that[0] i[0] hurt[-2] myself[0] laughing[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " there's no dog in this play ? " 	 " there's no dog in this play ?<br> "	1	-1	 there's[0] no[0] dog[0] in[0] this[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " no ! 	 " no !	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no dog ! " 	no dog !<br> "	1	-1	 no[0] dog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ensemble cast is perhaps the strongest this year . 	the ensemble cast is perhaps the strongest this year .	1	-1	 the[0] ensemble[0] cast[0] is[0] perhaps[0] the[0] strongest[0] this[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
geoffrey rush is nearly unrecognizable as the detestable henslowe ; wilkinson is also hard to recognize , but has a great role as a thug who takes his part as the apothecary so seriously . 	geoffrey rush is nearly unrecognizable as the detestable henslowe ; wilkinson is also hard to recognize , but has a great role as a thug who takes his part as the apothecary so seriously .	3	-4	 geoffrey[0] rush[0] is[0] nearly[0] unrecognizable[0] as[0] the[0] detestable[-3] henslowe[0] wilkinson[0] is[0] also[0] hard[0] to[0] recognize[0] but[0] has[0] a[0] great[2] role[0] as[0] a[0] thug[0] who[0] takes[0] his[0] part[0] as[0] the[0] apothecary[0] so[0] seriously[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ben affleck , playing one of the actors in the company , shows great range , both in his accent ( his is almost as good as paltrow's ) and in humor ( he has some of the best one-liners in the movie ) . 	ben affleck , playing one of the actors in the company , shows great range , both in his accent ( his is almost as good as paltrow's ) and in humor ( he has some of the best one-liners in the movie ) .	3	-1	 ben[0] affleck[0] playing[1] one[0] of[0] the[0] actors[0] in[0] the[0] company[0] shows[0] great[2] range[0] both[0] in[0] his[0] accent[0] his[0] is[0] almost[0] as[0] good[1] as[0] paltrow's[0] and[0] in[0] humor[2] he[0] has[0] some[0] of[0] the[0] best[1] one[0] liners[0] in[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
colin firth , always stuck playing the sap , does a good job being hateful . 	colin firth , always stuck playing the sap , does a good job being hateful .	2	-4	 colin[0] firth[0] always[0] stuck[0] playing[1] the[0] sap[-1] does[0] a[0] good[1] job[0] being[0] hateful[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
judi dench , however , has the best supporting performance as queen elizabeth : rarely has so much depth been conveyed in so few words . 	judi dench , however , has the best supporting performance as queen elizabeth : rarely has so much depth been conveyed in so few words .	2	-1	 judi[0] dench[0] however[0] has[0] the[0] best[1] supporting[1] performance[0] as[0] queen[0] elizabeth[0] rarely[0] has[0] so[0] much[0] depth[0] been[0] conveyed[0] in[0] so[0] few[0] words[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my single , minor complaint about shakespeare in love is that i feel like i could have been more moved by the end . 	my single , minor complaint about shakespeare in love is that i feel like i could have been more moved by the end .	3	-2	 my[0] single[0] minor[0] complaint[-1] about[0] shakespeare[0] in[0] love[2] is[0] that[0] i[0] feel[0] like[1] i[0] could[0] have[0] been[0] more[0] moved[0] by[0] the[0] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story is moving , but there are a few missed opportunities in the final scenes . 	the story is moving , but there are a few missed opportunities in the final scenes .	1	-2	 the[0] story[0] is[0] moving[0] but[0] there[0] are[0] a[0] few[0] missed[-1] opportunities[0] in[0] the[0] final[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but my quibbling is not important . 	but my quibbling is not important .	1	-1	 but[0] my[0] quibbling[0] is[0] not[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is important is that i acknowledge the quality of this picture , the sheer skill with which it has been written , acted , and produced . 	what is important is that i acknowledge the quality of this picture , the sheer skill with which it has been written , acted , and produced .	1	-1	 what[0] is[0] important[0] is[0] that[0] i[0] acknowledge[0] the[0] quality[0] of[0] this[0] picture[0] the[0] sheer[0] skill[0] with[0] which[0] it[0] has[0] been[0] written[0] acted[0] and[0] produced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shakespeare in love tries so many things , and nails every one of them : it's a film that both loves shakespeare and makes fun of him , a film in which the actors , writers , and director are all perfectly in sync . 	shakespeare in love tries so many things , and nails every one of them : it's a film that both loves shakespeare and makes fun of him , a film in which the actors , writers , and director are all perfectly in sync .	3	-1	 shakespeare[0] in[0] love[2] tries[0] so[0] many[0] things[0] and[0] nails[0] every[0] one[0] of[0] them[0] it's[0] a[0] film[0] that[0] both[0] loves[2] shakespeare[0] and[0] makes[0] fun[1] of[0] him[0] a[0] film[0] in[0] which[0] the[0] actors[0] writers[0] and[0] director[0] are[0] all[0] perfectly[1] in[0] sync[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's also a movie that has the potential to introduce a lot of people to shakespeare's work in a positive way , without seeming condescending or superior . 	it's also a movie that has the potential to introduce a lot of people to shakespeare's work in a positive way , without seeming condescending or superior .	3	-3	 it's[0] also[0] a[0] movie[0] that[0] has[0] the[0] potential[0] to[0] introduce[0] a[0] lot[0] of[0] people[0] to[0] shakespeare's[0] work[0] in[0] a[0] positive[2] way[0] without[0] seeming[0] condescending[-2] or[0] superior[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i admire this film not only because it passes so pleasantly , but because it has lofty aspirations and succeeds in them . 	i admire this film not only because it passes so pleasantly , but because it has lofty aspirations and succeeds in them .	3	-1	 i[0] admire[2] this[0] film[0] not[0] only[0] because[0] it[0] passes[0] so[0] pleasantly[2] but[0] because[0] it[0] has[0] lofty[0] aspirations[0] and[0] succeeds[2] in[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not just any film can poke fun at shakespeare and get away with it . 	not just any film can poke fun at shakespeare and get away with it .	2	-1	 not[0] just[0] any[0] film[0] can[0] poke[0] fun[1] at[0] shakespeare[0] and[0] get[0] away[0] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
