there are times when the success of a particular film depends entirely on one actor's effort . 	Translation	Positive	Negative	EmotionRationale
when he finally got out of prison for good , carter became a rising star as a middleweight pro boxer , seemingly having his career on track , until the police framed him for multiple homicide . 	when he finally got out of prison for good , carter became a rising star as a middleweight pro boxer , seemingly having his career on track , until the police framed him for multiple homicide .	2	-2	 when[0] he[0] finally[0] got[0] out[0] of[0] prison[-1] for[0] good[1] carter[0] became[0] a[0] rising[0] star[0] as[0] a[0] middleweight[0] pro[0] boxer[0] seemingly[0] having[0] his[0] career[0] on[0] track[0] until[0] the[0] police[0] framed[0] him[0] for[0] multiple[0] homicide[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
despite the efforts of political activists and celebrities , he remained imprisoned . 	despite the efforts of political activists and celebrities , he remained imprisoned .	1	-2	 despite[0] the[0] efforts[0] of[0] political[0] activists[0] and[0] celebrities[0] he[0] remained[0] imprisoned[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
flash forward to 1983 , when lesra ( vicellous reon shannon ) a young african-american boy , living with a group of canadian tutors , reads the book carter wrote while in prison . 	flash forward to 1983 , when lesra ( vicellous reon shannon ) a young african-american boy , living with a group of canadian tutors , reads the book carter wrote while in prison .	1	-2	 flash[0] forward[0] to[0] 1983[0] when[0] lesra[0] vicellous[0] reon[0] shannon[0] a[0] young[0] african[0] american[0] boy[0] living[0] with[0] a[0] group[0] of[0] canadian[0] tutors[0] reads[0] the[0] book[0] carter[0] wrote[0] while[0] in[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the book , entitled " the sixteenth round , " opens young lesra's eyes to the injustice that was carter's life , and he vows to help free the incarcerated boxer . 	the book , entitled " the sixteenth round , " opens young lesra's eyes to the injustice that was carter's life , and he vows to help free the incarcerated boxer .	1	-1	 the[0] book[0] entitled[0] the[0] sixteenth[0] round[0] opens[0] young[0] lesra's[0] eyes[0] to[0] the[0] injustice[0] that[0] was[0] carter's[0] life[0] and[0] he[0] vows[0] to[0] help[0] free[0] the[0] incarcerated[0] boxer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lesra convinces his canadian friends ( deborah unger , liev schreiber , john hannah ) to work with him towards his goal . 	lesra convinces his canadian friends ( deborah unger , liev schreiber , john hannah ) to work with him towards his goal .	2	-1	 lesra[0] convinces[0] his[0] canadian[0] friends[1] deborah[0] unger[0] liev[0] schreiber[0] john[0] hannah[0] to[0] work[0] with[0] him[0] towards[0] his[0] goal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the hurricane " leans on denzel washington . 	 " the hurricane " leans on denzel washington .	1	-1	 the[0] hurricane[0] leans[0] on[0] denzel[0] washington[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he must carry virtually every scene by sheer force of will , and he does so brilliantly . 	he must carry virtually every scene by sheer force of will , and he does so brilliantly .	2	-2	 he[0] must[0] carry[0] virtually[0] every[0] scene[0] by[0] sheer[0] force[-1] of[0] will[0] and[0] he[0] does[0] so[0] brilliantly[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's probably accurate to say that washington does not embody rubin carter , because he plays a character far stronger and nobler than any real person could hope to be . 	it's probably accurate to say that washington does not embody rubin carter , because he plays a character far stronger and nobler than any real person could hope to be .	2	-1	 it's[0] probably[0] accurate[0] to[0] say[0] that[0] washington[0] does[0] not[0] embody[0] rubin[0] carter[0] because[0] he[0] plays[1] a[0] character[0] far[0] stronger[0] and[0] nobler[0] than[0] any[0] real[0] person[0] could[0] hope[2][-1 LastWordBoosterStrength] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it would perhaps be more accurate to say that washington embodies the character of rubin carter--a fictional personality invented solely for the film . 	it would perhaps be more accurate to say that washington embodies the character of rubin carter-a fictional personality invented solely for the film .	1	-1	 it[0] would[0] perhaps[0] be[0] more[0] accurate[0] to[0] say[0] that[0] washington[0] embodies[0] the[0] character[0] of[0] rubin[0] carter[0] a[0] fictional[0] personality[0] invented[0] solely[0] for[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actor's work is masterful ; washington throws himself into every moment , refusing to keep the audience at arm's length . 	the actor's work is masterful ; washington throws himself into every moment , refusing to keep the audience at arm's length .	1	-1	 the[0] actor's[0] work[0] is[0] masterful[0] washington[0] throws[0] himself[0] into[0] every[0] moment[0] refusing[0] to[0] keep[0] the[0] audience[0] at[0] arm's[0] length[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we feel everything he feels : the humiliation of having to return to prison after fighting so hard to make something of his life , the pain of having to order his wife to give up the fight , and the utter despair he feels when coming to the conclusion that all hope is lost . 	we feel everything he feels : the humiliation of having to return to prison after fighting so hard to make something of his life , the pain of having to order his wife to give up the fight , and the utter despair he feels when coming to the conclusion that all hope is lost .	3	-4	 we[0] feel[0] everything[0] he[0] feels[0] the[0] humiliation[-3] of[0] having[0] to[0] return[0] to[0] prison[-1] after[0] fighting[-2] so[0] hard[0] to[0] make[0] something[0] of[0] his[0] life[0] the[0] pain[-3] of[0] having[0] to[0] order[0] his[0] wife[0] to[0] give[0] up[0] the[0] fight[-2] and[0] the[0] utter[0] despair[-3] he[0] feels[0] when[0] coming[0] to[0] the[0] conclusion[0] that[0] all[0] hope[2] is[0] lost[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
washington's is a performance of weight and emotional depth . 	washington's is a performance of weight and emotional depth .	1	-2	 washington's[0] is[0] a[0] performance[0] of[0] weight[0] and[0] emotional[-1] depth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he doesn't merely play angry , happy , or sad ; he feels it at the deepest level . 	he doesn't merely play angry , happy , or sad ; he feels it at the deepest level .	2	-4	 he[0] doesn't[0] merely[0] play[0] angry[-3] happy[1] or[0] sad[-3] he[0] feels[0] it[0] at[0] the[0] deepest[0] level[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his work is masterful , and for half of this film i realized that the scene i was watching would not have been nearly as affecting as it was if it had been in the hands of another actor . 	his work is masterful , and for half of this film i realized that the scene i was watching would not have been nearly as affecting as it was if it had been in the hands of another actor .	1	-1	 his[0] work[0] is[0] masterful[0] and[0] for[0] half[0] of[0] this[0] film[0] i[0] realized[0] that[0] the[0] scene[0] i[0] was[0] watching[0] would[0] not[0] have[0] been[0] nearly[0] as[0] affecting[0] as[0] it[0] was[0] if[0] it[0] had[0] been[0] in[0] the[0] hands[0] of[0] another[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
norman jewison directs the film , doing a reasonably good job of pacing and shot selection . 	norman jewison directs the film , doing a reasonably good job of pacing and shot selection .	2	-2	 norman[0] jewison[0] directs[0] the[0] film[0] doing[0] a[0] reasonably[0] good[1] job[0] of[0] pacing[0] and[0] shot[-1] selection[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the hurricane " moves quickly , with no scene drawn out much further than necessary and the narrative galloping along nicely . 	 " the hurricane " moves quickly , with no scene drawn out much further than necessary and the narrative galloping along nicely .	2	-1	 the[0] hurricane[0] moves[0] quickly[0] with[0] no[0] scene[0] drawn[0] out[0] much[0] further[0] than[0] necessary[0] and[0] the[0] narrative[0] galloping[0] along[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jewison handles his multiple flashbacks well ; the audience is always aware of just what the time and place of each scene is , and nothing is terribly confusing . 	jewison handles his multiple flashbacks well ; the audience is always aware of just what the time and place of each scene is , and nothing is terribly confusing .	1	-4	 jewison[0] handles[0] his[0] multiple[0] flashbacks[0] well[0] the[0] audience[0] is[0] always[0] aware[0] of[0] just[0] what[0] the[0] time[0] and[0] place[0] of[0] each[0] scene[0] is[0] and[0] nothing[0] is[0] terribly[-3] confusing[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his boxing scenes , constructed with clear inspiration from " raging bull , " get inside the action very well , and they are believable as real sports footage . 	his boxing scenes , constructed with clear inspiration from " raging bull , " get inside the action very well , and they are believable as real sports footage .	3	-4	 his[0] boxing[0] scenes[0] constructed[0] with[0] clear[0] inspiration[2] from[0] raging[-3] bull[0] get[0] inside[0] the[0] action[0] very[0] well[0] and[0] they[0] are[0] believable[0] as[0] real[0] sports[0] footage[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
jewison puts together a particularly nice scene by utilizing a pretty cool trick : carter is sent to solitary confinement for 90 days when he refuses to wear a prison uniform , and jewison , assisted by some wonderful acting from a game washington , shows how carter gradually starts to lose his mind during the constant solitude , and eventually we get three rubin carters arguing with each other in one cell . 	jewison puts together a particularly nice scene by utilizing a pretty cool trick : carter is sent to solitary confinement for 90 days when he refuses to wear a prison uniform , and jewison , assisted by some wonderful acting from a game washington , shows how carter gradually starts to lose his mind during the constant solitude , and eventually we get three rubin carters arguing with each other in one cell .	3	-2	 jewison[0] puts[0] together[0] a[0] particularly[0] nice[1] scene[0] by[0] utilizing[0] a[0] pretty[2] cool[1] trick[-1] carter[0] is[0] sent[0] to[0] solitary[0] confinement[-1] for[0] 90[0] days[0] when[0] he[0] refuses[-1] to[0] wear[0] a[0] prison[-1] uniform[0] and[0] jewison[0] assisted[0] by[0] some[0] wonderful[2][-1 LastWordBoosterStrength] acting[0] from[0] a[0] game[0] washington[0] shows[0] how[0] carter[0] gradually[0] starts[0] to[0] lose[-1] his[0] mind[0] during[0] the[0] constant[0] solitude[0] and[0] eventually[0] we[0] get[0] three[0] rubin[0] carters[0] arguing[-1] with[0] each[0] other[0] in[0] one[0] cell[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jewison's best achievement in " the hurricane " is succeeding at showing how carter becomes an embittered man during his hard-knock life , and how he is able to break out of that bitterness and learn to trust people again . 	jewison's best achievement in " the hurricane " is succeeding at showing how carter becomes an embittered man during his hard-knock life , and how he is able to break out of that bitterness and learn to trust people again .	3	-2	 jewison's[0] best[1] achievement[0] in[0] the[0] hurricane[0] is[0] succeeding[2] at[0] showing[0] how[0] carter[0] becomes[0] an[0] embittered[0] man[0] during[0] his[0] hard[0] knock[0] life[0] and[0] how[0] he[0] is[0] able[0] to[0] break[0] out[0] of[0] that[0] bitterness[-1] and[0] learn[0] to[0] trust[1] people[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sadly , though , the film's chief failures lie with the screenplay , as with most of the good-but-not-great efforts to round the pike this winter . 	sadly , though , the film's chief failures lie with the screenplay , as with most of the good-but-not-great efforts to round the pike this winter .	2	-3	 sadly[-1] though[0] the[0] film's[0] chief[0] failures[-2] lie[0] with[0] the[0] screenplay[0] as[0] with[0] most[0] of[0] the[0] good[1] but[0] not[0] great[2][NegatedDueToPreviousWord] efforts[0] to[0] round[0] the[0] pike[0] this[0] winter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is much to interest a viewer in " the hurricane , " but it seems that every time the film gets a chance to take the most clich ? d route possible , it does . 	there is much to interest a viewer in " the hurricane , " but it seems that every time the film gets a chance to take the most clich ?<br> d route possible , it does .	2	-1	 there[0] is[0] much[0] to[0] interest[1] a[0] viewer[0] in[0] the[0] hurricane[0] but[0] it[0] seems[0] that[0] every[0] time[0] the[0] film[0] gets[0] a[0] chance[0] to[0] take[0] the[0] most[0] clich[0] [[Sentence=-1,2=word max, 1-5]] d[0] route[0] possible[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
take a look at the supporting characters , for example , who are drawn up as either entirely good or entirely evil . 	take a look at the supporting characters , for example , who are drawn up as either entirely good or entirely evil .	2	-3	 take[0] a[0] look[0] at[0] the[0] supporting[1] characters[0] for[0] example[0] who[0] are[0] drawn[0] up[0] as[0] either[0] entirely[0] good[1] or[0] entirely[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
carter and lesra ( played nicely by shannon , who deserves credit ) are the only real people here ; everyone else is a stereotype . 	carter and lesra ( played nicely by shannon , who deserves credit ) are the only real people here ; everyone else is a stereotype .	2	-1	 carter[0] and[0] lesra[0] played[0] nicely[1] by[0] shannon[0] who[0] deserves[0] credit[0] are[0] the[0] only[0] real[0] people[0] here[0] everyone[0] else[0] is[0] a[0] stereotype[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the canadians are good . 	the canadians are good .	2	-1	 the[0] canadians[0] are[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cops are bad . 	the cops are bad .	1	-2	 the[0] cops[0] are[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the canadians spend most of their time dolefully grinning at each other in their lovey-dovey commune ( and it is a commune , despite the film's failure to make that clear ) , while every racist cop ( especially dan hedaya's ) melts in out of the shadows and glowers at every black person that enters the room . 	the canadians spend most of their time dolefully grinning at each other in their lovey-dovey commune ( and it is a commune , despite the film's failure to make that clear ) , while every racist cop ( especially dan hedaya's ) melts in out of the shadows and glowers at every black person that enters the room .	2	-3	 the[0] canadians[0] spend[0] most[0] of[0] their[0] time[0] dolefully[0] grinning[1] at[0] each[0] other[0] in[0] their[0] lovey[0] dovey[0] commune[0] and[0] it[0] is[0] a[0] commune[0] despite[0] the[0] film's[0] failure[-2] to[0] make[0] that[0] clear[0] while[0] every[0] racist[-1] cop[0] especially[0] dan[0] hedaya's[0] melts[0] in[0] out[0] of[0] the[0] shadows[0] and[0] glowers[0] at[0] every[0] black[0] person[0] that[0] enters[0] the[0] room[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
much of the dialogue comes off as rather hokey ( " hate put me in prison . 	much of the dialogue comes off as rather hokey ( " hate put me in prison .	1	-4	 much[0] of[0] the[0] dialogue[0] comes[0] off[0] as[0] rather[0] hokey[0] hate[-3] put[0] me[0] in[0] prison[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
love's gonna bust me out . " ) , and the big courtroom climax during which everyone gets to make an impassioned speech could have been lifted from a made-for-tv lifetime special . 	love's gonna bust me out .<br> " ) , and the big courtroom climax during which everyone gets to make an impassioned speech could have been lifted from a made-for-tv lifetime special .	2	-1	 love's[0] gonna[0] bust[0] me[0] out[0] [[Sentence=-1,1=word max, 1-5]] and[0] the[0] big[0] courtroom[0] climax[0] during[0] which[0] everyone[0] gets[0] to[0] make[0] an[0] impassioned[0] speech[0] could[0] have[0] been[0] lifted[0] from[0] a[0] made[0] for[0] tv[0] lifetime[0] special[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's too bad . 	it's too bad .	1	-2	 it's[0] too[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast is game , the director does his job , and the subject matter is interesting , but the script takes the safer , slightly more boring route far too often . 	the cast is game , the director does his job , and the subject matter is interesting , but the script takes the safer , slightly more boring route far too often .	2	-2	 the[0] cast[0] is[0] game[0] the[0] director[0] does[0] his[0] job[0] and[0] the[0] subject[0] matter[0] is[0] interesting[1] but[0] the[0] script[0] takes[0] the[0] safer[1] slightly[0] more[0] boring[-1] route[0] far[0] too[0] often[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i wanted a real reason for the cop to hold a grudge against carter other than " he's a racist pig . " 	i wanted a real reason for the cop to hold a grudge against carter other than " he's a racist pig .<br> "	1	-2	 i[0] wanted[0] a[0] real[0] reason[0] for[0] the[0] cop[0] to[0] hold[0] a[0] grudge[-1] against[-1] carter[0] other[0] than[0] he's[0] a[0] racist[-1] pig[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wanted more evidence that these canadians are real people with faults and virtues instead of a bunch of saintly crusaders looking for justice . 	i wanted more evidence that these canadians are real people with faults and virtues instead of a bunch of saintly crusaders looking for justice .	3	-2	 i[0] wanted[0] more[0] evidence[0] that[0] these[0] canadians[0] are[0] real[0] people[0] with[0] faults[-1] and[0] virtues[2] instead[0] of[0] a[0] bunch[0] of[0] saintly[0] crusaders[0] looking[0] for[0] justice[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in short , i wanted to see the film through a less distorted lens . 	in short , i wanted to see the film through a less distorted lens .	1	-2	 in[0] short[0] i[0] wanted[0] to[0] see[0] the[0] film[0] through[0] a[0] less[0] distorted[-1] lens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
criticism has been levied against the liberties " the hurricane " takes with the truth of what really happened to carter , and much of it is deserved . 	criticism has been levied against the liberties " the hurricane " takes with the truth of what really happened to carter , and much of it is deserved .	2	-2	 criticism[-1] has[0] been[0] levied[0] against[-1] the[0] liberties[0] the[0] hurricane[0] takes[0] with[0] the[0] truth[1] of[0] what[0] really[0] happened[0] to[0] carter[0] and[0] much[0] of[0] it[0] is[0] deserved[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for example , the film gives us a boxing scene showing carter pummeling defending champ joey giardello , only to be screwed by the judges , who ruled giardello the winner . 	for example , the film gives us a boxing scene showing carter pummeling defending champ joey giardello , only to be screwed by the judges , who ruled giardello the winner .	2	-1	 for[0] example[0] the[0] film[0] gives[0] us[0] a[0] boxing[0] scene[0] showing[0] carter[0] pummeling[0] defending[0] champ[0] joey[0] giardello[0] only[0] to[0] be[0] screwed[0] by[0] the[0] judges[0] who[0] ruled[0] giardello[0] the[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most accounts of the fight , however , have carter losing fairly . 	most accounts of the fight , however , have carter losing fairly .	1	-3	 most[0] accounts[0] of[0] the[0] fight[-2] however[0] have[0] carter[0] losing[-2] fairly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
furthermore , much of carter's criminal past is conveniently left out of the film , and just why he was convicted again in his second trial is never really explained . 	furthermore , much of carter's criminal past is conveniently left out of the film , and just why he was convicted again in his second trial is never really explained .	1	-2	 furthermore[0] much[0] of[0] carter's[0] criminal[-1] past[0] is[0] conveniently[0] left[0] out[0] of[0] the[0] film[0] and[0] just[0] why[0] he[0] was[0] convicted[-1] again[0] in[0] his[0] second[0] trial[0] is[0] never[0] really[0] explained[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , " the hurricane " works mainly as a fable , so digressions from the truth can be excused at least partially , but even dismissing such issues don't remove one fact : " the hurricane " is a highly flawed film . 	of course , " the hurricane " works mainly as a fable , so digressions from the truth can be excused at least partially , but even dismissing such issues don't remove one fact : " the hurricane " is a highly flawed film .	2	-2	 of[0] course[0] the[0] hurricane[0] works[0] mainly[0] as[0] a[0] fable[0] so[0] digressions[0] from[0] the[0] truth[1] can[0] be[0] excused[0] at[0] least[0] partially[0] but[0] even[0] dismissing[-1] such[0] issues[0] don't[0] remove[0] one[0] fact[0] the[0] hurricane[0] is[0] a[0] highly[0] flawed[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
only one actor could have made a schmaltzy , predictable picture like this work as well as it does , and it's a good thing " the hurricane " has that actor . 	only one actor could have made a schmaltzy , predictable picture like this work as well as it does , and it's a good thing " the hurricane " has that actor .	2	-1	 only[0] one[0] actor[0] could[0] have[0] made[0] a[0] schmaltzy[0] predictable[0] picture[0] like[1] this[0] work[0] as[0] well[0] as[0] it[0] does[0] and[0] it's[0] a[0] good[1] thing[0] the[0] hurricane[0] has[0] that[0] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carter has been quoted as saying , " denzel washington is making me look good , " but he's not the only one . 	carter has been quoted as saying , " denzel washington is making me look good , " but he's not the only one .	2	-1	 carter[0] has[0] been[0] quoted[0] as[0] saying[0] denzel[0] washington[0] is[0] making[0] me[0] look[0] good[1] but[0] he's[0] not[0] the[0] only[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
washington makes this film look good . 	washington makes this film look good .	2	-1	 washington[0] makes[0] this[0] film[0] look[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
denzel washington's " the hurricane . " 	denzel washington's " the hurricane .<br> "	1	-1	 denzel[0] washington's[0] the[0] hurricane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sounds pretty good to me . 	sounds pretty good to me .	3	-1	 sounds[0] pretty[2] good[1] to[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
