 " say , any of you know how to madison ? " 	Translation	Positive	Negative	EmotionRationale
prints of the film started to be distributed to theaters in small amounts and were circulating at midnight shows across the country , and it was then that a whole new audience found the film . 	prints of the film started to be distributed to theaters in small amounts and were circulating at midnight shows across the country , and it was then that a whole new audience found the film .	1	-1	 prints[0] of[0] the[0] film[0] started[0] to[0] be[0] distributed[0] to[0] theaters[0] in[0] small[0] amounts[0] and[0] were[0] circulating[0] at[0] midnight[0] shows[0] across[0] the[0] country[0] and[0] it[0] was[0] then[0] that[0] a[0] whole[0] new[0] audience[0] found[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this new audience was prone to dressing up like the characters from the film , acting out segments in front of the screen as the movie played , yelling rude comments at the screen , and just generally having a good time . 	this new audience was prone to dressing up like the characters from the film , acting out segments in front of the screen as the movie played , yelling rude comments at the screen , and just generally having a good time .	2	-3	 this[0] new[0] audience[0] was[0] prone[0] to[0] dressing[0] up[0] like[1] the[0] characters[0] from[0] the[0] film[0] acting[0] out[0] segments[0] in[0] front[0] of[0] the[0] screen[0] as[0] the[0] movie[0] played[0] yelling[0] rude[-2] comments[0] at[0] the[0] screen[0] and[0] just[0] generally[0] having[0] a[0] good[1] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
word quickly spread about this new phenomena of interactive film and the rocky horror picture show's life as the ultimate cult film was born . 	word quickly spread about this new phenomena of interactive film and the rocky horror picture show's life as the ultimate cult film was born .	1	-4	 word[0] quickly[0] spread[0] about[0] this[0] new[0] phenomena[0] of[0] interactive[0] film[0] and[0] the[0] rocky[0] horror[-3] picture[0] show's[0] life[0] as[0] the[0] ultimate[0] cult[0] film[0] was[0] born[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for the virgins out there who are unaware , the plot centers around a loving couple , brad majors ( barry bostwick ) and janet weiss ( susan sarandon ) , who come from a small town called denton . 	for the virgins out there who are unaware , the plot centers around a loving couple , brad majors ( barry bostwick ) and janet weiss ( susan sarandon ) , who come from a small town called denton .	4	-2	 for[0] the[0] virgins[0] out[0] there[0] who[0] are[0] unaware[0] the[0] plot[0] centers[0] around[0] a[0] loving[3] couple[0] brad[0] majors[0] barry[0] bostwick[0] and[0] janet[0] weiss[0] susan[0] sarandon[0] who[0] come[0] from[0] a[0] small[0] town[0] called[0] denton[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
brad and janet have just attended the wedding of two of their friends and decide that they also want to be wed . 	brad and janet have just attended the wedding of two of their friends and decide that they also want to be wed .	2	-1	 brad[0] and[0] janet[0] have[0] just[0] attended[0] the[0] wedding[0] of[0] two[0] of[0] their[0] friends[1] and[0] decide[0] that[0] they[0] also[0] want[0] to[0] be[0] wed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they plan a trip to see the man who led to their meeting , dr . everett scott ( jonathan adams , who played the narrator in the original stage version ) , but their car gets a flat on the way to his home . 	they plan a trip to see the man who led to their meeting , dr .<br> everett scot ( jonathan adams , who played the narrator in the original stage version ) , but their car gets a flat on the way to his home .	1	-1	 they[0] plan[0] a[0] trip[0] to[0] see[0] the[0] man[0] who[0] led[0] to[0] their[0] meeting[0] dr[0] [[Sentence=-1,1=word max, 1-5]] everett[0] scott/scot[0] jonathan[0] adams[0] who[0] played[0] the[0] narrator[0] in[0] the[0] original[0] stage[0] version[0] but[0] their[0] car[0] gets[0] a[0] flat[0] on[0] the[0] way[0] to[0] his[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remembering a castle they had seen back a few miles down the road , they decide to walk there and see if the residents have a phone they might be able to use to call for assistance . 	remembering a castle they had seen back a few miles down the road , they decide to walk there and see if the residents have a phone they might be able to use to call for assistance .	1	-1	 remembering[0] a[0] castle[0] they[0] had[0] seen[0] back[0] a[0] few[0] miles[0] down[0] the[0] road[0] they[0] decide[0] to[0] walk[0] there[0] and[0] see[0] if[0] the[0] residents[0] have[0] a[0] phone[0] they[0] might[0] be[0] able[0] to[0] use[0] to[0] call[0] for[0] assistance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the castle is actually the home of a race of aliens from the planet transsexual ( in the galaxy of transylvania ) , who are lead by the eccentric fishnet-stocking wearing mad scientist dr . frank-n-furter ( tim curry ) . 	the castle is actually the home of a race of aliens from the planet transsexual ( in the galaxy of transylvania ) , who are lead by the eccentric fishnet-stocking wearing mad scientist dr .<br> frank-n-furter ( tim curry ) .	1	-2	 the[0] castle[0] is[0] actually[0] the[0] home[0] of[0] a[0] race[0] of[0] aliens[0] from[0] the[0] planet[0] transsexual[0] in[0] the[0] galaxy[0] of[0] transylvania[0] who[0] are[0] lead[0] by[0] the[0] eccentric[-1] fishnet[0] stocking[0] wearing[0] mad[-1] scientist[0] dr[0] [[Sentence=-2,1=word max, 1-5]] frank[0] n[0] furter[0] tim[0] curry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
frank-n-furter has masterminded the secret to creating life and has done so in the form of rocky ( peter hinwood ) . 	frank-n-furter has masterminded the secret to creating life and has done so in the form of rocky ( peter hinwood ) .	1	-1	 frank[0] n[0] furter[0] has[0] masterminded[0] the[0] secret[0] to[0] creating[0] life[0] and[0] has[0] done[0] so[0] in[0] the[0] form[0] of[0] rocky[0] peter[0] hinwood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as rocky becomes accustomed to his new environment , brad and janet find themselves at the mercy of frank-n-furter's mad schemes . 	as rocky becomes accustomed to his new environment , brad and janet find themselves at the mercy of frank-n-furter's mad schemes .	1	-2	 as[0] rocky[0] becomes[0] accustomed[-1] to[0] his[0] new[0] environment[0] brad[0] and[0] janet[0] find[0] themselves[0] at[0] the[0] mercy[0] of[0] frank[0] n[0] furter's[0] mad[-1] schemes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
little do any of them know that the doctor's handyman , riff-raff ( original author richard o'brien ) , and domestic , magenta ( patricia quinn ) , are actually transsexual planetary protectors who have been sent to stop frank from spreading his alien evil all over the earth . 	little do any of them know that the doctor's handyman , riff-raff ( original author richard o'brien ) , and domestic , magenta ( patricia quin ) , are actually transsexual planetary protectors who have been sent to stop frank from spreading his alien evil all over the earth .	1	-3	 little[0] do[0] any[0] of[0] them[0] know[0] that[0] the[0] doctor's[0] handyman[0] riff[0] raff[0] original[0] author[0] richard[0] o'brien[0] and[0] domestic[0] magenta[0] patricia[0] quinn/quin[0] are[0] actually[0] transsexual[0] planetary[0] protectors[0] who[0] have[0] been[0] sent[0] to[0] stop[0] frank[0] from[0] spreading[0] his[0] alien[-1] evil[-2] all[0] over[0] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
going back and revisiting this film after ten years ( 1990 being the first time i had ever seen it ) , it is amazing to me that this film ever got made or has had the staying power that it has . 	going back and revisiting this film after ten years ( 1990 being the first time i had ever seen it ) , it is amazing to me that this film ever got made or has had the staying power that it has .	3	-1	 going[0] back[0] and[0] revisiting[0] this[0] film[0] after[0] ten[0] years[0] 1990[0] being[0] the[0] first[0] time[0] i[0] had[0] ever[0] seen[0] it[0] it[0] is[0] amazing[2] to[0] me[0] that[0] this[0] film[0] ever[0] got[0] made[0] or[0] has[0] had[0] the[0] staying[0] power[0] that[0] it[0] has[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if i had been a fox executive around the time of its release , i don't think i would have known what to make of it either . 	if i had been a fox executive around the time of its release , i don't think i would have known what to make of it either .	1	-1	 if[0] i[0] had[0] been[0] a[0] fox[0] executive[0] around[0] the[0] time[0] of[0] its[0] release[0] i[0] don't[0] think[0] i[0] would[0] have[0] known[0] what[0] to[0] make[0] of[0] it[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all intents and purposes it is a bad movie ( though bad in a really good sort of way ) , but sumptuous production design and a great deal of incredibly catchy songs really help to increase the likability of the film . 	for all intents and purposes it is a bad movie ( though bad in a really good sort of way ) , but sumptuous production design and a great deal of incredibly catchy songs really help to increase the likability of the film .	3	-2	 for[0] all[0] intents[0] and[0] purposes[0] it[0] is[0] a[0] bad[-1] movie[0] though[0] bad[-1] in[0] a[0] really[0] good[1][1 LastWordBoosterStrength] sort[0] of[0] way[0] but[0] sumptuous[0] production[0] design[0] and[0] a[0] great[2] deal[0] of[0] incredibly[0] catchy[0] songs[0] really[0] help[0] to[0] increase[0] the[0] likability[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
by the time the credits role , it is fairly easy to have gotten wrapped up in the film and its characters , and one really gets the feeling that richard o'brien definitely was a fan of the old cheesy b-movies his film is based on . 	by the time the credits role , it is fairly easy to have gotten wrapped up in the film and its characters , and one really gets the feeling that richard o'brien definitely was a fan of the old cheesy b-movies his film is based on .	1	-1	 by[0] the[0] time[0] the[0] credits[0] role[0] it[0] is[0] fairly[0] easy[0] to[0] have[0] gotten[0] wrapped[0] up[0] in[0] the[0] film[0] and[0] its[0] characters[0] and[0] one[0] really[0] gets[0] the[0] feeling[0] that[0] richard[0] o'brien[0] definitely[0] was[0] a[0] fan[0] of[0] the[0] old[0] cheesy[0] b[0] movies[0] his[0] film[0] is[0] based[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i say that the wall-to-wall songs are catchy what i really mean to say is that , once you hear them , they will be ingrained in your head for all of eternity . 	when i say that the wall-to-wall songs are catchy what i really mean to say is that , once you hear them , they will be ingrained in your head for all of eternity .	1	-1	 when[0] i[0] say[0] that[0] the[0] wall[0] to[0] wall[0] songs[0] are[0] catchy[0] what[0] i[0] really[0] mean[0] to[0] say[0] is[0] that[0] once[0] you[0] hear[0] them[0] they[0] will[0] be[0] ingrained[0] in[0] your[0] head[0] for[0] all[0] of[0] eternity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it goes without saying that the " time warp " is the most popular song in the film . 	it goes without saying that the " time warp " is the most popular song in the film .	1	-2	 it[0] goes[0] without[0] saying[0] that[0] the[0] time[0] warp[-1] is[0] the[0] most[0] popular[0] song[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even people who have never seen the movie know of that particular song . 	even people who have never seen the movie know of that particular song .	1	-1	 even[0] people[0] who[0] have[0] never[0] seen[0] the[0] movie[0] know[0] of[0] that[0] particular[0] song[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what those who haven't seen the movie don't know though , is that there are even more songs in the film that are just as worthy of acknowledgment . 	what those who haven't seen the movie don't know though , is that there are even more songs in the film that are just as worthy of acknowledgment .	1	-1	 what[0] those[0] who[0] haven't[0] seen[0] the[0] movie[0] don't[0] know[0] though[0] is[0] that[0] there[0] are[0] even[0] more[0] songs[0] in[0] the[0] film[0] that[0] are[0] just[0] as[0] worthy[0] of[0] acknowledgment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my personal favorite is " over at the frankenstein place " , but " dammit janet " is also maddeningly catchy . 	my personal favorite is " over at the frankenstein place " , but " dammit janet " is also maddeningly catchy .	2	-3	 my[0] personal[0] favorite[1] is[0] over[0] at[0] the[0] frankenstein[0] place[0] but[0] dammit[0] janet[0] is[0] also[0] maddeningly[-2] catchy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tim curry's vocals on the rocking tune " sweet transvestite " need to be heard to be believed . 	tim curry's vocals on the rocking tune " sweet transvestite " need to be heard to be believed .	2	-1	 tim[0] curry's[0] vocals[0] on[0] the[0] rocking[0] tune[0] sweet[1] transvestite[0] need[0] to[0] be[0] heard[0] to[0] be[0] believed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the finale of the film , a big floor show staged by frank-n-furter and featuring most of the cast in garters and fishnets ( including barry bostwick . . . 	the finale of the film , a big floor show staged by frank-n-furter and featuring most of the cast in garters and fishnets ( including barry bostwick .<br> .<br> .	1	-1	 the[0] finale[0] of[0] the[0] film[0] a[0] big[0] floor[0] show[0] staged[0] by[0] frank[0] n[0] furter[0] and[0] featuring[0] most[0] of[0] the[0] cast[0] in[0] garters[0] and[0] fishnets[0] including[0] barry[0] bostwick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frightening ! ) , features no less than four songs ( " rose tint my world " , " don't dream it " , " wild and untamed thing " , and " i'm going home " ) , all of which are immensely singable . 	frightening !<br> ) , features no less than four songs ( " rose tint my world " , " don't dream it " , " wild and untamed thing " , and " i'm going home " ) , all of which are immensely singable .	1	-4	 frightening[-3] [[Sentence=-4,1=word max, 1-5]] features[0] no[0] less[0] than[0] four[0] songs[0] rose[0] tint[0] my[0] world[0] don't[0] dream[0] it[0] wild[0] and[0] untamed[0] thing[0] and[0] i'm[0] going[0] home[0] all[0] of[0] which[0] are[0] immensely[0] singable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film's true popularity and longevity resides in its audience participation though . 	the film's true popularity and longevity resides in its audience participation though .	2	-1	 the[0] film's[0] true[1] popularity[1] and[0] longevity[0] resides[0] in[0] its[0] audience[0] participation[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite the catchiness of the songs , this movie would have been long forgotten about if it hadn't have been for the multitude of folks who dress up every friday or saturday night to rush out and be a part of their own little floor show . 	despite the catchiness of the songs , this movie would have been long forgotten about if it hadn't have been for the multitude of folks who dress up every friday or saturday night to rush out and be a part of their own little floor show .	1	-1	 despite[0] the[0] catchiness[0] of[0] the[0] songs[0] this[0] movie[0] would[0] have[0] been[0] long[0] forgotten[0] about[0] if[0] it[0] hadn't[0] have[0] been[0] for[0] the[0] multitude[0] of[0] folks[0] who[0] dress[0] up[0] every[0] friday[0] or[0] saturday[0] night[0] to[0] rush[0] out[0] and[0] be[0] a[0] part[0] of[0] their[0] own[0] little[0] floor[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching this film at home is nothing compared to actually experiencing this in a theater with hundreds of rabid fans ( unless you don't mind inviting friends over and letting them shoot water guns in your home or letting them throw rice and pieces of toast all over the place ) . 	watching this film at home is nothing compared to actually experiencing this in a theater with hundreds of rabid fans ( unless you don't mind inviting friends over and letting them shoot water guns in your home or letting them throw rice and pieces of toast all over the place ) .	2	-2	 watching[0] this[0] film[0] at[0] home[0] is[0] nothing[0] compared[0] to[0] actually[0] experiencing[0] this[0] in[0] a[0] theater[0] with[0] hundreds[0] of[0] rabid[0] fans[0] unless[0] you[0] don't[0] mind[0] inviting[0] friends[1] over[0] and[0] letting[0] them[0] shoot[-1] water[0] guns[-1] in[0] your[0] home[0] or[0] letting[0] them[0] throw[0] rice[0] and[0] pieces[0] of[0] toast[0] all[0] over[0] the[0] place[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
note : director jim sharman brought back to the central characters of the film , in the form of a sequel , resulting in the very much forgotten film shock treatment , which picks up with brad and janet ( this time played by cliff de young and jessica harper ! ) as contestants on a game show in their home town of denton . 	note : director jim sharman brought back to the central characters of the film , in the form of a sequel , resulting in the very much forgotten film shock treatment , which picks up with brad and janet ( this time played by cliff de young and jessica harper !<br> ) as contestants on a game show in their home town of denton .	1	-3	 note[0] director[0] jim[0] sharman[0] brought[0] back[0] to[0] the[0] central[0] characters[0] of[0] the[0] film[0] in[0] the[0] form[0] of[0] a[0] sequel[0] resulting[0] in[0] the[0] very[0] much[0] forgotten[0] film[0] shock[-2] treatment[0] which[0] picks[0] up[0] with[0] brad[0] and[0] janet[0] this[0] time[0] played[0] by[0] cliff[0] de[0] young[0] and[0] jessica[0] harper[0] [[Sentence=-3,1=word max, 1-5]] as[0] contestants[0] on[0] a[0] game[0] show[0] in[0] their[0] home[0] town[0] of[0] denton[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two are menaced by the evil tv station manager ( also played by de young ) , who wishes to claim janet as his own . 	the two are menaced by the evil tv station manager ( also played by de young ) , who wishes to claim janet as his own .	1	-3	 the[0] two[0] are[0] menaced[0] by[0] the[0] evil[-2] tv[0] station[0] manager[0] also[0] played[0] by[0] de[0] young[0] who[0] wishes[0] to[0] claim[0] janet[0] as[0] his[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
o'brien returned as a writer/performer on the project ( as did quinn , campbell , and gray in performance capacity only ) , but the film had nowhere near the spirit of the original . 	o'brien returned as a writer/performer on the project ( as did quin , campbell , and gray in performance capacity only ) , but the film had nowhere near the spirit of the original .	1	-1	 o'brien[0] returned[0] as[0] a[0] writer/performer[0] on[0] the[0] project[0] as[0] did[0] quinn/quin[0] campbell[0] and[0] gray[0] in[0] performance[0] capacity[0] only[0] but[0] the[0] film[0] had[0] nowhere[0] near[0] the[0] spirit[0] of[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
25 years later , this film is still the pinnacle of cult filmdom and is continuously screened at midnight all over the world . 	25 years later , this film is still the pinnacle of cult filmdom and is continuously screened at midnight all over the world .	1	-1	 25[0] years[0] later[0] this[0] film[0] is[0] still[0] the[0] pinnacle[0] of[0] cult[0] filmdom[0] and[0] is[0] continuously[0] screened[0] at[0] midnight[0] all[0] over[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a lasting testament to the longevity of the film and its legion of fans , a brand new special edition 2-disc dvd set has been released that is the most comprehensive compendium of rocky horror to date ( even out shining the laserdisc special edition that was released for its 20th anniversary ) . 	as a lasting testament to the longevity of the film and its legion of fans , a brand new special edition 2-disc dvd set has been released that is the most comprehensive compendium of rocky horror to date ( even out shining the laserdisc special edition that was released for its 20th anniversary ) .	2	-4	 as[0] a[0] lasting[0] testament[0] to[0] the[0] longevity[0] of[0] the[0] film[0] and[0] its[0] legion[0] of[0] fans[0] a[0] brand[0] new[0] special[1] edition[0] 2[0] disc[0] dvd[0] set[0] has[0] been[0] released[0] that[0] is[0] the[0] most[0] comprehensive[0] compendium[0] of[0] rocky[0] horror[-3] to[0] date[0] even[0] out[0] shining[0] the[0] laserdisc[0] special[1] edition[0] that[0] was[0] released[0] for[0] its[0] 20th[0] anniversary[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you are one of those people who can't get enough of the film , this disc should be more than enough to satisfy your appetites . 	if you are one of those people who can't get enough of the film , this disc should be more than enough to satisfy your appetites .	2	-1	 if[0] you[0] are[0] one[0] of[0] those[0] people[0] who[0] can't[0] get[0] enough[0] of[0] the[0] film[0] this[0] disc[0] should[0] be[0] more[0] than[0] enough[0] to[0] satisfy[1] your[0] appetites[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in an attempt to recreate the interactivity of the film , fox home entertainment has released this wonderful 2-disc dvd set loaded with so many extras that it'll take a good eight hours just to take in the majority of it all . 	in an attempt to recreate the interactivity of the film , fox home entertainment has released this wonderful 2-disc dvd set loaded with so many extras that it'll take a good eight hours just to take in the majority of it all .	3	-1	 in[0] an[0] attempt[0] to[0] recreate[0] the[0] interactivity[0] of[0] the[0] film[0] fox[0] home[0] entertainment[0] has[0] released[0] this[0] wonderful[2] 2[0] disc[0] dvd[0] set[0] loaded[0] with[0] so[0] many[0] extras[0] that[0] it'll[0] take[0] a[0] good[1] eight[0] hours[0] just[0] to[0] take[0] in[0] the[0] majority[0] of[0] it[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film itself is located on the first disc and has been given a beautiful transfer that shows it in its original aspect ratio of 1 . 85 : 1 ( enhanced for 16x9 televisions ) . 	the film itself is located on the first disc and has been given a beautiful transfer that shows it in its original aspect ratio of 1 .<br> 85 : 1 ( enhanced for 16x9 televisions ) .	3	-1	 the[0] film[0] itself[0] is[0] located[0] on[0] the[0] first[0] disc[0] and[0] has[0] been[0] given[0] a[0] beautiful[2] transfer[0] that[0] shows[0] it[0] in[0] its[0] original[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,3=word max, 1-5]] 85[0] 1[0] enhanced[0] for[0] 16x9[0] televisions[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the film is presented in two different versions , the us theatrical version and the uk version which adds a musical number during the finale called " superheroes " . 	the film is presented in two different versions , the us theatrical version and the uk version which adds a musical number during the finale called " superheroes " .	1	-1	 the[0] film[0] is[0] presented[0] in[0] two[0] different[0] versions[0] the[0] us[0] theatrical[0] version[0] and[0] the[0] uk[0] version[0] which[0] adds[0] a[0] musical[0] number[0] during[0] the[0] finale[0] called[0] superheroes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for ambitious viewers , the disc also includes a hidden version ( located on the main menu by clicking left from the scene selection menu choice and highlighting a pair of lips in the lower left corner ) which presents the film in the manner it was originally supposed to have been seen . 	for ambitious viewers , the disc also includes a hidden version ( located on the main menu by clicking left from the scene selection menu choice and highlighting a pair of lips in the lower left corner ) which presents the film in the manner it was originally supposed to have been seen .	1	-1	 for[0] ambitious[0] viewers[0] the[0] disc[0] also[0] includes[0] a[0] hidden[0] version[0] located[0] on[0] the[0] main[0] menu[0] by[0] clicking[0] left[0] from[0] the[0] scene[0] selection[0] menu[0] choice[0] and[0] highlighting[0] a[0] pair[0] of[0] lips[0] in[0] the[0] lower[0] left[0] corner[0] which[0] presents[0] the[0] film[0] in[0] the[0] manner[0] it[0] was[0] originally[0] supposed[0] to[0] have[0] been[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
originally , the film was to have been similar to the wizard of oz , with the first half of the it seen in black and white ( and not changing to color until the transylvanians are first revealed to brad and janet during the time warp musical number ) . 	originally , the film was to have been similar to the wizard of oz , with the first half of the it seen in black and white ( and not changing to color until the transylvanians are first revealed to brad and janet during the time warp musical number ) .	1	-2	 originally[0] the[0] film[0] was[0] to[0] have[0] been[0] similar[0] to[0] the[0] wizard[0] of[0] oz[0] with[0] the[0] first[0] half[0] of[0] the[0] it[0] seen[0] in[0] black[0] and[0] white[0] and[0] not[0] changing[0] to[0] color[0] until[0] the[0] transylvanians[0] are[0] first[0] revealed[0] to[0] brad[0] and[0] janet[0] during[0] the[0] time[0] warp[-1] musical[0] number[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
