when andy leaves for cowboy camp , his mother holds a yard sale and scrounges in his room for old toys . 	Translation	Positive	Negative	EmotionRationale
while woody ponders whether to go to japan or to go home to andy , buzz and the boys invade al's toy barn , where the buzz we know is replaced by another buzz who doesn't know he's a toy . 	while woody ponders whether to go to japan or to go home to andy , buz and the boys invade al's toy barn , where the buz we know is replaced by another buz who doesn't know he's a toy .	1	-2	 while[0] woody[0] ponders[0] whether[0] to[0] go[0] to[0] japan[0] or[0] to[0] go[0] home[0] to[0] andy[0] buzz/buz[0] and[0] the[0] boys[0] invade[-1] al's[0] toy[0] barn[0] where[0] the[0] buzz/buz[0] we[0] know[0] is[0] replaced[0] by[0] another[0] buzz/buz[0] who[0] doesn't[0] know[0] he's[0] a[0] toy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the new buzz generates the movie's biggest laughs as he leads the other toys in an assault on " zurg's fortress " ( i . e . , al's apartment building ) . 	the new buz generates the movie's biggest laughs as he leads the other toys in an assault on " zurg's fortress " ( i .<br> e .<br> , al's apartment building ) .	2	-3	 the[0] new[0] buzz/buz[0] generates[0] the[0] movie's[0] biggest[0] laughs[1] as[0] he[0] leads[0] the[0] other[0] toys[0] in[0] an[0] assault[-2] on[0] zurg's[0] fortress[0] i[0] [[Sentence=-3,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] al's[0] apartment[0] building[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
the original " toy story " won me over because its central themes reflected a grown-up sensibility rather than the usual this-is-what-we-think-kids-want-to-hear . 	the original " toy story " won me over because its central themes reflected a grown-up sensibility rather than the usual this-is-what-we-think-kids-want-to-hear .	1	-1	 the[0] original[0] toy[0] story[0] won[0] me[0] over[0] because[0] its[0] central[0] themes[0] reflected[0] a[0] grown[0] up[0] sensibility[0] rather[0] than[0] the[0] usual[0] this[0] is[0] what[0] we[0] think[0] kids[0] want[0] to[0] hear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while most kids' movies take the position that every person is special and has an extraordinary destiny to fulfill , in " toy story " buzz discovered that he wasn't special , that he was just like everyone else . 	while most kids' movies take the position that every person is special and has an extraordinary destiny to fulfil , in " toy story " buz discovered that he wasn't special , that he was just like everyone else .	2	-1	 while[0] most[0] kids'[0] movies[0] take[0] the[0] position[0] that[0] every[0] person[0] is[0] special[1] and[0] has[0] an[0] extraordinary[0] destiny[0] to[0] fulfill/fulfil[0] in[0] toy[0] story[0] buzz/buz[0] discovered[0] that[0] he[0] wasn't[0] special[1] that[0] he[0] was[0] just[0] like[1][-1 LastWordBoosterStrength] everyone[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
buzz sank into a suicidal depression , but woody showed buzz that being a toy was worthwhile because a toy is loved and a toy makes a child happy . 	buz sank into a suicidal depression , but woody showed buz that being a toy was worthwhile because a toy is loved and a toy makes a child happy .	4	-4	 buzz/buz[0] sank[-1] into[0] a[0] suicidal[0] depression[-3] but[0] woody[0] showed[0] buzz/buz[0] that[0] being[0] a[0] toy[0] was[0] worthwhile[1] because[0] a[0] toy[0] is[0] loved[3] and[0] a[0] toy[0] makes[0] a[0] child[0] happy[1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
in other words , it's okay to be ordinary if you have love and a purpose in your life . 	in other words , it's okay to be ordinary if you have love and a purpose in your life .	3	-1	 in[0] other[0] words[0] it's[0] okay[0] to[0] be[0] ordinary[0] if[0] you[0] have[0] love[2] and[0] a[0] purpose[0] in[0] your[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most of us probably come to the same conclusion when we realize that we're not space rangers and we're never going to be . 	most of us probably come to the same conclusion when we realize that we're not space rangers and we're never going to be .	1	-1	 most[0] of[0] us[0] probably[0] come[0] to[0] the[0] same[0] conclusion[0] when[0] we[0] realize[0] that[0] we're[0] not[0] space[0] rangers[0] and[0] we're[0] never[0] going[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " toy story 2 " addresses the question raised by the conclusion drawn by the first movie . 	 " toy story 2 " addresses the question raised by the conclusion drawn by the first movie .	1	-1	 toy[0] story[0] 2[0] addresses[0] the[0] question[0] raised[0] by[0] the[0] conclusion[0] drawn[0] by[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody is forced to recognize that andy will grow up and forget him and that he will likely be discarded , abandoned , or sealed up in a dark box in the attic . 	woody is forced to recognize that andy will grow up and forget him and that he will likely be discarded , abandoned , or sealed up in a dark box in the attic .	1	-2	 woody[0] is[0] forced[0] to[0] recognize[0] that[0] andy[0] will[0] grow[0] up[0] and[0] forget[0] him[0] and[0] that[0] he[0] will[0] likely[0] be[0] discarded[0] abandoned[-1] or[0] sealed[0] up[0] in[0] a[0] dark[0] box[0] in[0] the[0] attic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is another big grown-up theme : everything ends . 	this is another big grown-up theme : everything ends .	1	-1	 this[0] is[0] another[0] big[0] grown[0] up[0] theme[0] everything[0] ends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the theme is introduced early in the movie when woody's arm is torn and andy places him on a shelf rather than taking him to cowboy camp . 	the theme is introduced early in the movie when woody's arm is torn and andy places him on a shelf rather than taking him to cowboy camp .	1	-1	 the[0] theme[0] is[0] introduced[0] early[0] in[0] the[0] movie[0] when[0] woody's[0] arm[0] is[0] torn[0] and[0] andy[0] places[0] him[0] on[0] a[0] shelf[0] rather[0] than[0] taking[0] him[0] to[0] cowboy[0] camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the shelf , woody meets wheezy , who's dusty , broken , and forgotten . 	on the shelf , woody meets wheezy , who's dusty , broken , and forgotten .	1	-2	 on[0] the[0] shelf[0] woody[0] meets[0] wheezy[0] who's[0] dusty[0] broken[-1] and[0] forgotten[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other toys are shocked that woody has been " shelved , " and they worry that woody's ride out to the 25-cent box at the yard sale is a suicide attempt . 	the other toys are shocked that woody has been " shelved , " and they worry that woody's ride out to the 25-cent box at the yard sale is a suicide attempt .	1	-4	 the[0] other[0] toys[0] are[0] shocked[-2] that[0] woody[0] has[0] been[0] shelved[0] and[0] they[0] worry[-3] that[0] woody's[0] ride[0] out[0] to[0] the[0] 25[0] cent[0] box[0] at[0] the[0] yard[0] sale[0] is[0] a[0] suicide[-3] attempt[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after he's stolen , woody has to decide between a long life in a display case and an uncertain future with andy and his pals . 	after he's stolen , woody has to decide between a long life in a display case and an uncertain future with andy and his pals .	1	-2	 after[0] he's[0] stolen[-1] woody[0] has[0] to[0] decide[0] between[0] a[0] long[0] life[0] in[0] a[0] display[0] case[0] and[0] an[0] uncertain[0] future[0] with[0] andy[0] and[0] his[0] pals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , in spite of the heavy themes " toy story 2 " explores , it's also very funny . 	of course , in spite of the heavy themes " toy story 2 " explores , it's also very funny .	3	-4	 of[0] course[0] in[0] spite[-3] of[0] the[0] heavy[0] themes[0] toy[0] story[0] 2[0] explores[0] it's[0] also[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
most of the laughs come from the toys' assault on al's toy barn and on the apartment building . 	most of the laughs come from the toys' assault on al's toy barn and on the apartment building .	2	-3	 most[0] of[0] the[0] laughs[1] come[0] from[0] the[0] toys'[0] assault[-2] on[0] al's[0] toy[0] barn[0] and[0] on[0] the[0] apartment[0] building[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the brief substitution of a new , still delusional buzz was a welcome surprise ; i'd wondered how a sequel could be as funny as the original without the pompous attitude buzz displayed in the original . 	the brief substitution of a new , still delusional buz was a welcome surprise ; i'd wondered how a sequel could be as funny as the original without the pompous attitude buz displayed in the original .	2	-2	 the[0] brief[0] substitution[0] of[0] a[0] new[0] still[0] delusional[-1] buzz/buz[0] was[0] a[0] welcome[1] surprise[0] i'd[0] wondered[0] how[0] a[0] sequel[0] could[0] be[0] as[0] funny[1] as[0] the[0] original[0] without[0] the[0] pompous[-1] attitude[0] buzz/buz[0] displayed[0] in[0] the[0] original[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most of the vocal performances are first-rate . 	most of the vocal performances are first-rate .	1	-1	 most[0] of[0] the[0] vocal[0] performances[0] are[0] first[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tom hanks stands out for the level of enthusiasm he puts into his work . 	tom hanks stands out for the level of enthusiasm he puts into his work .	3	-1	 tom[0] hanks[0] stands[0] out[0] for[0] the[0] level[0] of[0] enthusiasm[2] he[0] puts[0] into[0] his[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , one voice-over also stands out as horribly miscast . 	however , one voice-over also stands out as horribly miscast .	1	-4	 however[0] one[0] voice[0] over[0] also[0] stands[0] out[0] as[0] horribly[-3] miscast[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kelsey grammer sounds nothing like an old prospector . 	kelsey grammer sounds nothing like an old prospector .	2	-1	 kelsey[0] grammer[0] sounds[0] nothing[0] like[1] an[0] old[0] prospector[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although he does a lot of voice-over work in commercials and on " the simpsons " ( as sideshow bob ) , grammer only makes slight variations on his own voice . 	although he does a lot of voice-over work in commercials and on " the simpsons " ( as sideshow bob ) , grammer only makes slight variations on his own voice .	1	-1	 although[0] he[0] does[0] a[0] lot[0] of[0] voice[0] over[0] work[0] in[0] commercials[0] and[0] on[0] the[0] simpsons[0] as[0] sideshow[0] bob[0] grammer[0] only[0] makes[0] slight[0] variations[0] on[0] his[0] own[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he doesn't have the range to pull off a role like stinky pete . 	he doesn't have the range to pull off a role like stinky pete .	2	-3	 he[0] doesn't[0] have[0] the[0] range[0] to[0] pull[0] off[0] a[0] role[0] like[1] stinky[-2] pete[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the animation is even better than in the first . 	the animation is even better than in the first .	1	-1	 the[0] animation[0] is[0] even[0] better[0] than[0] in[0] the[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
especially impressive were the textures of the figures . 	especially impressive were the textures of the figures .	3	-1	 especially[0] impressive[1][1 LastWordBoosterStrength] were[0] the[0] textures[0] of[0] the[0] figures[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we can now see the difference between flesh and plastic ; in the first movie the people looked just like the toys , but now human skin looks soft and has a slight bluish tint . 	we can now see the difference between flesh and plastic ; in the first movie the people looked just like the toys , but now human skin looks soft and has a slight bluish tint .	1	-1	 we[0] can[0] now[0] see[0] the[0] difference[0] between[0] flesh[0] and[0] plastic[0] in[0] the[0] first[0] movie[0] the[0] people[0] looked[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] toys[0] but[0] now[0] human[0] skin[0] looks[0] soft[0] and[0] has[0] a[0] slight[0] bluish[0] tint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can also see that bo peep is porcelain . 	we can also see that bo peep is porcelain .	1	-1	 we[0] can[0] also[0] see[0] that[0] bo[0] peep[0] is[0] porcelain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as you can tell from the long-winded phrasing common in the merchandising -- " disney and pixar's 'toy story 2' " -- this is pixar's coming out party . 	as you can tell from the long-winded phrasing common in the merchandising - " disney and pixar's 'toy story 2' " - this is pixar's coming out party .	1	-1	 as[0] you[0] can[0] tell[0] from[0] the[0] long[0] winded[0] phrasing[0] common[0] in[0] the[0] merchandising[0] disney[0] and[0] pixar's[0] 'toy[0] story[0] 2'[0] this[0] is[0] pixar's[0] coming[0] out[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to celebrate they appended their first project , a hilarious short about two desklamps and a rubber ball , to the beginning of the movie . 	to celebrate they appended their first project , a hilarious short about two desklamps and a rubber ball , to the beginning of the movie .	3	-1	 to[0] celebrate[1] they[0] appended[0] their[0] first[0] project[0] a[0] hilarious[2] short[0] about[0] two[0] desklamps[0] and[0] a[0] rubber[0] ball[0] to[0] the[0] beginning[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they made the short in 1986 , which is incredible when one considers the relatively primitive level of computer technology available then . 	they made the short in 1986 , which is incredible when one considers the relatively primitive level of computer technology available then .	1	-1	 they[0] made[0] the[0] short[0] in[0] 1986[0] which[0] is[0] incredible[0] when[0] one[0] considers[0] the[0] relatively[0] primitive[0] level[0] of[0] computer[0] technology[0] available[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the downside , " toy story 2 " follows the formula of the original so closely that the sequel comes off a bit stale , and some sections tend to drag . 	on the downside , " toy story 2 " follows the formula of the original so closely that the sequel comes off a bit stale , and some sections tend to drag .	1	-2	 on[0] the[0] downside[0] toy[0] story[0] 2[0] follows[0] the[0] formula[0] of[0] the[0] original[0] so[0] closely[0] that[0] the[0] sequel[0] comes[0] off[0] a[0] bit[0] stale[-1] and[0] some[0] sections[0] tend[0] to[0] drag[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall , though , i had a great time and found " story 2 " to be a worthy successor to the first " toy story . " 	overall , though , i had a great time and found " story 2 " to be a worthy successor to the first " toy story .<br> "	3	-1	 overall[0] though[0] i[0] had[0] a[0] great[2] time[0] and[0] found[0] story[0] 2[0] to[0] be[0] a[0] worthy[0] successor[0] to[0] the[0] first[0] toy[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bottom line : this one really is fun for the whole family ! 	bottom line : this one really is fun for the whole family !	2	-1	 bottom[0] line[0] this[0] one[0] really[0] is[0] fun[1] for[0] the[0] whole[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
