maybe the most important thing about this movie is that it's not handled like the hallmark hall of fame movie of the month , because it very well could have been a manipulative tearjerker , broadcasted on abc on a monday night , starring kelly martin and yasmeen bleeth , respectively . 	Translation	Positive	Negative	EmotionRationale
the film tells the story of hilary and jacqueline du pr ? ( rachel griffiths and emily watson , respectively ) , two sisters who are first seen in childhood ( played by auriol evans and keely flanders , respectively ) as the very best of friends . 	the film tells the story of hilary and jacqueline du pr ?<br> ( rachel griffiths and emily watson , respectively ) , two sisters who are first seen in childhood ( played by auriol evans and keely flanders , respectively ) as the very best of friends .	3	-1	 the[0] film[0] tells[0] the[0] story[0] of[0] hilary[0] and[0] jacqueline[0] du[0] pr[0] [[Sentence=-1,1=word max, 1-5]] rachel[0] griffiths[0] and[0] emily[0] watson[0] respectively[2] two[0] sisters[0] who[0] are[0] first[0] seen[0] in[0] childhood[0] played[0] by[0] auriol[0] evans[0] and[0] keely[0] flanders[0] respectively[2] as[0] the[0] very[0] best[1][1 LastWordBoosterStrength] of[0] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are also both musicians , hilary a flutist and jackie a cellist , and when it all begins , both are considered child prodigies , but hilary is seen as the better of the two . 	they are also both musicians , hilary a flutist and jackie a cellist , and when it all begins , both are considered child prodigies , but hilary is seen as the better of the two .	1	-1	 they[0] are[0] also[0] both[0] musicians[0] hilary[0] a[0] flutist[0] and[0] jackie[0] a[0] cellist[0] and[0] when[0] it[0] all[0] begins[0] both[0] are[0] considered[0] child[0] prodigies[0] but[0] hilary[0] is[0] seen[0] as[0] the[0] better[0] of[0] the[0] two[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie , a bit jealous , works and works at her playing skills , and soon the tables are turned . 	jackie , a bit jealous , works and works at her playing skills , and soon the tables are turned .	2	-3	 jackie[0] a[0] bit[0] jealous[-2] works[0] and[0] works[0] at[0] her[0] playing[1] skills[0] and[0] soon[0] the[0] tables[0] are[0] turned[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when they both hit adulthood , hilary strives for a comeback , while her sister is playing in famous halls around the world , but instead of fame , captures the heart of a hapless , joyful conductor , kiffer finzi ( david morissey , in a semi-star-making turn ) . 	when they both hit adulthood , hilary strives for a comeback , while her sister is playing in famous halls around the world , but instead of fame , captures the heart of a hapless , joyful conductor , kiffer finzi ( david morissey , in a semi-star-making turn ) .	3	-2	 when[0] they[0] both[0] hit[0] adulthood[0] hilary[0] strives[0] for[0] a[0] comeback[0] while[0] her[0] sister[0] is[0] playing[1] in[0] famous[0] halls[0] around[0] the[0] world[0] but[0] instead[0] of[0] fame[0] captures[-1] the[0] heart[0] of[0] a[0] hapless[-1] joyful[2] conductor[0] kiffer[0] finzi[0] david[0] morissey[0] in[0] a[0] semi[0] star[0] making[0] turn[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they marry , after a short courtship , and move to a lovely country house , making jackie incredibly jealous since her cello playing becomes a symbol of her current life : when she plays , she has the eyes of the world , but when she stops , she's alone . 	they marry , after a short courtship , and move to a lovely country house , making jackie incredibly jealous since her cello playing becomes a symbol of her current life : when she plays , she has the eyes of the world , but when she stops , she's alone .	2	-5	 they[0] marry[0] after[0] a[0] short[0] courtship[0] and[0] move[0] to[0] a[0] lovely[1] country[0] house[0] making[0] jackie[0] incredibly[0] jealous[-2][-2 LastWordBoosterStrength] since[0] her[0] cello[0] playing[1] becomes[0] a[0] symbol[0] of[0] her[0] current[0] life[0] when[0] she[0] plays[1] she[0] has[0] the[0] eyes[0] of[0] the[0] world[0] but[0] when[0] she[0] stops[0] she's[0] alone[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
she enters into a shallow relationship with an equally famous pianist , daniel barenboim ( james frain ) , in hopes that she may overcloud her sister , but she eventually begins to lose it , and runs away to hilary's country home , where she hopes to gain admittance by hilary to sleep with her husband , since no one she sleeps with gives her any pleasure . 	she enters into a shallow relationship with an equally famous pianist , daniel barenboim ( james frain ) , in hopes that she may overcloud her sister , but she eventually begins to lose it , and runs away to hilary's country home , where she hopes to gain admittance by hilary to sleep with her husband , since no one she sleeps with gives her any pleasure .	3	-2	 she[0] enters[0] into[0] a[0] shallow[-1] relationship[0] with[0] an[0] equally[0] famous[0] pianist[0] daniel[0] barenboim[0] james[0] frain[0] in[0] hopes[1] that[0] she[0] may[0] overcloud[0] her[0] sister[0] but[0] she[0] eventually[0] begins[0] to[0] lose[-1] it[0] and[0] runs[0] away[0] to[0] hilary's[0] country[0] home[0] where[0] she[0] hopes[1] to[0] gain[0] admittance[0] by[0] hilary[0] to[0] sleep[0] with[0] her[0] husband[0] since[0] no[0] one[0] she[0] sleeps[0] with[0] gives[0] her[0] any[0] pleasure[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's all terribly melodramtic , as you can see , and by the time jackie has contracted ms ( in a brilliantly edited scene that surpasses the breakdown scene in the semi-smiliar " shine " in technical and emotional devastation ) , it would have been the time that i could easily call the sign for melodramatic overload if it hadn't been handled in such a way . 	it's all terribly melodramtic , as you can see , and by the time jackie has contracted ms ( in a brilliantly edited scene that surpasses the breakdown scene in the semi-smiliar " shine " in technical and emotional devastation ) , it would have been the time that i could easily call the sign for melodramatic overload if it hadn't been handled in such a way .	3	-5	 it's[0] all[0] terribly[-3] melodramtic[0] as[0] you[0] can[0] see[0] and[0] by[0] the[0] time[0] jackie[0] has[0] contracted[0] ms[0] in[0] a[0] brilliantly[1] edited[0] scene[0] that[0] surpasses[0] the[0] breakdown[-1] scene[0] in[0] the[0] semi[0] smiliar[2] shine[0] in[0] technical[0] and[0] emotional[-1] devastation[-4] it[0] would[0] have[0] been[0] the[0] time[0] that[0] i[0] could[0] easily[0] call[0] the[0] sign[0] for[0] melodramatic[-1] overload[0] if[0] it[0] hadn't[0] been[0] handled[0] in[0] such[0] a[0] way[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
the key thing here is that it's not about her gradual death and slip into insanity but rather that it's about her tumultuous relationship with her sister , which , i might add , is perfectly realized . 	the key thing here is that it's not about her gradual death and slip into insanity but rather that it's about her tumultuous relationship with her sister , which , i might add , is perfectly realized .	2	-3	 the[0] key[0] thing[0] here[0] is[0] that[0] it's[0] not[0] about[0] her[0] gradual[0] death[-2] and[0] slip[0] into[0] insanity[0] but[0] rather[0] that[0] it's[0] about[0] her[0] tumultuous[0] relationship[0] with[0] her[0] sister[0] which[0] i[0] might[0] add[0] is[0] perfectly[1] realized[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their relationship is the most down-to-earth complex entity of the year : they love eachother more than anyone else in the entire world , but they're also completely jealous of one another . 	their relationship is the most down-to-earth complex entity of the year : they love eachother more than anyone else in the entire world , but they're also completely jealous of one another .	3	-4	 their[0] relationship[0] is[0] the[0] most[0] down[0] to[0] earth[0] complex[0] entity[0] of[0] the[0] year[0] they[0] love[2] eachother[0] more[0] than[0] anyone[0] else[0] in[0] the[0] entire[0] world[0] but[0] they're[0] also[0] completely[0] jealous[-2][-1 LastWordBoosterStrength] of[0] one[0] another[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when a young jackie surpasses her playing abilities , she tries in vain to make a comeback but can't , and almost seems to marry to get back at jackie for her success . 	when a young jackie surpasses her playing abilities , she tries in vain to make a comeback but can't , and almost seems to marry to get back at jackie for her success .	3	-3	 when[0] a[0] young[0] jackie[0] surpasses[0] her[0] playing[1] abilities[0] she[0] tries[0] in[0] vain[-2] to[0] make[0] a[0] comeback[0] but[0] can't[0] and[0] almost[0] seems[0] to[0] marry[0] to[0] get[0] back[0] at[0] jackie[0] for[0] her[0] success[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when jackie lands on top and sees her sister marry a wonderful man , she is jealous of her lifestyle to the most extensive brinks that i've ever seen in a film ( only two sisters who truly love eachother would dare share the same man ) . 	when jackie lands on top and sees her sister marry a wonderful man , she is jealous of her lifestyle to the most extensive brinks that i've ever seen in a film ( only two sisters who truly love eachother would dare share the same man ) .	3	-3	 when[0] jackie[0] lands[0] on[0] top[0] and[0] sees[0] her[0] sister[0] marry[0] a[0] wonderful[2] man[0] she[0] is[0] jealous[-2] of[0] her[0] lifestyle[0] to[0] the[0] most[0] extensive[0] brinks[0] that[0] i've[0] ever[0] seen[0] in[0] a[0] film[0] only[0] two[0] sisters[0] who[0] truly[1] love[2] eachother[0] would[0] dare[0] share[0] the[0] same[0] man[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and the whole time , their love for eachother is never doubted or even tested . 	and the whole time , their love for eachother is never doubted or even tested .	3	-1	 and[0] the[0] whole[0] time[0] their[0] love[2] for[0] eachother[0] is[0] never[0] doubted[-1][NegatedDueToPreviousWord] or[0] even[0] tested[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another thing i really liked is emily watson's performance . 	another thing i really liked is emily watson's performance .	4	-1	 another[0] thing[0] i[0] really[0] liked[2][1 LastWordBoosterStrength] is[0] emily[0] watson's[0] performance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i usually make it a note to never overpraise an actor for playing either a drunkard or a lunatic or someone with a mortal disease ( or any combination of the three ) . 	i usually make it a note to never overpraise an actor for playing either a drunkard or a lunatic or someone with a mortal disease ( or any combination of the three ) .	2	-3	 i[0] usually[0] make[0] it[0] a[0] note[0] to[0] never[0] overpraise[0] an[0] actor[0] for[0] playing[1] either[0] a[0] drunkard[-1] or[0] a[0] lunatic[-1] or[0] someone[0] with[0] a[0] mortal[0] disease[-2] or[0] any[0] combination[0] of[0] the[0] three[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my reasoning for this is that it's a fucking easy job . 	my reasoning for this is that it's a fucking easy job .	1	-1	 my[0] reasoning[0] for[0] this[0] is[0] that[0] it's[0] a[0] fucking[0] easy[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the worst case for this very year may be thandie newton in " beloved " : sure , she's good , but what's so tough about playing a woman who stumbles around , slurs her words together , and acts like a three year old inside a 20-year old's body ? 	the worst case for this very year may be thandie newton in " beloved " : sure , she's good , but what's so tough about playing a woman who stumbles around , slurs her words together , and acts like a three year old inside a 20-year old's body ?	3	-3	 the[0] worst[-2] case[0] for[0] this[0] very[0] year[0] may[0] be[0] thandie[0] newton[0] in[0] beloved[2] sure[0] she's[0] good[1] but[0] what's[0] so[0] tough[-1] about[0] playing[1] a[0] woman[0] who[0] stumbles[0] around[0] slurs[0] her[0] words[0] together[0] and[0] acts[0] like[1] a[0] three[0] year[0] old[0] inside[0] a[0] 20[0] year[0] old's[0] body[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
hell , i could play that if i had a pair of breasts . 	hell , i could play that if i had a pair of breasts .	1	-2	 hell[-1] i[0] could[0] play[0] that[0] if[0] i[0] had[0] a[0] pair[0] of[0] breasts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in that same exact movie , though , is a performance by kimberly elise where she has to be the rock that holds the family together as her mother slowly goes insane , her brothers run off never to be seen again , and her mother's lover is scared off . 	in that same exact movie , though , is a performance by kimberly elise where she has to be the rock that holds the family together as her mother slowly goes insane , her brothers run off never to be seen again , and her mother's lover is scared off .	4	-4	 in[0] that[0] same[0] exact[0] movie[0] though[0] is[0] a[0] performance[0] by[0] kimberly[0] elise[0] where[0] she[0] has[0] to[0] be[0] the[0] rock[1] that[0] holds[0] the[0] family[0] together[0] as[0] her[0] mother[0] slowly[0] goes[0] insane[-1] her[0] brothers[0] run[0] off[0] never[0] to[0] be[0] seen[0] again[0] and[0] her[0] mother's[0] lover[3] is[0] scared[-3] off[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
she has to actually deal with real emotions , something much harder than mere stumbling about . 	she has to actually deal with real emotions , something much harder than mere stumbling about .	1	-1	 she[0] has[0] to[0] actually[0] deal[0] with[0] real[0] emotions[0] something[0] much[0] harder[0] than[0] mere[0] stumbling[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the academy of arts and sciences loves loves loves overpraising performances like newtons . 	but the academy of arts and sciences loves loves loves overpraising performances like newtons .	4	-1	 but[0] the[0] academy[0] of[0] arts[0] and[0] sciences[0] loves[2] loves[2][+1 MultiplePositiveWords] loves[2][+1 MultiplePositiveWords] overpraising[0] performances[0] like[1] newtons[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if you don't believe me , look at jack nicholson's performance in " as good as it gets " : great performance , but easy job . 	if you don't believe me , look at jack nicholson's performance in " as good as it gets " : great performance , but easy job .	3	-1	 if[0] you[0] don't[0] believe[0] me[0] look[0] at[0] jack[0] nicholson's[0] performance[0] in[0] as[0] good[1] as[0] it[0] gets[0] great[2] performance[0] but[0] easy[0] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this isn't so for watson , though , because her insanity comes from real emotions , not just a plot point . 	this isn't so for watson , though , because her insanity comes from real emotions , not just a plot point .	1	-1	 this[0] isn't[0] so[0] for[0] watson[0] though[0] because[0] her[0] insanity[0] comes[0] from[0] real[0] emotions[0] not[0] just[0] a[0] plot[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and thanks to the opening sequence , where we see her and hilary as kids , we understand the motives behind all her actions , and by the time she actually contracts ms and begins to loose her sanity and her life , we've already understood that this is the last straw for a woman plagued with terrible neuroses . 	and thanks to the opening sequence , where we see her and hilary as kids , we understand the motives behind all her actions , and by the time she actually contracts ms and begins to loose her sanity and her life , we've already understood that this is the last straw for a woman plagued with terrible neuroses .	2	-4	 and[0] thanks[1] to[0] the[0] opening[0] sequence[0] where[0] we[0] see[0] her[0] and[0] hilary[0] as[0] kids[0] we[0] understand[0] the[0] motives[0] behind[0] all[0] her[0] actions[0] and[0] by[0] the[0] time[0] she[0] actually[0] contracts[0] ms[0] and[0] begins[0] to[0] loose[0] her[0] sanity[0] and[0] her[0] life[0] we've[0] already[0] understood[0] that[0] this[0] is[0] the[0] last[0] straw[0] for[0] a[0] woman[0] plagued[-1] with[0] terrible[-3] neuroses[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
rachel griffiths , who would have otherwise been the understudy to watson's protagonist , actually matches watson step-for-step , because as watson grows insane , and demands unspeakable things from her , griffiths holds her own , and has to deal with what she is able to give her sister who needs emotional help from her . 	rachel griffiths , who would have otherwise been the understudy to watson's protagonist , actually matches watson step-for-step , because as watson grows insane , and demands unspeakable things from her , griffiths holds her own , and has to deal with what she is able to give her sister who needs emotional help from her .	1	-2	 rachel[0] griffiths[0] who[0] would[0] have[0] otherwise[0] been[0] the[0] understudy[0] to[0] watson's[0] protagonist[0] actually[0] matches[0] watson[0] step[0] for[0] step[0] because[0] as[0] watson[0] grows[0] insane[-1] and[0] demands[0] unspeakable[-1] things[0] from[0] her[0] griffiths[0] holds[0] her[0] own[0] and[0] has[0] to[0] deal[0] with[0] what[0] she[0] is[0] able[0] to[0] give[0] her[0] sister[0] who[0] needs[0] emotional[-1] help[0] from[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
griffiths , an otherwise unknown actress ( and watson being famous from " breaking the waves " and " the boxer " ) , is absolutely brilliant , just as absolutely brilliant as watson is , and if the academy and all the other critics groups , who've already deemed watson's performance the best of the year , glance over hers because she's the one who doesn't get to go insane ( read : she gets the boring role ) , then the scream of hysteria you hear will be from me . 	griffiths , an otherwise unknown actress ( and watson being famous from " breaking the waves " and " the boxer " ) , is absolutely brilliant , just as absolutely brilliant as watson is , and if the academy and all the other critics groups , who've already deemed watson's performance the best of the year , glance over hers because she's the one who doesn't get to go insane ( read : she gets the boring role ) , then the scream of hysteria you hear will be from me .	3	-4	 griffiths[0] an[0] otherwise[0] unknown[0] actress[0] and[0] watson[0] being[0] famous[0] from[0] breaking[0] the[0] waves[0] and[0] the[0] boxer[0] is[0] absolutely[0] brilliant[1][1 LastWordBoosterStrength] just[0] as[0] absolutely[0] brilliant[1][1 LastWordBoosterStrength] as[0] watson[0] is[0] and[0] if[0] the[0] academy[0] and[0] all[0] the[0] other[0] critics[0] groups[0] who've[0] already[0] deemed[0] watson's[0] performance[0] the[0] best[1] of[0] the[0] year[0] glance[0] over[0] hers[0] because[0] she's[0] the[0] one[0] who[0] doesn't[0] get[0] to[0] go[0] insane[-1] read[0] she[0] gets[0] the[0] boring[-1] role[0] then[0] the[0] scream[-3] of[0] hysteria[-1] you[0] hear[0] will[0] be[0] from[0] me[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after all , griffiths has the thankless job of keeping things real - the tom cruise role in " rainman " ( the one who should have gotten oscar consideration and not hoffman ) . 	after all , griffiths has the thankless job of keeping things real - the tom cruise role in " rainman " ( the one who should have gotten oscar consideration and not hoffman ) .	1	-1	 after[0] all[0] griffiths[0] has[0] the[0] thankless[0] job[0] of[0] keeping[0] things[0] real[0] the[0] tom[0] cruise[0] role[0] in[0] rainman[0] the[0] one[0] who[0] should[0] have[0] gotten[0] oscar[0] consideration[0] and[0] not[0] hoffman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she does , and if anyone deserves accolades from the academy this year , it's griffiths . 	she does , and if anyone deserves accolades from the academy this year , it's griffiths .	1	-1	 she[0] does[0] and[0] if[0] anyone[0] deserves[0] accolades[0] from[0] the[0] academy[0] this[0] year[0] it's[0] griffiths[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
together , the two actresses work extremely well , though , and both have to go through deep emotional hell , the likes of which haven't been seen this year . 	together , the two actresses work extremely well , though , and both have to go through deep emotional hell , the likes of which haven't been seen this year .	3	-2	 together[0] the[0] two[0] actresses[0] work[0] extremely[0] well[0] though[0] and[0] both[0] have[0] to[0] go[0] through[0] deep[0] emotional[-1] hell[-1] the[0] likes[2] of[0] which[0] haven't[0] been[0] seen[0] this[0] year[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if it hadn't been for an otherwise not-totally-great final section that deals way too much with jackie and not enough with hilary ( when the two had gotten equal treatment for the entirety ) , i'd say this is one of the top ten best films of the year . 	if it hadn't been for an otherwise not-totally-great final section that deals way too much with jackie and not enough with hilary ( when the two had gotten equal treatment for the entirety ) , i'd say this is one of the top ten best films of the year .	2	-4	 if[0] it[0] hadn't[0] been[0] for[0] an[0] otherwise[0] not[0] totally[0] great[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] final[0] section[0] that[0] deals[0] way[0] too[0] much[0] with[0] jackie[0] and[0] not[0] enough[0] with[0] hilary[0] when[0] the[0] two[0] had[0] gotten[0] equal[0] treatment[0] for[0] the[0] entirety[0] i'd[0] say[0] this[0] is[0] one[0] of[0] the[0] top[0] ten[0] best[1] films[0] of[0] the[0] year[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's so close to perfection , in its structure , its treatment of its subject , and its beautiful technical specifications ( cinematography nomination , without a shred of doubt in my mind , and maybe film editing ) , that it's nearly a shame that it's not the flawless gem that it should be . 	it's so close to perfection , in its structure , its treatment of its subject , and its beautiful technical specifications ( cinematography nomination , without a shred of doubt in my mind , and maybe film editing ) , that it's nearly a shame that it's not the flawless gem that it should be .	3	-3	 it's[0] so[0] close[0] to[0] perfection[1] in[0] its[0] structure[0] its[0] treatment[0] of[0] its[0] subject[0] and[0] its[0] beautiful[2] technical[0] specifications[0] cinematography[0] nomination[0] without[0] a[0] shred[-1] of[0] doubt[-1] in[0] my[0] mind[0] and[0] maybe[0] film[0] editing[0] that[0] it's[0] nearly[0] a[0] shame[-2] that[0] it's[0] not[0] the[0] flawless[1][NegatedDueToPreviousWord] gem[0] that[0] it[0] should[0] be[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but , hey , as it is , i can hardly complain . 	but , hey , as it is , i can hardly complain .	2	-2	 but[0] hey[1] as[0] it[0] is[0] i[0] can[0] hardly[0] complain[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
