synopsis : in phantom menace the galaxy is divided into power groups whose interests will inevitably collide in later sequels . 	Translation	Positive	Negative	EmotionRationale
does phantom menace match the exaggerated hype ? 	does phantom menace match the exaggerated hype ?	1	-3	 does[0] phantom[0] menace[-2] match[0] the[0] exaggerated[-1] hype[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director george lucas answers , " it's only a movie . " 	director george lucas answers , " it's only a movie .<br> "	1	-1	 director[0] george[0] lucas[0] answers[0] it's[0] only[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to me , any movie with russian-sounding accents for bad guys , jamaican accents for good guys , and middle eastern-sounding accents for seedy gamblers accents can be expected to be more tongue in cheek than profound . 	to me , any movie with russian-sounding accents for bad guys , jamaican accents for good guys , and middle eastern-sounding accents for seedy gamblers accents can be expected to be more tongue in cheek than profound .	2	-2	 to[0] me[0] any[0] movie[0] with[0] russian[0] sounding[0] accents[0] for[0] bad[-1] guys[0] jamaican[0] accents[0] for[0] good[1] guys[0] and[0] middle[0] eastern[0] sounding[0] accents[0] for[0] seedy[0] gamblers[-1] accents[0] can[0] be[0] expected[0] to[0] be[0] more[0] tongue[0] in[0] cheek[0] than[0] profound[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
visually , star wars : episode i --the phantom menace ( 1999 ) is a kid show where parents can take their young ones to marvel at child-friendly cgi characters and wondrous backdrops even if the character dialogue ( mostly geopolitics ) is beyond the level of children . 	visually , star wars : episode i -the phantom menace ( 199 ) is a kid show where parents can take their young ones to marvel at child-friendly cgi characters and wondrous backdrops even if the character dialogue ( mostly geopolitics ) is beyond the level of children .	2	-3	 visually[0] star[0] wars[-2] episode[0] i[0] the[0] phantom[0] menace[-2] 1999/199[0] is[0] a[0] kid[0] show[0] where[0] parents[0] can[0] take[0] their[0] young[0] ones[0] to[0] marvel[0] at[0] child[0] friendly[1] cgi[0] characters[0] and[0] wondrous[0] backdrops[0] even[0] if[0] the[0] character[0] dialogue[0] mostly[0] geopolitics[0] is[0] beyond[0] the[0] level[0] of[0] children[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is left to parents to patiently explain the conversation : droid origins , family lineage , the definitions of terms like blockade , appeasement , federation , alliance , symbiosis , satellite-controlled robots et cetera . 	it is left to parents to patiently explain the conversation : droid origins , family lineage , the definitions of terms like blockade , appeasement , federation , alliance , symbiosis , satellite-controlled robots et cetera .	2	-2	 it[0] is[0] left[0] to[0] parents[0] to[0] patiently[0] explain[0] the[0] conversation[0] droid[0] origins[0] family[0] lineage[0] the[0] definitions[0] of[0] terms[0] like[1] blockade[-1] appeasement[0] federation[0] alliance[0] symbiosis[0] satellite[0] controlled[0] robots[0] et[0] cetera[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least this much is clear : there's plenty of eye candy , and in the last few minutes it's good guys and joe camel lookalikes versus a caped , horned red devil character and his mechanical hordes . 	at least this much is clear : there's plenty of eye candy , and in the last few minutes it's good guys and joe camel lookalikes versus a caped , horned red devil character and his mechanical hordes .	2	-2	 at[0] least[0] this[0] much[0] is[0] clear[0] there's[0] plenty[0] of[0] eye[0] candy[0] and[0] in[0] the[0] last[0] few[0] minutes[0] it's[0] good[1] guys[0] and[0] joe[0] camel[0] lookalikes[0] versus[0] a[0] caped[0] horned[0] red[0] devil[-1] character[0] and[0] his[0] mechanical[0] hordes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
weaknesses : weaknesses lie in the writing and in the performance . 	weaknesses : weaknesses lie in the writing and in the performance .	1	-2	 weaknesses[-1] weaknesses[-1] lie[0] in[0] the[0] writing[0] and[0] in[0] the[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first it seems like the film is to be an invasion story , but then phantom takes an hour-long detour to cover one chariot race before returning to the invasion theme . 	at first it seems like the film is to be an invasion story , but then phantom takes an hour-long detour to cover one chariot race before returning to the invasion theme .	2	-1	 at[0] first[0] it[0] seems[0] like[1] the[0] film[0] is[0] to[0] be[0] an[0] invasion[0] story[0] but[0] then[0] phantom[0] takes[0] an[0] hour[0] long[0] detour[0] to[0] cover[0] one[0] chariot[0] race[0] before[0] returning[0] to[0] the[0] invasion[0] theme[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this dilutes the central story . 	this dilutes the central story .	1	-1	 this[0] dilutes[0] the[0] central[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
additionally , smaller scenes seem written self consciously , as if they were added more to fill us in on extraneous background information for other movies rather than form an integral part of the present movie . 	additionally , smaller scenes seem written self consciously , as if they were added more to fill us in on extraneous background information for other movies rather than form an integral part of the present movie .	1	-1	 additionally[0] smaller[0] scenes[0] seem[0] written[0] self[0] consciously[0] as[0] if[0] they[0] were[0] added[0] more[0] to[0] fill[0] us[0] in[0] on[0] extraneous[0] background[0] information[0] for[0] other[0] movies[0] rather[0] than[0] form[0] an[0] integral[0] part[0] of[0] the[0] present[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
veteran actors liam neeson and ewan mcgregor noticeably outperform the other acting leads . 	veteran actors liam neeson and ewan mcgregor noticeably outperform the other acting leads .	1	-1	 veteran[0] actors[0] liam[0] neeson[0] and[0] ewan[0] mcgregor[0] noticeably[0] outperform[0] the[0] other[0] acting[0] leads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better ensemble chemistry between the five leads and background information that is central to a tight story line could have made have given phantom stronger performances and storytelling punch . 	better ensemble chemistry between the five leads and background information that is central to a tight story line could have made have given phantom stronger performances and storytelling punch .	1	-2	 better[0] ensemble[0] chemistry[0] between[0] the[0] five[0] leads[0] and[0] background[0] information[0] that[0] is[0] central[0] to[0] a[0] tight[0] story[0] line[0] could[0] have[0] made[0] have[0] given[0] phantom[0] stronger[0] performances[0] and[0] storytelling[0] punch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
strengths : on the bright side phantom menace as a big-budget production is far ahead of the competition in terms of making whimsical creatures , worlds and vehicles appear real . 	strengths : on the bright side phantom menace as a big-budget production is far ahead of the competition in terms of making whimsical creatures , worlds and vehicles appear real .	1	-3	 strengths[0] on[0] the[0] bright[0] side[0] phantom[0] menace[-2] as[0] a[0] big[0] budget[0] production[0] is[0] far[0] ahead[0] of[0] the[0] competition[0] in[0] terms[0] of[0] making[0] whimsical[0] creatures[0] worlds[0] and[0] vehicles[0] appear[0] real[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film boasts sophisticated , top-of-the-line visuals and quality exotic costumes , a musical score entertaining enough to stand alone , and three worthwhile sequences in the second half . 	the film boasts sophisticated , top-of-the-line visuals and quality exotic costumes , a musical score entertaining enough to stand alone , and three worthwhile sequences in the second half .	2	-2	 the[0] film[0] boasts[-1] sophisticated[0] top[0] of[0] the[0] line[0] visuals[0] and[0] quality[0] exotic[0] costumes[0] a[0] musical[0] score[0] entertaining[0] enough[0] to[0] stand[0] alone[0] and[0] three[0] worthwhile[1] sequences[0] in[0] the[0] second[0] half[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bottom line ? 	bottom line ?	1	-1	 bottom[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seeing the film is entertaining and informative , like a visual theme park with star wars filler information serving as dialogue between impressive money shots . 	seeing the film is entertaining and informative , like a visual theme park with star wars filler information serving as dialogue between impressive money shots .	2	-3	 seeing[0] the[0] film[0] is[0] entertaining[0] and[0] informative[0] like[1] a[0] visual[0] theme[0] park[0] with[0] star[0] wars[-2] filler[0] information[0] serving[0] as[0] dialogue[0] between[0] impressive[1] money[0] shots[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we are bound to be completely inundated by star wars publicity , music and tie-ins for the next few months . 	we are bound to be completely inundated by star wars publicity , music and tie-ins for the next few months .	1	-3	 we[0] are[0] bound[0] to[0] be[0] completely[0] inundated[-1][-1 LastWordBoosterStrength] by[0] star[0] wars[-2] publicity[0] music[0] and[0] tie[0] ins[0] for[0] the[0] next[0] few[0] months[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
