stendhal's syndrome : a condition where , in the presence of art , a person becomes engulfed in a painting and hallucinates and may afterwards suffer symptoms such as depression , suicidal behaviour and personality disorder . 	Translation	Positive	Negative	EmotionRationale
the script explores its psycho-sexual themes with intelligence and candour , perhaps too much so for more sensitive viewers . 	the script explores its psycho-sexual themes with intelligence and candour , perhaps too much so for more sensitive viewers .	1	-1	 the[0] script[0] explores[0] its[0] psycho[0] sexual[0] themes[0] with[0] intelligence[0] and[0] candour[0] perhaps[0] too[0] much[0] so[0] for[0] more[0] sensitive[0] viewers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but as dark as its themes are , the stendhal syndrome emerges as one of the most artful and effective european thrillers of the last ten years . 	but as dark as its themes are , the stendhal syndrome emerges as one of the most artful and effective european thrillers of the last ten years .	2	-1	 but[0] as[0] dark[0] as[0] its[0] themes[0] are[0] the[0] stendhal[0] syndrome[0] emerges[0] as[0] one[0] of[0] the[0] most[0] artful[0] and[0] effective[0] european[0] thrillers[1] of[0] the[0] last[0] ten[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
argento is once again working in his native italy , and he fully exploits the opportunities to use art and architecture for both symbolic statements and as departure points for several brilliant hallucinogenic sequences . 	argento is once again working in his native italy , and he fully exploits the opportunities to use art and architecture for both symbolic statements and as departure points for several brilliant hallucinogenic sequences .	2	-1	 argento[0] is[0] once[0] again[0] working[0] in[0] his[0] native[0] italy[0] and[0] he[0] fully[0] exploits[0] the[0] opportunities[0] to[0] use[0] art[0] and[0] architecture[0] for[0] both[0] symbolic[0] statements[0] and[0] as[0] departure[0] points[0] for[0] several[0] brilliant[1] hallucinogenic[0] sequences[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
effects whiz sergio stivaletti serves his director well here , and the cinematography by giuseppe rotunno is consistently excellent . 	effects whiz sergio stivaletti serves his director well here , and the cinematography by giuseppe rotunno is consistently excellent .	4	-1	 effects[0] whiz[0] sergio[0] stivaletti[0] serves[0] his[0] director[0] well[0] here[0] and[0] the[0] cinematography[0] by[0] giuseppe[0] rotunno[0] is[0] consistently[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film's opening 20 minutes segues between hallucination , flashback and real-time with tremendous style . 	the film's opening 20 minutes segues between hallucination , flashback and real-time with tremendous style .	1	-1	 the[0] film's[0] opening[0] 20[0] minutes[0] segues[0] between[0] hallucination[0] flashback[0] and[0] real[0] time[0] with[0] tremendous[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
proof that , at his most inspired , argento remains one of the world's most exhilarating filmmakers . 	proof that , at his most inspired , argento remains one of the world's most exhilarating filmmakers .	3	-1	 proof[0] that[0] at[0] his[0] most[0] inspired[2] argento[0] remains[0] one[0] of[0] the[0] world's[0] most[0] exhilarating[0] filmmakers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cast is generally good , though marred at times by dubbing into english that renders speech all but emotionless . 	the cast is generally good , though marred at times by dubbing into english that renders speech all but emotionless .	2	-1	 the[0] cast[0] is[0] generally[0] good[1] though[0] marred[0] at[0] times[0] by[0] dubbing[0] into[0] english[0] that[0] renders[0] speech[0] all[0] but[0] emotionless[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
asia argento's performance is by turns risky , awkward and fascinating . 	asia argento's performance is by turns risky , awkward and fascinating .	1	-2	 asia[0] argento's[0] performance[0] is[0] by[0] turns[0] risky[-1] awkward[-1] and[0] fascinating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a difficult role , and given her relative inexperience on screen she deserves applause for her efforts . 	it's a difficult role , and given her relative inexperience on screen she deserves applause for her efforts .	2	-2	 it's[0] a[0] difficult[-1] role[0] and[0] given[0] her[0] relative[0] inexperience[0] on[0] screen[0] she[0] deserves[0] applause[1] for[0] her[0] efforts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thomas kretschmann is chillingly effective as alfredo , and marco leonardi ( of cinema paradiso , and possibly the most gorgeous looking man in italy ) does okay as anna's work colleague and increasingly confused love interest . 	thomas kretschman is chillingly effective as alfredo , and marco leonardi ( of cinema paradiso , and possibly the most gorgeous looking man in italy ) does okay as anna's work colleague and increasingly confused love interest .	3	-2	 thomas[0] kretschmann/kretschman[0] is[0] chillingly[0] effective[0] as[0] alfredo[0] and[0] marco[0] leonardi[0] of[0] cinema[0] paradiso[0] and[0] possibly[0] the[0] most[0] gorgeous[2] looking[0] man[0] in[0] italy[0] does[0] okay[0] as[0] anna's[0] work[0] colleague[0] and[0] increasingly[0] confused[-1] love[2] interest[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but perhaps the stendhal syndrome's single most striking element is ennio morricone's soundtrack . 	but perhaps the stendhal syndrome's single most striking element is ennio morricone's soundtrack .	1	-1	 but[0] perhaps[0] the[0] stendhal[0] syndrome's[0] single[0] most[0] striking[0] element[0] is[0] ennio[0] morricone's[0] soundtrack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
active since the 1960's , morricone has scored over 100 films in his career and this must rate as one of his finest efforts . 	active since the 1960's , morricone has scored over 100 films in his career and this must rate as one of his finest efforts .	1	-1	 active[0] since[0] the[0] 1960's[0] morricone[0] has[0] scored[0] over[0] 100[0] films[0] in[0] his[0] career[0] and[0] this[0] must[0] rate[0] as[0] one[0] of[0] his[0] finest[0] efforts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's mostly a variation on the one theme : a slow circular melody for strings and wordless female vocal possessed with an extraordinary , haunting beauty that lingers long afterwards . 	it's mostly a variation on the one theme : a slow circular melody for strings and wordless female vocal possessed with an extraordinary , haunting beauty that lingers long afterwards .	3	-1	 it's[0] mostly[0] a[0] variation[0] on[0] the[0] one[0] theme[0] a[0] slow[0] circular[0] melody[0] for[0] strings[0] and[0] wordless[0] female[0] vocal[0] possessed[0] with[0] an[0] extraordinary[0] haunting[0] beauty[2] that[0] lingers[0] long[0] afterwards[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's been three decades since argento and morricone worked together . 	it's been three decades since argento and morricone worked together .	1	-1	 it's[0] been[0] three[0] decades[0] since[0] argento[0] and[0] morricone[0] worked[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a long welcome reunion . 	this is a long welcome reunion .	2	-1	 this[0] is[0] a[0] long[0] welcome[1] reunion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the film has a fault , it is that the last half hour drags a little and the film doesn't quite reach a completely satisfying climax . 	if the film has a fault , it is that the last half hour drags a little and the film doesn't quite reach a completely satisfying climax .	3	-2	 if[0] the[0] film[0] has[0] a[0] fault[-1] it[0] is[0] that[0] the[0] last[0] half[0] hour[0] drags[0] a[0] little[0] and[0] the[0] film[0] doesn't[0] quite[0] reach[0] a[0] completely[0] satisfying[1][1 LastWordBoosterStrength] climax[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but by the closing scenes , the stendhal syndrome has already offered us enough to qualify as one of the very best films of dario argento's career . 	but by the closing scenes , the stendhal syndrome has already offered us enough to qualify as one of the very best films of dario argento's career .	3	-1	 but[0] by[0] the[0] closing[0] scenes[0] the[0] stendhal[0] syndrome[0] has[0] already[0] offered[0] us[0] enough[0] to[0] qualify[0] as[0] one[0] of[0] the[0] very[0] best[1][1 LastWordBoosterStrength] films[0] of[0] dario[0] argento's[0] career[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * note : see the uncut print from japanese laserdisc if you can . 	 * note : see the uncut print from japanese laserdisc if you can .	1	-1	 note[0] see[0] the[0] uncut[0] print[0] from[0] japanese[0] laserdisc[0] if[0] you[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dubs of this version are available from various video dealers on the world wide web . 	dubs of this version are available from various video dealers on the world wide web .	1	-1	 dubs[0] of[0] this[0] version[0] are[0] available[0] from[0] various[0] video[0] dealers[0] on[0] the[0] world[0] wide[0] web[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
