tempe mills cinema , az--this movie had us in non-stop stitches from beginning to end . 	Translation	Positive	Negative	EmotionRationale
definitely an snl parody of the graduate where katharine ross changed her mind for the screaming dustin hoffman in the church balcony . 	definitely an snl parody of the graduate where katharine ross changed her mind for the screaming dustin hoffman in the church balcony .	1	-4	 definitely[0] an[0] snl[0] parody[0] of[0] the[0] graduate[0] where[0] katharine[0] ross[0] changed[0] her[0] mind[0] for[0] the[0] screaming[-3] dustin[0] hoffman[0] in[0] the[0] church[0] balcony[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i found this scene a riot , however , it went over brandi's head -- she was born seven years after the graduate first appeared . 	i found this scene a riot , however , it went over brandi's head - she was born seven years after the graduate first appeared .	1	-1	 i[0] found[0] this[0] scene[0] a[0] riot[0] however[0] it[0] went[0] over[0] brandi's[0] head[0] she[0] was[0] born[0] seven[0] years[0] after[0] the[0] graduate[0] first[0] appeared[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scene has a good punch line when molly shannon marries , instead , the step-in buddy/weight-lifter ( who looks like he could pass for the son of gary busy ) and who has been lusting for a good-looker for a long time , but ready now to take anyone . 	the scene has a good punch line when molly shannon marries , instead , the step-in buddy/weight-lifter ( who looks like he could pass for the son of gary busy ) and who has been lusting for a good-looker for a long time , but ready now to take anyone .	2	-2	 the[0] scene[0] has[0] a[0] good[1] punch[-1] line[0] when[0] molly[0] shannon[0] marries[0] instead[0] the[0] step[0] in[0] buddy/weight[0] lifter[0] who[0] looks[0] like[1] he[0] could[0] pass[0] for[0] the[0] son[0] of[0] gary[0] busy[0] and[0] who[0] has[0] been[0] lusting[0] for[0] a[0] good[1] looker[0] for[0] a[0] long[0] time[0] but[0] ready[0] now[0] to[0] take[0] anyone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
more art-imitates-life stuff -- not even muscles can substitute for money in the real world . 	more art-imitates-life stuff - not even muscles can substitute for money in the real world .	1	-1	 more[0] art[0] imitates[0] life[0] stuff[0] not[0] even[0] muscles[0] can[0] substitute[0] for[0] money[0] in[0] the[0] real[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the idiots' mother is played by loni anderson , whose barbie-doll looks 	the idiots' mother is played by loni anderson , whose barbie-doll looks	1	-3	 the[0] idiots'[-2] mother[0] is[0] played[0] by[0] loni[0] anderson[0] whose[0] barbie[0] doll[0] looks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't play well anymore ( she's a bit old ) , and whose cleavage looks like someone botched a tracheotomy too low down . 	don't play well anymore ( she's a bit old ) , and whose cleavage looks like someone botched a tracheotomy too low down .	2	-2	 don't[0] play[0] well[0] anymore[0] she's[0] a[0] bit[0] old[0] and[0] whose[0] cleavage[0] looks[0] like[1] someone[0] botched[0] a[0] tracheotomy[0] too[0] low[-1] down[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i recommend this movie for anyone who wants to have a lot of fun or in 	i recommend this movie for anyone who wants to have a lot of fun or in	2	-1	 i[0] recommend[0] this[0] movie[0] for[0] anyone[0] who[0] wants[0] to[0] have[0] a[0] lot[0] of[0] fun[1] or[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
need of a lot of laughs . 	need of a lot of laughs .	2	-1	 need[0] of[0] a[0] lot[0] of[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
go with a date . 	go with a date .	1	-1	 go[0] with[0] a[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brandi laughed non-stop , as i 	brandi laughed non-stop , as i	2	-1	 brandi[0] laughed[1] non[0] stop[0] as[0] i[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
did , and a deaf-mute might have concluded i was tickling her continuously for 105 minutes . 	did , and a deaf-mute might have concluded i was tickling her continuously for 105 minutes .	1	-2	 did[0] and[0] a[0] deaf[-1] mute[0] might[0] have[0] concluded[0] i[0] was[0] tickling[0] her[0] continuously[0] for[0] 105[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
