you've got to love disney . 	Translation	Positive	Negative	EmotionRationale
dale carnegie should have had it so good . 	dale carnegie should have had it so good .	2	-1	 dale[0] carnegie[0] should[0] have[0] had[0] it[0] so[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what's most amazing is that all this success is in spite of a severe lack of originality . 	what's most amazing is that all this success is in spite of a severe lack of originality .	3	-4	 what's[0] most[0] amazing[2] is[0] that[0] all[0] this[0] success[2] is[0] in[0] spite[-3] of[0] a[0] severe[-1] lack[-1] of[0] originality[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
you see , disney animated features these days have two components : theme and plot . 	you see , disney animated features these days have two components : theme and plot .	1	-1	 you[0] see[0] disney[0] animated[0] features[0] these[0] days[0] have[0] two[0] components[0] theme[0] and[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the theme changes with each new movie ; the plot does not . 	the theme changes with each new movie ; the plot does not .	1	-1	 the[0] theme[0] changes[0] with[0] each[0] new[0] movie[0] the[0] plot[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is a mold into which the characters of some ancient fable are dropped , and try as they might to rise above the characters of previous features , they are nearly always destined to do no more than the same . 	the plot is a mold into which the characters of some ancient fable are dropped , and try as they might to rise above the characters of previous features , they are nearly always destined to do no more than the same .	1	-1	 the[0] plot[0] is[0] a[0] mold[0] into[0] which[0] the[0] characters[0] of[0] some[0] ancient[0] fable[0] are[0] dropped[0] and[0] try[0] as[0] they[0] might[0] to[0] rise[0] above[0] the[0] characters[0] of[0] previous[0] features[0] they[0] are[0] nearly[0] always[0] destined[0] to[0] do[0] no[0] more[0] than[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , while the success of a disney animated feature is generally a given as far as box-office receipts , merchandising dollars , and glimmers in the eyes of little children , critically they are as varied as anything else that hollywood has to offer . 	however , while the success of a disney animated feature is generally a given as far as box-office receipts , merchandising dollars , and glimmers in the eyes of little children , critically they are as varied as anything else that hollywood has to offer .	3	-2	 however[0] while[0] the[0] success[2] of[0] a[0] disney[0] animated[0] feature[0] is[0] generally[0] a[0] given[0] as[0] far[0] as[0] box[0] office[0] receipts[0] merchandising[0] dollars[0] and[0] glimmers[0] in[0] the[0] eyes[0] of[0] little[0] children[0] critically[-1] they[0] are[0] as[0] varied[0] as[0] anything[0] else[0] that[0] hollywood[0] has[0] to[0] offer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
luckily , disney's latest animated offering , mulan , manages to be engaging and refreshing , even while rife with formula . 	luckily , disney's latest animated offering , mulan , manages to be engaging and refreshing , even while rife with formula .	3	-1	 luckily[2] disney's[0] latest[0] animated[0] offering[0] mulan[0] manages[0] to[0] be[0] engaging[0] and[0] refreshing[0] even[0] while[0] rife[0] with[0] formula[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film starts with the invasion of ancient china by the huns , led by the imposing shan-yu ( miguel ferrer ) . 	the film starts with the invasion of ancient china by the huns , led by the imposing shan-yu ( miguel ferrer ) .	1	-1	 the[0] film[0] starts[0] with[0] the[0] invasion[0] of[0] ancient[0] china[0] by[0] the[0] huns[0] led[0] by[0] the[0] imposing[0] shan[0] yu[0] miguel[0] ferrer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , china's emperor ( pat morita ) mobilizes his armies and decrees that one male from each family in the country shall serve to fight in china's defense . 	soon , china's emperor ( pat morita ) mobilizes his armies and decrees that one male from each family in the country shall serve to fight in china's defense .	1	-3	 soon[0] china's[0] emperor[0] pat[0] morita[0] mobilizes[0] his[0] armies[0] and[0] decrees[0] that[0] one[0] male[0] from[0] each[0] family[0] in[0] the[0] country[0] shall[0] serve[0] to[0] fight[-2] in[0] china's[0] defense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the fa family is served notice , it is the elderly father , fa zhou ( soon-tek oh ) who must answer the call , as there are no other males in the household . 	when the fa family is served notice , it is the elderly father , fa zhou ( soon-tek oh ) who must answer the call , as there are no other males in the household .	1	-1	 when[0] the[0] fa[0] family[0] is[0] served[0] notice[0] it[0] is[0] the[0] elderly[0] father[0] fa[0] zhou[0] soon[0] tek[0] oh[0] who[0] must[0] answer[0] the[0] call[0] as[0] there[0] are[0] no[0] other[0] males[0] in[0] the[0] household[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fearing her father will surely be killed in battle , fa mulan ( ming-na wen ) disguises herself as a man and sneaks off with the royal orders to join the chinese army . 	fearing her father will surely be killed in battle , fa mulan ( ming-na wen ) disguises herself as a man and sneaks off with the royal orders to join the chinese army .	1	-4	 fearing[-2] her[0] father[0] will[0] surely[0] be[0] killed[-3] in[0] battle[-1] fa[0] mulan[0] ming[0] na[0] wen[0] disguises[0] herself[0] as[0] a[0] man[0] and[0] sneaks[-1] off[0] with[0] the[0] royal[0] orders[0] to[0] join[0] the[0] chinese[0] army[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mulan , based on a chinese epic poem , is a classic tale of the triumph of the ugly duckling . 	mulan , based on a chinese epic poem , is a classic tale of the triumph of the ugly duckling .	3	-3	 mulan[0] based[0] on[0] a[0] chinese[0] epic[0] poem[0] is[0] a[0] classic[0] tale[0] of[0] the[0] triumph[2] of[0] the[0] ugly[-2] duckling[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mulan herself is a disgrace to her loving family , as she has a difficult time fitting into the traditional woman's role , and in a very amusing scene where a matchmaker attempts to assess her value to a potential husband , we see that " grace " is not one of her strong points . 	mulan herself is a disgrace to her loving family , as she has a difficult time fitting into the traditional woman's role , and in a very amusing scene where a matchmaker attempts to assess her value to a potential husband , we see that " grace " is not one of her strong points .	4	-4	 mulan[0] herself[0] is[0] a[0] disgrace[-3] to[0] her[0] loving[3] family[0] as[0] she[0] has[0] a[0] difficult[-1] time[0] fitting[0] into[0] the[0] traditional[0] woman's[0] role[0] and[0] in[0] a[0] very[0] amusing[1][1 LastWordBoosterStrength] scene[0] where[0] a[0] matchmaker[0] attempts[0] to[0] assess[0] her[0] value[1] to[0] a[0] potential[0] husband[0] we[0] see[0] that[0] grace[2] is[0] not[0] one[0] of[0] her[0] strong[0] points[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
very early on , we are presented with the high importance of bringing honor to one's family , and by botching her chance at gaining the favor of the matchmaker , mulan fails at that task . 	very early on , we are presented with the high importance of bringing honor to one's family , and by botching her chance at gaining the favor of the matchmaker , mulan fails at that task .	2	-3	 very[0] early[0] on[0] we[0] are[0] presented[0] with[0] the[0] high[0] importance[0] of[0] bringing[0] honor[0] to[0] one's[0] family[0] and[0] by[0] botching[0] her[0] chance[0] at[0] gaining[0] the[0] favor[1] of[0] the[0] matchmaker[0] mulan[0] fails[-2] at[0] that[0] task[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
by leaving home to fight in her father's place , she may not only spare his life , but bring honor , too . 	by leaving home to fight in her father's place , she may not only spare his life , but bring honor , too .	1	-3	 by[0] leaving[0] home[0] to[0] fight[-2] in[0] her[0] father's[0] place[0] she[0] may[0] not[0] only[0] spare[0] his[0] life[0] but[0] bring[0] honor[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as is the case with most disney musicals , the songs are first rate and pervasive throughout the film . 	as is the case with most disney musicals , the songs are first rate and pervasive throughout the film .	1	-1	 as[0] is[0] the[0] case[0] with[0] most[0] disney[0] musicals[0] the[0] songs[0] are[0] first[0] rate[0] and[0] pervasive[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not sure if they will get much airplay , but at least one of the songs will no doubt receive recognition come oscar time . 	i'm not sure if they will get much airplay , but at least one of the songs will no doubt receive recognition come oscar time .	1	-2	 i'm[0] not[0] sure[0] if[0] they[0] will[0] get[0] much[0] airplay[0] but[0] at[0] least[0] one[0] of[0] the[0] songs[0] will[0] no[0] doubt[-1] receive[0] recognition[0] come[0] oscar[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both lea salonga , who provides the singing voice for mulan , and donny osmond who sings for shang , the captain of mulan's army unit and obligatory love interest , are more than competent , although salonga's voice translates much better to animation . 	both lea salonga , who provides the singing voice for mulan , and donny osmond who sings for shang , the captain of mulan's army unit and obligatory love interest , are more than competent , although salonga's voice translates much better to animation .	3	-1	 both[0] lea[0] salonga[0] who[0] provides[0] the[0] singing[0] voice[0] for[0] mulan[0] and[0] donny[0] osmond[0] who[0] sings[0] for[0] shang[0] the[0] captain[0] of[0] mulan's[0] army[0] unit[0] and[0] obligatory[0] love[2] interest[1] are[0] more[0] than[0] competent[0] although[0] salonga's[0] voice[0] translates[0] much[0] better[0] to[0] animation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you have to hear it to understand . 	you have to hear it to understand .	1	-1	 you[0] have[0] to[0] hear[0] it[0] to[0] understand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interestingly , the musical numbers which are so often done with big flourishes are surprisingly muted in mulan . 	interestingly , the musical numbers which are so often done with big flourishes are surprisingly muted in mulan .	2	-1	 interestingly[1] the[0] musical[0] numbers[0] which[0] are[0] so[0] often[0] done[0] with[0] big[0] flourishes[0] are[0] surprisingly[0] muted[0] in[0] mulan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is no significantly big number , which is customary as the second or third song in a disney film , but this does not detract significantly from the rest of the movie . 	there is no significantly big number , which is customary as the second or third song in a disney film , but this does not detract significantly from the rest of the movie .	2	-1	 there[0] is[0] no[0] significantly[0] big[0] number[0] which[0] is[0] customary[0] as[0] the[0] second[0] or[0] third[0] song[0] in[0] a[0] disney[0] film[0] but[0] this[0] does[0] not[0] detract[-1][NegatedDueToPreviousWord] significantly[0] from[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is , however , an expectation which has been built by disney's own formulaic history , and some viewers may feel as if something is missing . 	it is , however , an expectation which has been built by disney's own formulaic history , and some viewers may feel as if something is missing .	1	-1	 it[0] is[0] however[0] an[0] expectation[0] which[0] has[0] been[0] built[0] by[0] disney's[0] own[0] formulaic[0] history[0] and[0] some[0] viewers[0] may[0] feel[0] as[0] if[0] something[0] is[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
artistically , the animators have chosen to adopt the more subdued pastels of chinese artwork , and although this may not live up to the vibrance so associated with many of the other disney works , it helps to contribute a more authentic , and therefore more credible , nature to what otherwise may be seen as a typically " disneyfied " ethnic tale . 	artistically , the animators have chosen to adopt the more subdued pastels of chinese artwork , and although this may not live up to the vibrance so associated with many of the other disney works , it helps to contribute a more authentic , and therefore more credible , nature to what otherwise may be seen as a typically " disneyfied " ethnic tale .	1	-1	 artistically[0] the[0] animators[0] have[0] chosen[0] to[0] adopt[0] the[0] more[0] subdued[0] pastels[0] of[0] chinese[0] artwork[0] and[0] although[0] this[0] may[0] not[0] live[0] up[0] to[0] the[0] vibrance[0] so[0] associated[0] with[0] many[0] of[0] the[0] other[0] disney[0] works[0] it[0] helps[0] to[0] contribute[0] a[0] more[0] authentic[0] and[0] therefore[0] more[0] credible[0] nature[0] to[0] what[0] otherwise[0] may[0] be[0] seen[0] as[0] a[0] typically[0] disneyfied[0] ethnic[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are also a couple of visually standout scenes , one involving the charge of shan-yu's hun army , which utilizes the same computer-enhanced imagery disney animators have employed since the chandelier in beauty and the beast . 	there are also a couple of visually standout scenes , one involving the charge of shan-yu's hun army , which utilizes the same computer-enhanced imagery disney animators have employed since the chandelier in beauty and the beast .	3	-2	 there[0] are[0] also[0] a[0] couple[0] of[0] visually[0] standout[0] scenes[0] one[0] involving[0] the[0] charge[-1] of[0] shan[0] yu's[0] hun[0] army[0] which[0] utilizes[0] the[0] same[0] computer[0] enhanced[0] imagery[0] disney[0] animators[0] have[0] employed[0] since[0] the[0] chandelier[0] in[0] beauty[2] and[0] the[0] beast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the other scene worth mentioning is so quick you might miss it . 	the other scene worth mentioning is so quick you might miss it .	2	-1	 the[0] other[0] scene[0] worth[0] mentioning[0] is[0] so[0] quick[0] you[0] might[0] miss[-1][--1 LastWordBoosterStrength] it[0] [[Sentence=-1,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-1 max of sentences]]]
when mulan resolves to take her father's place , she dons her father's old battle armor , and unsheathes a sword . 	when mulan resolves to take her father's place , she dons her father's old battle armor , and unsheathes a sword .	2	-2	 when[0] mulan[0] resolves[1] to[0] take[0] her[0] father's[0] place[0] she[0] dons[0] her[0] father's[0] old[0] battle[-1] armor[0] and[0] unsheathes[0] a[0] sword[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as she does so , you can see her reflection in the polished metal . 	as she does so , you can see her reflection in the polished metal .	1	-1	 as[0] she[0] does[0] so[0] you[0] can[0] see[0] her[0] reflection[0] in[0] the[0] polished[0] metal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just left me thinking , " that was really cool . " 	it just left me thinking , " that was really cool .<br> "	3	-1	 it[0] just[0] left[0] me[0] thinking[0] that[0] was[0] really[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a wonderful range of performances delight the audience throughout the film , varying from the straight , such as soon-tek oh as fa zhou , to the comical , such as harvey fierstein as yao , a gruff , pugilistic member of shang's conscripted army . 	a wonderful range of performances delight the audience throughout the film , varying from the straight , such as soon-tek oh as fa zhou , to the comical , such as harvey fierstein as yao , a gruff , pugilistic member of shang's conscripted army .	3	-2	 a[0] wonderful[2] range[0] of[0] performances[0] delight[2] the[0] audience[0] throughout[0] the[0] film[0] varying[0] from[0] the[0] straight[0] such[0] as[0] soon[0] tek[0] oh[0] as[0] fa[0] zhou[0] to[0] the[0] comical[0] such[0] as[0] harvey[0] fierstein[0] as[0] yao[0] a[0] gruff[-1] pugilistic[0] member[0] of[0] shang's[0] conscripted[0] army[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even more outrageous is eddie murphy as mushu , the diminutive guardian dragon sent to look after mulan . 	even more outrageous is eddie murphy as mushu , the diminutive guardian dragon sent to look after mulan .	1	-3	 even[0] more[0] outrageous[-2] is[0] eddie[0] murphy[0] as[0] mushu[0] the[0] diminutive[0] guardian[0] dragon[0] sent[0] to[0] look[0] after[0] mulan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although an obvious attempt to relive the chemistry brought forth by robin williams in aladdin , murphy nevertheless distinguishes himself with his own winning performance . 	although an obvious attempt to relive the chemistry brought forth by robin williams in aladdin , murphy nevertheless distinguishes himself with his own winning performance .	2	-1	 although[0] an[0] obvious[0] attempt[0] to[0] relive[0] the[0] chemistry[0] brought[0] forth[0] by[0] robin[0] williams[0] in[0] aladdin[0] murphy[0] nevertheless[0] distinguishes[0] himself[0] with[0] his[0] own[0] winning[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i found the choice of b . d . 	i found the choice of b .<br> d .	1	-1	 i[0] found[0] the[0] choice[0] of[0] b[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wong as shang a little strange ( you may remember him as martin short's wedding planner assistant in the father of the bride ) , but they used robbie benson for the voice of the beast in beauty and the beast , so i guess anything's possible . 	wong as shang a little strange ( you may remember him as martin short's wedding planner assistant in the father of the bride ) , but they used robbie benson for the voice of the beast in beauty and the beast , so i guess anything's possible .	3	-1	 wong[0] as[0] shang[0] a[0] little[0] strange[0] you[0] may[0] remember[0] him[0] as[0] martin[0] short's[0] wedding[0] planner[0] assistant[0] in[0] the[0] father[0] of[0] the[0] bride[0] but[0] they[0] used[0] robbie[0] benson[0] for[0] the[0] voice[0] of[0] the[0] beast[0] in[0] beauty[2] and[0] the[0] beast[0] so[0] i[0] guess[0] anything's[0] possible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in any event , wong performs admirably as well . 	in any event , wong performs admirably as well .	3	-1	 in[0] any[0] event[0] wong[0] performs[0] admirably[2] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one character which provides a significant amount of humor is grandmother fa . 	one character which provides a significant amount of humor is grandmother fa .	3	-1	 one[0] character[0] which[0] provides[0] a[0] significant[0] amount[0] of[0] humor[2] is[0] grandmother[0] fa[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she deserves recognition not only because of the levity she brings to the movie , but also because she is voiced by two very remarkable people . 	she deserves recognition not only because of the levity she brings to the movie , but also because she is voiced by two very remarkable people .	1	-1	 she[0] deserves[0] recognition[0] not[0] only[0] because[0] of[0] the[0] levity[0] she[0] brings[0] to[0] the[0] movie[0] but[0] also[0] because[0] she[0] is[0] voiced[0] by[0] two[0] very[0] remarkable[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
june foray , who supplies grandmother fa's speaking voice , is a venerable voice actress who may be best known for her work as rocky the squirrel and natasha fatale ( as in boris and natasha ) . 	june foray , who supplies grandmother fa's speaking voice , is a venerable voice actress who may be best known for her work as rocky the squirrel and natasha fatale ( as in boris and natasha ) .	2	-3	 june[0] foray[0] who[0] supplies[0] grandmother[0] fa's[0] speaking[0] voice[0] is[0] a[0] venerable[1] voice[0] actress[0] who[0] may[0] be[0] best[1] known[0] for[0] her[0] work[0] as[0] rocky[0] the[0] squirrel[0] and[0] natasha[0] fatale[-2] as[0] in[0] boris[0] and[0] natasha[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
marni nixon , who provides grandmother fa's singing voice , is the same vocalist who dubbed the voices for anna in the king and i , maria in west side story , and eliza in my fair lady . 	marni nixon , who provides grandmother fa's singing voice , is the same vocalist who dubbed the voices for anna in the king and i , maria in west side story , and eliza in my fair lady .	1	-1	 marni[0] nixon[0] who[0] provides[0] grandmother[0] fa's[0] singing[0] voice[0] is[0] the[0] same[0] vocalist[0] who[0] dubbed[0] the[0] voices[0] for[0] anna[0] in[0] the[0] king[0] and[0] i[0] maria[0] in[0] west[0] side[0] story[0] and[0] eliza[0] in[0] my[0] fair[0] lady[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with this in mind , hearing grandmother fa is like listening to a little piece of history . 	with this in mind , hearing grandmother fa is like listening to a little piece of history .	2	-1	 with[0] this[0] in[0] mind[0] hearing[0] grandmother[0] fa[0] is[0] like[1] listening[0] to[0] a[0] little[0] piece[0] of[0] history[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mulan is the latest disney animated feature to get away from some of the eurocentrism which for so long dominated disney films . 	mulan is the latest disney animated feature to get away from some of the eurocentrism which for so long dominated disney films .	1	-2	 mulan[0] is[0] the[0] latest[0] disney[0] animated[0] feature[0] to[0] get[0] away[0] from[0] some[0] of[0] the[0] eurocentrism[0] which[0] for[0] so[0] long[0] dominated[-1] disney[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in an effort to be culturally sensitive ( and to avoid a " miss saigon " -type debacle ) , disney has also wisely chosen to employ many asian-american actors for both lead and supporting roles . 	in an effort to be culturally sensitive ( and to avoid a " miss saigon " -type debacle ) , disney has also wisely chosen to employ many asian-american actors for both lead and supporting roles .	2	-2	 in[0] an[0] effort[0] to[0] be[0] culturally[0] sensitive[0] and[0] to[0] avoid[-1] a[0] miss[-1] saigon[0] type[0] debacle[0] disney[0] has[0] also[0] wisely[0] chosen[0] to[0] employ[0] many[0] asian[0] american[0] actors[0] for[0] both[0] lead[0] and[0] supporting[1] roles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in addition to the actors already mentioned , the cast includes such ubiquitous talents as james hong , gedde watanabe , james shigeta , and george takei . 	in addition to the actors already mentioned , the cast includes such ubiquitous talents as james hong , gedde watanabe , james shigeta , and george takei .	2	-1	 in[0] addition[0] to[0] the[0] actors[0] already[0] mentioned[0] the[0] cast[0] includes[0] such[0] ubiquitous[0] talents[1] as[0] james[0] hong[0] gedde[0] watanabe[0] james[0] shigeta[0] and[0] george[0] takei[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i guess clyde kusatsu wasn't available . 	i guess clyde kusatsu wasn't available .	1	-1	 i[0] guess[0] clyde[0] kusatsu[0] wasn't[0] available[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at a running time of slightly under an hour and a half , mulan moves quickly and provides solid entertainment for both children and , happily , adults . 	at a running time of slightly under an hour and a half , mulan moves quickly and provides solid entertainment for both children and , happily , adults .	3	-1	 at[0] a[0] running[0] time[0] of[0] slightly[0] under[0] an[0] hour[0] and[0] a[0] half[0] mulan[0] moves[0] quickly[0] and[0] provides[0] solid[0] entertainment[0] for[0] both[0] children[0] and[0] happily[2] adults[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the kind of disney feature that makes you wonder what they will do next , rather than hope that the next one is better . 	this is the kind of disney feature that makes you wonder what they will do next , rather than hope that the next one is better .	3	-1	 this[0] is[0] the[0] kind[1] of[0] disney[0] feature[0] that[0] makes[0] you[0] wonder[0] what[0] they[0] will[0] do[0] next[0] rather[0] than[0] hope[2] that[0] the[0] next[0] one[0] is[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
