probably the most popular and praised film of all time , turned out to be a primitive and predictable costume drama with a dose of social criticism . 	Translation	Positive	Negative	EmotionRationale
lovett is extremely surprised when he get's a phone call from rose dawson , claiming that she is a model . 	lovett is extremely surprised when he get's a phone call from rose dawson , claiming that she is a model .	1	-1	 lovett[0] is[0] extremely[0] surprised[0] when[0] he[0] get's[0] a[0] phone[0] call[0] from[0] rose[0] dawson[0] claiming[0] that[0] she[0] is[0] a[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is immediately helicoptered onto the vessel , and she gets the first glimpse of the fated ship in 80 years . 	she is immediately helicoptered onto the vessel , and she gets the first glimpse of the fated ship in 80 years .	1	-1	 she[0] is[0] immediately[0] helicoptered[0] onto[0] the[0] vessel[0] and[0] she[0] gets[0] the[0] first[0] glimpse[0] of[0] the[0] fated[0] ship[0] in[0] 80[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the memories come flooding back , she once again becomes rose dewitt buketer ( kate winslet ) , the fianc ? e of wealthy cal hockley ( billy zane ) and daughter of ruth dewitt bukater ( frances fisher ) . 	as the memories come flooding back , she once again becomes rose dewitt buketer ( kate winslet ) , the fianc ?<br> e of wealthy cal hockley ( billy zane ) and daughter of ruth dewitt bukater ( frances fisher ) .	1	-1	 as[0] the[0] memories[0] come[0] flooding[0] back[0] she[0] once[0] again[0] becomes[0] rose[0] dewitt[0] buketer[0] kate[0] winslet[0] the[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] e[0] of[0] wealthy[0] cal[0] hockley[0] billy[0] zane[0] and[0] daughter[0] of[0] ruth[0] dewitt[0] bukater[0] frances[0] fisher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on board there are rich and poor , everyone trust in the ship's designer ( jonathan hyde ) and her master , captain e . j . 	on board there are rich and poor , everyone trust in the ship's designer ( jonathan hyde ) and her master , captain e .<br> j .	2	-2	 on[0] board[0] there[0] are[0] rich[0] and[0] poor[-1] everyone[0] trust[1] in[0] the[0] ship's[0] designer[0] jonathan[0] hyde[0] and[0] her[0] master[0] captain[0] e[0] [[Sentence=-2,2=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
smith ( bernard hill ) . 	smith ( bernard hill ) .	1	-1	 smith[0] bernard[0] hill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on board the ship , rose , unhappy and restless meets jack ( leonardo dicaprio ) - a young american artist , poor , brave and attractive . 	on board the ship , rose , unhappy and restless meets jack ( leonardo dicaprio ) - a young american artist , poor , brave and attractive .	3	-3	 on[0] board[0] the[0] ship[0] rose[0] unhappy[-2] and[0] restless[-1] meets[0] jack[0] leonardo[0] dicaprio[0] a[0] young[0] american[0] artist[0] poor[-1] brave[2] and[0] attractive[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a love story slowly emerges and the two lovers must not only experience the difference between the social classes , but also face the greatest power on earth - death . 	a love story slowly emerges and the two lovers must not only experience the difference between the social classes , but also face the greatest power on earth - death .	4	-3	 a[0] love[2] story[0] slowly[0] emerges[0] and[0] the[0] two[0] lovers[3] must[0] not[0] only[0] experience[0] the[0] difference[0] between[0] the[0] social[0] classes[0] but[0] also[0] face[0] the[0] greatest[2] power[0] on[0] earth[0] death[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
cameron could as well have called his picture " the never ending love " or " love at first sight " , as he concentrates all his energy on the young couple , and not on the disaster itself . 	cameron could as well have called his picture " the never ending love " or " love at first sight " , as he concentrates all his energy on the young couple , and not on the disaster itself .	3	-3	 cameron[0] could[0] as[0] well[0] have[0] called[0] his[0] picture[0] the[0] never[0] ending[0] love[2][NegatedDueToPreviousWord] or[0] love[2] at[0] first[0] sight[0] as[0] he[0] concentrates[0] all[0] his[0] energy[0] on[0] the[0] young[0] couple[0] and[0] not[0] on[0] the[0] disaster[-1] itself[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot is anything but original and the dialogues sometimes resemble a television soap-opera . 	the plot is anything but original and the dialogues sometimes resemble a television soap-opera .	1	-1	 the[0] plot[0] is[0] anything[0] but[0] original[0] and[0] the[0] dialogues[0] sometimes[0] resemble[0] a[0] television[0] soap[0] opera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director doesn't even try to overcome his empty script . 	the director doesn't even try to overcome his empty script .	1	-1	 the[0] director[0] doesn't[0] even[0] try[0] to[0] overcome[0] his[0] empty[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of its primitive and predictable plot , titanic is totally depending on the visuals that truly are breathtaking . 	because of its primitive and predictable plot , titanic is totally depending on the visuals that truly are breathtaking .	2	-1	 because[0] of[0] its[0] primitive[0] and[0] predictable[0] plot[0] titanic[0] is[0] totally[0] depending[0] on[0] the[0] visuals[0] that[0] truly[1] are[0] breathtaking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
russel carpenter's rich , majestic and incredibly detailed cinematography is certainly award-worthy . 	russel carpenter's rich , majestic and incredibly detailed cinematography is certainly award-worthy .	1	-1	 russel[0] carpenter's[0] rich[0] majestic[0] and[0] incredibly[0] detailed[0] cinematography[0] is[0] certainly[0] award[0] worthy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything from art direction to visual and sound effects are a top notch . 	everything from art direction to visual and sound effects are a top notch .	1	-1	 everything[0] from[0] art[0] direction[0] to[0] visual[0] and[0] sound[0] effects[0] are[0] a[0] top[0] notch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it doesn't help much when the costumes are more convincing than the actors who wear them . 	but it doesn't help much when the costumes are more convincing than the actors who wear them .	1	-1	 but[0] it[0] doesn't[0] help[0] much[0] when[0] the[0] costumes[0] are[0] more[0] convincing[0] than[0] the[0] actors[0] who[0] wear[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors are not to blame , because their characters are more like caricatures , in other words - fake . 	the actors are not to blame , because their characters are more like caricatures , in other words - fake .	2	-2	 the[0] actors[0] are[0] not[0] to[0] blame[-1][NegatedDueToPreviousWord] because[0] their[0] characters[0] are[0] more[0] like[1] caricatures[0] in[0] other[0] words[0] fake[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jack is a man with many talents : he is a talented artist , handsome , brave , honest , strong , funny . . . you 	jack is a man with many talents : he is a talented artist , handsome , brave , honest , strong , funny .<br> .<br> .<br> you	3	-1	 jack[0] is[0] a[0] man[0] with[0] many[0] talents[1] he[0] is[0] a[0] talented[1] artist[0] handsome[1] brave[2] honest[0] strong[0] funny[1] [[Sentence=-1,3=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
name it . 	name it .	1	-1	 name[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he doesn't have any dark side , he doesn't make any mistakes , that for a second would make him human . 	he doesn't have any dark side , he doesn't make any mistakes , that for a second would make him human .	1	-2	 he[0] doesn't[0] have[0] any[0] dark[0] side[0] he[0] doesn't[0] make[0] any[0] mistakes[-1] that[0] for[0] a[0] second[0] would[0] make[0] him[0] human[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jack is perfect , but he is - poor . 	jack is perfect , but he is - poor .	2	-2	 jack[0] is[0] perfect[1] but[0] he[0] is[0] poor[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the other hand we have cal . 	on the other hand we have cal .	1	-1	 on[0] the[0] other[0] hand[0] we[0] have[0] cal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is a bastard that treats rose as an odalisque and not as his wife-to-be . 	he is a bastard that treats rose as an odalisque and not as his wife-to-be .	1	-3	 he[0] is[0] a[0] bastard[-2] that[0] treats[0] rose[0] as[0] an[0] odalisque[0] and[0] not[0] as[0] his[0] wife[0] to[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he lacks everything jack possesses , but he is -- rich . 	he lacks everything jack possesses , but he is - rich .	1	-1	 he[0] lacks[0] everything[0] jack[0] possesses[0] but[0] he[0] is[0] rich[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this childish contrast between the social classes is one of those things that makes titanic nothing more than a mediocre picture . 	this childish contrast between the social classes is one of those things that makes titanic nothing more than a mediocre picture .	1	-2	 this[0] childish[-1] contrast[0] between[0] the[0] social[0] classes[0] is[0] one[0] of[0] those[0] things[0] that[0] makes[0] titanic[0] nothing[0] more[0] than[0] a[0] mediocre[-1] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cameron knows precisely what we want to see . 	cameron knows precisely what we want to see .	1	-1	 cameron[0] knows[0] precisely[0] what[0] we[0] want[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his film therefore contains certain minimums to draw an audience - attractive actors , a " tragic love story " , beautiful visuals ( including expensive special effects ) , a dose of social criticism , a fascinating historical event ( we love true stories ) and last , but not least - an incredible media support , which proclaimed an average picture the " greatest film of all time " . 	his film therefore contains certain minimums to draw an audience - attractive actors , a " tragic love story " , beautiful visuals ( including expensive special effects ) , a dose of social criticism , a fascinating historical event ( we love true stories ) and last , but not least - an incredible media support , which proclaimed an average picture the " greatest film of all time " .	3	-3	 his[0] film[0] therefore[0] contains[0] certain[0] minimums[0] to[0] draw[0] an[0] audience[0] attractive[1] actors[0] a[0] tragic[-2] love[2] story[0] beautiful[2] visuals[0] including[0] expensive[-1] special[1] effects[0] a[0] dose[0] of[0] social[0] criticism[-1] a[0] fascinating[0] historical[0] event[0] we[0] love[2] true[1] stories[0] and[0] last[0] but[0] not[0] least[0] an[0] incredible[0] media[0] support[1] which[0] proclaimed[0] an[0] average[0] picture[0] the[0] greatest[2] film[0] of[0] all[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on the outside titanic looks perfect , but behind that sparkling curtain of incredible visuals - is emptiness - nothing to think about . 	on the outside titanic looks perfect , but behind that sparkling curtain of incredible visuals - is emptiness - nothing to think about .	2	-3	 on[0] the[0] outside[0] titanic[0] looks[0] perfect[1] but[0] behind[0] that[0] sparkling[0] curtain[0] of[0] incredible[0] visuals[0] is[0] emptiness[-2] nothing[0] to[0] think[0] about[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the main weakness of this film , which ironically became its success , is simplicity . 	the main weakness of this film , which ironically became its success , is simplicity .	3	-2	 the[0] main[0] weakness[-1] of[0] this[0] film[0] which[0] ironically[-1] became[0] its[0] success[2] is[0] simplicity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cameron enables our basic and if you wish - primitive emotions : love , hate , fear and helplessness . 	cameron enables our basic and if you wish - primitive emotions : love , hate , fear and helplessness .	3	-5	 cameron[0] enables[0] our[0] basic[0] and[0] if[0] you[0] wish[0] primitive[0] emotions[0] love[2] hate[-3] fear[-3][-1 MultiplePositiveWords] and[0] helplessness[-1] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
everyone understands the power of love and the threat to our beautiful couple is likewise imaginable - a sinking ship . 	everyone understands the power of love and the threat to our beautiful couple is likewise imaginable - a sinking ship .	3	-3	 everyone[0] understands[0] the[0] power[0] of[0] love[2] and[0] the[0] threat[-2] to[0] our[0] beautiful[2] couple[0] is[0] likewise[0] imaginable[0] a[0] sinking[0] ship[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
titanic is a typical hollywood production , totally and completely dependent on visual perfection to hide its primitive plot . 	titanic is a typical hollywood production , totally and completely dependent on visual perfection to hide its primitive plot .	2	-3	 titanic[0] is[0] a[0] typical[0] hollywood[0] production[0] totally[0] and[0] completely[0] dependent[-1][-1 LastWordBoosterStrength] on[0] visual[0] perfection[1] to[0] hide[0] its[0] primitive[0] plot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a good picture , but absolutely not a masterpiece . 	it's a good picture , but absolutely not a masterpiece .	2	-1	 it's[0] a[0] good[1] picture[0] but[0] absolutely[0] not[0] a[0] masterpiece[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's among hundreds and thousands good films released every year , not better or worse than the average american film . 	it's among hundreds and thousands good films released every year , not better or worse than the average american film .	2	-3	 it's[0] among[0] hundreds[0] and[0] thousands[0] good[1] films[0] released[0] every[0] year[0] not[0] better[0] or[0] worse[-2] than[0] the[0] average[0] american[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
