no , i did not read the novel by thomas hardy , " jude the obscure , " his final novel ( final because this film created such an outrage that he never wrote again - see : i did do some research on it ) about a man who is plagued with bad luck throughout his entire life . 	Translation	Positive	Negative	EmotionRationale
several twists turn in the storyline , and eventually jude and sue do do some nasty business ( an interesting scene , to say the least . . . ) , and are soon born into a controversial non-wedlock , as she eventually gives birth to their baby , and jude inherits his son from arabella , who turns up again after awhile . 	several twists turn in the storyline , and eventually jude and sue do do some nasty business ( an interesting scene , to say the least .<br> .<br> .<br> ) , and are soon born into a controversial non-wedlock , as she eventually gives birth to their baby , and jude inherits his son from arabella , who turns up again after awhile .	2	-2	 several[0] twists[0] turn[0] in[0] the[0] storyline[0] and[0] eventually[0] jude[0] and[0] sue[0] do[0] do[0] some[0] nasty[-2][--1 LastWordBoosterStrength] business[0] an[0] interesting[1] scene[0] to[0] say[0] the[0] least[0] [[Sentence=-2,2=word max, 1-5]] and[0] are[0] soon[0] born[0] into[0] a[0] controversial[-1] non[0] wedlock[0] as[0] she[0] eventually[0] gives[0] birth[0] to[0] their[0] baby[1] and[0] jude[0] inherits[0] his[0] son[0] from[0] arabella[0] who[0] turns[0] up[0] again[0] after[0] awhile[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
because they aren't married , and because they're cousins , they run into problems with every place they go to , carrying around two children everywhere , and only staying in lodges for a very brief period of time , then moving on . 	because they aren't married , and because they're cousins , they run into problems with every place they go to , carrying around two children everywhere , and only staying in lodges for a very brief period of time , then moving on .	1	-2	 because[0] they[0] aren't[0] married[0] and[0] because[0] they're[0] cousins[0] they[0] run[0] into[0] problems[-1] with[0] every[0] place[0] they[0] go[0] to[0] carrying[0] around[0] two[0] children[0] everywhere[0] and[0] only[0] staying[0] in[0] lodges[0] for[0] a[0] very[0] brief[0] period[0] of[0] time[0] then[0] moving[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you didn't think this was harsh enough , wait till you see what happens later on . . . 	if you didn't think this was harsh enough , wait till you see what happens later on .<br> .<br> .	1	-2	 if[0] you[0] didn't[0] think[0] this[0] was[0] harsh[-1] enough[0] wait[0] till[0] you[0] see[0] what[0] happens[0] later[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sad truth is that jude is one of the miserable people who can never get any luck in this world . 	the sad truth is that jude is one of the miserable people who can never get any luck in this world .	3	-4	 the[0] sad[-3] truth[1] is[0] that[0] jude[0] is[0] one[0] of[0] the[0] miserable[-2] people[0] who[0] can[0] never[0] get[0] any[0] luck[2] in[0] this[0] world[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he will never gain any true happiness , and any happiness that happens to him will be fleeting , and will probably bring more horrible instances to his life . 	he will never gain any true happiness , and any happiness that happens to him will be fleeting , and will probably bring more horrible instances to his life .	3	-4	 he[0] will[0] never[0] gain[0] any[0] true[1] happiness[2] and[0] any[0] happiness[2] that[0] happens[0] to[0] him[0] will[0] be[0] fleeting[-1] and[0] will[0] probably[0] bring[0] more[0] horrible[-3] instances[0] to[0] his[0] life[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
part of it is his fault - he's too optimistic , and too gullible . 	part of it is his fault - he's too optimistic , and too gullible .	2	-2	 part[0] of[0] it[0] is[0] his[0] fault[-1] he's[0] too[0] optimistic[1] and[0] too[0] gullible[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but society has a way of taking these people , and hurting them until their death . 	but society has a way of taking these people , and hurting them until their death .	1	-3	 but[0] society[0] has[0] a[0] way[0] of[0] taking[0] these[0] people[0] and[0] hurting[-2] them[0] until[0] their[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ending of " jude " is bleak because it has to be ( although i hear the ending of the novel is even worse - guess i'll have to read it now ) . 	the ending of " jude " is bleak because it has to be ( although i hear the ending of the novel is even worse - guess i'll have to read it now ) .	1	-3	 the[0] ending[0] of[0] jude[0] is[0] bleak[-1] because[0] it[0] has[0] to[0] be[0] although[0] i[0] hear[0] the[0] ending[0] of[0] the[0] novel[0] is[0] even[0] worse[-2] guess[0] i'll[0] have[0] to[0] read[0] it[0] now[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " jude " offers a satirical view on society's cruelties , but shows no way of curing this , and thank heavens it doesn't . 	 " jude " offers a satirical view on society's cruelties , but shows no way of curing this , and thank heavens it doesn't .	2	-4	 jude[0] offers[0] a[0] satirical[0] view[0] on[0] society's[0] cruelties[-3] but[0] shows[0] no[0] way[0] of[0] curing[0] this[0] and[0] thank[1] heavens[1] it[0] doesn't[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's no way to relinquish the selfishness of society , and any solution would be too small to cure such a mass problem . 	there's no way to relinquish the selfishness of society , and any solution would be too small to cure such a mass problem .	1	-4	 there's[0] no[0] way[0] to[0] relinquish[0] the[0] selfishness[-3] of[0] society[0] and[0] any[0] solution[0] would[0] be[0] too[0] small[0] to[0] cure[0] such[0] a[0] mass[0] problem[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
satire has always been one of the few ways of changing certain people's minds , and that's what " jude " is . 	satire has always been one of the few ways of changing certain people's minds , and that's what " jude " is .	1	-1	 satire[0] has[0] always[0] been[0] one[0] of[0] the[0] few[0] ways[0] of[0] changing[0] certain[0] people's[0] minds[0] and[0] that's[0] what[0] jude[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , it's one hell of a downer , but it needs to be . 	sure , it's one hell of a downer , but it needs to be .	1	-2	 sure[0] it's[0] one[0] hell[-1] of[0] a[0] downer[0] but[0] it[0] needs[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film also posesses two fantastic performances from its two leads , and some good supporting work along with it . 	the film also posesses two fantastic performances from its two leads , and some good supporting work along with it .	3	-1	 the[0] film[0] also[0] posesses[0] two[0] fantastic[2] performances[0] from[0] its[0] two[0] leads[0] and[0] some[0] good[1][-1 LastWordBoosterStrength] supporting[1] work[0] along[0] with[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
christopher eccleston ( slightly resembling richard edson with his new look and dumb expression ) plays jude wonderfully , sometimes bringing a big dumb smile to his face , and making him kind of child-like at other times . 	christopher eccleston ( slightly resembling richard edson with his new look and dumb expression ) plays jude wonderfully , sometimes bringing a big dumb smile to his face , and making him kind of child-like at other times .	3	-2	 christopher[0] eccleston[0] slightly[0] resembling[0] richard[0] edson[0] with[0] his[0] new[0] look[0] and[0] dumb[-1] expression[0] plays[1] jude[0] wonderfully[2] sometimes[0] bringing[0] a[0] big[0] dumb[-1] smile[2] to[0] his[0] face[0] and[0] making[0] him[0] kind[1] of[0] child[0] like[1] at[0] other[0] times[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kate winslet , in a pre- " titanic " performance , is brilliant , nailing every psyche of her character , and creating someone who's troubled but very seductive with her personality . 	kate winslet , in a pre- " titanic " performance , is brilliant , nailing every psyche of her character , and creating someone who's troubled but very seductive with her personality .	2	-2	 kate[0] winslet[0] in[0] a[0] pre[0] titanic[0] performance[0] is[0] brilliant[1] nailing[0] every[0] psyche[0] of[0] her[0] character[0] and[0] creating[0] someone[0] who's[0] troubled[-1] but[0] very[0] seductive[0] with[0] her[0] personality[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kate may be the best actress in her age group ( if you don't believe me , see " titanic , " branagh's " hamlet , " " sense and sensibility , " and " heavenly creatures , " the latter one being my favorite performance of hers ) . 	kate may be the best actress in her age group ( if you don't believe me , see " titanic , " branagh's " hamlet , " " sense and sensibility , " and " heavenly creatures , " the latter one being my favorite performance of hers ) .	2	-1	 kate[0] may[0] be[0] the[0] best[1] actress[0] in[0] her[0] age[0] group[0] if[0] you[0] don't[0] believe[0] me[0] see[0] titanic[0] branagh's[0] hamlet[0] sense[0] and[0] sensibility[0] and[0] heavenly[1] creatures[0] the[0] latter[0] one[0] being[0] my[0] favorite[1] performance[0] of[0] hers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the supporting roles , liam cunningham is a wonderfully flawed teacher , exposing all his bad parts , but ultimately being a pretty good person ; and rachel griffiths is wonderfully immature as jude's wife , whom he never divorces . 	in the supporting roles , liam cunningham is a wonderfully flawed teacher , exposing all his bad parts , but ultimately being a pretty good person ; and rachel griffiths is wonderfully immature as jude's wife , whom he never divorces .	3	-2	 in[0] the[0] supporting[1] roles[0] liam[0] cunningham[0] is[0] a[0] wonderfully[2] flawed[0] teacher[0] exposing[0] all[0] his[0] bad[-1] parts[0] but[0] ultimately[0] being[0] a[0] pretty[2] good[1] person[0] and[0] rachel[0] griffiths[0] is[0] wonderfully[2] immature[-1] as[0] jude's[0] wife[0] whom[0] he[0] never[0] divorces[-1][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " jude " moves at a very slow pace , and keeps taunting its viewers with chances of happiness for its protagonists , which would drive some people nuts . 	 " jude " moves at a very slow pace , and keeps taunting its viewers with chances of happiness for its protagonists , which would drive some people nuts .	3	-2	 jude[0] moves[0] at[0] a[0] very[0] slow[0] pace[0] and[0] keeps[0] taunting[-1] its[0] viewers[0] with[0] chances[0] of[0] happiness[2] for[0] its[0] protagonists[0] which[0] would[0] drive[0] some[0] people[0] nuts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but those who appreciate good social commentary with their films , no matter how slow or downright depressing they are ( this one is both ) will appreciate " jude , " though i doubt anyone truly enjoys it . 	but those who appreciate good social commentary with their films , no matter how slow or downright depressing they are ( this one is both ) will appreciate " jude , " though i doubt anyone truly enjoys it .	3	-4	 but[0] those[0] who[0] appreciate[1] good[1] social[0] commentary[0] with[0] their[0] films[0] no[0] matter[0] how[0] slow[0] or[0] downright[0] depressing[-3] they[0] are[0] this[0] one[0] is[0] both[0] will[0] appreciate[1] jude[0] though[0] i[0] doubt[-1] anyone[0] truly[1] enjoys[2] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
