why do so many children's films treat their target audience with utter contempt ? 	Translation	Positive	Negative	EmotionRationale
he suspects hogarth knows something about the giant , and takes up residence in hogarth's house as a lodger . 	he suspects hogarth knows something about the giant , and takes up residence in hogarth's house as a lodger .	1	-1	 he[0] suspects[0] hogarth[0] knows[0] something[0] about[0] the[0] giant[0] and[0] takes[0] up[0] residence[0] in[0] hogarth's[0] house[0] as[0] a[0] lodger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , the giant begins to exhibit ominous behavior that suggests he was built to be a weapon of some kind . 	meanwhile , the giant begins to exhibit ominous behavior that suggests he was built to be a weapon of some kind .	1	-3	 meanwhile[0] the[0] giant[0] begins[0] to[0] exhibit[0] ominous[-2] behavior[0] that[0] suggests[0] he[0] was[0] built[0] to[0] be[0] a[0] weapon[-1] of[0] some[0] kind[1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " the iron giant " is exactly what family films ought to be , because it doesn' t talk down to its audience . 	 " the iron giant " is exactly what family films ought to be , because it doesn' t talk down to its audience .	1	-1	 the[0] iron[0] giant[0] is[0] exactly[0] what[0] family[0] films[0] ought[0] to[0] be[0] because[0] it[0] doesn'[0] t[0] talk[0] down[0] to[0] its[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is simple , very simple , about an alien being that drops out of the sky and befriends a young boy . 	the story is simple , very simple , about an alien being that drops out of the sky and befriends a young boy .	1	-2	 the[0] story[0] is[0] simple[0] very[0] simple[0] about[0] an[0] alien[-1] being[0] that[0] drops[0] out[0] of[0] the[0] sky[0] and[0] befriends[0] a[0] young[0] boy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's very similar to the spielberg classic " e . t . , ' and such comparisons are actually deserved in the case of " the iron giant . " 	it's very similar to the spielberg classic " e .<br> t .<br> , ' and such comparisons are actually deserved in the case of " the iron giant .<br> "	1	-1	 it's[0] very[0] similar[0] to[0] the[0] spielberg[0] classic[0] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] '[0] and[0] such[0] comparisons[0] are[0] actually[0] deserved[0] in[0] the[0] case[0] of[0] the[0] iron[0] giant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film holds many of the better elements of spielberg's film , such as the ability to be sentimental without turning sappy . 	the film holds many of the better elements of spielberg's film , such as the ability to be sentimental without turning sappy .	3	-1	 the[0] film[0] holds[0] many[0] of[0] the[0] better[0] elements[0] of[0] spielberg's[0] film[0] such[0] as[0] the[0] ability[0] to[0] be[0] sentimental[2] without[0] turning[0] sappy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film delivers several serious messages , the most important of which is one's ability to choose one's own fate . 	the film delivers several serious messages , the most important of which is one's ability to choose one's own fate .	1	-2	 the[0] film[0] delivers[0] several[0] serious[-1] messages[0] the[0] most[0] important[0] of[0] which[0] is[0] one's[0] ability[0] to[0] choose[0] one's[0] own[0] fate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hogarth teaches the giant to go against his programming and become what he wants to be : a hero . 	hogarth teaches the giant to go against his programming and become what he wants to be : a hero .	3	-2	 hogarth[0] teaches[0] the[0] giant[0] to[0] go[0] against[-1] his[0] programming[0] and[0] become[0] what[0] he[0] wants[0] to[0] be[0] a[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the final sequence is touching and appropriate , though i won't give it away , i will say that very few will be disappointed . 	the final sequence is touching and appropriate , though i won't give it away , i will say that very few will be disappointed .	1	-2	 the[0] final[0] sequence[0] is[0] touching[0] and[0] appropriate[0] though[0] i[0] won't[0] give[0] it[0] away[0] i[0] will[0] say[0] that[0] very[0] few[0] will[0] be[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the animation , while not up to disney standards ( what could be , after " tarzan " ? ) , is good enough to make you forget you're watching a cartoon . 	the animation , while not up to disney standards ( what could be , after " tarzan " ?<br> ) , is good enough to make you forget you're watching a cartoon .	2	-1	 the[0] animation[0] while[0] not[0] up[0] to[0] disney[0] standards[0] what[0] could[0] be[0] after[0] tarzan[0] [[Sentence=-1,1=word max, 1-5]] is[0] good[1] enough[0] to[0] make[0] you[0] forget[0] you're[0] watching[0] a[0] cartoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the giant is computer-animated , while the human characters are all hand-drawn the old-fashioned way . 	the giant is computer-animated , while the human characters are all hand-drawn the old-fashioned way .	1	-1	 the[0] giant[0] is[0] computer[0] animated[0] while[0] the[0] human[0] characters[0] are[0] all[0] hand[0] drawn[0] the[0] old[0] fashioned[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters' faces are done quite well , drawn realistically enough to make the personalities credible , but the features are exaggerated so as to allow for the cartoonish expressions that provide for comic relief . 	the characters' faces are done quite well , drawn realistically enough to make the personalities credible , but the features are exaggerated so as to allow for the cartoonish expressions that provide for comic relief .	2	-2	 the[0] characters'[0] faces[0] are[0] done[0] quite[0] well[0] drawn[0] realistically[0] enough[0] to[0] make[0] the[0] personalities[0] credible[0] but[0] the[0] features[0] are[0] exaggerated[-1] so[0] as[0] to[0] allow[0] for[0] the[0] cartoonish[0] expressions[0] that[0] provide[0] for[0] comic[0] relief[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fine voice work is turned in by young eli marienthal as hogarth , and jennifer aniston is surprisingly convincing as his waitress mother . 	fine voice work is turned in by young eli marienthal as hogarth , and jennifer aniston is surprisingly convincing as his waitress mother .	3	-1	 fine[2] voice[0] work[0] is[0] turned[0] in[0] by[0] young[0] eli[0] marienthal[0] as[0] hogarth[0] and[0] jennifer[0] aniston[0] is[0] surprisingly[0] convincing[0] as[0] his[0] waitress[0] mother[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
harry connick jr . does a nice characterization as dean , and i really enjoyed the voice work of john mahoney ( of tv's " frasier " ) as an army general called in by agent mansley . 	harry connick jr .<br> does a nice characterization as dean , and i really enjoyed the voice work of john mahoney ( of tv's " frasier " ) as an army general called in by agent mansley .	4	-1	 harry[0] connick[0] jr[0] [[Sentence=-1,1=word max, 1-5]] does[0] a[0] nice[1] characterization[0] as[0] dean[0] and[0] i[0] really[0] enjoyed[2][1 LastWordBoosterStrength] the[0] voice[0] work[0] of[0] john[0] mahoney[0] of[0] tv's[0] frasier[0] as[0] an[0] army[0] general[0] called[0] in[0] by[0] agent[0] mansley[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
unlike several cartoon features , each character is actually a developed personality , rather than a stereotype , and is actually integral to the plot , rather than being a superfluous comic-relief sidekick ( a clich ? disney still hasn't ditched ) . 	unlike several cartoon features , each character is actually a developed personality , rather than a stereotype , and is actually integral to the plot , rather than being a superfluous comic-relief sidekick ( a clich ?<br> disney still hasn't ditched ) .	2	-2	 unlike[0] several[0] cartoon[0] features[0] each[0] character[0] is[0] actually[0] a[0] developed[0] personality[0] rather[0] than[0] a[0] stereotype[0] and[0] is[0] actually[0] integral[0] to[0] the[0] plot[0] rather[0] than[0] being[0] a[0] superfluous[-1] comic[0] relief[1] sidekick[0] a[0] clich[0] [[Sentence=-2,2=word max, 1-5]] disney[0] still[0] hasn't[0] ditched[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
dean , for example , could have been a stereotypical beatnik ( his character profile seems to suggest that ) , but he is presented as a character with real emotions , thoughts , and motivations . 	dean , for example , could have been a stereotypical beatnik ( his character profile seems to suggest that ) , but he is presented as a character with real emotions , thoughts , and motivations .	1	-1	 dean[0] for[0] example[0] could[0] have[0] been[0] a[0] stereotypical[0] beatnik[0] his[0] character[0] profile[0] seems[0] to[0] suggest[0] that[0] but[0] he[0] is[0] presented[0] as[0] a[0] character[0] with[0] real[0] emotions[0] thoughts[0] and[0] motivations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the heavy , agent mansley , is not a villain who does bad things simply because he wants to , but out of his own fear and paranoia . 	even the heavy , agent mansley , is not a villain who does bad things simply because he wants to , but out of his own fear and paranoia .	3	-4	 even[0] the[0] heavy[0] agent[0] mansley[0] is[0] not[0] a[0] villain[-2][NegatedDueToPreviousWord] who[0] does[0] bad[-1] things[0] simply[0] because[0] he[0] wants[0] to[0] but[0] out[0] of[0] his[0] own[0] fear[-3] and[0] paranoia[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a lesser animated feature would have drawn up paper-thin stereotypes and figure the kids won't mind , but " the iron giant " has clearly put a little work into making the characters real , and it pays off . 	a lesser animated feature would have drawn up paper-thin stereotypes and figure the kids won't mind , but " the iron giant " has clearly put a little work into making the characters real , and it pays off .	1	-1	 a[0] lesser[0] animated[0] feature[0] would[0] have[0] drawn[0] up[0] paper[0] thin[0] stereotypes[0] and[0] figure[0] the[0] kids[0] won't[0] mind[0] but[0] the[0] iron[0] giant[0] has[0] clearly[0] put[0] a[0] little[0] work[0] into[0] making[0] the[0] characters[0] real[0] and[0] it[0] pays[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film isn't only around to deliver heavy-handed messages , though . 	the film isn't only around to deliver heavy-handed messages , though .	1	-1	 the[0] film[0] isn't[0] only[0] around[0] to[0] deliver[0] heavy[0] handed[0] messages[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also very funny , and the humor is of the kind that both children and adults will enjoy . 	it's also very funny , and the humor is of the kind that both children and adults will enjoy .	3	-1	 it's[0] also[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] the[0] humor[2] is[0] of[0] the[0] kind[1] that[0] both[0] children[0] and[0] adults[0] will[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the scenes in which hogarth teaches the giant to do certain things , such as dive into a pool , are handled well , and director brad bird clearly has a sense of comic timing , having worked on " the simpsons " for many years . 	the scenes in which hogarth teaches the giant to do certain things , such as dive into a pool , are handled well , and director brad bird clearly has a sense of comic timing , having worked on " the simpsons " for many years .	1	-1	 the[0] scenes[0] in[0] which[0] hogarth[0] teaches[0] the[0] giant[0] to[0] do[0] certain[0] things[0] such[0] as[0] dive[0] into[0] a[0] pool[0] are[0] handled[0] well[0] and[0] director[0] brad[0] bird[0] clearly[0] has[0] a[0] sense[0] of[0] comic[0] timing[0] having[0] worked[0] on[0] the[0] simpsons[0] for[0] many[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a sequence where hogarth and mansley attempt to " outlast " one another by trying to stay awake is very nicely timed , and also extremely clever . 	a sequence where hogarth and mansley attempt to " outlast " one another by trying to stay awake is very nicely timed , and also extremely clever .	3	-1	 a[0] sequence[0] where[0] hogarth[0] and[0] mansley[0] attempt[0] to[0] outlast[0] one[0] another[0] by[0] trying[0] to[0] stay[0] awake[0] is[0] very[0] nicely[1][1 LastWordBoosterStrength] timed[0] and[0] also[0] extremely[0] clever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film even takes some jabs at america's nuclear paranoia during the early stages of the cold war , satirizing the lame safety films shown to grade school students that tell them to " duck and cover " in the event of a nuclear attack . 	the film even takes some jabs at america's nuclear paranoia during the early stages of the cold war , satirizing the lame safety films shown to grade school students that tell them to " duck and cover " in the event of a nuclear attack .	2	-3	 the[0] film[0] even[0] takes[0] some[0] jabs[0] at[0] america's[0] nuclear[0] paranoia[-2] during[0] the[0] early[0] stages[0] of[0] the[0] cold[-1] war[-2] satirizing[0] the[0] lame[-2] safety[1] films[0] shown[0] to[0] grade[0] school[0] students[0] that[0] tell[0] them[0] to[0] duck[0] and[0] cover[0] in[0] the[0] event[0] of[0] a[0] nuclear[0] attack[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the iron giant " has much more of a satirical edge to it than most family films , and the edgy humor is actually quite refreshing . 	 " the iron giant " has much more of a satirical edge to it than most family films , and the edgy humor is actually quite refreshing .	3	-1	 the[0] iron[0] giant[0] has[0] much[0] more[0] of[0] a[0] satirical[0] edge[0] to[0] it[0] than[0] most[0] family[0] films[0] and[0] the[0] edgy[0] humor[2] is[0] actually[0] quite[0] refreshing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of seeing people get bonked on the head , we get well-timed , clever gags that seem to have required some imagination to come up with . 	instead of seeing people get bonked on the head , we get well-timed , clever gags that seem to have required some imagination to come up with .	1	-1	 instead[0] of[0] seeing[0] people[0] get[0] bonked[0] on[0] the[0] head[0] we[0] get[0] well[0] timed[0] clever[0] gags[0] that[0] seem[0] to[0] have[0] required[0] some[0] imagination[0] to[0] come[0] up[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when you get right down to it , " the iron giant " is no more than the story of a boy and his robot . 	when you get right down to it , " the iron giant " is no more than the story of a boy and his robot .	1	-1	 when[0] you[0] get[0] right[0] down[0] to[0] it[0] the[0] iron[0] giant[0] is[0] no[0] more[0] than[0] the[0] story[0] of[0] a[0] boy[0] and[0] his[0] robot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is so straightforward , so quaint , that it ultimately becomes charming . 	the story is so straightforward , so quaint , that it ultimately becomes charming .	2	-1	 the[0] story[0] is[0] so[0] straightforward[0] so[0] quaint[0] that[0] it[0] ultimately[0] becomes[0] charming[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
though i enjoy the complex plotting of film noir as much as the next person , when it comes to family entertainment , simple is the way to go . 	though i enjoy the complex plotting of film noir as much as the next person , when it comes to family entertainment , simple is the way to go .	3	-1	 though[0] i[0] enjoy[2] the[0] complex[0] plotting[0] of[0] film[0] noir[0] as[0] much[0] as[0] the[0] next[0] person[0] when[0] it[0] comes[0] to[0] family[0] entertainment[0] simple[0] is[0] the[0] way[0] to[0] go[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's akin to one of those bedtime stories your father told that had you hanging on his every word , but it's not the story that sets the film above others of its kind , but rather the elements that go into the story , namely real characters and thoughtful dialogue , which " the iron giant " has in spades . 	it's akin to one of those bedtime stories your father told that had you hanging on his every word , but it's not the story that sets the film above others of its kind , but rather the elements that go into the story , namely real characters and thoughtful dialogue , which " the iron giant " has in spades .	2	-1	 it's[0] akin[0] to[0] one[0] of[0] those[0] bedtime[0] stories[0] your[0] father[0] told[0] that[0] had[0] you[0] hanging[0] on[0] his[0] every[0] word[0] but[0] it's[0] not[0] the[0] story[0] that[0] sets[0] the[0] film[0] above[0] others[0] of[0] its[0] kind[1] but[0] rather[0] the[0] elements[0] that[0] go[0] into[0] the[0] story[0] namely[0] real[0] characters[0] and[0] thoughtful[1] dialogue[0] which[0] the[0] iron[0] giant[0] has[0] in[0] spades[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
