one of the biggest cliches of any serial killer film is also one of the most believable . 	Translation	Positive	Negative	EmotionRationale
however , credit must be given to the director for suspending this knowledge through most of the film . 	however , credit must be given to the director for suspending this knowledge through most of the film .	1	-1	 however[0] credit[0] must[0] be[0] given[0] to[0] the[0] director[0] for[0] suspending[0] this[0] knowledge[0] through[0] most[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plotwise , kiss the girls shows almost no originality . 	plotwise , kiss the girls shows almost no originality .	3	-1	 plotwise[0] kiss[2] the[0] girls[0] shows[0] almost[0] no[0] originality[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we are introduced to detective alex cross ( morgan freeman ) , a forensic psychologist , and immediately we are given the cliched scene establishing him as the hero . 	we are introduced to detective alex cross ( morgan freeman ) , a forensic psychologist , and immediately we are given the cliched scene establishing him as the hero .	3	-2	 we[0] are[0] introduced[0] to[0] detective[0] alex[0] cross[-1] morgan[0] freeman[0] a[0] forensic[0] psychologist[0] and[0] immediately[0] we[0] are[0] given[0] the[0] cliched[0] scene[0] establishing[0] him[0] as[0] the[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he gets a call about a woman who has shot her husband and is now threatening to kill herself . 	he gets a call about a woman who has shot her husband and is now threatening to kill herself .	1	-3	 he[0] gets[0] a[0] call[0] about[0] a[0] woman[0] who[0] has[0] shot[-1] her[0] husband[0] and[0] is[0] now[0] threatening[-2] to[0] kill[-1] herself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
obviously cross succeeds at getting the gun , but this scene is quickly forgotten during the next scene . 	obviously cross succeeds at getting the gun , but this scene is quickly forgotten during the next scene .	3	-2	 obviously[0] cross[-1] succeeds[2] at[0] getting[0] the[0] gun[-1] but[0] this[0] scene[0] is[0] quickly[0] forgotten[0] during[0] the[0] next[0] scene[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at his house , cross is told that his neice , naomi ( gina ravera ) , has been missing for four days . 	at his house , cross is told that his neice , naomi ( gina ravera ) , has been missing for four days .	1	-2	 at[0] his[0] house[0] cross[-1] is[0] told[0] that[0] his[0] neice[0] naomi[0] gina[0] ravera[0] has[0] been[0] missing[0] for[0] four[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this provides the motivation for cross to find the killer , but we are never given a chance to establish the relationship between the two , and as a result , we can't sympathize with detective cross . 	this provides the motivation for cross to find the killer , but we are never given a chance to establish the relationship between the two , and as a result , we can't sympathize with detective cross .	1	-2	 this[0] provides[0] the[0] motivation[0] for[0] cross[-1] to[0] find[0] the[0] killer[-1] but[0] we[0] are[0] never[0] given[0] a[0] chance[0] to[0] establish[0] the[0] relationship[0] between[0] the[0] two[0] and[0] as[0] a[0] result[0] we[0] can't[0] sympathize[0] with[0] detective[0] cross[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , what makes kiss the girls slightly original is the introduction of one of the abductees . . . 	however , what makes kiss the girls slightly original is the introduction of one of the abductees .<br> .<br> .	3	-1	 however[0] what[0] makes[0] kiss[2] the[0] girls[0] slightly[0] original[0] is[0] the[0] introduction[0] of[0] one[0] of[0] the[0] abductees[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
before she is abducted . 	before she is abducted .	1	-1	 before[0] she[0] is[0] abducted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . kate mctiernan ( ashley judd , the actress of the judd family ) is a smart , athletic woman , and because of these traits , becomes a target for casanova--what the serial killer likes to call himself . 	dr .<br> kate mctiernan ( ashley judd , the actress of the judd family ) is a smart , athletic woman , and because of these traits , becomes a target for casanova-what the serial killer likes to call himself .	3	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] kate[0] mctiernan[0] ashley[0] judd[0] the[0] actress[0] of[0] the[0] judd[0] family[0] is[0] a[0] smart[1] athletic[0] woman[0] and[0] because[0] of[0] these[0] traits[0] becomes[0] a[0] target[0] for[0] casanova[0] what[0] the[0] serial[0] killer[-1] likes[2] to[0] call[0] himself[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because of these character-developing scenes , we care for mctiernan , making the abduction scene all that more suspenseful . 	because of these character-developing scenes , we care for mctiernan , making the abduction scene all that more suspenseful .	2	-1	 because[0] of[0] these[0] character[0] developing[0] scenes[0] we[0] care[1] for[0] mctiernan[0] making[0] the[0] abduction[0] scene[0] all[0] that[0] more[0] suspenseful[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after being abducted , mctiernan wakes up and finds herself in a cell somewhere in the woods . 	after being abducted , mctiernan wakes up and finds herself in a cell somewhere in the woods .	1	-1	 after[0] being[0] abducted[0] mctiernan[0] wakes[0] up[0] and[0] finds[0] herself[0] in[0] a[0] cell[0] somewhere[0] in[0] the[0] woods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remembering that the killer gave her certain rules , she decides to break one of them by calling out . 	remembering that the killer gave her certain rules , she decides to break one of them by calling out .	1	-2	 remembering[0] that[0] the[0] killer[-1] gave[0] her[0] certain[0] rules[0] she[0] decides[0] to[0] break[0] one[0] of[0] them[0] by[0] calling[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when casanova comes to punish her , she breaks out and escapes by jumping over a waterfall . 	when casanova comes to punish her , she breaks out and escapes by jumping over a waterfall .	1	-2	 when[0] casanova[0] comes[0] to[0] punish[-1] her[0] she[0] breaks[0] out[0] and[0] escapes[0] by[0] jumping[0] over[0] a[0] waterfall[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after she is found , she begins to help cross find his neice . 	after she is found , she begins to help cross find his neice .	1	-2	 after[0] she[0] is[0] found[0] she[0] begins[0] to[0] help[0] cross[-1] find[0] his[0] neice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from this moment on , kiss the girls takes on the form of every other serial killer film , as the two leads search for the rest of the victims held captive . 	from this moment on , kiss the girls takes on the form of every other serial killer film , as the two leads search for the rest of the victims held captive .	3	-3	 from[0] this[0] moment[0] on[0] kiss[2] the[0] girls[0] takes[0] on[0] the[0] form[0] of[0] every[0] other[0] serial[0] killer[-1] film[0] as[0] the[0] two[0] leads[0] search[0] for[0] the[0] rest[0] of[0] the[0] victims[-2] held[0] captive[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
many people will compare this film to 1995's seven , another killer film starring morgan freeman , but i presume that the similarities are intentional . 	many people will compare this film to 1995's seven , another killer film starring morgan freeman , but i presume that the similarities are intentional .	1	-2	 many[0] people[0] will[0] compare[0] this[0] film[0] to[0] 1995's[0] seven[0] another[0] killer[-1] film[0] starring[0] morgan[0] freeman[0] but[0] i[0] presume[0] that[0] the[0] similarities[0] are[0] intentional[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenplay , by david klass , is adapted from the novel written by james patterson , and yet i don't quite see how this story could have worked in novel form . 	the screenplay , by david klass , is adapted from the novel written by james patterson , and yet i don't quite see how this story could have worked in novel form .	1	-1	 the[0] screenplay[0] by[0] david[0] klass[0] is[0] adapted[0] from[0] the[0] novel[0] written[0] by[0] james[0] patterson[0] and[0] yet[0] i[0] don't[0] quite[0] see[0] how[0] this[0] story[0] could[0] have[0] worked[0] in[0] novel[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what makes kiss the girls so good is the acting and the technical and visual impressiveness . 	what makes kiss the girls so good is the acting and the technical and visual impressiveness .	3	-1	 what[0] makes[0] kiss[2] the[0] girls[0] so[0] good[1] is[0] the[0] acting[0] and[0] the[0] technical[0] and[0] visual[0] impressiveness[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cinematography , by aaron schneider , is reminiscient of seven , and sometimes i felt that many of the shots were trying too hard to impress us . 	the cinematography , by aron schneider , is reminiscient of seven , and sometimes i felt that many of the shots were trying too hard to impress us .	2	-1	 the[0] cinematography[0] by[0] aaron/aron[0] schneider[0] is[0] reminiscient[0] of[0] seven[0] and[0] sometimes[0] i[0] felt[0] that[0] many[0] of[0] the[0] shots[0] were[0] trying[0] too[0] hard[0] to[0] impress[1] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes a simple shot is the best one . 	sometimes a simple shot is the best one .	2	-2	 sometimes[0] a[0] simple[0] shot[-1] is[0] the[0] best[1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , many of the shots are stunning , and unlike seven , most of them take place during the day , in sunlight . 	however , many of the shots are stunning , and unlike seven , most of them take place during the day , in sunlight .	1	-1	 however[0] many[0] of[0] the[0] shots[0] are[0] stunning[0] and[0] unlike[0] seven[0] most[0] of[0] them[0] take[0] place[0] during[0] the[0] day[0] in[0] sunlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scene when ashley judd is running through the forest is extremely well done , in more than one way . 	the scene when ashley judd is running through the forest is extremely well done , in more than one way .	1	-1	 the[0] scene[0] when[0] ashley[0] judd[0] is[0] running[0] through[0] the[0] forest[0] is[0] extremely[0] well[0] done[0] in[0] more[0] than[0] one[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the camera work is terrific , but the editing makes this scene work so well . 	the camera work is terrific , but the editing makes this scene work so well .	4	-1	 the[0] camera[0] work[0] is[0] terrific[3] but[0] the[0] editing[0] makes[0] this[0] scene[0] work[0] so[0] well[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the chaotic and mtv-type cutting gives the audience a sense of confusion and unawareness , exactly what judd's character is experiencing . 	the chaotic and mtv-type cutting gives the audience a sense of confusion and unawareness , exactly what judd's character is experiencing .	1	-2	 the[0] chaotic[-1] and[0] mtv[0] type[0] cutting[0] gives[0] the[0] audience[0] a[0] sense[0] of[0] confusion[-1] and[0] unawareness[0] exactly[0] what[0] judd's[0] character[0] is[0] experiencing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the best aspect of kiss the girls is its actors . 	however , the best aspect of kiss the girls is its actors .	3	-1	 however[0] the[0] best[1] aspect[0] of[0] kiss[2] the[0] girls[0] is[0] its[0] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
morgan freeman is one of today's most powerful and believable actors . 	morgan freeman is one of today's most powerful and believable actors .	1	-1	 morgan[0] freeman[0] is[0] one[0] of[0] today's[0] most[0] powerful[0] and[0] believable[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
detective cross is a very good character for him , although it is just a similar one to the character in seven . 	detective cross is a very good character for him , although it is just a similar one to the character in seven .	3	-2	 detective[0] cross[-1] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] character[0] for[0] him[0] although[0] it[0] is[0] just[0] a[0] similar[0] one[0] to[0] the[0] character[0] in[0] seven[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because of freeman's powerful presence , he carries half the film by himself . 	because of freeman's powerful presence , he carries half the film by himself .	1	-1	 because[0] of[0] freeman's[0] powerful[0] presence[0] he[0] carries[0] half[0] the[0] film[0] by[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other half is carried by ashley judd , one of today's most promising dramatic actresses . 	the other half is carried by ashley judd , one of today's most promising dramatic actresses .	2	-1	 the[0] other[0] half[0] is[0] carried[0] by[0] ashley[0] judd[0] one[0] of[0] today's[0] most[0] promising[1] dramatic[0] actresses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , her performance is better than freeman's , if that is even possible . 	in fact , her performance is better than freeman's , if that is even possible .	1	-1	 in[0] fact[0] her[0] performance[0] is[0] better[0] than[0] freeman's[0] if[0] that[0] is[0] even[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her character is more original than freeman's , and she handles it wonderfully . 	her character is more original than freeman's , and she handles it wonderfully .	3	-1	 her[0] character[0] is[0] more[0] original[0] than[0] freeman's[0] and[0] she[0] handles[0] it[0] wonderfully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we finally have a female character in a movie like this who does more than just scream . 	we finally have a female character in a movie like this who does more than just scream .	2	-3	 we[0] finally[0] have[0] a[0] female[0] character[0] in[0] a[0] movie[0] like[1] this[0] who[0] does[0] more[0] than[0] just[0] scream[-3][--1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the supporting cast is highly underdeveloped , but the cast members do as much as they can with it . 	the supporting cast is highly underdeveloped , but the cast members do as much as they can with it .	2	-1	 the[0] supporting[1] cast[0] is[0] highly[0] underdeveloped[0] but[0] the[0] cast[0] members[0] do[0] as[0] much[0] as[0] they[0] can[0] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cary elwes portrays a cop in north carolina , and unfortunately has scraps for a character . 	cary elwes portrays a cop in north carolina , and unfortunately has scraps for a character .	1	-2	 cary[0] elwes[0] portrays[0] a[0] cop[0] in[0] north[0] carolina[0] and[0] unfortunately[-1] has[0] scraps[0] for[0] a[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tony goldwyn fairs slightly better , but we don't really get to know his character either . 	tony goldwyn fairs slightly better , but we don't really get to know his character either .	1	-1	 tony[0] goldwyn[0] fairs[0] slightly[0] better[0] but[0] we[0] don't[0] really[0] get[0] to[0] know[0] his[0] character[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gina ravera gives a good performance , but again she isn't in many of the scenes . 	gina ravera gives a good performance , but again she isn't in many of the scenes .	2	-1	 gina[0] ravera[0] gives[0] a[0] good[1] performance[0] but[0] again[0] she[0] isn't[0] in[0] many[0] of[0] the[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so as a result of all these small supporting parts , the weight of the film lies on the two leads , and they do a phenomenal job . 	so as a result of all these small supporting parts , the weight of the film lies on the two leads , and they do a phenomenal job .	2	-3	 so[0] as[0] a[0] result[0] of[0] all[0] these[0] small[0] supporting[1] parts[0] the[0] weight[0] of[0] the[0] film[0] lies[-2] on[0] the[0] two[0] leads[0] and[0] they[0] do[0] a[0] phenomenal[0] job[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
some of the best acting of this genre , and some of the best acting of the year . 	some of the best acting of this genre , and some of the best acting of the year .	2	-1	 some[0] of[0] the[0] best[1] acting[0] of[0] this[0] genre[0] and[0] some[0] of[0] the[0] best[1] acting[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
two other essential aspects of the film are quite good . 	two other essential aspects of the film are quite good .	2	-1	 two[0] other[0] essential[0] aspects[0] of[0] the[0] film[0] are[0] quite[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director gary fleder does a good job of controlling his actors , but the second half of the film loses believability , especially during the revelation of the killer . 	director gary fleder does a good job of controlling his actors , but the second half of the film loses believability , especially during the revelation of the killer .	2	-2	 director[0] gary[0] fleder[0] does[0] a[0] good[1] job[0] of[0] controlling[0] his[0] actors[0] but[0] the[0] second[0] half[0] of[0] the[0] film[0] loses[-1] believability[0] especially[0] during[0] the[0] revelation[0] of[0] the[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he also doesn't handle the suspenseful scenes as a better director would have , losing a lot of tension during many scenes . 	he also doesn't handle the suspenseful scenes as a better director would have , losing a lot of tension during many scenes .	1	-3	 he[0] also[0] doesn't[0] handle[0] the[0] suspenseful[0] scenes[0] as[0] a[0] better[0] director[0] would[0] have[0] losing[-2] a[0] lot[0] of[0] tension[-2] during[0] many[0] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , to his credit , he does manage a terrific first half . 	however , to his credit , he does manage a terrific first half .	4	-1	 however[0] to[0] his[0] credit[0] he[0] does[0] manage[0] a[0] terrific[3] first[0] half[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
part of the blame falls on david klass . 	part of the blame falls on david klass .	1	-2	 part[0] of[0] the[0] blame[-1] falls[0] on[0] david[0] klass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm sure the book developed many of the lesser characters more , but klass focuses on the two main parts . 	i'm sure the book developed many of the lesser characters more , but klass focuses on the two main parts .	1	-1	 i'm[0] sure[0] the[0] book[0] developed[0] many[0] of[0] the[0] lesser[0] characters[0] more[0] but[0] klass[0] focuses[0] on[0] the[0] two[0] main[0] parts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while this may give the two leads more screentime , many of the small characters are one-dimensional , and the killer , when revealed , is extremely implausible . 	while this may give the two leads more screentime , many of the small characters are one-dimensional , and the killer , when revealed , is extremely implausible .	1	-2	 while[0] this[0] may[0] give[0] the[0] two[0] leads[0] more[0] screentime[0] many[0] of[0] the[0] small[0] characters[0] are[0] one[0] dimensional[0] and[0] the[0] killer[-1] when[0] revealed[0] is[0] extremely[0] implausible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thanks to the smart dialogue adapted from the novel , kiss the girls always seems intelligent . 	thanks to the smart dialogue adapted from the novel , kiss the girls always seems intelligent .	3	-1	 thanks[1] to[0] the[0] smart[1] dialogue[0] adapted[0] from[0] the[0] novel[0] kiss[2] the[0] girls[0] always[0] seems[0] intelligent[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
none of the conversations are laughable , and all move the plot forward without seeming forced . 	none of the conversations are laughable , and all move the plot forward without seeming forced .	1	-2	 none[0] of[0] the[0] conversations[0] are[0] laughable[-1] and[0] all[0] move[0] the[0] plot[0] forward[0] without[0] seeming[0] forced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the biggest problems i had with the movie was the motive of the killer . 	one of the biggest problems i had with the movie was the motive of the killer .	1	-2	 one[0] of[0] the[0] biggest[0] problems[-1] i[0] had[0] with[0] the[0] movie[0] was[0] the[0] motive[0] of[0] the[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i blame this mainly on the casting director , because the killer's motive is because of rejection from women ( or so i assume from the opening monologue ) , but the killer himself is very attractive ( one of my friends is a , shall we say , big admirer of the killer ) . 	i blame this mainly on the casting director , because the killer's motive is because of rejection from women ( or so i assume from the opening monologue ) , but the killer himself is very attractive ( one of my friends is a , shall we say , big admirer of the killer ) .	3	-2	 i[0] blame[-1] this[0] mainly[0] on[0] the[0] casting[0] director[0] because[0] the[0] killer's[0] motive[0] is[0] because[0] of[0] rejection[-1] from[0] women[0] or[0] so[0] i[0] assume[0] from[0] the[0] opening[0] monologue[0] but[0] the[0] killer[-1] himself[0] is[0] very[0] attractive[1][1 LastWordBoosterStrength] one[0] of[0] my[0] friends[1] is[0] a[0] shall[0] we[0] say[0] big[0] admirer[2] of[0] the[0] killer[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kiss the girls is rated r for terror , violence , language , and suggested sex . 	kiss the girls is rated are for terror , violence , language , and suggested sex .	3	-4	 kiss[2] the[0] girls[0] is[0] rated[0] r[0] for[0] terror[-1] violence[-3] language[0] and[0] suggested[0] sex[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
with all the implausibilities of this film , and with the mediocre second half , kiss the girls somehow manages to thoroughly entertain . 	with all the implausibilities of this film , and with the mediocre second half , kiss the girls somehow manages to thoroughly entertain .	3	-2	 with[0] all[0] the[0] implausibilities[0] of[0] this[0] film[0] and[0] with[0] the[0] mediocre[-1] second[0] half[0] kiss[2] the[0] girls[0] somehow[0] manages[0] to[0] thoroughly[0] entertain[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , i had the urge to see it again just for the performances . 	in fact , i had the urge to see it again just for the performances .	1	-1	 in[0] fact[0] i[0] had[0] the[0] urge[0] to[0] see[0] it[0] again[0] just[0] for[0] the[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography adds a lot of mood to the already creepy tone , and the script is usually smart . 	the cinematography adds a lot of mood to the already creepy tone , and the script is usually smart .	2	-1	 the[0] cinematography[0] adds[0] a[0] lot[0] of[0] mood[0] to[0] the[0] already[0] creepy[0] tone[0] and[0] the[0] script[0] is[0] usually[0] smart[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is clearly one of those movies which rely on the acting to pull it through . 	this is clearly one of those movies which rely on the acting to pull it through .	1	-1	 this[0] is[0] clearly[0] one[0] of[0] those[0] movies[0] which[0] rely[0] on[0] the[0] acting[0] to[0] pull[0] it[0] through[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
morgan freeman is possibly today's most convincing actor , and ashley judd adds another notch on her acting belt . 	morgan freeman is possibly today's most convincing actor , and ashley judd adds another notch on her acting belt .	1	-1	 morgan[0] freeman[0] is[0] possibly[0] today's[0] most[0] convincing[0] actor[0] and[0] ashley[0] judd[0] adds[0] another[0] notch[0] on[0] her[0] acting[0] belt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i must also say that i loved the ending . 	i must also say that i loved the ending .	4	-1	 i[0] must[0] also[0] say[0] that[0] i[0] loved[3] the[0] ending[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the showdown between good and evil was quite tense , and the resolution of the scene makes almost anyone cheer . 	the showdown between good and evil was quite tense , and the resolution of the scene makes almost anyone cheer .	2	-3	 the[0] showdown[0] between[0] good[1] and[0] evil[-2] was[0] quite[0] tense[-2] and[0] the[0] resolution[0] of[0] the[0] scene[0] makes[0] almost[0] anyone[0] cheer[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
perhaps it may not be possible , but most of the film isn't anyway . 	perhaps it may not be possible , but most of the film isn't anyway .	1	-1	 perhaps[0] it[0] may[0] not[0] be[0] possible[0] but[0] most[0] of[0] the[0] film[0] isn't[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
