mpaa : not rated ( though i feel it would likely be pg , for martial-arts violence . ) 	Translation	Positive	Negative	EmotionRationale
 " drunken master " 's storyline is very similar to that of other early jackie chan movies , such as " fearless hyena " i and ii and " master with cracked fingers " --slacker martial arts student is taught the martial arts by a harsh-seeming master , and has a big fight with an evil bad guy in the end ( a formula that has been " adapted , " to put it kindly , by american films such as karate kid ) . 	 " drunken master " 's storyline is very similar to that of other early jackie chan movies , such as " fearless hyena " i and i and " master with cracked fingers " -slacker martial arts student is taught the martial arts by a harsh-seeming master , and has a big fight with an evil bad guy in the end ( a formula that has been " adapted , " to put it kindly , by american films such as karate kid ) .	2	-3	 drunken[-1] master[0] 's[0] storyline[0] is[0] very[0] similar[0] to[0] that[0] of[0] other[0] early[0] jackie[0] chan[0] movies[0] such[0] as[0] fearless[1] hyena[0] i[0] and[0] ii/i[0] and[0] master[0] with[0] cracked[0] fingers[0] slacker[0] martial[0] arts[0] student[0] is[0] taught[0] the[0] martial[0] arts[0] by[0] a[0] harsh[-1] seeming[0] master[0] and[0] has[0] a[0] big[0] fight[-2] with[0] an[0] evil[-2] bad[-1] guy[0] in[0] the[0] end[0] a[0] formula[0] that[0] has[0] been[0] adapted[0] to[0] put[0] it[0] kindly[1] by[0] american[0] films[0] such[0] as[0] karate[0] kid[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
more specifically , jackie chan plays the part of wong fei-hong , aka " naughty panther , " a fun-loving , practical-joking kung fu student who is too good at kung fu for his own good , but not _quite_ good enough . 	more specifically , jackie chan plays the part of wong fei-hong , aka " naughty panther , " a fun-loving , practical-joking kung fu student who is too good at kung fu for his own good , but not _quite_ good enough .	4	-2	 more[0] specifically[0] jackie[0] chan[0] plays[1] the[0] part[0] of[0] wong[0] fei[0] hong[0] aka[0] naughty[-1] panther[0] a[0] fun[1] loving[3] practical[0] joking[2] kung[0] fu[0] student[0] who[0] is[0] too[0] good[1] at[0] kung[0] fu[0] for[0] his[0] own[0] good[1] but[0] not[0] _quite_[0] good[1][NegatedDueToPreviousWord] enough[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
after embarrassing his instructor's assistant by beating him roundly , then beating up a bully in a marketplace , wong fei-hong tries to hit on a pretty girl , but discovers that she , and her mother , can hit back , better than he can . . . and 	after embarrassing his instructor's assistant by beating him roundly , then beating up a bully in a marketplace , wong fei-hong tries to hit on a pretty girl , but discovers that she , and her mother , can hit back , better than he can .<br> .<br> .<br> and	3	-3	 after[0] embarrassing[-2] his[0] instructor's[0] assistant[0] by[0] beating[0] him[0] roundly[0] then[0] beating[0] up[0] a[0] bully[0] in[0] a[0] marketplace[0] wong[0] fei[0] hong[0] tries[0] to[0] hit[0] on[0] a[0] pretty[2] girl[0] but[0] discovers[0] that[0] she[0] and[0] her[0] mother[0] can[0] hit[0] back[0] better[0] than[0] he[0] can[0] [[Sentence=-3,3=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
is further chagrinned to discover that the two women are his cousin and aunt , respectively . 	is further chagrined to discover that the two women are his cousin and aunt , respectively .	3	-1	 is[0] further[0] chagrinned/chagrined[0] to[0] discover[0] that[0] the[0] two[0] women[0] are[0] his[0] cousin[0] and[0] aunt[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his father , wong kei-ying , is unhappy about this , and is further annoyed when the father and brother of the bully show up to sue for damages . 	his father , wong kei-ying , is unhappy about this , and is further annoyed when the father and brother of the bully show up to sue for damages .	1	-3	 his[0] father[0] wong[0] kei[0] ying[0] is[0] unhappy[-2] about[0] this[0] and[0] is[0] further[0] annoyed[-2] when[0] the[0] father[0] and[0] brother[0] of[0] the[0] bully[0] show[0] up[0] to[0] sue[0] for[0] damages[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kei-ying soon institutes a harsh regimen of punishment , which fei-hong does not like at all . 	kei-ying soon institutes a harsh regimen of punishment , which fei-hong does not like at all .	1	-2	 kei[0] ying[0] soon[0] institutes[0] a[0] harsh[-1] regimen[0] of[0] punishment[-1] which[0] fei[0] hong[0] does[0] not[0] like[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while escaping from this punishment , fei-hong meets up with a drunken old man , who proceeds to thrash him soundly , then take him on as a student and thrash him some more . 	while escaping from this punishment , fei-hong meets up with a drunken old man , who proceeds to thrash him soundly , then take him on as a student and thrash him some more .	1	-2	 while[0] escaping[0] from[0] this[0] punishment[-1] fei[0] hong[0] meets[0] up[0] with[0] a[0] drunken[-1] old[0] man[0] who[0] proceeds[0] to[0] thrash[-1] him[0] soundly[0] then[0] take[0] him[0] on[0] as[0] a[0] student[0] and[0] thrash[-1] him[0] some[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this turns out to be su hua-chi , a legendary master of drunken-style kung fu . 	this turns out to be su hua-chi , a legendary master of drunken-style kung fu .	1	-2	 this[0] turns[0] out[0] to[0] be[0] su[0] hua[0] chi[0] a[0] legendary[0] master[0] of[0] drunken[-1] style[0] kung[0] fu[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he assigns fei-hong a series of bizarre tasks , such as filling jugs with water while hanging upside down from a frame , cracking walnuts with his hands , and other such exercises , that seem like more pointless cruelty but are actually strengthening him up . 	he assigns fei-hong a series of bizarre tasks , such as filling jugs with water while hanging upside down from a frame , cracking walnuts with his hands , and other such exercises , that seem like more pointless cruelty but are actually strengthening him up .	2	-4	 he[0] assigns[0] fei[0] hong[0] a[0] series[0] of[0] bizarre[-1] tasks[0] such[0] as[0] filling[0] jugs[0] with[0] water[0] while[0] hanging[0] upside[0] down[0] from[0] a[0] frame[0] cracking[0] walnuts[0] with[0] his[0] hands[0] and[0] other[0] such[0] exercises[0] that[0] seem[0] like[1] more[0] pointless[-1] cruelty[-3] but[0] are[0] actually[0] strengthening[0] him[0] up[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
then , when he's ready , he teaches him the seven styles of drunken kung fu . 	then , when he's ready , he teaches him the seven styles of drunken kung fu .	1	-2	 then[0] when[0] he's[0] ready[0] he[0] teaches[0] him[0] the[0] seven[0] styles[0] of[0] drunken[-1] kung[0] fu[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , the lazy fei-hong only practices six of them . . . 	unfortunately , the lazy fei-hong only practices six of them .<br> .<br> .	1	-2	 unfortunately[-1] the[0] lazy[-1] fei[0] hong[0] only[0] practices[0] six[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " drunken master " features some wonderful martial arts sequences , with jackie winning some fights and losing others . 	 " drunken master " features some wonderful martial arts sequences , with jackie winning some fights and losing others .	2	-3	 drunken[-1] master[0] features[0] some[0] wonderful[2][-1 LastWordBoosterStrength] martial[0] arts[0] sequences[0] with[0] jackie[0] winning[1] some[0] fights[-2][--1 LastWordBoosterStrength] and[0] losing[-2] others[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's been said before , but i'll say it again--these fights don't just _happen_ , they're as carefully choreographed as any ballet performance , and it shows . 	it's been said before , but i'll say it again-these fights don't just _happen_ , they're as carefully choreographed as any ballet performance , and it shows .	1	-3	 it's[0] been[0] said[0] before[0] but[0] i'll[0] say[0] it[0] again[0] these[0] fights[-2] don't[0] just[0] _happen_[0] they're[0] as[0] carefully[0] choreographed[-2] as[0] any[0] ballet[0] performance[0] and[0] it[0] shows[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in his fights , jackie often makes use of objects found in his environment-- benches , jugs , cups , bowls , fruits and vegetables--often in new and surprising ways . 	in his fights , jackie often makes use of objects found in his environment- benches , jugs , cups , bowls , fruits and vegetables-often in new and surprising ways .	1	-3	 in[0] his[0] fights[-2] jackie[0] often[0] makes[0] use[0] of[0] objects[0] found[0] in[0] his[0] environment[0] benches[0] jugs[0] cups[0] bowls[0] fruits[0] and[0] vegetables[0] often[0] in[0] new[0] and[0] surprising[0] ways[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fight scenes , particularly those toward the end of the film , are unparallelled in most american films . 	the fight scenes , particularly those toward the end of the film , are unparalleled in most american films .	1	-3	 the[0] fight[-2] scenes[0] particularly[0] those[0] toward[0] the[0] end[0] of[0] the[0] film[0] are[0] unparallelled/unparalleled[0] in[0] most[0] american[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whether jackie wins or loses , it's really something to see . . . and 	whether jackie wins or loses , it's really something to see .<br> .<br> .<br> and	1	-2	 whether[0] jackie[0] wins[0] or[0] loses[-1] it's[0] really[0] something[0] to[0] see[0] [[Sentence=-2,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's often as funny as anything , too . 	it's often as funny as anything , too .	2	-1	 it's[0] often[0] as[0] funny[1] as[0] anything[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and funny is the other thing jackie chan is very , very good at . 	and funny is the other thing jackie chan is very , very good at .	3	-1	 and[0] funny[1] is[0] the[0] other[0] thing[0] jackie[0] chan[0] is[0] very[0] very[0] good[1][1 LastWordBoosterStrength] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's very little that's new in this movie--jackie winning fights , jackie getting beaten badly by a master , jackie going through punishment or training . . . these 	there's very little that's new in this movie-jackie winning fights , jackie getting beaten badly by a master , jackie going through punishment or training .<br> .<br> .<br> these	2	-3	 there's[0] very[0] little[0] that's[0] new[0] in[0] this[0] movie[0] jackie[0] winning[1] fights[-2] jackie[0] getting[0] beaten[0] badly[-1] by[0] a[0] master[0] jackie[0] going[0] through[0] punishment[-1] or[0] training[0] [[Sentence=-3,2=word max, 1-5]] these[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
schticks have all been seen before , in any one of several dozen similar jackie movies from the seventies and early eighties . 	schticks have all been seen before , in any one of several dozen similar jackie movies from the seventies and early eighties .	1	-1	 schticks[0] have[0] all[0] been[0] seen[0] before[0] in[0] any[0] one[0] of[0] several[0] dozen[0] similar[0] jackie[0] movies[0] from[0] the[0] seventies[0] and[0] early[0] eighties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they're still hilarious as ever . 	but they're still hilarious as ever .	3	-1	 but[0] they're[0] still[0] hilarious[2] as[0] ever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
likewise , jackie has a _great_ supporting cast , many of whom were also in other early jackie films , and they're often the source of plenty of hilarity on their own . 	likewise , jackie has a _great_ supporting cast , many of whom were also in other early jackie films , and they're often the source of plenty of hilarity on their own .	3	-2	 likewise[0] jackie[0] has[0] a[0] _great_[0] supporting[1] cast[0] many[0] of[0] whom[0] were[0] also[0] in[0] other[0] early[0] jackie[0] films[0] and[0] they're[0] often[0] the[0] source[-1] of[0] plenty[0] of[0] hilarity[2] on[0] their[0] own[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the really big thing about " drunken master " , though , that inspired several copycats ( including a couple starring jackie himself ) and a sequel fifteen years later , was the drunken-style kung fu . 	the really big thing about " drunken master " , though , that inspired several copycats ( including a couple starring jackie himself ) and a sequel fifteen years later , was the drunken-style kung fu .	3	-2	 the[0] really[0] big[0] thing[0] about[0] drunken[-1] master[0] though[0] that[0] inspired[2] several[0] copycats[0] including[0] a[0] couple[0] starring[0] jackie[0] himself[0] and[0] a[0] sequel[0] fifteen[0] years[0] later[0] was[0] the[0] drunken[-1] style[0] kung[0] fu[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm not certain whether or not this is actually a genuine style of kung fu , but the principle behind it is to imitate the wobbly movements of a drunkard to lull the enemy into a false sense of security . . . and 	i'm not certain whether or not this is actually a genuine style of kung fu , but the principle behind it is to imitate the wobbly movements of a drunkard to lull the enemy into a false sense of security .<br> .<br> .<br> and	2	-2	 i'm[0] not[0] certain[0] whether[0] or[0] not[0] this[0] is[0] actually[0] a[0] genuine[0] style[0] of[0] kung[0] fu[0] but[0] the[0] principle[0] behind[0] it[0] is[0] to[0] imitate[0] the[0] wobbly[0] movements[0] of[0] a[0] drunkard[-1] to[0] lull[-1] the[0] enemy[-1] into[0] a[0] false[0] sense[0] of[0] security[1] [[Sentence=-2,2=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
it apparently helps if you're drunk while you're doing it . 	it apparently helps if you're drunk while you're doing it .	1	-2	 it[0] apparently[0] helps[0] if[0] you're[0] drunk[-1] while[0] you're[0] doing[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
genuine or not , i have to admit , there's just something incredibly fun about watching a fellow who looks utterly sloshed wading into a group of startled opponents and making mincemeat out of them before they even realize what's going on . 	genuine or not , i have to admit , there's just something incredibly fun about watching a fellow who looks utterly sloshed wading into a group of startled opponents and making mincemeat out of them before they even realize what's going on .	4	-2	 genuine[0] or[0] not[0] i[0] have[0] to[0] admit[0] there's[0] just[0] something[0] incredibly[0] fun[1][2 LastWordBoosterStrength] about[0] watching[0] a[0] fellow[0] who[0] looks[0] utterly[0] sloshed[0] wading[0] into[0] a[0] group[0] of[0] startled[-1] opponents[0] and[0] making[0] mincemeat[0] out[0] of[0] them[0] before[0] they[0] even[0] realize[0] what's[0] going[0] on[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
come to think of it , perhaps this element is what accounts for this film's success over any of the other jackie films . . . it's 	come to think of it , perhaps this element is what accounts for this film's success over any of the other jackie films .<br> .<br> .<br> it's	3	-1	 come[0] to[0] think[0] of[0] it[0] perhaps[0] this[0] element[0] is[0] what[0] accounts[0] for[0] this[0] film's[0] success[2] over[0] any[0] of[0] the[0] other[0] jackie[0] films[0] [[Sentence=-1,3=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
not just martial arts , it's the kind of martial arts that makes you stop and go , " whoa . . . " 	not just martial arts , it's the kind of martial arts that makes you stop and go , " whoa .<br> .<br> .<br> "	2	-1	 not[0] just[0] martial[0] arts[0] it's[0] the[0] kind[1] of[0] martial[0] arts[0] that[0] makes[0] you[0] stop[0] and[0] go[0] whoa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the negative side , the cinematography in this film is nothing special , the film stock is rather primitive , the plot is often rather slow , and the subtitles are sometimes extremely hard to read against the background . 	on the negative side , the cinematography in this film is nothing special , the film stock is rather primitive , the plot is often rather slow , and the subtitles are sometimes extremely hard to read against the background .	2	-2	 on[0] the[0] negative[-1] side[0] the[0] cinematography[0] in[0] this[0] film[0] is[0] nothing[0] special[1] the[0] film[0] stock[0] is[0] rather[0] primitive[0] the[0] plot[0] is[0] often[0] rather[0] slow[0] and[0] the[0] subtitles[0] are[0] sometimes[0] extremely[0] hard[0] to[0] read[0] against[-1] the[0] background[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " gone with the wind " , this isn't . 	 " gone with the wind " , this isn't .	1	-1	 gone[0] with[0] the[0] wind[0] this[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , if you like martial arts films , or like what you've seen so far of jackie chan and want to see more , give it a shot . 	still , if you like martial arts films , or like what you've seen so far of jackie chan and want to see more , give it a shot .	2	-2	 still[0] if[0] you[0] like[1] martial[0] arts[0] films[0] or[0] like[1] what[0] you've[0] seen[0] so[0] far[0] of[0] jackie[0] chan[0] and[0] want[0] to[0] see[0] more[0] give[0] it[0] a[0] shot[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's much more " real " than chuck norris or jean-claude van damme . 	it's much more " real " than chuck norris or jean-claude van dame .	1	-1	 it's[0] much[0] more[0] real[0] than[0] chuck[0] norris[0] or[0] jean[0] claude[0] van[0] damme/dame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you might very well like it . 	you might very well like it .	2	-1	 you[0] might[0] very[0] well[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another interesting thing about " drunken master " has to do with its video availability in the us . 	another interesting thing about " drunken master " has to do with its video availability in the us .	2	-2	 another[0] interesting[1] thing[0] about[0] drunken[-1] master[0] has[0] to[0] do[0] with[0] its[0] video[0] availability[0] in[0] the[0] us[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " drunken master " is the only early jackie chan movie that i know of that you can find in its original , letterboxed , hong kong subtitled form , commercially available on vhs ( from magnum video , in a gold box , for about  10 ) . 	 " drunken master " is the only early jackie chan movie that i know of that you can find in its original , letterboxed , hong kong subtitled form , commercially available on vhs ( from magnum video , in a gold box , for about  10 ) .	1	-2	 drunken[-1] master[0] is[0] the[0] only[0] early[0] jackie[0] chan[0] movie[0] that[0] i[0] know[0] of[0] that[0] you[0] can[0] find[0] in[0] its[0] original[0] letterboxed[0] hong[0] kong[0] subtitled[0] form[0] commercially[0] available[0] on[0] vhs[0] from[0] magnum[0] video[0] in[0] a[0] gold[0] box[0] for[0] about[0] 10[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are plenty of other early jackie films around , but these are typically either in dubbed , pan-and-scanned form or else import tapes priced for rental instead of purchase . 	there are plenty of other early jackie films around , but these are typically either in dubbed , pan-and-scanned form or else import tapes priced for rental instead of purchase .	1	-1	 there[0] are[0] plenty[0] of[0] other[0] early[0] jackie[0] films[0] around[0] but[0] these[0] are[0] typically[0] either[0] in[0] dubbed[0] pan[0] and[0] scanned[0] form[0] or[0] else[0] import[0] tapes[0] priced[0] for[0] rental[0] instead[0] of[0] purchase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , " drunken master " , at least , is available in the aspect ratio in which it was meant to be seen , at a very affordable price . 	thankfully , " drunken master " , at least , is available in the aspect ratio in which it was meant to be seen , at a very affordable price .	2	-2	 thankfully[1] drunken[-1] master[0] at[0] least[0] is[0] available[0] in[0] the[0] aspect[0] ratio[0] in[0] which[0] it[0] was[0] meant[0] to[0] be[0] seen[0] at[0] a[0] very[0] affordable[0] price[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you like " drunken master " , take a look at the numerous other early jackie chan films that are out there ( even the dubbed ones aren't really _too_ bad . . . if 	if you like " drunken master " , take a look at the numerous other early jackie chan films that are out there ( even the dubbed ones aren't really _too_ bad .<br> .<br> .<br> if	2	-2	 if[0] you[0] like[1] drunken[-1] master[0] take[0] a[0] look[0] at[0] the[0] numerous[0] other[0] early[0] jackie[0] chan[0] films[0] that[0] are[0] out[0] there[0] even[0] the[0] dubbed[0] ones[0] aren't[0] really[0] _too_[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]] if[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
nothing else , you can enjoy the martial arts choreography while making fun of the dialogue ) . 	nothing else , you can enjoy the martial arts choreography while making fun of the dialogue ) .	3	-3	 nothing[0] else[0] you[0] can[0] enjoy[2] the[0] martial[0] arts[0] choreography[-2] while[0] making[0] fun[1] of[0] the[0] dialogue[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i particularly recommend " spiritual kung fu " , " half a loaf of kung fu " , the " fearless hyena " movies , and " snake & crane arts of shaolin " . 	i particularly recommend " spiritual kung fu " , " half a loaf of kung fu " , the " fearless hyena " movies , and " snake & crane arts of shaolin " .	2	-1	 i[0] particularly[0] recommend[0] spiritual[0] kung[0] fu[0] half[0] a[0] loaf[0] of[0] kung[0] fu[0] the[0] fearless[1] hyena[0] movies[0] and[0] snake[0] &[0] crane[0] arts[0] of[0] shaolin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , the mostly-unrelated-storywise sequel , " drunken master ii " , will hit theaters in american release sometime later this year ( though what its american-release title will be is still uncertain ) and comes _highly_ recommended by this reviewer . 	also , the mostly-unrelated-storywise sequel , " drunken master i " , will hit theaters in american release sometime later this year ( though what its american-release title will be is still uncertain ) and comes _highly_ recommended by this reviewer .	1	-2	 also[0] the[0] mostly[0] unrelated[0] storywise[0] sequel[0] drunken[-1] master[0] ii/i[0] will[0] hit[0] theaters[0] in[0] american[0] release[0] sometime[0] later[0] this[0] year[0] though[0] what[0] its[0] american[0] release[0] title[0] will[0] be[0] is[0] still[0] uncertain[0] and[0] comes[0] _highly_[0] recommended[0] by[0] this[0] reviewer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
