blade is the movie that shows that wesley snipes really can live up to his potential as one of hollywood's premier leading men . 	Translation	Positive	Negative	EmotionRationale
but this isn't as easy as it seems , because the vampires in blade's world are more sophisticated than the ones that you find in most films . 	but this isn't as easy as it seems , because the vampires in blade's world are more sophisticated than the ones that you find in most films .	1	-1	 but[0] this[0] isn't[0] as[0] easy[0] as[0] it[0] seems[0] because[0] the[0] vampires[0] in[0] blade's[0] world[0] are[0] more[0] sophisticated[0] than[0] the[0] ones[0] that[0] you[0] find[0] in[0] most[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the government and other authorities know of the existence of vampires , but they let them feast of the population at large because they are taking bribes from the vampires . 	the government and other authorities know of the existence of vampires , but they let them feast of the population at large because they are taking bribes from the vampires .	1	-2	 the[0] government[0] and[0] other[0] authorities[0] know[0] of[0] the[0] existence[0] of[0] vampires[0] but[0] they[0] let[0] them[0] feast[0] of[0] the[0] population[0] at[0] large[0] because[0] they[0] are[0] taking[0] bribes[-1] from[0] the[0] vampires[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where do vampires get money ? 	where do vampires get money ?	1	-1	 where[0] do[0] vampires[0] get[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , in blade , they run multinational companies in order to finance their vampire organizations . 	well , in blade , they run multinational companies in order to finance their vampire organizations .	1	-1	 well[0] in[0] blade[0] they[0] run[0] multinational[0] companies[0] in[0] order[0] to[0] finance[0] their[0] vampire[0] organizations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i personally thought that this whole secret corporate world run by vampires to be a very clever idea , and a great addition to the movie . 	i personally thought that this whole secret corporate world run by vampires to be a very clever idea , and a great addition to the movie .	3	-1	 i[0] personally[0] thought[0] that[0] this[0] whole[0] secret[0] corporate[0] world[0] run[0] by[0] vampires[0] to[0] be[0] a[0] very[0] clever[0] idea[0] and[0] a[0] great[2] addition[0] to[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
blade runs up against the evil deacon frost ( stephen dorff ) a maverick in the vampire community . 	blade runs up against the evil deacon frost ( stephen dorff ) a maverick in the vampire community .	1	-3	 blade[0] runs[0] up[0] against[-1] the[0] evil[-2] deacon[0] frost[0] stephen[0] dorff[0] a[0] maverick[0] in[0] the[0] vampire[0] community[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he isn't content to live among humans , and is convinced that the vampire race is the superior one and he means to insure its superiority . 	he isn't content to live among humans , and is convinced that the vampire race is the superior one and he means to insure its superiority .	3	-1	 he[0] isn't[0] content[0] to[0] live[0] among[0] humans[0] and[0] is[0] convinced[0] that[0] the[0] vampire[0] race[0] is[0] the[0] superior[2] one[0] and[0] he[0] means[0] to[0] insure[0] its[0] superiority[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he has managed to translate the ancient vampire scrolls that tell of the method of making him an all-powerful vampire -- rendering him virtually unstoppable . 	he has managed to translate the ancient vampire scrolls that tell of the method of making him an all-powerful vampire - rendering him virtually unstoppable .	1	-1	 he[0] has[0] managed[0] to[0] translate[0] the[0] ancient[0] vampire[0] scrolls[0] that[0] tell[0] of[0] the[0] method[0] of[0] making[0] him[0] an[0] all[0] powerful[0] vampire[0] rendering[0] him[0] virtually[0] unstoppable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's up to blade to see that this doesn't transpire . 	it's up to blade to see that this doesn't transpire .	1	-1	 it's[0] up[0] to[0] blade[0] to[0] see[0] that[0] this[0] doesn't[0] transpire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admittedly , blade is style over substance through and through . 	admittedly , blade is style over substance through and through .	1	-1	 admittedly[0] blade[0] is[0] style[0] over[0] substance[0] through[0] and[0] through[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is a relatively forgettable one , but it is fun none the less . 	the story is a relatively forgettable one , but it is fun none the less .	2	-1	 the[0] story[0] is[0] a[0] relatively[0] forgettable[0] one[0] but[0] it[0] is[0] fun[1] none[0] the[0] less[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting in blade is just about what you would expect from a movie of this type . 	the acting in blade is just about what you would expect from a movie of this type .	1	-1	 the[0] acting[0] in[0] blade[0] is[0] just[0] about[0] what[0] you[0] would[0] expect[0] from[0] a[0] movie[0] of[0] this[0] type[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this isn't a film that is going to win accolades for its performances , and the actors know this . 	this isn't a film that is going to win accolades for its performances , and the actors know this .	1	-1	 this[0] isn't[0] a[0] film[0] that[0] is[0] going[0] to[0] win[0] accolades[0] for[0] its[0] performances[0] and[0] the[0] actors[0] know[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is played for fun and nobody seems to think otherwise . 	the movie is played for fun and nobody seems to think otherwise .	2	-1	 the[0] movie[0] is[0] played[0] for[0] fun[1] and[0] nobody[0] seems[0] to[0] think[0] otherwise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a popcorn movie , and no one involved has any illusions otherwise . 	it's a popcorn movie , and no one involved has any illusions otherwise .	1	-1	 it's[0] a[0] popcorn[0] movie[0] and[0] no[0] one[0] involved[0] has[0] any[0] illusions[0] otherwise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blade's production values are as slick as any that you will find in your typical summer blockbuster . 	blade's production values are as slick as any that you will find in your typical summer blockbuster .	2	-2	 blade's[0] production[0] values[1] are[0] as[0] slick[0] as[0] any[0] that[0] you[0] will[0] find[0] in[0] your[0] typical[0] summer[0] blockbuster[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the combat sequences between blade and his vampire targets are incredibly well done . 	the combat sequences between blade and his vampire targets are incredibly well done .	1	-2	 the[0] combat[-1] sequences[0] between[0] blade[0] and[0] his[0] vampire[0] targets[0] are[0] incredibly[0] well[0] done[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although , the mtv-style cuts did get on my nerves after a while during long sequences . 	although , the mtv-style cuts did get on my nerves after a while during long sequences .	1	-1	 although[0] the[0] mtv[0] style[0] cuts[0] did[0] get[0] on[0] my[0] nerves[0] after[0] a[0] while[0] during[0] long[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blade is a fun movie with an interesting take on the vampire genre . 	blade is a fun movie with an interesting take on the vampire genre .	2	-1	 blade[0] is[0] a[0] fun[1] movie[0] with[0] an[0] interesting[1] take[0] on[0] the[0] vampire[0] genre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is not the movie for those of you who like your vampires in tuxedos and living in coffins in the basement of some gothic castle . 	this is not the movie for those of you who like your vampires in tuxedos and living in coffins in the basement of some gothic castle .	2	-1	 this[0] is[0] not[0] the[0] movie[0] for[0] those[0] of[0] you[0] who[0] like[1] your[0] vampires[0] in[0] tuxedos[0] and[0] living[0] in[0] coffins[0] in[0] the[0] basement[0] of[0] some[0] gothic[0] castle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what blade excels at is bringing the classic lore of the vampire into the next century with a fresh outlook on life . 	what blade excels at is bringing the classic lore of the vampire into the next century with a fresh outlook on life .	3	-1	 what[0] blade[0] excels[2] at[0] is[0] bringing[0] the[0] classic[0] lore[0] of[0] the[0] vampire[0] into[0] the[0] next[0] century[0] with[0] a[0] fresh[0] outlook[0] on[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
very cool . 	very cool .	3	-1	 very[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
