only a year after the initial release of " scream , " the horror send-up from veteran horror director wes craven and screenwriter kevin williamson that seemed to breathe new life into the slasher genre , the inevitable sequel " scream 2 " has arrived in our theaters . 	Translation	Positive	Negative	EmotionRationale
understandably , " scream 2 " does not go so far as to actually blame the movies , but rather shows that those who do imitate horror movies are already sick and twisted . 	understandably , " scream 2 " does not go so far as to actually blame the movies , but rather shows that those who do imitate horror movies are already sick and twisted .	1	-4	 understandably[0] scream[-3] 2[0] does[0] not[0] go[0] so[0] far[0] as[0] to[0] actually[0] blame[-1] the[0] movies[0] but[0] rather[0] shows[0] that[0] those[0] who[0] do[0] imitate[0] horror[-3] movies[0] are[0] already[0] sick[-1] and[0] twisted[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
couple that with the fact that several of the characters , most notably the lead character sidney prescott ( neve campbell ) , are fairly well-developed and that there are some genuine moments of spine-chilling suspense , and what we have is a pretty darned good horror movie in its own right . 	couple that with the fact that several of the characters , most notably the lead character sidney prescott ( neve campbell ) , are fairly well-developed and that there are some genuine moments of spine-chilling suspense , and what we have is a pretty darned good horror movie in its own right .	3	-4	 couple[0] that[0] with[0] the[0] fact[0] that[0] several[0] of[0] the[0] characters[0] most[0] notably[0] the[0] lead[0] character[0] sidney[0] prescott[0] neve[0] campbell[0] are[0] fairly[0] well[0] developed[0] and[0] that[0] there[0] are[0] some[0] genuine[0] moments[0] of[0] spine[0] chilling[0] suspense[0] and[0] what[0] we[0] have[0] is[0] a[0] pretty[2] darned[0] good[1] horror[-3] movie[0] in[0] its[0] own[0] right[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
we don't just get the horror of scary masks and graphic gore - we also get the horror of sympathetic characters who seem helpless as their friends are slaughtered ( and , in one case , a significant character who was an audience favorite even bites the dust ) and whose lives have been reduced to constant fear of a crazed murderer lurking around the corner . 	we don't just get the horror of scary masks and graphic gore - we also get the horror of sympathetic characters who seem helpless as their friends are slaughtered ( and , in one case , a significant character who was an audience favorite even bites the dust ) and whose lives have been reduced to constant fear of a crazed murderer lurking around the corner .	2	-4	 we[0] don't[0] just[0] get[0] the[0] horror[-3] of[0] scary[-3] masks[0] and[0] graphic[0] gore[0] we[0] also[0] get[0] the[0] horror[-3] of[0] sympathetic[0] characters[0] who[0] seem[0] helpless[-1] as[0] their[0] friends[1] are[0] slaughtered[-1] and[0] in[0] one[0] case[0] a[0] significant[0] character[0] who[0] was[0] an[0] audience[0] favorite[1] even[0] bites[0] the[0] dust[0] and[0] whose[0] lives[0] have[0] been[0] reduced[0] to[0] constant[0] fear[-3] of[0] a[0] crazed[0] murderer[-3] lurking[0] around[0] the[0] corner[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while i have not seen any of his other work , it's easy to see why craven is generally touted as the most sophisticated " slasher film " director , as he clearly cares about something more than just the actual acts of slashing . 	while i have not seen any of his other work , it's easy to see why craven is generally touted as the most sophisticated " slasher film " director , as he clearly cares about something more than just the actual acts of slashing .	2	-2	 while[0] i[0] have[0] not[0] seen[0] any[0] of[0] his[0] other[0] work[0] it's[0] easy[0] to[0] see[0] why[0] craven[-1] is[0] generally[0] touted[0] as[0] the[0] most[0] sophisticated[0] slasher[-1] film[0] director[0] as[0] he[0] clearly[0] cares[1] about[0] something[0] more[0] than[0] just[0] the[0] actual[0] acts[0] of[0] slashing[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , " scream 2 " occasionally reverts to the time-honored horror tradition of throwing logic out the window . 	unfortunately , " scream 2 " occasionally reverts to the time-honored horror tradition of throwing logic out the window .	1	-4	 unfortunately[-1] scream[-3] 2[0] occasionally[0] reverts[-1] to[0] the[0] time[0] honored[0] horror[-3] tradition[0] of[0] throwing[0] logic[0] out[0] the[0] window[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for example , several characters seem quite clearly dead and inexplicably turn up alive later - there has been a running gag in both movies about the villain being able to pull off this particular trick , but it also happens with other characters and in an even less believable fashion . 	for example , several characters seem quite clearly dead and inexplicably turn up alive later - there has been a running gag in both movies about the villain being able to pull off this particular trick , but it also happens with other characters and in an even less believable fashion .	1	-3	 for[0] example[0] several[0] characters[0] seem[0] quite[0] clearly[0] dead[-2] and[0] inexplicably[0] turn[0] up[0] alive[0] later[0] there[0] has[0] been[0] a[0] running[0] gag[0] in[0] both[0] movies[0] about[0] the[0] villain[-2] being[0] able[0] to[0] pull[0] off[0] this[0] particular[0] trick[-1] but[0] it[0] also[0] happens[0] with[0] other[0] characters[0] and[0] in[0] an[0] even[0] less[0] believable[0] fashion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are also a few scenes in which the killer suddenly appears behind the next victim in a situation such that ( s ) he clearly would have been seen moving in that direction . 	there are also a few scenes in which the killer suddenly appears behind the next victim in a situation such that ( s ) he clearly would have been seen moving in that direction .	1	-3	 there[0] are[0] also[0] a[0] few[0] scenes[0] in[0] which[0] the[0] killer[-1] suddenly[0] appears[0] behind[0] the[0] next[0] victim[-2] in[0] a[0] situation[0] such[0] that[0] s[0] he[0] clearly[0] would[0] have[0] been[0] seen[0] moving[0] in[0] that[0] direction[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as for the question of whether or not " scream 2 " is yet another sequel not as good as its predecessor . 	as for the question of whether or not " scream 2 " is yet another sequel not as good as its predecessor .	4	-2	 as[0] for[0] the[0] question[0] of[0] whether[0] or[0] not[0] scream[-3][NegatedDueToPreviousWord] 2[0] is[0] yet[0] another[0] sequel[0] not[0] as[0] good[1][NegatedDueToPreviousWord] as[0] its[0] predecessor[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
well , it's hard to say . 	well , it's hard to say .	1	-1	 well[0] it's[0] hard[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i gave the first " scream " 3 1/2 stars as well because it worked pretty consistently as a light-hearted send-up . 	i gave the first " scream " 3 1/2 stars as well because it worked pretty consistently as a light-hearted send-up .	3	-4	 i[0] gave[0] the[0] first[0] scream[-3] 3[0] 1/2[0] stars[0] as[0] well[0] because[0] it[0] worked[0] pretty[2] consistently[0] as[0] a[0] light[0] hearted[0] send[0] up[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " scream 2 " bounces all over the place stylistically , but it does a better job delivering the genuine scares and asking the questions about media violence that were only hinted at in the first installment . 	 " scream 2 " bounces all over the place stylistically , but it does a better job delivering the genuine scares and asking the questions about media violence that were only hinted at in the first instalment .	1	-4	 scream[-3] 2[0] bounces[0] all[0] over[0] the[0] place[0] stylistically[0] but[0] it[0] does[0] a[0] better[0] job[0] delivering[0] the[0] genuine[0] scares[-3] and[0] asking[0] the[0] questions[0] about[0] media[0] violence[-3] that[0] were[0] only[0] hinted[0] at[0] in[0] the[0] first[0] installment/instalment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'm not sure which is the better movie , but i did leave the theater convinced of one thing : sequels , however much randy might argue , do not necessarily suck . 	i'm not sure which is the better movie , but i did leave the theater convinced of one thing : sequels , however much randy might argue , do not necessarily suck .	2	-1	 i'm[0] not[0] sure[0] which[0] is[0] the[0] better[0] movie[0] but[0] i[0] did[0] leave[0] the[0] theater[0] convinced[0] of[0] one[0] thing[0] sequels[0] however[0] much[0] randy[0] might[0] argue[-1][--1 LastWordBoosterStrength] do[0] not[0] necessarily[0] suck[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
