it is easy to see why the late stanley kubrick believed steven spielberg would be the perfect director for his a . i . 	Translation	Positive	Negative	EmotionRationale
david , highly influenced by the fairy tale , pinocchio , feels that if he becomes a real boy he can rekindle monica's love for him . 	david , highly influenced by the fairy tale , pinocchio , feels that if he becomes a real boy he can rekindle monica's love for him .	3	-1	 david[0] highly[0] influenced[0] by[0] the[0] fairy[0] tale[0] pinocchio[0] feels[0] that[0] if[0] he[0] becomes[0] a[0] real[0] boy[0] he[0] can[0] rekindle[0] monica's[0] love[2] for[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's second act follows david's search for the blue fairy , whom he believes will be able to fulfill his wish . 	the film's second act follows david's search for the blue fairy , whom he believes will be able to fulfil his wish .	1	-1	 the[0] film's[0] second[0] act[0] follows[0] david's[0] search[0] for[0] the[0] blue[0] fairy[0] whom[0] he[0] believes[0] will[0] be[0] able[0] to[0] fulfill/fulfil[0] his[0] wish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during these adventures he meets and is helped by gigolo joe ( jude law ) , a robot who specializes in sex . 	during these adventures he meets and is helped by gigolo joe ( jude law ) , a robot who specializes in sex .	2	-1	 during[0] these[0] adventures[0] he[0] meets[0] and[0] is[0] helped[0] by[0] gigolo[0] joe[0] jude[0] law[0] a[0] robot[0] who[0] specializes[1] in[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spielberg is at his top form in this sequence , offering a brutal " flesh fair " where robots are destroyed via sadistic methods for the amusement of paying customers . 	spielberg is at his top form in this sequence , offering a brutal " flesh fair " where robots are destroyed via sadistic methods for the amusement of paying customers .	2	-3	 spielberg[0] is[0] at[0] his[0] top[0] form[0] in[0] this[0] sequence[0] offering[0] a[0] brutal[-2] flesh[0] fair[0] where[0] robots[0] are[0] destroyed[-2] via[0] sadistic[0] methods[0] for[0] the[0] amusement[1] of[0] paying[0] customers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
here , is where kubrick's influence is strongly felt , as the movie explores the fear and distrust humans have for robots . 	here , is where kubrick's influence is strongly felt , as the movie explores the fear and distrust humans have for robots .	1	-4	 here[0] is[0] where[0] kubrick's[0] influence[0] is[0] strongly[0] felt[0] as[0] the[0] movie[0] explores[0] the[0] fear[-3] and[0] distrust[-1] humans[0] have[0] for[0] robots[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the savagery conjures up images from the late director's a clockwork orange . 	the savagery conjures up images from the late director's a clockwork orange .	1	-3	 the[0] savagery[-2] conjures[0] up[0] images[0] from[0] the[0] late[0] director's[0] a[0] clockwork[0] orange[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at about two hours and 30 minutes , the film begins to falter during the last 20 minutes , a sequence that seems most spielbergian with images that appear to be borrowed from close encounters . 	at about two hours and 30 minutes , the film begins to falter during the last 20 minutes , a sequence that seems most spielbergian with images that appear to be borrowed from close encounters .	1	-2	 at[0] about[0] two[0] hours[0] and[0] 30[0] minutes[0] the[0] film[0] begins[0] to[0] falter[-1] during[0] the[0] last[0] 20[0] minutes[0] a[0] sequence[0] that[0] seems[0] most[0] spielbergian[0] with[0] images[0] that[0] appear[0] to[0] be[0] borrowed[0] from[0] close[0] encounters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is all very anti-climatic and jarring . 	it is all very anti-climatic and jarring .	1	-1	 it[0] is[0] all[0] very[0] anti[0] climatic[0] and[0] jarring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these scenes seem almost superfluous , as if from a different film . 	these scenes seem almost superfluous , as if from a different film .	1	-2	 these[0] scenes[0] seem[0] almost[0] superfluous[-1] as[0] if[0] from[0] a[0] different[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a . i . is a dark fairy tale that deserves its pg-13 rating . 	a .<br> i .<br> is a dark fairy tale that deserves its pg-13 rating .	1	-1	 a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] is[0] a[0] dark[0] fairy[0] tale[0] that[0] deserves[0] its[0] pg[0] -13[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a story combining hope and intolerance , sacrifice and bigotry , and while it does not coalesce perfectly , the movie does offer some disturbing images . 	it is a story combining hope and intolerance , sacrifice and bigotry , and while it does not coalesce perfectly , the movie does offer some disturbing images .	3	-2	 it[0] is[0] a[0] story[0] combining[0] hope[2] and[0] intolerance[0] sacrifice[0] and[0] bigotry[-1] and[0] while[0] it[0] does[0] not[0] coalesce[0] perfectly[1][NegatedDueToPreviousWord] the[0] movie[0] does[0] offer[0] some[0] disturbing[-1][--1 LastWordBoosterStrength] images[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but a . i . 	but a .<br> i .	1	-1	 but[0] a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is really a showcase for the acting talents of the amazing young osment . 	is really a showcase for the acting talents of the amazing young osment .	3	-1	 is[0] really[0] a[0] showcase[0] for[0] the[0] acting[0] talents[1] of[0] the[0] amazing[2] young[0] osment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if ever an actor deserved an academy award nomination , it is this lad , who brings a sense of joy and wonder to the role of david , a being created for the express purpose of loving . 	if ever an actor deserved an academy award nomination , it is this lad , who brings a sense of joy and wonder to the role of david , a being created for the express purpose of loving .	4	-1	 if[0] ever[0] an[0] actor[0] deserved[0] an[0] academy[0] award[0] nomination[0] it[0] is[0] this[0] lad[0] who[0] brings[0] a[0] sense[0] of[0] joy[2] and[0] wonder[0] to[0] the[0] role[0] of[0] david[0] a[0] being[0] created[0] for[0] the[0] express[0] purpose[0] of[0] loving[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he shines when with monica , beaming with love , as eager as a puppy to please . 	he shines when with monica , beaming with love , as eager as a puppy to please .	3	-1	 he[0] shines[0] when[0] with[0] monica[0] beaming[0] with[0] love[2] as[0] eager[0] as[0] a[0] puppy[0] to[0] please[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after being left in the woods , he is confused , lost , hurt , focusing on one objective : to become a real boy and find his way home so he can redeem himself in his mother's eyes . 	after being left in the woods , he is confused , lost , hurt , focusing on one objective : to become a real boy and find his way home so he can redeem himself in his mother's eyes .	1	-3	 after[0] being[0] left[0] in[0] the[0] woods[0] he[0] is[0] confused[-1] lost[0] hurt[-2] focusing[0] on[0] one[0] objective[0] to[0] become[0] a[0] real[0] boy[0] and[0] find[0] his[0] way[0] home[0] so[0] he[0] can[0] redeem[0] himself[0] in[0] his[0] mother's[0] eyes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
law is pleasant as the care-free robot who really doesn't understand david's quest , but is nonetheless happy to help him on his journey . 	law is pleasant as the care-free robot who really doesn't understand david's quest , but is nonetheless happy to help him on his journey .	3	-1	 law[0] is[0] pleasant[2] as[0] the[0] care[1] free[0] robot[0] who[0] really[0] doesn't[0] understand[0] david's[0] quest[0] but[0] is[0] nonetheless[0] happy[1] to[0] help[0] him[0] on[0] his[0] journey[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
probably the toughest role is o'connor's monica . 	probably the toughest role is o'connor's monica .	1	-2	 probably[0] the[0] toughest[-1] role[0] is[0] o'connor's[0] monica[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
playing an emotional fragile woman who sees david as a substitute for her lost martin , she grows conflicted after her boy returns and she begins to perceive david not as a second chance , but as a threat to her family . 	playing an emotional fragile woman who sees david as a substitute for her lost martin , she grows conflicted after her boy returns and she begins to perceive david not as a second chance , but as a threat to her family .	2	-3	 playing[1] an[0] emotional[-1] fragile[-1] woman[0] who[0] sees[0] david[0] as[0] a[0] substitute[0] for[0] her[0] lost[0] martin[0] she[0] grows[0] conflicted[-1] after[0] her[0] boy[0] returns[0] and[0] she[0] begins[0] to[0] perceive[0] david[0] not[0] as[0] a[0] second[0] chance[0] but[0] as[0] a[0] threat[-2] to[0] her[0] family[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she gives her character enough emotional chaos that you cannot fault her for her course of action . 	she gives her character enough emotional chaos that you cannot fault her for her course of action .	2	-2	 she[0] gives[0] her[0] character[0] enough[0] emotional[-1] chaos[-1] that[0] you[0] cannot[0] fault[-1][NegatedDueToPreviousWord] her[0] for[0] her[0] course[0] of[0] action[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
many of a . i . 's futuristic sets are breathtaking , especially a mostly submerged new york , lost to the world by the melting of the polar ice caps . 	many of a .<br> i .<br> 's futuristic sets are breathtaking , especially a mostly submerged new york , lost to the world by the melting of the polar ice caps .	1	-1	 many[0] of[0] a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] 's[0] futuristic[0] sets[0] are[0] breathtaking[0] especially[0] a[0] mostly[0] submerged[0] new[0] york[0] lost[0] to[0] the[0] world[0] by[0] the[0] melting[0] of[0] the[0] polar[0] ice[0] caps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a . i . is a flawed film , and you cannot get through the entire feature without pondering - even subconsciously - how it would have turned out with kubrick instead of spielberg behind the camera . 	a .<br> i .<br> is a flawed film , and you cannot get through the entire feature without pondering - even subconsciously - how it would have turned out with kubrick instead of spielberg behind the camera .	1	-1	 a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] is[0] a[0] flawed[0] film[0] and[0] you[0] cannot[0] get[0] through[0] the[0] entire[0] feature[0] without[0] pondering[0] even[0] subconsciously[0] how[0] it[0] would[0] have[0] turned[0] out[0] with[0] kubrick[0] instead[0] of[0] spielberg[0] behind[0] the[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would it have been darker ? 	would it have been darker ?	1	-1	 would[0] it[0] have[0] been[0] darker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more cynical ? 	more cynical ?	1	-2	 more[0] cynical[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we will never know . 	we will never know .	1	-1	 we[0] will[0] never[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can only judge what is before us on the screen , a collaboration of two cinematic giants . 	we can only judge what is before us on the screen , a collaboration of two cinematic giants .	1	-1	 we[0] can[0] only[0] judge[0] what[0] is[0] before[0] us[0] on[0] the[0] screen[0] a[0] collaboration[0] of[0] two[0] cinematic[0] giants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a . i . 	a .<br> i .	1	-1	 a[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is a most interesting and thought-provoking examination of a future that is quickly gaining on us . 	is a most interesting and thought-provoking examination of a future that is quickly gaining on us .	2	-1	 is[0] a[0] most[0] interesting[1] and[0] thought[0] provoking[0] examination[0] of[0] a[0] future[0] that[0] is[0] quickly[0] gaining[0] on[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
