capsule : this is a film that avoids easy answers . 	Translation	Positive	Negative	EmotionRationale
when other artists fled germany , furtwangler remained behind and conducted for the hitler and his henchmen . 	when other artists fled germany , furtwangler remained behind and conducted for the hitler and his henchmen .	1	-2	 when[0] other[0] artists[0] fled[-1] germany[-1] furtwangler[0] remained[0] behind[0] and[0] conducted[0] for[0] the[0] hitler[0] and[0] his[0] henchmen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after the war is over arnold assigned to interview furtwangler and members of his orchestra and if appropriate to prosecute him for war crimes . 	after the war is over arnold assigned to interview furtwangler and members of his orchestra and if appropriate to prosecute him for war crimes .	1	-3	 after[0] the[0] war[-2] is[0] over[0] arnold[0] assigned[0] to[0] interview[0] furtwangler[0] and[0] members[0] of[0] his[0] orchestra[0] and[0] if[0] appropriate[0] to[0] prosecute[-1] him[0] for[0] war[-2] crimes[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he secretly is told by his commanding officer to find furtwangler guilty . 	he secretly is told by his commanding officer to find furtwangler guilty .	1	-4	 he[0] secretly[0] is[0] told[0] by[0] his[0] commanding[0] officer[0] to[0] find[0] furtwangler[0] guilty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from there we follow him and learn a little about arnold and something about furtwangler and his orchestra . 	from there we follow him and learn a little about arnold and something about furtwangler and his orchestra .	1	-1	 from[0] there[0] we[0] follow[0] him[0] and[0] learn[0] a[0] little[0] about[0] arnold[0] and[0] something[0] about[0] furtwangler[0] and[0] his[0] orchestra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he interviews members of the wartime orchestra arnold starts noticing odd peculiarities that may or may not point to a conspiracy against his investigation . 	as he interviews members of the wartime orchestra arnold starts noticing odd peculiarities that may or may not point to a conspiracy against his investigation .	1	-2	 as[0] he[0] interviews[0] members[0] of[0] the[0] wartime[0] orchestra[0] arnold[0] starts[0] noticing[0] odd[0] peculiarities[0] that[0] may[0] or[0] may[0] not[0] point[0] to[0] a[0] conspiracy[-1] against[-1] his[0] investigation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a certain sameness to the responses that he is getting . 	there is a certain sameness to the responses that he is getting .	1	-1	 there[0] is[0] a[0] certain[0] sameness[0] to[0] the[0] responses[0] that[0] he[0] is[0] getting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps any cooperation he is getting has been in some ways managed . 	perhaps any cooperation he is getting has been in some ways managed .	1	-1	 perhaps[0] any[0] cooperation[0] he[0] is[0] getting[0] has[0] been[0] in[0] some[0] ways[0] managed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if so , perhaps he can never come to the truth . 	if so , perhaps he can never come to the truth .	2	-1	 if[0] so[0] perhaps[0] he[0] can[0] never[0] come[0] to[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in large part the film is about mind games that arnold uses to manipulate his interviewees and especially furtwangler . 	in large part the film is about mind games that arnold uses to manipulate his interviewees and especially furtwangler .	1	-2	 in[0] large[0] part[0] the[0] film[0] is[0] about[0] mind[0] games[0] that[0] arnold[0] uses[0] to[0] manipulate[-1] his[0] interviewees[0] and[0] especially[0] furtwangler[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where the script has problems is that in the end it is so ambiguous . 	where the script has problems is that in the end it is so ambiguous .	1	-2	 where[0] the[0] script[0] has[0] problems[-1] is[0] that[0] in[0] the[0] end[0] it[0] is[0] so[0] ambiguous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has no obvious resolution and not much of a final act . 	it has no obvious resolution and not much of a final act .	1	-1	 it[0] has[0] no[0] obvious[0] resolution[0] and[0] not[0] much[0] of[0] a[0] final[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when it is over whether anything has been established is open to interpretation . 	when it is over whether anything has been established is open to interpretation .	1	-1	 when[0] it[0] is[0] over[0] whether[0] anything[0] has[0] been[0] established[0] is[0] open[0] to[0] interpretation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps that is better than so many films that make it all to obvious what the audience should believe , but it is like watching a murder mystery and never finding out who the killer is . 	perhaps that is better than so many films that make it all to obvious what the audience should believe , but it is like watching a murder mystery and never finding out who the killer is .	2	-4	 perhaps[0] that[0] is[0] better[0] than[0] so[0] many[0] films[0] that[0] make[0] it[0] all[0] to[0] obvious[0] what[0] the[0] audience[0] should[0] believe[0] but[0] it[0] is[0] like[1] watching[0] a[0] murder[-3] mystery[0] and[0] never[0] finding[0] out[0] who[0] the[0] killer[-1] is[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
we are given clues to something but they are never tied up . 	we are given clues to something but they are never tied up .	1	-1	 we[0] are[0] given[0] clues[0] to[0] something[0] but[0] they[0] are[0] never[0] tied[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end we just know more about both arnold and furtwangler . 	in the end we just know more about both arnold and furtwangler .	1	-1	 in[0] the[0] end[0] we[0] just[0] know[0] more[0] about[0] both[0] arnold[0] and[0] furtwangler[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is basically a stage play . 	the film is basically a stage play .	1	-1	 the[0] film[0] is[0] basically[0] a[0] stage[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visual is not very important . 	the visual is not very important .	1	-1	 the[0] visual[0] is[0] not[0] very[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
corners are cut visually including touches like filling windows with photographs to avoid having to shoot on location . 	corners are cut visually including touches like filling windows with photographs to avoid having to shoot on location .	2	-2	 corners[0] are[0] cut[0] visually[0] including[0] touches[0] like[1] filling[0] windows[0] with[0] photographs[0] to[0] avoid[-1] having[0] to[0] shoot[-1] on[0] location[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as with a stage play , what this film centers on the dialog , and that is intriguing . 	as with a stage play , what this film centers on the dialog , and that is intriguing .	1	-1	 as[0] with[0] a[0] stage[0] play[0] what[0] this[0] film[0] centers[0] on[0] the[0] dialog[0] and[0] that[0] is[0] intriguing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i rate the film an 8 on the 0 to 10 scale and a high  2 on the -4 to  4 scale . 	i rate the film an 8 on the 0 to 10 scale and a high  2 on the -4 to  4 scale .	1	-1	 i[0] rate[0] the[0] film[0] an[0] 8[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] high[0] 2[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[there is one piece of sloppiness few people but me would notice . 	[there is one piece of sloppiness few people but me would notice .	1	-1	 [there[0] is[0] one[0] piece[0] of[0] sloppiness[0] few[0] people[0] but[0] me[0] would[0] notice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point we clearly see arnold's desk calendar say " jan 16 tues . " 	at one point we clearly see arnold's desk calendar say " jan 16 tues .<br> "	1	-1	 at[0] one[0] point[0] we[0] clearly[0] see[0] arnold's[0] desk[0] calendar[0] say[0] jan[0] 16[0] tues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a quick mental calculation told me that combination could occur in 1945 and then not again until 1951 . 	a quick mental calculation told me that combination could occur in 1945 and then not again until 1951 .	1	-1	 a[0] quick[0] mental[0] calculation[0] told[0] me[0] that[0] combination[0] could[0] occur[0] in[0] 1945[0] and[0] then[0] not[0] again[0] until[0] 1951[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the events had to take place in 1946 or 1947 . 	the events had to take place in 1946 or 1947 .	1	-1	 the[0] events[0] had[0] to[0] take[0] place[0] in[0] 1946[0] or[0] 1947[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a possible date could be obtained from any world almanac . ] 	a possible date could be obtained from any world almanac .<br> ]	1	-1	 a[0] possible[0] date[0] could[0] be[0] obtained[0] from[0] any[0] world[0] almanac[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
