the most common ( and in many cases the only ) complaint against francis ford coppola's 1972 masterpiece the godfather is glamorising of mafia , which is presented as an institution guided by ancient tradition and virtues like honour , loyalty and solidarity more suitable for some gentler , kinder ages . 	Translation	Positive	Negative	EmotionRationale
but the perfect world of " wiseguys " gradually begins to fall apart - tommy's unpredictable outbursts of homicidal violence , jimmy's reluctance to share his part of the loot with partners and , finally , henry's own drug habit would lead to his downfall and make him question his loyalty to the friends . 	but the perfect world of " wiseguys " gradually begins to fall apart - tommy's unpredictable outbursts of homicidal violence , jimmy's reluctance to share his part of the loot with partners and , finally , henry's own drug habit would lead to his downfall and make him question his loyalty to the friends .	2	-4	 but[0] the[0] perfect[1] world[0] of[0] wiseguys[0] gradually[0] begins[0] to[0] fall[0] apart[0] tommy's[0] unpredictable[0] outbursts[-1] of[0] homicidal[0] violence[-3] jimmy's[0] reluctance[-1] to[0] share[0] his[0] part[0] of[0] the[0] loot[0] with[0] partners[0] and[0] finally[0] henry's[0] own[0] drug[0] habit[0] would[0] lead[0] to[0] his[0] downfall[-1] and[0] make[0] him[0] question[0] his[0] loyalty[1] to[0] the[0] friends[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
goodfellas is an excellent example of a film that represents work of a film genius in his full glory . 	goodfellas is an excellent example of a film that represents work of a film genius in his full glory .	4	-1	 goodfellas[0] is[0] an[0] excellent[3] example[0] of[0] a[0] film[0] that[0] represents[0] work[0] of[0] a[0] film[0] genius[0] in[0] his[0] full[0] glory[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
scorsese managed to create a vision which is effective and complete despite being full of contradictions that would ripped the film apart in the hands of less talented filmmaker . 	scorsese managed to create a vision which is effective and complete despite being full of contradictions that would ripped the film apart in the hands of less talented filmmaker .	2	-2	 scorsese[0] managed[0] to[0] create[0] a[0] vision[0] which[0] is[0] effective[0] and[0] complete[0] despite[0] being[0] full[0] of[0] contradictions[-1] that[0] would[0] ripped[0] the[0] film[0] apart[0] in[0] the[0] hands[0] of[0] less[0] talented[1] filmmaker[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
world depicted in this film is both ordinary and fascinating . 	world depicted in this film is both ordinary and fascinating .	1	-1	 world[0] depicted[0] in[0] this[0] film[0] is[0] both[0] ordinary[0] and[0] fascinating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scorsese spares no effort to show us all the violence , hypocrisy and inherent paranoia of organised crime , yet it manages to make it both seductive and funny . 	scorsese spares no effort to show us all the violence , hypocrisy and inherent paranoia of organised crime , yet it manages to make it both seductive and funny .	2	-4	 scorsese[0] spares[0] no[0] effort[0] to[0] show[0] us[0] all[0] the[0] violence[-3] hypocrisy[-1] and[0] inherent[0] paranoia[-2] of[0] organised[0] crime[-1] yet[0] it[0] manages[0] to[0] make[0] it[0] both[0] seductive[0] and[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after being exposed to two and half hours of the film and three decades of criminal history ( based on some notorious real life events ) , the audience understands why the characters chose such dangerous life paths , trading the superficial and short-lasting glamour and prosperity of a criminal to the dullness and poverty of honest citizens . 	after being exposed to two and half hours of the film and three decades of criminal history ( based on some notorious real life events ) , the audience understands why the characters chose such dangerous life paths , trading the superficial and short-lasting glamour and prosperity of a criminal to the dullness and poverty of honest citizens .	2	-2	 after[0] being[0] exposed[-1] to[0] two[0] and[0] half[0] hours[0] of[0] the[0] film[0] and[0] three[0] decades[0] of[0] criminal[-1] history[0] based[0] on[0] some[0] notorious[-1][--1 LastWordBoosterStrength] real[0] life[0] events[0] the[0] audience[0] understands[0] why[0] the[0] characters[0] chose[0] such[0] dangerous[-1] life[0] paths[0] trading[0] the[0] superficial[-1] and[0] short[0] lasting[0] glamour[1] and[0] prosperity[1] of[0] a[0] criminal[-1] to[0] the[0] dullness[-1] and[0] poverty[-1] of[0] honest[0] citizens[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
scorsese also manages to break viewer's moralistic inhibitions by showing truly revolting material - scenes that depict personal tragedies , broken homes , human depravity , violence , bloodshed and murder - in all their uncompromising reality , but in a manner that would make it amusing and funny to the audience . 	scorsese also manages to break viewer's moralistic inhibitions by showing truly revolting material - scenes that depict personal tragedies , broken homes , human depravity , violence , bloodshed and murder - in all their uncompromising reality , but in a manner that would make it amusing and funny to the audience .	2	-5	 scorsese[0] also[0] manages[0] to[0] break[0] viewer's[0] moralistic[0] inhibitions[-1] by[0] showing[0] truly[1] revolting[-1] material[0] scenes[0] that[0] depict[0] personal[0] tragedies[-2] broken[-1] homes[0] human[0] depravity[-3] violence[-3][-1 MultiplePositiveWords] bloodshed[-1] and[0] murder[-3] in[0] all[0] their[0] uncompromising[0] reality[0] but[0] in[0] a[0] manner[0] that[0] would[0] make[0] it[0] amusing[1] and[0] funny[1] to[0] the[0] audience[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
with the use of ironic soundtrack , manipulative shots , character's dialogue or narrator's commentary , goodfellas represents the new standards of black humour that would became very popular few years later during tarantino era . 	with the use of ironic soundtrack , manipulative shots , character's dialogue or narrator's commentary , goodfellas represents the new standards of black humour that would became very popular few years later during tarantino era .	3	-2	 with[0] the[0] use[0] of[0] ironic[-1] soundtrack[0] manipulative[-1] shots[0] character's[0] dialogue[0] or[0] narrator's[0] commentary[0] goodfellas[0] represents[0] the[0] new[0] standards[0] of[0] black[0] humour[2] that[0] would[0] became[0] very[0] popular[0] few[0] years[0] later[0] during[0] tarantino[0] era[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even if we don't pay attention to skills with which potentially disturbing material becomes eye pleasing and entertaining , we should admit that scorsese displays his talents of truly original and creative filmmaker . 	even if we don't pay attention to skills with which potentially disturbing material becomes eye pleasing and entertaining , we should admit that scorsese displays his talents of truly original and creative filmmaker .	3	-2	 even[0] if[0] we[0] don't[0] pay[0] attention[0] to[0] skills[0] with[0] which[0] potentially[0] disturbing[-1] material[0] becomes[0] eye[0] pleasing[2] and[0] entertaining[0] we[0] should[0] admit[0] that[0] scorsese[0] displays[0] his[0] talents[1] of[0] truly[1] original[0] and[0] creative[0] filmmaker[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first , we might notice unusual structure of the plot - relatively minor subplot is used as movie's ironic prologue . 	first , we might notice unusual structure of the plot - relatively minor subplot is used as movie's ironic prologue .	1	-2	 first[0] we[0] might[0] notice[0] unusual[0] structure[0] of[0] the[0] plot[0] relatively[0] minor[0] subplot[0] is[0] used[0] as[0] movie's[0] ironic[-1] prologue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , instead of single narrator , scorsese switches to the second character as narrator in the middle of the film only to switch back to the original shortly afterwards . 	then , instead of single narrator , scorsese switches to the second character as narrator in the middle of the film only to switch back to the original shortly afterwards .	1	-1	 then[0] instead[0] of[0] single[0] narrator[0] scorsese[0] switches[0] to[0] the[0] second[0] character[0] as[0] narrator[0] in[0] the[0] middle[0] of[0] the[0] film[0] only[0] to[0] switch[0] back[0] to[0] the[0] original[0] shortly[0] afterwards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this multiple points of views , both in terms of narration and various subjective shots , only lengthens the ironic distance towards characters and their situation . 	this multiple points of views , both in terms of narration and various subjective shots , only lengthens the ironic distance towards characters and their situation .	1	-2	 this[0] multiple[0] points[0] of[0] views[0] both[0] in[0] terms[0] of[0] narration[0] and[0] various[0] subjective[0] shots[0] only[0] lengthens[0] the[0] ironic[-1] distance[0] towards[0] characters[0] and[0] their[0] situation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
same ironic distance comes with extremely effective choice of soundtrack . 	same ironic distance comes with extremely effective choice of soundtrack .	1	-2	 same[0] ironic[-1] distance[0] comes[0] with[0] extremely[0] effective[0] choice[0] of[0] soundtrack[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nostalgia for good old times is illustrated with easy-listening 1950s pop songs , while depression , paranoia and bad times find their expression in more neurotic rock songs of late 1960s and 1970s . 	nostalgia for good old times is illustrated with easy-listening 1950s pop songs , while depression , paranoia and bad times find their expression in more neurotic rock songs of late 1960s and 1970s .	2	-4	 nostalgia[0] for[0] good[1] old[0] times[0] is[0] illustrated[0] with[0] easy[0] listening[0] 1950s[0] pop[0] songs[0] while[0] depression[-3] paranoia[-2][-1 MultiplePositiveWords] and[0] bad[-1] times[0] find[0] their[0] expression[0] in[0] more[0] neurotic[-2] rock[1] songs[0] of[0] late[0] 1960s[0] and[0] 1970s[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but the soundtrack is most effective when it is used as ironic comment - almost pastoral , easy listening tunes make strong and very ironic contrast to the scenes of violence and bloodshed . 	but the soundtrack is most effective when it is used as ironic comment - almost pastoral , easy listening tunes make strong and very ironic contrast to the scenes of violence and bloodshed .	1	-4	 but[0] the[0] soundtrack[0] is[0] most[0] effective[0] when[0] it[0] is[0] used[0] as[0] ironic[-1] comment[0] almost[0] pastoral[0] easy[0] listening[0] tunes[0] make[0] strong[0] and[0] very[0] ironic[-1][-1 LastWordBoosterStrength] contrast[0] to[0] the[0] scenes[0] of[0] violence[-3] and[0] bloodshed[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , thing most associated with this film is couple of continuos shots that feature characters moving through large rooms and interacting with dozens if not hundreds of people . 	however , thing most associated with this film is couple of continuos shots that feature characters moving through large rooms and interacting with dozens if not hundreds of people .	1	-1	 however[0] thing[0] most[0] associated[0] with[0] this[0] film[0] is[0] couple[0] of[0] continuos[0] shots[0] that[0] feature[0] characters[0] moving[0] through[0] large[0] rooms[0] and[0] interacting[0] with[0] dozens[0] if[0] not[0] hundreds[0] of[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such scenes , although they require very great skill and patience during their shootings , became very popular among other directors in 1990s . 	such scenes , although they require very great skill and patience during their shootings , became very popular among other directors in 1990s .	4	-2	 such[0] scenes[0] although[0] they[0] require[0] very[0] great[2][1 LastWordBoosterStrength] skill[0] and[0] patience[0] during[0] their[0] shootings[-1] became[0] very[0] popular[0] among[0] other[0] directors[0] in[0] 1990s[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
fragmentary character of the screenplay , which doesn't have straight plot and instead bases film on series of loosely connected vignettes , gives another interesting opportunity for scorsese . 	fragmentary character of the screenplay , which doesn't have straight plot and instead bases film on series of loosely connected vignettes , gives another interesting opportunity for scorsese .	2	-1	 fragmentary[0] character[0] of[0] the[0] screenplay[0] which[0] doesn't[0] have[0] straight[0] plot[0] and[0] instead[0] bases[0] film[0] on[0] series[0] of[0] loosely[0] connected[0] vignettes[0] gives[0] another[0] interesting[1] opportunity[0] for[0] scorsese[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he uses this structure of film to experiment , and most successful of such experiments is hilarious " a day in life " segment near the end of the film . 	he uses this structure of film to experiment , and most successful of such experiments is hilarious " a day in life " segment near the end of the film .	3	-1	 he[0] uses[0] this[0] structure[0] of[0] film[0] to[0] experiment[0] and[0] most[0] successful[2] of[0] such[0] experiments[0] is[0] hilarious[2] a[0] day[0] in[0] life[0] segment[0] near[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another essential element of goodfellas is large but superb collection of great acting talents . 	another essential element of goodfellas is large but superb collection of great acting talents .	3	-1	 another[0] essential[0] element[0] of[0] goodfellas[0] is[0] large[0] but[0] superb[0] collection[0] of[0] great[2] acting[0] talents[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the most respectable among them is robert de niro , but his character , who happen to be most quiet and business-like member of criminal trio , gets overshadowed by two of his friends and colleagues . 	the most respectable among them is robert de niro , but his character , who happen to be most quiet and business-like member of criminal trio , gets overshadowed by two of his friends and colleagues .	3	-2	 the[0] most[0] respectable[2] among[0] them[0] is[0] robert[0] de[0] niro[0] but[0] his[0] character[0] who[0] happen[0] to[0] be[0] most[0] quiet[0] and[0] business[0] like[1] member[0] of[0] criminal[-1] trio[0] gets[0] overshadowed[0] by[0] two[0] of[0] his[0] friends[1] and[0] colleagues[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
joe pesci deserved his " oscar " for supporting role of homicidal psychopath tommy , and his lines , including ad-libs , probably represent the most memorable element of the film . 	joe pesci deserved his " oscar " for supporting role of homicidal psychopath tommy , and his lines , including ad-libs , probably represent the most memorable element of the film .	2	-1	 joe[0] pesci[0] deserved[0] his[0] oscar[0] for[0] supporting[1] role[0] of[0] homicidal[0] psychopath[0] tommy[0] and[0] his[0] lines[0] including[0] ad[0] libs[0] probably[0] represent[0] the[0] most[0] memorable[0] element[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ray liotta , although equally talented , perhaps doesn't look as the best choice for narrator and nominal hero of the film . 	ray liotta , although equally talented , perhaps doesn't look as the best choice for narrator and nominal hero of the film .	3	-1	 ray[0] liotta[0] although[0] equally[0] talented[1] perhaps[0] doesn't[0] look[0] as[0] the[0] best[1] choice[0] for[0] narrator[0] and[0] nominal[0] hero[2] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
liotta's henry hill looks somewhat too hollywoodised and glamorous among this bunch of low-level street thugs . 	liotta's henry hill looks somewhat too hollywoodised and glamorous among this bunch of low-level street thugs .	2	-2	 liotta's[0] henry[0] hill[0] looks[0] somewhat[0] too[0] hollywoodised[0] and[0] glamorous[1] among[0] this[0] bunch[0] of[0] low[-1] level[0] street[0] thugs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
liotta , on the other hand , improves general impression by very realistic and menacing portrayal of drug addiction . 	liotta , on the other hand , improves general impression by very realistic and menacing portrayal of drug addiction .	2	-2	 liotta[0] on[0] the[0] other[0] hand[0] improves[1] general[0] impression[0] by[0] very[0] realistic[0] and[0] menacing[0] portrayal[0] of[0] drug[0] addiction[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lorraine bracco is , on the other hand , very effective and believable as karen hill , wife who gradually descends into same moral cesspool as her husband . 	lorraine bracco is , on the other hand , very effective and believable as karen hill , wife who gradually descends into same moral cesspool as her husband .	1	-1	 lorraine[0] bracco[0] is[0] on[0] the[0] other[0] hand[0] very[0] effective[0] and[0] believable[0] as[0] karen[0] hill[0] wife[0] who[0] gradually[0] descends[0] into[0] same[0] moral[0] cesspool[0] as[0] her[0] husband[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul sorvino is also very effective as patriarch mafioso , and among the supporting cast most memorable is chuck low as pestering small-time gangster who unknowingly digs his own grave . 	paul sorvino is also very effective as patriarch mafioso , and among the supporting cast most memorable is chuck low as pestering small-time gangster who unknowingly digs his own grave .	2	-3	 paul[0] sorvino[0] is[0] also[0] very[0] effective[0] as[0] patriarch[0] mafioso[0] and[0] among[0] the[0] supporting[1] cast[0] most[0] memorable[0] is[0] chuck[0] low[-1] as[0] pestering[0] small[0] time[0] gangster[0] who[0] unknowingly[0] digs[0] his[0] own[0] grave[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as a combination of clever sociological study , black humour and innovative filmmaking goodfellas became something only the truly great films could do - work of art and excellent popular entertainment in the same time . 	as a combination of clever sociological study , black humour and innovative filmmaking goodfellas became something only the truly great films could do - work of art and excellent popular entertainment in the same time .	4	-1	 as[0] a[0] combination[0] of[0] clever[0] sociological[0] study[0] black[0] humour[2] and[0] innovative[0] filmmaking[0] goodfellas[0] became[0] something[0] only[0] the[0] truly[1] great[2] films[0] could[0] do[0] work[0] of[0] art[0] and[0] excellent[3] popular[0] entertainment[0] in[0] the[0] same[0] time[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
because of this achievement , and also because of the great influence on future filmmakers , this cinematic gem deserves its rightful place among the best films of 1990s . 	because of this achievement , and also because of the great influence on future filmmakers , this cinematic gem deserves its rightful place among the best films of 1990s .	3	-1	 because[0] of[0] this[0] achievement[0] and[0] also[0] because[0] of[0] the[0] great[2] influence[0] on[0] future[0] filmmakers[0] this[0] cinematic[0] gem[0] deserves[0] its[0] rightful[0] place[0] among[0] the[0] best[1] films[0] of[0] 1990s[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
