seen at the 21st portland international film festival 	Translation	Positive	Negative	EmotionRationale
hanako , as she gets familiar with the operation , discovers many of the tricks of the trade , done by many of the elders in charge of each section of the market . 	hanako , as she gets familiar with the operation , discovers many of the tricks of the trade , done by many of the elders in charge of each section of the market .	1	-2	 hanako[0] as[0] she[0] gets[0] familiar[0] with[0] the[0] operation[0] discovers[0] many[0] of[0] the[0] tricks[-1] of[0] the[0] trade[0] done[0] by[0] many[0] of[0] the[0] elders[0] in[0] charge[-1] of[0] each[0] section[0] of[0] the[0] market[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the procedures , are not always " fresh " food , but a new packaging and a new date , to try and convince the customers that quality is on the shelves . 	and the procedures , are not always " fresh " food , but a new packaging and a new date , to try and convince the customers that quality is on the shelves .	1	-1	 and[0] the[0] procedures[0] are[0] not[0] always[0] fresh[0] food[0] but[0] a[0] new[0] packaging[0] and[0] a[0] new[0] date[0] to[0] try[0] and[0] convince[0] the[0] customers[0] that[0] quality[0] is[0] on[0] the[0] shelves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hanako's ideas take hold , starting with a few of the women that work in the supermarket , being that they do not even shop there at all . 	hanako's ideas take hold , starting with a few of the women that work in the supermarket , being that they do not even shop there at all .	1	-1	 hanako's[0] ideas[0] take[0] hold[0] starting[0] with[0] a[0] few[0] of[0] the[0] women[0] that[0] work[0] in[0] the[0] supermarket[0] being[0] that[0] they[0] do[0] not[0] even[0] shop[0] there[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and hanako discovers along the way that a few giveaways here and there make a bit of a difference . 	and hanako discovers along the way that a few giveaways here and there make a bit of a difference .	1	-1	 and[0] hanako[0] discovers[0] along[0] the[0] way[0] that[0] a[0] few[0] giveaways[0] here[0] and[0] there[0] make[0] a[0] bit[0] of[0] a[0] difference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if not cause some serious problems in the running of the store . 	if not cause some serious problems in the running of the store .	1	-2	 if[0] not[0] cause[0] some[0] serious[-1][--1 LastWordBoosterStrength] problems[-1] in[0] the[0] running[0] of[0] the[0] store[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a price error , forces them to give away eggs for very low prices , and causes the store a few hassles , but , it brought the people in , and everyone knows that these customers will buy a few other things . 	a price error , forces them to give away eggs for very low prices , and causes the store a few hassles , but , it brought the people in , and everyone knows that these customers will buy a few other things .	1	-3	 a[0] price[0] error[-1] forces[0] them[0] to[0] give[0] away[0] eggs[0] for[0] very[0] low[-1][-1 LastWordBoosterStrength] prices[0] and[0] causes[0] the[0] store[0] a[0] few[0] hassles[-1] but[0] it[0] brought[0] the[0] people[0] in[0] and[0] everyone[0] knows[0] that[0] these[0] customers[0] will[0] buy[0] a[0] few[0] other[0] things[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the operation gets stronger , the competition also has trickery up its sleeve , and it has been undermining much of the operation by paybacks to one of the store managers , as well as the meat and fish elder supervisors . 	as the operation gets stronger , the competition also has trickery up its sleeve , and it has been undermining much of the operation by paybacks to one of the store managers , as well as the meat and fish elder supervisors .	1	-2	 as[0] the[0] operation[0] gets[0] stronger[0] the[0] competition[0] also[0] has[0] trickery[-1] up[0] its[0] sleeve[0] and[0] it[0] has[0] been[0] undermining[0] much[0] of[0] the[0] operation[0] by[0] paybacks[0] to[0] one[0] of[0] the[0] store[0] managers[0] as[0] well[0] as[0] the[0] meat[0] and[0] fish[0] elder[0] supervisors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually these people are found out , and hanako has to tread slowly and carefully , until in the end they all have a showdown . 	eventually these people are found out , and hanako has to tread slowly and carefully , until in the end they all have a showdown .	1	-1	 eventually[0] these[0] people[0] are[0] found[0] out[0] and[0] hanako[0] has[0] to[0] tread[0] slowly[0] and[0] carefully[0] until[0] in[0] the[0] end[0] they[0] all[0] have[0] a[0] showdown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and here , the truth and honesty win out , and even one of the elders decides to stay rather than go to work for the corrupt opponent . 	and here , the truth and honesty win out , and even one of the elders decides to stay rather than go to work for the corrupt opponent .	2	-3	 and[0] here[0] the[0] truth[1] and[0] honesty[1] win[0] out[0] and[0] even[0] one[0] of[0] the[0] elders[0] decides[0] to[0] stay[0] rather[0] than[0] go[0] to[0] work[0] for[0] the[0] corrupt[-2] opponent[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the process , they also find that " freshness " ( with some very funny jokes on this word as well ) becomes a much more important tool than they imagined . 	in the process , they also find that " freshness " ( with some very funny jokes on this word as well ) becomes a much more important tool than they imagined .	3	-1	 in[0] the[0] process[0] they[0] also[0] find[0] that[0] freshness[0] with[0] some[0] very[0] funny[1][1 LastWordBoosterStrength] jokes[1] on[0] this[0] word[0] as[0] well[0] becomes[0] a[0] much[0] more[0] important[0] tool[0] than[0] they[0] imagined[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with some very nice performances , in this hectic , and fast paced film , this film gives us a sitting of two hours that is satisfying in many ways , although a failed love story between goro and hanako does not come off much , even though towards the end it is suggested . 	with some very nice performances , in this hectic , and fast paced film , this film gives us a sitting of two hours that is satisfying in many ways , although a failed love story between goro and hanako does not come off much , even though towards the end it is suggested .	3	-3	 with[0] some[0] very[0] nice[1][1 LastWordBoosterStrength] performances[0] in[0] this[0] hectic[-1] and[0] fast[0] paced[0] film[0] this[0] film[0] gives[0] us[0] a[0] sitting[0] of[0] two[0] hours[0] that[0] is[0] satisfying[1] in[0] many[0] ways[0] although[0] a[0] failed[-2] love[2] story[0] between[0] goro[0] and[0] hanako[0] does[0] not[0] come[0] off[0] much[0] even[0] though[0] towards[0] the[0] end[0] it[0] is[0] suggested[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but this would take away from the satire and its strengths . 	but this would take away from the satire and its strengths .	1	-1	 but[0] this[0] would[0] take[0] away[0] from[0] the[0] satire[0] and[0] its[0] strengths[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with food gags all over the place , the film lets you have it . 	with food gags all over the place , the film lets you have it .	1	-1	 with[0] food[0] gags[0] all[0] over[0] the[0] place[0] the[0] film[0] lets[0] you[0] have[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what fun it is . 	and what fun it is .	2	-1	 and[0] what[0] fun[1] it[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
worth seeing . 	worth seeing .	1	-1	 worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( editorial ) the director of this film , juzo itami , died shortly after the film was finished , and he left behind a legacy of comedy and satire that is rare , and uncompromising . 	 ( editorial ) the director of this film , juzo itami , died shortly after the film was finished , and he left behind a legacy of comedy and satire that is rare , and uncompromising .	1	-1	 editorial[0] the[0] director[0] of[0] this[0] film[0] juzo[0] itami[0] died[0] shortly[0] after[0] the[0] film[0] was[0] finished[0] and[0] he[0] left[0] behind[0] a[0] legacy[0] of[0] comedy[0] and[0] satire[0] that[0] is[0] rare[0] and[0] uncompromising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we would wish that he had been able to make one about film making , of which he must have had a few stories to tell , but we will have to do with much of the japanese society , and its many errant ways . . . . 	we would wish that he had been able to make one about film making , of which he must have had a few stories to tell , but we will have to do with much of the japanese society , and its many errant ways .<br> .<br> .<br> .	1	-1	 we[0] would[0] wish[0] that[0] he[0] had[0] been[0] able[0] to[0] make[0] one[0] about[0] film[0] making[0] of[0] which[0] he[0] must[0] have[0] had[0] a[0] few[0] stories[0] to[0] tell[0] but[0] we[0] will[0] have[0] to[0] do[0] with[0] much[0] of[0] the[0] japanese[0] society[0] and[0] its[0] many[0] errant[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not to say that these things do not happen anywhere else . . . . 	not to say that these things do not happen anywhere else .<br> .<br> .<br> .	1	-1	 not[0] to[0] say[0] that[0] these[0] things[0] do[0] not[0] happen[0] anywhere[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
america is no less guilty of any of these subjects at all , should anyone have the guts to tackle it . . . 	america is no less guilty of any of these subjects at all , should anyone have the guts to tackle it .<br> .<br> .	1	-4	 america[0] is[0] no[0] less[0] guilty[-3] of[0] any[0] of[0] these[0] subjects[0] at[0] all[0] should[0] anyone[0] have[0] the[0] guts[0] to[0] tackle[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we could learn something along the way , too . . . . 	we could learn something along the way , too .<br> .<br> .<br> .	1	-1	 we[0] could[0] learn[0] something[0] along[0] the[0] way[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worth seeing , specially , is a taxing woman and its follow up a taxing woman returns . 	worth seeing , specially , is a taxing woman and its follow up a taxing woman returns .	2	-2	 worth[0] seeing[0] specially[1] is[0] a[0] taxing[-1] woman[0] and[0] its[0] follow[0] up[0] a[0] taxing[-1] woman[0] returns[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the funeral is also good , although not as funny as the later films . 	the funeral is also good , although not as funny as the later films .	2	-2	 the[0] funeral[0] is[0] also[0] good[1] although[0] not[0] as[0] funny[1][NegatedDueToPreviousWord] as[0] the[0] later[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tampopo is also very enjoyable . 	tampopo is also very enjoyable .	4	-1	 tampopo[0] is[0] also[0] very[0] enjoyable[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
all four of these films are available in video , which means your best local site for foreign film may have them . . . 	all four of these films are available in video , which means your best local site for foreign film may have them .<br> .<br> .	2	-2	 all[0] four[0] of[0] these[0] films[0] are[0] available[0] in[0] video[0] which[0] means[0] your[0] best[1] local[0] site[0] for[0] foreign[-1] film[0] may[0] have[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ask for it . 	ask for it .	1	-1	 ask[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
