roman emperor marcus aurelius ( richard harris ) chooses his trusted general maximus ( russell crowe ) as his successor . 	Translation	Positive	Negative	EmotionRationale
it's both rousing and chilling . 	it's both rousing and chilling .	1	-1	 it's[0] both[0] rousing[0] and[0] chilling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joaquin phoenix does a very effective job of making commodus a person and not just a cartoon character ( which could have easily happened ) . 	joaquin phoenix does a very effective job of making commodus a person and not just a cartoon character ( which could have easily happened ) .	1	-1	 joaquin[0] phoenix[0] does[0] a[0] very[0] effective[0] job[0] of[0] making[0] commodus[0] a[0] person[0] and[0] not[0] just[0] a[0] cartoon[0] character[0] which[0] could[0] have[0] easily[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
commodus is conniving , sneaky and whiny , but phoenix never lets the character get silly . 	commodus is conniving , sneaky and whiny , but phoenix never lets the character get silly .	1	-2	 commodus[0] is[0] conniving[0] sneaky[-1] and[0] whiny[0] but[0] phoenix[0] never[0] lets[0] the[0] character[0] get[0] silly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a very good ( and very creepy ) performance . 	it's a very good ( and very creepy ) performance .	3	-1	 it's[0] a[0] very[0] good[1][1 LastWordBoosterStrength] and[0] very[0] creepy[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oliver reed died during the filming of gladiator , and it's a huge loss to the acting world . 	oliver reed died during the filming of gladiator , and it's a huge loss to the acting world .	1	-3	 oliver[0] reed[0] died[0] during[0] the[0] filming[0] of[0] gladiator[0] and[0] it's[0] a[0] huge[0] loss[-2] to[0] the[0] acting[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i've always been fascinated with reed . . . 	i've always been fascinated with reed .<br> .<br> .	1	-1	 i've[0] always[0] been[0] fascinated[0] with[0] reed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's one of those very talented performers who once had a fine career but ended up in direct to video junk during his twilight years . 	he's one of those very talented performers who once had a fine career but ended up in direct to video junk during his twilight years .	3	-2	 he's[0] one[0] of[0] those[0] very[0] talented[1][1 LastWordBoosterStrength] performers[0] who[0] once[0] had[0] a[0] fine[2] career[0] but[0] ended[0] up[0] in[0] direct[0] to[0] video[0] junk[-1] during[0] his[0] twilight[0] years[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's ironic that this film probably would have gotten him back into real movies again , as he gives a fun and sincere performance . 	it's ironic that this film probably would have gotten him back into real movies again , as he gives a fun and sincere performance .	2	-2	 it's[0] ironic[-1] that[0] this[0] film[0] probably[0] would[0] have[0] gotten[0] him[0] back[0] into[0] real[0] movies[0] again[0] as[0] he[0] gives[0] a[0] fun[1] and[0] sincere[0] performance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is dedicated to him , and he will surely be missed . 	the film is dedicated to him , and he will surely be missed .	1	-2	 the[0] film[0] is[0] dedicated[0] to[0] him[0] and[0] he[0] will[0] surely[0] be[0] missed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
reed's death presented the filmmakers with an obvious problem , as he still had scenes to be completed . 	reed's death presented the filmmakers with an obvious problem , as he still had scenes to be completed .	1	-3	 reed's[0] death[-2] presented[0] the[0] filmmakers[0] with[0] an[0] obvious[0] problem[-1] as[0] he[0] still[0] had[0] scenes[0] to[0] be[0] completed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rather than recast the role ( and end up reshooting a great deal of footage ) , a digital version of oliver reed was created at a reported cost of 2 million dollars . 	rather than recast the role ( and end up reshooting a great deal of footage ) , a digital version of oliver reed was created at a reported cost of 2 million dollars .	3	-1	 rather[0] than[0] recast[0] the[0] role[0] and[0] end[0] up[0] reshooting[0] a[0] great[2] deal[0] of[0] footage[0] a[0] digital[0] version[0] of[0] oliver[0] reed[0] was[0] created[0] at[0] a[0] reported[0] cost[0] of[0] 2[0] million[0] dollars[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ironically , that was probably more money than reed ever earned for a single film . 	ironically , that was probably more money than reed ever earned for a single film .	1	-2	 ironically[-1] that[0] was[0] probably[0] more[0] money[0] than[0] reed[0] ever[0] earned[0] for[0] a[0] single[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , this digital effect is only used in one scene that i am aware of ( for about twenty seconds ) and if you aren't looking for it you won't even be able to tell . 	anyway , this digital effect is only used in one scene that i am aware of ( for about twenty seconds ) and if you aren't looking for it you won't even be able to tell .	1	-1	 anyway[0] this[0] digital[0] effect[0] is[0] only[0] used[0] in[0] one[0] scene[0] that[0] i[0] am[0] aware[0] of[0] for[0] about[0] twenty[0] seconds[0] and[0] if[0] you[0] aren't[0] looking[0] for[0] it[0] you[0] won't[0] even[0] be[0] able[0] to[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the other digital effects are less convincing however . . . 	some of the other digital effects are less convincing however .<br> .<br> .	1	-1	 some[0] of[0] the[0] other[0] digital[0] effects[0] are[0] less[0] convincing[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and like i always say , noticable digital effects take me out of a movie immediately . 	and like i always say , noticable digital effects take me out of a movie immediately .	2	-1	 and[0] like[1] i[0] always[0] say[0] noticable[0] digital[0] effects[0] take[0] me[0] out[0] of[0] a[0] movie[0] immediately[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's sad that such a good film has these distractions . 	it's sad that such a good film has these distractions .	2	-4	 it's[0] sad[-3] that[0] such[0] a[0] good[1] film[0] has[0] these[0] distractions[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
movies like the fall of the roman empire and spartacus seemed to do okay without the use of computer effects . 	movies like the fall of the roman empire and spartacus seemed to do okay without the use of computer effects .	2	-1	 movies[0] like[1] the[0] fall[0] of[0] the[0] roman[0] empire[0] and[0] spartacus[0] seemed[0] to[0] do[0] okay[0] without[0] the[0] use[0] of[0] computer[0] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
keep in mind that gladiator is based on real people and real events , but is entirely a work of fiction . 	keep in mind that gladiator is based on real people and real events , but is entirely a work of fiction .	1	-1	 keep[0] in[0] mind[0] that[0] gladiator[0] is[0] based[0] on[0] real[0] people[0] and[0] real[0] events[0] but[0] is[0] entirely[0] a[0] work[0] of[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however it's a work of fiction that's great entertainment , and another film to add to the list of damn fine flicks released in 2000 a . d . 	however it's a work of fiction that's great entertainment , and another film to add to the list of damn fine flicks released in 200 a .<br> d .	3	-2	 however[0] it's[0] a[0] work[0] of[0] fiction[0] that's[0] great[2] entertainment[0] and[0] another[0] film[0] to[0] add[0] to[0] the[0] list[0] of[0] damn[-1] fine[2] flicks[0] released[0] in[0] 2000/200[0] a[0] [[Sentence=-2,3=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
