david cronenberg presents us with another strange tale crawling out of his impressively twisted head . 	Translation	Positive	Negative	EmotionRationale
david cronenberg has been the creator of " the fly " , " videodrome " and " the dead zone " , so it's not so hard to guess that " existenz " is a violent and gory film . 	david cronenberg has been the creator of " the fly " , " videodrome " and " the dead zone " , so it's not so hard to guess that " existenz " is a violent and gory film .	1	-3	 david[0] cronenberg[0] has[0] been[0] the[0] creator[0] of[0] the[0] fly[0] videodrome[0] and[0] the[0] dead[-2] zone[0] so[0] it's[0] not[0] so[0] hard[0] to[0] guess[0] that[0] existenz[0] is[0] a[0] violent[-2] and[0] gory[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
besides the regular murders of innocent people , the audiences can enjoy an autopsy of a two-headed mutated amfibium . 	besides the regular murders of innocent people , the audiences can enjoy an autopsy of a two-headed mutated amfibium .	3	-4	 besides[0] the[0] regular[0] murders[-3] of[0] innocent[1] people[0] the[0] audiences[0] can[0] enjoy[2] an[0] autopsy[0] of[0] a[0] two[0] headed[0] mutated[0] amfibium[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
scenes like that have become a trademark for cronenberg and it seems that he can't make a film without flowing blood and foul creatures . 	scenes like that have become a trademark for cronenberg and it seems that he can't make a film without flowing blood and foul creatures .	2	-1	 scenes[0] like[1] that[0] have[0] become[0] a[0] trademark[0] for[0] cronenberg[0] and[0] it[0] seems[0] that[0] he[0] can't[0] make[0] a[0] film[0] without[0] flowing[0] blood[0] and[0] foul[0] creatures[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the way i see it , this is the film's crucial failure . 	the way i see it , this is the film's crucial failure .	1	-3	 the[0] way[0] i[0] see[0] it[0] this[0] is[0] the[0] film's[0] crucial[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is impossible for cronenbergto create a beautiful world where time , space and problems of our everyday life do not exist ; a place of blooming blossoms , green forests and clear waters ; a place really worth sacrificing your life for . 	it is impossible for cronenbergto create a beautiful world where time , space and problems of our everyday life do not exist ; a place of blooming blossoms , green forests and clear waters ; a place really worth sacrificing your life for .	3	-2	 it[0] is[0] impossible[0] for[0] cronenbergto[0] create[0] a[0] beautiful[2] world[0] where[0] time[0] space[0] and[0] problems[-1] of[0] our[0] everyday[0] life[0] do[0] not[0] exist[0] a[0] place[0] of[0] blooming[0] blossoms[0] green[0] forests[0] and[0] clear[0] waters[0] a[0] place[0] really[0] worth[0] sacrificing[0] your[0] life[0] for[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
because of its lack of three dimensionality , the film looses most of its possibilities , but stays afloat because of some interesting scenes , amusing performances ( especially by willem dafoe ) and one interesting and important thought , depicted in many different ways throughout the movie . 	because of its lack of three dimensionality , the film looses most of its possibilities , but stays afloat because of some interesting scenes , amusing performances ( especially by willem dafoe ) and one interesting and important thought , depicted in many different ways throughout the movie .	2	-2	 because[0] of[0] its[0] lack[-1] of[0] three[0] dimensionality[0] the[0] film[0] looses[0] most[0] of[0] its[0] possibilities[0] but[0] stays[0] afloat[0] because[0] of[0] some[0] interesting[1][-1 LastWordBoosterStrength] scenes[0] amusing[1] performances[0] especially[0] by[0] willem[0] dafoe[0] and[0] one[0] interesting[1] and[0] important[0] thought[0] depicted[0] in[0] many[0] different[0] ways[0] throughout[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
during the film , the audience is as confused as the characters : detached from their everyday existence and no longer able to see the difference between the real world and the alternative reality that they have created . 	during the film , the audience is as confused as the characters : detached from their everyday existence and no longer able to see the difference between the real world and the alternative reality that they have created .	1	-2	 during[0] the[0] film[0] the[0] audience[0] is[0] as[0] confused[-1] as[0] the[0] characters[0] detached[0] from[0] their[0] everyday[0] existence[0] and[0] no[0] longer[0] able[0] to[0] see[0] the[0] difference[0] between[0] the[0] real[0] world[0] and[0] the[0] alternative[0] reality[0] that[0] they[0] have[0] created[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the matrix " , despite of its many dark and disturbing thoughts , ends with a light at the end of the tunnel . 	 " the matrix " , despite of its many dark and disturbing thoughts , ends with a light at the end of the tunnel .	1	-2	 the[0] matrix[0] despite[0] of[0] its[0] many[0] dark[0] and[0] disturbing[-1] thoughts[0] ends[0] with[0] a[0] light[0] at[0] the[0] end[0] of[0] the[0] tunnel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " existenz " does not . 	 " existenz " does not .	1	-1	 existenz[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a one time experience , ending in blood , gore and madness - a rather frightening forecast for tomorrow . 	it is a one time experience , ending in blood , gore and madness - a rather frightening forecast for tomorrow .	1	-4	 it[0] is[0] a[0] one[0] time[0] experience[0] ending[0] in[0] blood[0] gore[0] and[0] madness[-1] a[0] rather[0] frightening[-3] forecast[0] for[0] tomorrow[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
