logical time travel movies are a near-impossibility . 	Translation	Positive	Negative	EmotionRationale
the film opens in october of 1969 . 	the film opens in october of 1969 .	1	-1	 the[0] film[0] opens[0] in[0] october[0] of[0] 1969[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
firefighter frank sullivan ( dennis quaid ) puts his life on the line every time he suits up for his job , then goes home to his loving wife julia ( elizabeth mitchell ) and son johnny ( daniel henson ) . 	firefighter frank sullivan ( dennis quaid ) puts his life on the line every time he suits up for his job , then goes home to his loving wife julia ( elizabeth mitchell ) and son johnny ( daniel henson ) .	4	-1	 firefighter[0] frank[0] sullivan[0] dennis[0] quaid[0] puts[0] his[0] life[0] on[0] the[0] line[0] every[0] time[0] he[0] suits[0] up[0] for[0] his[0] job[0] then[0] goes[0] home[0] to[0] his[0] loving[3] wife[0] julia[0] elizabeth[0] mitchell[0] and[0] son[0] johnny[0] daniel[0] henson[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the double-pronged story flashes forward to 1999 , where johnny ( now jim caviezel ) is all grown up and working as a police detective . 	the double-pronged story flashes forward to 199 , where johnny ( now jim caviezel ) is all grown up and working as a police detective .	1	-1	 the[0] double[0] pronged[0] story[0] flashes[0] forward[0] to[0] 1999/199[0] where[0] johnny[0] now[0] jim[0] caviezel[0] is[0] all[0] grown[0] up[0] and[0] working[0] as[0] a[0] police[0] detective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a strange occurrence -- the appearance of aurora borealis over new york city -- allows father and son to communicate through the same ham radio frank used in '69 and that john has found in the present day . 	a strange occurrence - the appearance of aurora borealis over new york city - allows father and son to communicate through the same ham radio frank used in '69 and that john has found in the present day .	1	-2	 a[0] strange[0] occurrence[0] the[0] appearance[0] of[0] aurora[0] borealis[-1] over[0] new[0] york[0] city[0] allows[0] father[0] and[0] son[0] to[0] communicate[0] through[0] the[0] same[0] ham[0] radio[0] frank[0] used[0] in[0] '69[0] and[0] that[0] john[0] has[0] found[0] in[0] the[0] present[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though both are initially skeptical of the idea , john eventually takes this opportunity to warn his father against his impending death in a warehouse fire , and he succeeds in saving frank from certain doom . 	though both are initially skeptical of the idea , john eventually takes this opportunity to warn his father against his impending death in a warehouse fire , and he succeeds in saving frank from certain doom .	3	-3	 though[0] both[0] are[0] initially[0] skeptical[-1] of[0] the[0] idea[0] john[0] eventually[0] takes[0] this[0] opportunity[0] to[0] warn[0] his[0] father[0] against[-1] his[0] impending[0] death[-2] in[0] a[0] warehouse[0] fire[0] and[0] he[0] succeeds[2] in[0] saving[0] frank[0] from[0] certain[0] doom[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now flooded with memories of a full life with his father alive , john is initially overjoyed , until he discovers that the changes to the timeline have been disastrous : a serial killer that would have died has instead lived to kill seven more women . 	now flooded with memories of a full life with his father alive , john is initially overjoyed , until he discovers that the changes to the timeline have been disastrous : a serial killer that would have died has instead lived to kill seven more women .	5	-4	 now[0] flooded[0] with[0] memories[0] of[0] a[0] full[0] life[0] with[0] his[0] father[0] alive[0] john[0] is[0] initially[0] overjoyed[4] until[0] he[0] discovers[0] that[0] the[0] changes[0] to[0] the[0] timeline[0] have[0] been[0] disastrous[-3] a[0] serial[0] killer[-1] that[0] would[0] have[0] died[0] has[0] instead[0] lived[0] to[0] kill[-1] seven[0] more[0] women[0] [[Sentence=-4,5=word max, 1-5]][[[5,-4 max of sentences]]]
frank and john now must work together to set things right , with john using the information he has gathered in the future to instruct frank on what to do in the past . 	frank and john now must work together to set things right , with john using the information he has gathered in the future to instruct frank on what to do in the past .	1	-1	 frank[0] and[0] john[0] now[0] must[0] work[0] together[0] to[0] set[0] things[0] right[0] with[0] john[0] using[0] the[0] information[0] he[0] has[0] gathered[0] in[0] the[0] future[0] to[0] instruct[0] frank[0] on[0] what[0] to[0] do[0] in[0] the[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the premise of " frequency " is unusual , and requires getting over one very important mental hurdle to fully accept : john and frank are the only ones conscious of how the timeline has been changed as a result of their actions . 	the premise of " frequency " is unusual , and requires getting over one very important mental hurdle to fully accept : john and frank are the only ones conscious of how the timeline has been changed as a result of their actions .	1	-1	 the[0] premise[0] of[0] frequency[0] is[0] unusual[0] and[0] requires[0] getting[0] over[0] one[0] very[0] important[0] mental[0] hurdle[0] to[0] fully[0] accept[0] john[0] and[0] frank[0] are[0] the[0] only[0] ones[0] conscious[0] of[0] how[0] the[0] timeline[0] has[0] been[0] changed[0] as[0] a[0] result[0] of[0] their[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this isn't explained ; you just have to go with it . 	this isn't explained ; you just have to go with it .	1	-1	 this[0] isn't[0] explained[0] you[0] just[0] have[0] to[0] go[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when frank doesn't die in a fire , john is the only one who remembers it differently , while everyone else remembers it the new way . 	when frank doesn't die in a fire , john is the only one who remembers it differently , while everyone else remembers it the new way .	1	-1	 when[0] frank[0] doesn't[0] die[0] in[0] a[0] fire[0] john[0] is[0] the[0] only[0] one[0] who[0] remembers[0] it[0] differently[0] while[0] everyone[0] else[0] remembers[0] it[0] the[0] new[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the concept also runs into problems concerning just how synchronous the two realities -- 1969 and 1999 -- are to each other . 	the concept also runs into problems concerning just how synchronous the two realities - 1969 and 199 - are to each other .	1	-2	 the[0] concept[0] also[0] runs[0] into[0] problems[-1] concerning[-1] just[0] how[0] synchronous[0] the[0] two[0] realities[0] 1969[0] and[0] 1999/199[0] are[0] to[0] each[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes frank's changing the past results in something happening right away in john's world , and sometimes john gets the changes ahead of time . 	sometimes frank's changing the past results in something happening right away in john's world , and sometimes john gets the changes ahead of time .	1	-1	 sometimes[0] frank's[0] changing[0] the[0] past[0] results[0] in[0] something[0] happening[0] right[0] away[0] in[0] john's[0] world[0] and[0] sometimes[0] john[0] gets[0] the[0] changes[0] ahead[0] of[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , the filmmakers might have perfectly good explanations for this , and i could probably come up with something fairly convoluted ( but nevertheless logical ) if i thought about it hard enough ( for example , the reason john gets advance information of the serial killer's murders was because the change had already happened in frank's world , and john is only witnessing the * projection * of that change ) , but explanations aren't really the point . 	now , the filmmakers might have perfectly good explanations for this , and i could probably come up with something fairly convoluted ( but nevertheless logical ) if i thought about it hard enough ( for example , the reason john gets advance information of the serial killer's murders was because the change had already happened in frank's world , and john is only witnessing the * projection * of that change ) , but explanations aren't really the point .	2	-4	 now[0] the[0] filmmakers[0] might[0] have[0] perfectly[1] good[1] explanations[0] for[0] this[0] and[0] i[0] could[0] probably[0] come[0] up[0] with[0] something[0] fairly[0] convoluted[0] but[0] nevertheless[0] logical[0] if[0] i[0] thought[0] about[0] it[0] hard[0] enough[0] for[0] example[0] the[0] reason[0] john[0] gets[0] advance[0] information[0] of[0] the[0] serial[0] killer's[0] murders[-3] was[0] because[0] the[0] change[0] had[0] already[0] happened[0] in[0] frank's[0] world[0] and[0] john[0] is[0] only[0] witnessing[0] the[0] projection[0] of[0] that[0] change[0] but[0] explanations[0] aren't[0] really[0] the[0] point[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when " frequency " gets cooking , it's a riveting little thriller , even if it is confusing . 	when " frequency " gets cooking , it's a riveting little thriller , even if it is confusing .	2	-2	 when[0] frequency[0] gets[0] cooking[0] it's[0] a[0] riveting[0] little[0] thriller[1] even[0] if[0] it[0] is[0] confusing[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what matters to a film like this is if the plot makes sense in the moment , and " frequency " works as long as it keeps moving . 	what matters to a film like this is if the plot makes sense in the moment , and " frequency " works as long as it keeps moving .	2	-1	 what[0] matters[0] to[0] a[0] film[0] like[1] this[0] is[0] if[0] the[0] plot[0] makes[0] sense[0] in[0] the[0] moment[0] and[0] frequency[0] works[0] as[0] long[0] as[0] it[0] keeps[0] moving[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film manages to be engaging despite the logical confusion . 	the film manages to be engaging despite the logical confusion .	1	-2	 the[0] film[0] manages[0] to[0] be[0] engaging[0] despite[0] the[0] logical[0] confusion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director gregory hoblit and screenwriter toby emmerich structure " frequency " as good hollywood entertainment , establishing decent , likable characters , making us care for them , and setting up a goal to be reached and a conflict to be resolved . 	director gregory hoblit and screenwriter toby emmerich structure " frequency " as good hollywood entertainment , establishing decent , likable characters , making us care for them , and setting up a goal to be reached and a conflict to be resolved .	2	-2	 director[0] gregory[0] hoblit[0] and[0] screenwriter[0] toby[0] emmerich[0] structure[0] frequency[0] as[0] good[1] hollywood[0] entertainment[0] establishing[0] decent[0] likable[0] characters[0] making[0] us[0] care[1] for[0] them[0] and[0] setting[0] up[0] a[0] goal[0] to[0] be[0] reached[0] and[0] a[0] conflict[-1] to[0] be[0] resolved[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i liked many of the creative touches : the split screens , allowing us to see how the universe is being affected in both realities , and the greater framework of baseball to drive the action forward . 	i liked many of the creative touches : the split screens , allowing us to see how the universe is being affected in both realities , and the greater framework of baseball to drive the action forward .	3	-1	 i[0] liked[2] many[0] of[0] the[0] creative[0] touches[0] the[0] split[0] screens[0] allowing[0] us[0] to[0] see[0] how[0] the[0] universe[0] is[0] being[0] affected[0] in[0] both[0] realities[0] and[0] the[0] greater[2] framework[0] of[0] baseball[0] to[0] drive[0] the[0] action[0] forward[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it actually uses the 1969 mets-orioles world series ( the one that featured the amazin' mets ) to great effect -- frank uses john's advance knowledge of the series outcome to convince his friends to believe him . 	it actually uses the 1969 mets-orioles world series ( the one that featured the amazin' mets ) to great effect - frank uses john's advance knowledge of the series outcome to convince his friends to believe him .	3	-1	 it[0] actually[0] uses[0] the[0] 1969[0] mets[0] orioles[0] world[0] series[0] the[0] one[0] that[0] featured[0] the[0] amazin'[2] mets[0] to[0] great[2] effect[0] frank[0] uses[0] john's[0] advance[0] knowledge[0] of[0] the[0] series[0] outcome[0] to[0] convince[0] his[0] friends[1] to[0] believe[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( admittedly , this device may only be of interest to a baseball fan like myself . ) 	 ( admittedly , this device may only be of interest to a baseball fan like myself .<br> )	2	-1	 admittedly[0] this[0] device[0] may[0] only[0] be[0] of[0] interest[1] to[0] a[0] baseball[0] fan[0] like[1] myself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i even liked the final scene , which features frank and john both fighting the same man simultaneously in different time periods . 	i even liked the final scene , which features frank and john both fighting the same man simultaneously in different time periods .	3	-3	 i[0] even[0] liked[2] the[0] final[0] scene[0] which[0] features[0] frank[0] and[0] john[0] both[0] fighting[-2] the[0] same[0] man[0] simultaneously[0] in[0] different[0] time[0] periods[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
some may find this scene blindingly confusing , as the reality shifts start coming fast and furious , but it does make sense if you think about it ( and give the script a lot of leeway ) , and let's face it : it's a darn cool way to end the film . 	some may find this scene blindingly confusing , as the reality shifts start coming fast and furious , but it does make sense if you think about it ( and give the script a lot of leeway ) , and let's face it : it's a darn cool way to end the film .	2	-4	 some[0] may[0] find[0] this[0] scene[0] blindingly[-1] confusing[-1] as[0] the[0] reality[0] shifts[0] start[0] coming[0] fast[0] and[0] furious[-3] but[0] it[0] does[0] make[0] sense[0] if[0] you[0] think[0] about[0] it[0] and[0] give[0] the[0] script[0] a[0] lot[0] of[0] leeway[0] and[0] let's[0] face[0] it[0] it's[0] a[0] darn[-1] cool[1] way[0] to[0] end[0] the[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there are enough surprises and plot twists in " frequency " to keep you on your toes , and as a result the movie avoids growing stagnant . 	there are enough surprises and plot twists in " frequency " to keep you on your toes , and as a result the movie avoids growing stagnant .	1	-2	 there[0] are[0] enough[0] surprises[0] and[0] plot[0] twists[0] in[0] frequency[0] to[0] keep[0] you[0] on[0] your[0] toes[0] and[0] as[0] a[0] result[0] the[0] movie[0] avoids[-1] growing[0] stagnant[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other major thing to appreciate about " frequency " is the handling of the father-son relationship . 	the other major thing to appreciate about " frequency " is the handling of the father-son relationship .	2	-1	 the[0] other[0] major[0] thing[0] to[0] appreciate[1] about[0] frequency[0] is[0] the[0] handling[0] of[0] the[0] father[0] son[0] relationship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
quaid and caviezel carry off their parts easily ; it's a rock-solid job from both actors . 	quaid and caviezel carry off their parts easily ; it's a rock-solid job from both actors .	2	-1	 quaid[0] and[0] caviezel[0] carry[0] off[0] their[0] parts[0] easily[0] it's[0] a[0] rock[1] solid[0] job[0] from[0] both[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the relationship is instantly credible because they find the human truth behind the high concept : how would one react to being able to communicate with a dead relative , or with a future descendant ? 	the relationship is instantly credible because they find the human truth behind the high concept : how would one react to being able to communicate with a dead relative , or with a future descendant ?	2	-3	 the[0] relationship[0] is[0] instantly[0] credible[0] because[0] they[0] find[0] the[0] human[0] truth[1] behind[0] the[0] high[0] concept[0] how[0] would[0] one[0] react[0] to[0] being[0] able[0] to[0] communicate[0] with[0] a[0] dead[-2] relative[0] or[0] with[0] a[0] future[0] descendant[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
watching the exchanges between frank and john will give you a pretty good idea of how to answer that question . 	watching the exchanges between frank and john will give you a pretty good idea of how to answer that question .	3	-1	 watching[0] the[0] exchanges[0] between[0] frank[0] and[0] john[0] will[0] give[0] you[0] a[0] pretty[2] good[1] idea[0] of[0] how[0] to[0] answer[0] that[0] question[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the credibility of the human relationship is absolutely crucial to the rest of the film ; if we don't believe in the characters , we don't care about the outcome of the thriller plot . 	the credibility of the human relationship is absolutely crucial to the rest of the film ; if we don't believe in the characters , we don't care about the outcome of the thriller plot .	2	-2	 the[0] credibility[0] of[0] the[0] human[0] relationship[0] is[0] absolutely[0] crucial[0] to[0] the[0] rest[0] of[0] the[0] film[0] if[0] we[0] don't[0] believe[0] in[0] the[0] characters[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] the[0] outcome[0] of[0] the[0] thriller[1] plot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here , we do care , because we like the lead actors . 	here , we do care , because we like the lead actors .	2	-1	 here[0] we[0] do[0] care[1] because[0] we[0] like[1] the[0] lead[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i also liked some of the supporting cast members . 	i also liked some of the supporting cast members .	3	-1	 i[0] also[0] liked[2] some[0] of[0] the[0] supporting[1] cast[0] members[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
elizabeth mitchell gets stuck with two thankless roles , playing julia the doting wife * and * mother , but still performs admirably . 	elizabeth mitchell gets stuck with two thankless roles , playing julia the doting wife * and * mother , but still performs admirably .	3	-1	 elizabeth[0] mitchell[0] gets[0] stuck[0] with[0] two[0] thankless[0] roles[0] playing[1] julia[0] the[0] doting[0] wife[0] and[0] mother[0] but[0] still[0] performs[0] admirably[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
andre braugher , late of the television show " homicide : life on the street , " gives a nice supporting turn as frank's best friend and future colleague of john . 	andre braugher , late of the television show " homicide : life on the street , " gives a nice supporting turn as frank's best friend and future colleague of john .	2	-1	 andre[0] braugher[0] late[0] of[0] the[0] television[0] show[0] homicide[0] life[0] on[0] the[0] street[0] gives[0] a[0] nice[1] supporting[1] turn[0] as[0] frank's[0] best[1] friend[1] and[0] future[0] colleague[0] of[0] john[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has a lovely scene in a diner in which he tries to explain the situation to julia while frank's world series predictions come true before his very eyes . 	he has a lovely scene in a diner in which he tries to explain the situation to julia while frank's world series predictions come true before his very eyes .	2	-1	 he[0] has[0] a[0] lovely[1] scene[0] in[0] a[0] diner[0] in[0] which[0] he[0] tries[0] to[0] explain[0] the[0] situation[0] to[0] julia[0] while[0] frank's[0] world[0] series[0] predictions[0] come[0] true[1] before[0] his[0] very[0] eyes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
braugher strikes the perfect facial expression here , simultaneously dismayed and amused . 	braugher strikes the perfect facial expression here , simultaneously dismayed and amused .	2	-3	 braugher[0] strikes[0] the[0] perfect[1] facial[0] expression[0] here[0] simultaneously[0] dismayed[-2] and[0] amused[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
perhaps the only thing i didn't like about " frequency " is the overly sentimental coda , during which the camera's focus goes a little too soft and the baseball theme gets carried overboard . 	perhaps the only thing i didn't like about " frequency " is the overly sentimental coda , during which the camera's focus goes a little too soft and the baseball theme gets carried overboard .	3	-1	 perhaps[0] the[0] only[0] thing[0] i[0] didn't[0] like[1] about[0] frequency[0] is[0] the[0] overly[0] sentimental[2] coda[0] during[0] which[0] the[0] camera's[0] focus[0] goes[0] a[0] little[0] too[0] soft[0] and[0] the[0] baseball[0] theme[0] gets[0] carried[0] overboard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but that's only because the film had already earned a poignancy without resorting to cheap tactics . 	but that's only because the film had already earned a poignancy without resorting to cheap tactics .	1	-2	 but[0] that's[0] only[0] because[0] the[0] film[0] had[0] already[0] earned[0] a[0] poignancy[0] without[0] resorting[0] to[0] cheap[-1] tactics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i freely acknowledge that " frequency " may best work as a " guy " movie , since it focuses on the very male-oriented idea of father-son relationships ( echoes of " field of dreams " can be easily heard ) , but the underlying concept is universally applicable . 	i freely acknowledge that " frequency " may best work as a " guy " movie , since it focuses on the very male-oriented idea of father-son relationships ( echoes of " field of dreams " can be easily heard ) , but the underlying concept is universally applicable .	1	-1	 i[0] freely[0] acknowledge[0] that[0] frequency[0] may[0] best[1][-1 LastWordBoosterStrength] work[0] as[0] a[0] guy[0] movie[0] since[0] it[0] focuses[0] on[0] the[0] very[0] male[0] oriented[0] idea[0] of[0] father[0] son[0] relationships[0] echoes[0] of[0] field[0] of[0] dreams[0] can[0] be[0] easily[0] heard[0] but[0] the[0] underlying[0] concept[0] is[0] universally[0] applicable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who wouldn't want to speak with a long-dead parent ? 	who wouldn't want to speak with a long-dead parent ?	1	-3	 who[0] wouldn't[0] want[0] to[0] speak[0] with[0] a[0] long[0] dead[-2] parent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or see how their children turn out ? 	or see how their children turn out ?	1	-1	 or[0] see[0] how[0] their[0] children[0] turn[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " tell me about your life , son " -- excuse me while i mist up . 	 " tell me about your life , son " - excuse me while i mist up .	1	-1	 tell[0] me[0] about[0] your[0] life[0] son[0] excuse[0] me[0] while[0] i[0] mist[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and don't call me a sissy . 	and don't call me a sissy .	1	-1	 and[0] don't[0] call[0] me[0] a[0] sissy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
