my filmcritic . com 	Translation	Positive	Negative	EmotionRationale
 ( don't ask . ) 	 ( don't ask .<br> )	1	-1	 don't[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's all a bit much to take in . 	it's all a bit much to take in .	1	-1	 it's[0] all[0] a[0] bit[0] much[0] to[0] take[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ruby's close friend gretchen ( cuz ya can't have a love story without the token friend , though nadia dajani invests the thankless role with warmth ) chalks it up as a sexy role-playing game , but her cautious therapist ( holland taylor ) warns her that co-dependency is rearing its ugly head again and she's in over her head with yet another doomed relationship . 	ruby's close friend gretchen ( cuz ya can't have a love story without the token friend , though nadia dajani invests the thankless role with warmth ) chalks it up as a sexy role-playing game , but her cautious therapist ( holland taylor ) warns her that co-dependency is rearing its ugly head again and she's in over her head with yet another doomed relationship .	3	-3	 ruby's[0] close[0] friend[1] gretchen[0] cuz[0] ya[0] can't[0] have[0] a[0] love[2] story[0] without[0] the[0] token[0] friend[1] though[0] nadia[0] dajani[0] invests[0] the[0] thankless[0] role[0] with[0] warmth[0] chalks[0] it[0] up[0] as[0] a[0] sexy[2] role[0] playing[1] game[0] but[0] her[0] cautious[0] therapist[0] holland[0] taylor[0] warns[0] her[0] that[0] co[0] dependency[0] is[0] rearing[0] its[0] ugly[-2] head[0] again[0] and[0] she's[0] in[0] over[0] her[0] head[0] with[0] yet[0] another[0] doomed[-1] relationship[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
who ya gonna believe ? 	who ya gonna believe ?	1	-1	 who[0] ya[0] gonna[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite her winning an academy award , marisa tomei has always struck me as an annoying and unwelcome screen presence , one that undermines the pleasure of watching happy accidents . 	despite her winning an academy award , marisa tomei has always struck me as an annoying and unwelcome screen presence , one that undermines the pleasure of watching happy accidents .	3	-3	 despite[0] her[0] winning[1] an[0] academy[0] award[0] marisa[0] tomei[0] has[0] always[0] struck[-1] me[0] as[0] an[0] annoying[-2] and[0] unwelcome[-2] screen[0] presence[0] one[0] that[0] undermines[-1] the[0] pleasure[2] of[0] watching[0] happy[1] accidents[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
her brassy new yawk attitude never really meshes with her desperate desire to appear " cute " to her adoring fans . 	her brassy new yawk attitude never really meshes with her desperate desire to appear " cute " to her adoring fans .	4	-3	 her[0] brassy[0] new[0] yawk[0] attitude[0] never[0] really[0] meshes[0] with[0] her[0] desperate[-2] desire[0] to[0] appear[0] cute[1] to[0] her[0] adoring[3] fans[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
being loud and flashing a ( disingenuous ) smile does not necessarily equal " substantial and sexy . " 	being loud and flashing a ( disingenuous ) smile does not necessarily equal " substantial and sexy .<br> "	3	-2	 being[0] loud[0] and[0] flashing[0] a[0] disingenuous[-1] smile[2] does[0] not[0] necessarily[0] equal[0] substantial[0] and[0] sexy[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it takes more than a crack team of hair and wardrobe people to imbue her with personality . 	it takes more than a crack team of hair and wardrobe people to imbue her with personality .	1	-1	 it[0] takes[0] more[0] than[0] a[0] crack[0] team[0] of[0] hair[0] and[0] wardrobe[0] people[0] to[0] imbue[0] her[0] with[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's that damned voice , which strains to be oh-so-adorable . 	then there's that damned voice , which strains to be oh-so-adorable .	4	-2	 then[0] there's[0] that[0] damned[-1] voice[0] which[0] strains[-1] to[0] be[0] oh[0] so[0] adorable[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
look , this stuff is purely subjective . 	look , this stuff is purely subjective .	1	-1	 look[0] this[0] stuff[0] is[0] purely[0] subjective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some people feel this way about richard gere , others cannot bear to watch robin williams' hyperactive schtick . 	some people feel this way about richard gere , others cannot bear to watch robin williams' hyperactive schtick .	1	-1	 some[0] people[0] feel[0] this[0] way[0] about[0] richard[0] gere[0] others[0] cannot[0] bear[0] to[0] watch[0] robin[0] williams'[0] hyperactive[0] schtick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for my money , it's m . tomei with a bullet . 	for my money , it's m .<br> tomei with a bullet .	1	-2	 for[0] my[0] money[0] it's[0] m[0] [[Sentence=-1,1=word max, 1-5]] tomei[0] with[0] a[0] bullet[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
happy accidents is a romantic comedy filtered through twelve monkeys ( or , more appropriately , chris marker's la jetee , especially with those still framed " memory " photographs anderson employs as a stylistic device throughout ) . 	happy accidents is a romantic comedy filtered through twelve monkeys ( or , more appropriately , chris marker's la jetee , especially with those still framed " memory " photographs anderson employs as a stylistic device throughout ) .	4	-2	 happy[1] accidents[-1] is[0] a[0] romantic[3] comedy[0] filtered[0] through[0] twelve[0] monkeys[0] or[0] more[0] appropriately[0] chris[0] marker's[0] la[0] jetee[0] especially[0] with[0] those[0] still[0] framed[0] memory[0] photographs[0] anderson[0] employs[0] as[0] a[0] stylistic[0] device[0] throughout[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
modern manhattan is filmed with an otherworldly , vaguely alien eye with a color scheme oddly reminiscent of logan's run . 	modern manhattan is filmed with an otherworldly , vaguely alien eye with a color scheme oddly reminiscent of logan's run .	1	-2	 modern[0] manhattan[0] is[0] filmed[0] with[0] an[0] otherworldly[0] vaguely[-1] alien[-1] eye[0] with[0] a[0] color[0] scheme[0] oddly[0] reminiscent[0] of[0] logan's[0] run[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the stranger in a strange land , d'onofrio walks slightly out-of-step , wonderfully affable but often inscrutable with his wayward expressions and bemused detachment . 	as the stranger in a strange land , d'onofrio walks slightly out-of-step , wonderfully affable but often inscrutable with his wayward expressions and bemused detachment .	4	-2	 as[0] the[0] stranger[0] in[0] a[0] strange[0] land[0] d'onofrio[0] walks[0] slightly[0] out[0] of[0] step[0] wonderfully[2] affable[2][+1 MultiplePositiveWords] but[0] often[0] inscrutable[0] with[0] his[0] wayward[-1] expressions[0] and[0] bemused[0] detachment[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this is science fiction told mainly via the power of suggestion ( though it often falls into the sci-fi trap of having entirely too much forced exposition -- we want deeds , not words ! ) 	this is science fiction told mainly via the power of suggestion ( though it often falls into the sci-fi trap of having entirely too much forced exposition - we want deeds , not words !<br> )	1	-2	 this[0] is[0] science[0] fiction[0] told[0] mainly[0] via[0] the[0] power[0] of[0] suggestion[0] though[0] it[0] often[0] falls[0] into[0] the[0] sci[0] fi[0] trap[-1] of[0] having[0] entirely[0] too[0] much[0] forced[0] exposition[0] we[0] want[0] deeds[0] not[0] words[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least twenty minutes too long , happy accidents eventually gets around to a race-against-time scenario that puts " sam deed " to the ultimate test . 	at least twenty minutes too long , happy accidents eventually gets around to a race-against-time scenario that puts " sam deed " to the ultimate test .	2	-2	 at[0] least[0] twenty[0] minutes[0] too[0] long[0] happy[1] accidents[-1] eventually[0] gets[0] around[0] to[0] a[0] race[0] against[-1] time[0] scenario[0] that[0] puts[0] sam[0] deed[0] to[0] the[0] ultimate[0] test[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no movie can live in ambiguity forever , but anderson seems terminally unable to provide satisfactory conclusions to his otherwise well structured recent narratives . 	no movie can live in ambiguity forever , but anderson seems terminally unable to provide satisfactory conclusions to his otherwise well structured recent narratives .	2	-2	 no[0] movie[0] can[0] live[0] in[0] ambiguity[-1] forever[0] but[0] anderson[0] seems[0] terminally[0] unable[0] to[0] provide[0] satisfactory[1] conclusions[0] to[0] his[0] otherwise[0] well[0] structured[0] recent[0] narratives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( let's pretend the loathsome and predictable next stop wonderland never happened , shall we ? ) 	 ( let's pretend the loathsome and predictable next stop wonderland never happened , shall we ?<br> )	1	-2	 let's[0] pretend[-1] the[0] loathsome[0] and[0] predictable[0] next[0] stop[0] wonderland[0] never[0] happened[0] shall[0] we[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are also some slow , repetitive stretches as ruby and sam go over the same arguments again and again over whether or not he's crazy . 	there are also some slow , repetitive stretches as ruby and sam go over the same arguments again and again over whether or not he's crazy .	2	-2	 there[0] are[0] also[0] some[0] slow[0] repetitive[0] stretches[0] as[0] ruby[0] and[0] sam[0] go[0] over[0] the[0] same[0] arguments[-1] again[0] and[0] again[0] over[0] whether[0] or[0] not[0] he's[0] crazy[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the premise is strong enough to sustain interest , but it's enough to throw a nod in the general direction of rod serling for wrapping up his ideas in half-hour time slots , commercials included . 	the premise is strong enough to sustain interest , but it's enough to throw a nod in the general direction of rod serling for wrapping up his ideas in half-hour time slots , commercials included .	2	-1	 the[0] premise[0] is[0] strong[0] enough[0] to[0] sustain[0] interest[1] but[0] it's[0] enough[0] to[0] throw[0] a[0] nod[0] in[0] the[0] general[0] direction[0] of[0] rod[0] serling[0] for[0] wrapping[0] up[0] his[0] ideas[0] in[0] half[0] hour[0] time[0] slots[0] commercials[0] included[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
