you don't have to know poker to like " rounders , " but it might help . 	Translation	Positive	Negative	EmotionRationale
if only the other character interaction was as successful , " rounders " might merit consideration when it comes time to number the year's best films . 	if only the other character interaction was as successful , " rounders " might merit consideration when it comes time to number the year's best films .	3	-1	 if[0] only[0] the[0] other[0] character[0] interaction[0] was[0] as[0] successful[2] rounders[0] might[0] merit[1][-1 LastWordBoosterStrength] consideration[0] when[0] it[0] comes[0] time[0] to[0] number[0] the[0] year's[0] best[1] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
current " it girl " gretchen mol is sweetly appealing as mike's girlfriend jo , aware and weary of his seedy past , but her scenes with damon number too few to be very effective . 	current " it girl " gretchen mol is sweetly appealing as mike's girlfriend jo , aware and weary of his seedy past , but her scenes with damon number too few to be very effective .	2	-1	 current[0] it[0] girl[0] gretchen[0] mol[0] is[0] sweetly[1] appealing[0] as[0] mike's[0] girlfriend[0] jo[0] aware[0] and[0] weary[0] of[0] his[0] seedy[0] past[0] but[0] her[0] scenes[0] with[0] damon[0] number[0] too[0] few[0] to[0] be[0] very[0] effective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
john turturro's aging mentor and famke janssen's tempting siren , both interesting sketches , are hampered by the same limited screen time . 	john turturro's aging mentor and famke janssen's tempting siren , both interesting sketches , are hampered by the same limited screen time .	2	-1	 john[0] turturro's[0] aging[0] mentor[0] and[0] famke[0] janssen's[0] tempting[0] siren[0] both[0] interesting[1] sketches[0] are[0] hampered[0] by[0] the[0] same[0] limited[0] screen[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and as a wizened judge , the great martin landau makes memorable a role that's mostly a plot device - he's on hand mostly to sort-of save the day and provide a voice for " rounders " ' moral . 	and as a wizened judge , the great martin landau makes memorable a role that's mostly a plot device - he's on hand mostly to sort-of save the day and provide a voice for " rounders " ' moral .	3	-1	 and[0] as[0] a[0] wizened[0] judge[0] the[0] great[2] martin[0] landau[0] makes[0] memorable[0] a[0] role[0] that's[0] mostly[0] a[0] plot[0] device[0] he's[0] on[0] hand[0] mostly[0] to[0] sort[0] of[0] save[1] the[0] day[0] and[0] provide[0] a[0] voice[0] for[0] rounders[0] '[0] moral[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that moral , by the way , is " our destiny chooses us , " and it's something of a surprise when " rounders " supports this solemn proverb by eschewing the conclusion you might expect ; mike does learn from his mistake , but neither the mistake nor the way he learns from it is what it initially appears to be . 	that moral , by the way , is " our destiny chooses us , " and it's something of a surprise when " rounders " supports this solemn proverb by eschewing the conclusion you might expect ; mike does learn from his mistake , but neither the mistake nor the way he learns from it is what it initially appears to be .	2	-3	 that[0] moral[0] by[0] the[0] way[0] is[0] our[0] destiny[0] chooses[0] us[0] and[0] it's[0] something[0] of[0] a[0] surprise[0] when[0] rounders[0] supports[1] this[0] solemn[-2] proverb[0] by[0] eschewing[0] the[0] conclusion[0] you[0] might[0] expect[0] mike[0] does[0] learn[0] from[0] his[0] mistake[-1] but[0] neither[0] the[0] mistake[-1] nor[0] the[0] way[0] he[0] learns[0] from[0] it[0] is[0] what[0] it[0] initially[0] appears[0] to[0] be[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the end , " rounders " sees gambling as less a mere addiction than a potential art form , but the poker itself is only a metaphor for a much larger picture . 	in the end , " rounders " sees gambling as less a mere addiction than a potential art form , but the poker itself is only a metaphor for a much larger picture .	1	-2	 in[0] the[0] end[0] rounders[0] sees[0] gambling[0] as[0] less[0] a[0] mere[0] addiction[-1] than[0] a[0] potential[0] art[0] form[0] but[0] the[0] poker[0] itself[0] is[0] only[0] a[0] metaphor[0] for[0] a[0] much[0] larger[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the road to true fulfillment lies within the realization and exercising of your natural passions , the movie espouses , no matter what they might be . 	the road to true fulfilment lies within the realization and exercising of your natural passions , the movie espouses , no matter what they might be .	3	-3	 the[0] road[0] to[0] true[1] fulfillment/fulfilment[0] lies[-2] within[0] the[0] realization[0] and[0] exercising[0] of[0] your[0] natural[0] passions[2] the[0] movie[0] espouses[0] no[0] matter[0] what[0] they[0] might[0] be[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
here , low-rent lowlifes like worm just aren't cut out for the cards . 	here , low-rent lowlifes like worm just aren't cut out for the cards .	2	-2	 here[0] low[-1] rent[0] lowlifes[-1] like[1] worm[0] just[0] aren't[0] cut[0] out[0] for[0] the[0] cards[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
screenwriters david levien and brian koppelman entertain and educate in their quest to vividly render a culture that's often generalized by movies ; even complete poker neophytes should cross the line from observers to participants when the movie gets to its concluding game scene . 	screenwriters david levien and brian koppelman entertain and educate in their quest to vividly render a culture that's often generalized by movies ; even complete poker neophytes should cross the line from observers to participants when the movie gets to its concluding game scene .	1	-1	 screenwriters[0] david[0] levien[0] and[0] brian[0] koppelman[0] entertain[0] and[0] educate[0] in[0] their[0] quest[0] to[0] vividly[0] render[0] a[0] culture[0] that's[0] often[0] generalized[0] by[0] movies[0] even[0] complete[0] poker[0] neophytes[0] should[0] cross[-1][--1 LastWordBoosterStrength] the[0] line[0] from[0] observers[0] to[0] participants[0] when[0] the[0] movie[0] gets[0] to[0] its[0] concluding[0] game[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inside every adventurous filmgoer , there is a desire to be taken someplace new and exciting , and that's the precise allure of " rounders . " 	inside every adventurous filmgoer , there is a desire to be taken someplace new and exciting , and that's the precise allure of " rounders .<br> "	3	-1	 inside[0] every[0] adventurous[0] filmgoer[0] there[0] is[0] a[0] desire[0] to[0] be[0] taken[0] someplace[0] new[0] and[0] exciting[2] and[0] that's[0] the[0] precise[0] allure[0] of[0] rounders[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it ultimately matters not that a few of our tour guides feel partially-realized or that the journey itself is cluttered with sites we've seen before , because the final destination is a satisfying one . 	it ultimately matters not that a few of our tour guides feel partially-realized or that the journey itself is cluttered with sites we've seen before , because the final destination is a satisfying one .	2	-2	 it[0] ultimately[0] matters[0] not[0] that[0] a[0] few[0] of[0] our[0] tour[0] guides[0] feel[0] partially[0] realized[0] or[0] that[0] the[0] journey[0] itself[0] is[0] cluttered[-1] with[0] sites[0] we've[0] seen[0] before[0] because[0] the[0] final[0] destination[0] is[0] a[0] satisfying[1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the end , " rounders " holds a winning hand . 	in the end , " rounders " holds a winning hand .	2	-1	 in[0] the[0] end[0] rounders[0] holds[0] a[0] winning[1] hand[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
