i remember making a pact , right after `patch adams' , to not be easily be suckered by movies dripping with sentimentality . 	Translation	Positive	Negative	EmotionRationale
one thoroughly interesting fact about  music of the heart' lies with the unlikely presence in the director's chair : horror veteran wes craven . 	one thoroughly interesting fact about  music of the heart' lies with the unlikely presence in the director's chair : horror veteran wes craven .	2	-4	 one[0] thoroughly[0] interesting[1] fact[0] about[0] music[0] of[0] the[0] heart'[0] lies[-2] with[0] the[0] unlikely[0] presence[0] in[0] the[0] director's[0] chair[0] horror[-3] veteran[0] wes[0] craven[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after leaving an impression with the  scream' films and the original  nightmare on elm street' , craven has attempted a precarious cross-over to drama . 	after leaving an impression with the  scream' films and the original  nightmare on elm street' , craven has attempted a precarious cross-over to drama .	1	-4	 after[0] leaving[0] an[0] impression[0] with[0] the[0] scream'[-3] films[0] and[0] the[0] original[0] nightmare[-2] on[0] elm[0] street'[0] craven[-1] has[0] attempted[0] a[0] precarious[-1] cross[-1] over[0] to[0] drama[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at first , his inexperience with the genre is fairly obvious , but as the film progresses craven finds a surprisingly comfortable niche with directing this material . 	at first , his inexperience with the genre is fairly obvious , but as the film progresses craven finds a surprisingly comfortable niche with directing this material .	2	-2	 at[0] first[0] his[0] inexperience[0] with[0] the[0] genre[0] is[0] fairly[0] obvious[0] but[0] as[0] the[0] film[0] progresses[0] craven[-1] finds[0] a[0] surprisingly[0] comfortable[1] niche[0] with[0] directing[0] this[0] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it doesn't carry the heart-warming courage of  mr . 	it doesn't carry the heart-warming courage of  mr .	2	-1	 it[0] doesn't[0] carry[0] the[0] heart[0] warming[0] courage[1] of[0] mr[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
holland's opus' , but  music of the heart' is casually assured and filled with little morsels of dramatic truth . 	holland's opus' , but  music of the heart' is casually assured and filled with little morsels of dramatic truth .	2	-1	 holland's[0] opus'[0] but[0] music[0] of[0] the[0] heart'[0] is[0] casually[0] assured[0] and[0] filled[0] with[0] little[0] morsels[0] of[0] dramatic[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the tag team of streep and craven works better than you would anticipate . 	the tag team of streep and craven works better than you would anticipate .	1	-2	 the[0] tag[0] team[0] of[0] streep[0] and[0] craven[-1] works[0] better[0] than[0] you[0] would[0] anticipate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , oscar could come calling once again for meryl streep , but it's the solid ensemble cast that makes  music of the heart' work . 	yes , oscar could come calling once again for meryl streep , but it's the solid ensemble cast that makes  music of the heart' work .	1	-1	 yes[0] oscar[0] could[0] come[0] calling[0] once[0] again[0] for[0] meryl[0] streep[0] but[0] it's[0] the[0] solid[0] ensemble[0] cast[0] that[0] makes[0] music[0] of[0] the[0] heart'[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
angela bassett displays her usual forceful stamina as janet williams , the principal at an inner city school who initially doesn't hire roberta because of her lack of experience . 	angela bassett displays her usual forceful stamina as janet williams , the principal at an inner city school who initially doesn't hire roberta because of her lack of experience .	1	-2	 angela[0] bassett[0] displays[0] her[0] usual[0] forceful[0] stamina[0] as[0] janet[0] williams[0] the[0] principal[0] at[0] an[0] inner[0] city[0] school[0] who[0] initially[0] doesn't[0] hire[0] roberta[0] because[0] of[0] her[0] lack[-1] of[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blue-eyed adian quinn is endearing , as always , playing a new love interest . 	blue-eyed adian quin is endearing , as always , playing a new love interest .	3	-1	 blue[0] eyed[0] adian[0] quinn/quin[0] is[0] endearing[0] as[0] always[0] playing[1] a[0] new[0] love[2] interest[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gloria estefan also delivers in the tiny role of a supportive second-grade teacher , and the three lead actresses together produce a flaming fireball of estrogenic force . 	gloria estefan also delivers in the tiny role of a supportive second-grade teacher , and the three lead actresses together produce a flaming fireball of estrogenic force .	2	-2	 gloria[1] estefan[0] also[0] delivers[0] in[0] the[0] tiny[0] role[0] of[0] a[0] supportive[1] second[0] grade[0] teacher[0] and[0] the[0] three[0] lead[0] actresses[0] together[0] produce[0] a[0] flaming[0] fireball[0] of[0] estrogenic[0] force[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's like a schoolteacher's version of  thelma and louise' , in a restrained but effective manner . 	it's like a schoolteacher's version of  thelma and louise' , in a restrained but effective manner .	2	-1	 it's[0] like[1] a[0] schoolteacher's[0] version[0] of[0] thelma[0] and[0] louise'[0] in[0] a[0] restrained[0] but[0] effective[0] manner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie tackles more issues than just guaspari's teaching of violin . 	the movie tackles more issues than just guaspari's teaching of violin .	1	-1	 the[0] movie[0] tackles[0] more[0] issues[0] than[0] just[0] guaspari's[0] teaching[0] of[0] violin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's some powerful moments between roberta and her two sons , who must cope when their father leaves them for another woman . 	there's some powerful moments between roberta and her two sons , who must cope when their father leaves them for another woman .	1	-1	 there's[0] some[0] powerful[0] moments[0] between[0] roberta[0] and[0] her[0] two[0] sons[0] who[0] must[0] cope[0] when[0] their[0] father[0] leaves[0] them[0] for[0] another[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in it's dramatic build-up , the movie manages to produce some authentic moments of feeling and warmth . 	in it's dramatic build-up , the movie manages to produce some authentic moments of feeling and warmth .	1	-1	 in[0] it's[0] dramatic[0] build[0] up[0] the[0] movie[0] manages[0] to[0] produce[0] some[0] authentic[0] moments[0] of[0] feeling[0] and[0] warmth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a good movie for anyone to see , although missing out on the experience would not be a life-altering decision . 	it's a good movie for anyone to see , although missing out on the experience would not be a life-altering decision .	2	-1	 it's[0] a[0] good[1] movie[0] for[0] anyone[0] to[0] see[0] although[0] missing[0] out[0] on[0] the[0] experience[0] would[0] not[0] be[0] a[0] life[0] altering[0] decision[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's commendable of wes craven to be attempting such a difficult cross-over , and also for achieving his intricate goal . 	it's commendable of wes craven to be attempting such a difficult cross-over , and also for achieving his intricate goal .	1	-2	 it's[0] commendable[0] of[0] wes[0] craven[-1] to[0] be[0] attempting[0] such[0] a[0] difficult[-1] cross[-1] over[0] and[0] also[0] for[0] achieving[0] his[0] intricate[0] goal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watching this heartfelt chick flick about morals and musical instruments , who may ask yourself : this is the guy who directed  scream' ? 	watching this heartfelt chick flick about morals and musical instruments , who may ask yourself : this is the guy who directed  scream' ?	2	-4	 watching[0] this[0] heartfelt[1] chick[0] flick[0] about[0] morals[0] and[0] musical[0] instruments[0] who[0] may[0] ask[0] yourself[0] this[0] is[0] the[0] guy[0] who[0] directed[0] scream'[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course , when the third installment of that series comes around in february 2000 ( with craven directing ) , you may find yourself wondering : this is the guy who directed  music of the heart' ? 	of course , when the third instalment of that series comes around in february 200 ( with craven directing ) , you may find yourself wondering : this is the guy who directed  music of the heart' ?	1	-2	 of[0] course[0] when[0] the[0] third[0] installment/instalment[0] of[0] that[0] series[0] comes[0] around[0] in[0] february[0] 2000/200[0] with[0] craven[-1] directing[0] you[0] may[0] find[0] yourself[0] wondering[0] this[0] is[0] the[0] guy[0] who[0] directed[0] music[0] of[0] the[0] heart'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mission accomplished , wes . 	mission accomplished , wes .	2	-1	 mission[0] accomplished[1] wes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully , there is no layer of artificial sentiment covering the film . 	thankfully , there is no layer of artificial sentiment covering the film .	2	-1	 thankfully[1] there[0] is[0] no[0] layer[0] of[0] artificial[0] sentiment[0] covering[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in it's entirety , it's a wholesome and agreeable movie for the whole family , despite the periodic flaws that surface every once in awhile . 	in it's entirety , it's a wholesome and agreeable movie for the whole family , despite the periodic flaws that surface every once in awhile .	1	-1	 in[0] it's[0] entirety[0] it's[0] a[0] wholesome[0] and[0] agreeable[0] movie[0] for[0] the[0] whole[0] family[0] despite[0] the[0] periodic[0] flaws[0] that[0] surface[0] every[0] once[0] in[0] awhile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the child actors are cute and perform up to par , even if some of their problems are clich ? d and predictable in the extreme . 	the child actors are cute and perform up to par , even if some of their problems are clich ?<br> d and predictable in the extreme .	2	-2	 the[0] child[0] actors[0] are[0] cute[1] and[0] perform[0] up[0] to[0] par[0] even[0] if[0] some[0] of[0] their[0] problems[-1] are[0] clich[0] [[Sentence=-2,2=word max, 1-5]] d[0] and[0] predictable[0] in[0] the[0] extreme[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
the mother who doesn't want her son to be learning  white man's music' , the unexpected casuality . . . 	the mother who doesn't want her son to be learning  white man's music' , the unexpected casuality .<br> .<br> .	1	-1	 the[0] mother[0] who[0] doesn't[0] want[0] her[0] son[0] to[0] be[0] learning[0] white[0] man's[0] music'[0] the[0] unexpected[0] casuality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basically everything is there . 	basically everything is there .	1	-1	 basically[0] everything[0] is[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't strike the perfect chord , but  music of the heart' is highly convincing . 	it doesn't strike the perfect chord , but  music of the heart' is highly convincing .	2	-2	 it[0] doesn't[0] strike[-1] the[0] perfect[1] chord[0] but[0] music[0] of[0] the[0] heart'[0] is[0] highly[0] convincing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the uplifting true story of roberta guaspari could have been told better , but  music of the heart' is still edifying enough to properly divulge her morals . 	the uplifting true story of roberta guaspari could have been told better , but  music of the heart' is still edifying enough to properly divulge her morals .	2	-1	 the[0] uplifting[0] true[1] story[0] of[0] roberta[0] guaspari[0] could[0] have[0] been[0] told[0] better[0] but[0] music[0] of[0] the[0] heart'[0] is[0] still[0] edifying[0] enough[0] to[0] properly[0] divulge[0] her[0] morals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
