the summer movie season is always the biggest and brightest season for movies throughout the year . 	Translation	Positive	Negative	EmotionRationale
the curious evelyn unlocks the book , reads from it , and now the body of the ancient egyptian imhotep ( arnold vosloo ) becomes alive and is out to kill the ones who opened and read from the book . 	the curious evelyn unlocks the book , reads from it , and now the body of the ancient egyptian imhotep ( arnold vosloo ) becomes alive and is out to kill the ones who opened and read from the book .	1	-2	 the[0] curious[0] evelyn[0] unlocks[0] the[0] book[0] reads[0] from[0] it[0] and[0] now[0] the[0] body[0] of[0] the[0] ancient[0] egyptian[0] imhotep[0] arnold[0] vosloo[0] becomes[0] alive[0] and[0] is[0] out[0] to[0] kill[-1] the[0] ones[0] who[0] opened[0] and[0] read[0] from[0] the[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along with imhotep arising from the dead , the ten curses of egypt become in full effect , launching unbelievable forces against the three and another group who set out to find hamunaptra . 	along with imhotep arising from the dead , the ten curses of egypt become in full effect , launching unbelievable forces against the three and another group who set out to find hamunaptra .	1	-3	 along[0] with[0] imhotep[0] arising[0] from[0] the[0] dead[-2] the[0] ten[0] curses[-1] of[0] egypt[0] become[0] in[0] full[0] effect[0] launching[0] unbelievable[-1] forces[0] against[-1] the[0] three[0] and[0] another[0] group[0] who[0] set[0] out[0] to[0] find[0] hamunaptra[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only is imhotep furious with those who awoke him , he is also out to restore the life of his girlfriend that lost her life long ago in ancient egypt . 	not only is imhotep furious with those who awoke him , he is also out to restore the life of his girlfriend that lost her life long ago in ancient egypt .	1	-4	 not[0] only[0] is[0] imhotep[0] furious[-3] with[0] those[0] who[0] awoke[0] him[0] he[0] is[0] also[0] out[0] to[0] restore[0] the[0] life[0] of[0] his[0] girlfriend[0] that[0] lost[0] her[0] life[0] long[0] ago[0] in[0] ancient[0] egypt[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
don't expect huge things out of the mummy , but just expect to have a good time . 	don't expect huge things out of the mummy , but just expect to have a good time .	2	-1	 don't[0] expect[0] huge[0] things[0] out[0] of[0] the[0] mummy[0] but[0] just[0] expect[0] to[0] have[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie is extremely campy and plays out like an old horror film with beefed up special effects , which may turn off some viewers . 	this movie is extremely campy and plays out like an old horror film with beefed up special effects , which may turn off some viewers .	2	-4	 this[0] movie[0] is[0] extremely[0] campy[0] and[0] plays[1] out[0] like[1] an[0] old[0] horror[-3] film[0] with[0] beefed[0] up[0] special[1] effects[0] which[0] may[0] turn[0] off[0] some[0] viewers[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on the other hand , this type of film is one of my favorites , but that's up to you to decide . 	on the other hand , this type of film is one of my favorites , but that's up to you to decide .	2	-1	 on[0] the[0] other[0] hand[0] this[0] type[0] of[0] film[0] is[0] one[0] of[0] my[0] favorites[1] but[0] that's[0] up[0] to[0] you[0] to[0] decide[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is one thing that definitely not campy or corny about the mummy though . 	there is one thing that definitely not campy or corny about the mummy though .	1	-1	 there[0] is[0] one[0] thing[0] that[0] definitely[0] not[0] campy[0] or[0] corny[0] about[0] the[0] mummy[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the state of the art special effects take you into a completely different world . 	the state of the art special effects take you into a completely different world .	2	-1	 the[0] state[0] of[0] the[0] art[0] special[1] effects[0] take[0] you[0] into[0] a[0] completely[0] different[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we are dazzled by faces rising out of the desert , swarms of beetles and locusts , and even creatures crawling under a human's skin . 	we are dazled by faces rising out of the desert , swarms of beetles and locusts , and even creatures crawling under a human's skin .	1	-1	 we[0] are[0] dazzled/dazled[0] by[0] faces[0] rising[0] out[0] of[0] the[0] desert[0] swarms[0] of[0] beetles[0] and[0] locusts[0] and[0] even[0] creatures[0] crawling[0] under[0] a[0] human's[0] skin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these may have been in other movies before , but not like in the mummy . 	these may have been in other movies before , but not like in the mummy .	1	-2	 these[0] may[0] have[0] been[0] in[0] other[0] movies[0] before[0] but[0] not[0] like[1][NegatedDueToPreviousWord] in[0] the[0] mummy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as of now , the mummy holds the title for best special effects of this year , but all this could change when star wars episode 1 : the phantom menace is released into theaters across the country . 	as of now , the mummy holds the title for best special effects of this year , but all this could change when star wars episode 1 : the phantom menace is released into theaters across the country .	2	-3	 as[0] of[0] now[0] the[0] mummy[0] holds[0] the[0] title[0] for[0] best[1] special[1] effects[0] of[0] this[0] year[0] but[0] all[0] this[0] could[0] change[0] when[0] star[0] wars[-2] episode[0] 1[0] the[0] phantom[0] menace[-2] is[0] released[0] into[0] theaters[0] across[0] the[0] country[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the past , brendan fraser has played mainly comedic roles . 	in the past , brendan fraser has played mainly comedic roles .	1	-1	 in[0] the[0] past[0] brendan[0] fraser[0] has[0] played[0] mainly[0] comedic[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when playing " george " in disney's george of the jungle , he was mainly not known by anyone . 	when playing " george " in disney's george of the jungle , he was mainly not known by anyone .	2	-1	 when[0] playing[1] george[0] in[0] disney's[0] george[0] of[0] the[0] jungle[0] he[0] was[0] mainly[0] not[0] known[0] by[0] anyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i would say that gods and monsters is the film that gave him a name , and now the mummy will give him a name amongst teens . 	i would say that gods and monsters is the film that gave him a name , and now the mummy will give him a name amongst teens .	1	-1	 i[0] would[0] say[0] that[0] gods[0] and[0] monsters[0] is[0] the[0] film[0] that[0] gave[0] him[0] a[0] name[0] and[0] now[0] the[0] mummy[0] will[0] give[0] him[0] a[0] name[0] amongst[0] teens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the mummy , fraser gets to play an action hero , and i liked him in this sort of role over the comedic role , as in the films blast from the past and george of the jungle . 	in the mummy , fraser gets to play an action hero , and i liked him in this sort of role over the comedic role , as in the films blast from the past and george of the jungle .	3	-1	 in[0] the[0] mummy[0] fraser[0] gets[0] to[0] play[0] an[0] action[0] hero[2] and[0] i[0] liked[2] him[0] in[0] this[0] sort[0] of[0] role[0] over[0] the[0] comedic[0] role[0] as[0] in[0] the[0] films[0] blast[0] from[0] the[0] past[0] and[0] george[0] of[0] the[0] jungle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although brendan fraser is great , rachel weisz gives the best performance among the cast . 	although brendan fraser is great , rachel weisz gives the best performance among the cast .	3	-1	 although[0] brendan[0] fraser[0] is[0] great[2] rachel[0] weisz[0] gives[0] the[0] best[1] performance[0] among[0] the[0] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
weisz really reminded me of a character from an old , horror film . 	weisz really reminded me of a character from an old , horror film .	1	-4	 weisz[0] really[0] reminded[0] me[0] of[0] a[0] character[0] from[0] an[0] old[0] horror[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the way she acts , looked , and talked all reminded me of someone not from this time . 	the way she acts , looked , and talked all reminded me of someone not from this time .	1	-1	 the[0] way[0] she[0] acts[0] looked[0] and[0] talked[0] all[0] reminded[0] me[0] of[0] someone[0] not[0] from[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
evelyn is probably the only character that was likable , considering that the other characters , like john hannah's , didn't get much personal attention . 	evelyn is probably the only character that was likable , considering that the other characters , like john hannah's , didn't get much personal attention .	2	-1	 evelyn[0] is[0] probably[0] the[0] only[0] character[0] that[0] was[0] likable[0] considering[0] that[0] the[0] other[0] characters[0] like[1] john[0] hannah's[0] didn't[0] get[0] much[0] personal[0] attention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in many films , when different genres are mixed , the mixing usually works , and i like it for the most part . 	in many films , when different genres are mixed , the mixing usually works , and i like it for the most part .	2	-1	 in[0] many[0] films[0] when[0] different[0] genres[0] are[0] mixed[0] the[0] mixing[0] usually[0] works[0] and[0] i[0] like[1] it[0] for[0] the[0] most[0] part[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the mummy though , not all of the mixing works . 	in the mummy though , not all of the mixing works .	1	-1	 in[0] the[0] mummy[0] though[0] not[0] all[0] of[0] the[0] mixing[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some scenes that have a lot of potential horror , some with potential comedy , some with potential drama , and some with potential pure action , but the film tries to mix them together too often for the mixing to work . 	there are some scenes that have a lot of potential horror , some with potential comedy , some with potential drama , and some with potential pure action , but the film tries to mix them together too often for the mixing to work .	1	-4	 there[0] are[0] some[0] scenes[0] that[0] have[0] a[0] lot[0] of[0] potential[0] horror[-3] some[0] with[0] potential[0] comedy[0] some[0] with[0] potential[0] drama[0] and[0] some[0] with[0] potential[0] pure[0] action[0] but[0] the[0] film[0] tries[0] to[0] mix[0] them[0] together[0] too[0] often[0] for[0] the[0] mixing[0] to[0] work[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the mummy could have gotten an " a " rating from me if it had gone purely with one of these . 	the mummy could have gotten an " a " rating from me if it had gone purely with one of these .	1	-1	 the[0] mummy[0] could[0] have[0] gotten[0] an[0] a[0] rating[0] from[0] me[0] if[0] it[0] had[0] gone[0] purely[0] with[0] one[0] of[0] these[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't mind the corny one-liners here and there during action sequences , but it certainly could have done without them . 	i didn't mind the corny one-liners here and there during action sequences , but it certainly could have done without them .	1	-1	 i[0] didn't[0] mind[0] the[0] corny[0] one[0] liners[0] here[0] and[0] there[0] during[0] action[0] sequences[0] but[0] it[0] certainly[0] could[0] have[0] done[0] without[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography is amazing in the mummy . 	the cinematography is amazing in the mummy .	3	-1	 the[0] cinematography[0] is[0] amazing[2] in[0] the[0] mummy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
particularly in one scene depicting ancient egypt , we are taken into a very fun portrayal of egypt , mummies , and the treasures left behind by the ancient egyptians . 	particularly in one scene depicting ancient egypt , we are taken into a very fun portrayal of egypt , mummies , and the treasures left behind by the ancient egyptians .	3	-1	 particularly[0] in[0] one[0] scene[0] depicting[0] ancient[0] egypt[0] we[0] are[0] taken[0] into[0] a[0] very[0] fun[1][1 LastWordBoosterStrength] portrayal[0] of[0] egypt[0] mummies[0] and[0] the[0] treasures[1] left[0] behind[0] by[0] the[0] ancient[0] egyptians[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the costume design in the film is also up there with the great cinematography . 	the costume design in the film is also up there with the great cinematography .	3	-1	 the[0] costume[0] design[0] in[0] the[0] film[0] is[0] also[0] up[0] there[0] with[0] the[0] great[2] cinematography[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from ancient egyptians outfits to original troops outfits , the costumes are always top notch . 	from ancient egyptians outfits to original troops outfits , the costumes are always top notch .	1	-1	 from[0] ancient[0] egyptians[0] outfits[0] to[0] original[0] troops[0] outfits[0] the[0] costumes[0] are[0] always[0] top[0] notch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bottom line- with the mummy , the summer is off to its usually great start . 	the bottom line- with the mummy , the summer is off to its usually great start .	3	-1	 the[0] bottom[0] line[0] with[0] the[0] mummy[0] the[0] summer[0] is[0] off[0] to[0] its[0] usually[0] great[2] start[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
