underrated movies are a common reoccurrence in show business today . 	Translation	Positive	Negative	EmotionRationale
she pleads not-guilty but is found guilty and sent to prison for six years . 	she pleads not-guilty but is found guilty and sent to prison for six years .	4	-4	 she[0] pleads[0] not[0] guilty[-3][NegatedDueToPreviousWord] but[0] is[0] found[0] guilty[-3] and[0] sent[0] to[0] prison[-1] for[0] six[0] years[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
while making a phone call to her best friend who adopted her son for her and she hears him say hi to his dad , which makes libby's heart stop right there . 	while making a phone call to her best friend who adopted her son for her and she hears him say hi to his dad , which makes libby's heart stop right there .	2	-1	 while[0] making[0] a[0] phone[0] call[0] to[0] her[0] best[1] friend[1] who[0] adopted[0] her[0] son[0] for[0] her[0] and[0] she[0] hears[0] him[0] say[0] hi[0] to[0] his[0] dad[0] which[0] makes[0] libby's[0] heart[0] stop[0] right[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she realizes she must get out and prove that he isn't dead , one of her cell-mates tells her that as long as she has been convicted of a crime she cannot be convicted of it again . 	she realizes she must get out and prove that he isn't dead , one of her cell-mates tells her that as long as she has been convicted of a crime she cannot be convicted of it again .	3	-2	 she[0] realizes[0] she[0] must[0] get[0] out[0] and[0] prove[0] that[0] he[0] isn't[0] dead[-2][NegatedDueToPreviousWord] one[0] of[0] her[0] cell[0] mates[0] tells[0] her[0] that[0] as[0] long[0] as[0] she[0] has[0] been[0] convicted[-1] of[0] a[0] crime[-1] she[0] cannot[0] be[0] convicted[-1][NegatedDueToPreviousWord] of[0] it[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
which means she can shoot him in the middle of mardi gras and they cannot do anything about it . 	which means she can shoot him in the middle of mardi gras and they cannot do anything about it .	1	-2	 which[0] means[0] she[0] can[0] shoot[-1] him[0] in[0] the[0] middle[0] of[0] mardi[0] gras[0] and[0] they[0] cannot[0] do[0] anything[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after she gets out she goes to a halfway house run by parole officer tommy lee jones . 	after she gets out she goes to a halfway house run by parole officer tommy lee jones .	1	-1	 after[0] she[0] gets[0] out[0] she[0] goes[0] to[0] a[0] halfway[0] house[0] run[0] by[0] parole[0] officer[0] tommy[0] lee[0] jones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is a man who has had his share of bad things . 	he is a man who has had his share of bad things .	1	-2	 he[0] is[0] a[0] man[0] who[0] has[0] had[0] his[0] share[0] of[0] bad[-1] things[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while out for the day she breaks into a school and tries to track down her kid and husband , leading up to some jaw-dropping twists that are both predictable and not . 	while out for the day she breaks into a school and tries to track down her kid and husband , leading up to some jaw-dropping twists that are both predictable and not .	1	-1	 while[0] out[0] for[0] the[0] day[0] she[0] breaks[0] into[0] a[0] school[0] and[0] tries[0] to[0] track[0] down[0] her[0] kid[0] and[0] husband[0] leading[0] up[0] to[0] some[0] jaw[0] dropping[0] twists[0] that[0] are[0] both[0] predictable[0] and[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever happens the film was excellent to me . 	whatever happens the film was excellent to me .	4	-1	 whatever[0] happens[0] the[0] film[0] was[0] excellent[3] to[0] me[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i found the writing well-written as well as the acting was great . 	i found the writing well-written as well as the acting was great .	3	-1	 i[0] found[0] the[0] writing[0] well[0] written[0] as[0] well[0] as[0] the[0] acting[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ashley judd is such a talented and beautiful actress that she is a hero in a sort in this movie . 	ashley judd is such a talented and beautiful actress that she is a hero in a sort in this movie .	3	-1	 ashley[0] judd[0] is[0] such[0] a[0] talented[1] and[0] beautiful[2] actress[0] that[0] she[0] is[0] a[0] hero[2] in[0] a[0] sort[0] in[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even if you know what is going to happen in the end , you don't know how . 	even if you know what is going to happen in the end , you don't know how .	1	-1	 even[0] if[0] you[0] know[0] what[0] is[0] going[0] to[0] happen[0] in[0] the[0] end[0] you[0] don't[0] know[0] how[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is one of those movies that you really do know what is going to happen , except you don't know how they are going to make it happen . 	this is one of those movies that you really do know what is going to happen , except you don't know how they are going to make it happen .	1	-1	 this[0] is[0] one[0] of[0] those[0] movies[0] that[0] you[0] really[0] do[0] know[0] what[0] is[0] going[0] to[0] happen[0] except[0] you[0] don't[0] know[0] how[0] they[0] are[0] going[0] to[0] make[0] it[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it could be one way or another , it could be this way or that way . 	it could be one way or another , it could be this way or that way .	1	-1	 it[0] could[0] be[0] one[0] way[0] or[0] another[0] it[0] could[0] be[0] this[0] way[0] or[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is highly stylized and extremely well-made . 	the movie is highly stylized and extremely well-made .	1	-1	 the[0] movie[0] is[0] highly[0] stylized[0] and[0] extremely[0] well[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gets most of it's power from the two leads : ashley judd and tommy lee jones both give excellent performances . 	it gets most of it's power from the two leads : ashley judd and tommy lee jones both give excellent performances .	4	-1	 it[0] gets[0] most[0] of[0] it's[0] power[0] from[0] the[0] two[0] leads[0] ashley[0] judd[0] and[0] tommy[0] lee[0] jones[0] both[0] give[0] excellent[3] performances[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the characters are well-realized and believable and we feel libby's pain when she cannot see her child for 6 years . 	the characters are well-realized and believable and we feel libby's pain when she cannot see her child for 6 years .	1	-4	 the[0] characters[0] are[0] well[0] realized[0] and[0] believable[0] and[0] we[0] feel[0] libby's[0] pain[-3] when[0] she[0] cannot[0] see[0] her[0] child[0] for[0] 6[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even though a lot of critics didn't like the film , i loved it . 	even though a lot of critics didn't like the film , i loved it .	4	-1	 even[0] though[0] a[0] lot[0] of[0] critics[0] didn't[0] like[1] the[0] film[0] i[0] loved[3] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the director took his time making the movie , and put a lot of shadowing in the movie . 	the director took his time making the movie , and put a lot of shadowing in the movie .	1	-1	 the[0] director[0] took[0] his[0] time[0] making[0] the[0] movie[0] and[0] put[0] a[0] lot[0] of[0] shadowing[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found it not to be boring at all and it's only flaw comes from some predictability . 	i found it not to be boring at all and it's only flaw comes from some predictability .	1	-2	 i[0] found[0] it[0] not[0] to[0] be[0] boring[-1] at[0] all[0] and[0] it's[0] only[0] flaw[-1] comes[0] from[0] some[0] predictability[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it moved at a fast pace , has suspense , humor , heart and great acting . 	it moved at a fast pace , has suspense , humor , heart and great acting .	3	-1	 it[0] moved[0] at[0] a[0] fast[0] pace[0] has[0] suspense[0] humor[2] heart[0] and[0] great[2] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it earns it's right to be a great movie and to me that's what it was . 	it earns it's right to be a great movie and to me that's what it was .	3	-1	 it[0] earns[0] it's[0] right[0] to[0] be[0] a[0] great[2] movie[0] and[0] to[0] me[0] that's[0] what[0] it[0] was[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
