contact is a film that tries to do several different things . 	Translation	Positive	Negative	EmotionRationale
still , the film falls a little short in its representation of this conflict as it exists in american society . 	still , the film falls a little short in its representation of this conflict as it exists in american society .	1	-2	 still[0] the[0] film[0] falls[0] a[0] little[0] short[0] in[0] its[0] representation[0] of[0] this[0] conflict[-1] as[0] it[0] exists[0] in[0] american[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two " sides " are represented primarily by arroway and by far-right fundamentalists , but in reality probably 80% of americans are neither atheists nor far-right fundamentalists . 	the two " sides " are represented primarily by arroway and by far-right fundamentalists , but in reality probably 80% of americans are neither atheists nor far-right fundamentalists .	1	-1	 the[0] two[0] sides[0] are[0] represented[0] primarily[0] by[0] arroway[0] and[0] by[0] far[0] right[0] fundamentalists[0] but[0] in[0] reality[0] probably[0] 80%[0] of[0] americans[0] are[0] neither[0] atheists[0] nor[0] far[0] right[0] fundamentalists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
palmer joss occupies something of a middle ground , but he ultimately becomes distracted by personal motives and comes across as a less-than-ideal spokesman for any ideology . 	palmer joss occupies something of a middle ground , but he ultimately becomes distracted by personal motives and comes across as a less-than-ideal spokesman for any ideology .	1	-2	 palmer[0] joss[0] occupies[0] something[0] of[0] a[0] middle[0] ground[0] but[0] he[0] ultimately[0] becomes[0] distracted[-1] by[0] personal[0] motives[0] and[0] comes[0] across[0] as[0] a[0] less[0] than[0] ideal[0] spokesman[0] for[0] any[0] ideology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then again , the film does concentrate mostly on public debate , which does , after all , tend to be dominated by extremists , rather than on dinner-table or college-dormitory discussions . 	then again , the film does concentrate mostly on public debate , which does , after all , tend to be dominated by extremists , rather than on dinner-table or college-dormitory discussions .	1	-2	 then[0] again[0] the[0] film[0] does[0] concentrate[0] mostly[0] on[0] public[0] debate[0] which[0] does[0] after[0] all[0] tend[0] to[0] be[0] dominated[-1] by[0] extremists[0] rather[0] than[0] on[0] dinner[0] table[0] or[0] college[0] dormitory[0] discussions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
contact is accurate in its portrayal of these issues , then , but only within the narrow scope to which it confines itself . 	contact is accurate in its portrayal of these issues , then , but only within the narrow scope to which it confines itself .	1	-1	 contact[0] is[0] accurate[0] in[0] its[0] portrayal[0] of[0] these[0] issues[0] then[0] but[0] only[0] within[0] the[0] narrow[0] scope[0] to[0] which[0] it[0] confines[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's one clear failure is in the portrayal of the romance between arroway and joss . 	the film's one clear failure is in the portrayal of the romance between arroway and joss .	4	-3	 the[0] film's[0] one[0] clear[0] failure[-2] is[0] in[0] the[0] portrayal[0] of[0] the[0] romance[3] between[0] arroway[0] and[0] joss[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
for one thing , it resorts to the tired movie clich * that two attractive people will immediately fall in love as soon as they appear on the screen together , as there does not seem to be any other reason for their instant mutual attraction . 	for one thing , it resorts to the tired movie clich * that two attractive people will immediately fall in love as soon as they appear on the screen together , as there does not seem to be any other reason for their instant mutual attraction .	3	-2	 for[0] one[0] thing[0] it[0] resorts[0] to[0] the[0] tired[-1] movie[0] clich[0] that[0] two[0] attractive[1] people[0] will[0] immediately[0] fall[0] in[0] love[2] as[0] soon[0] as[0] they[0] appear[0] on[0] the[0] screen[0] together[0] as[0] there[0] does[0] not[0] seem[0] to[0] be[0] any[0] other[0] reason[0] for[0] their[0] instant[0] mutual[0] attraction[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the romance rarely , if ever , sheds any light on the characters , although it occasionally tries and fails - joss's explanation that he quit the priesthood because of the celibacy requirement ( " i guess you could say i'm a man of the cloth , but without the cloth " ) , for example , is more like a punchline to a joke than character development . 	the romance rarely , if ever , sheds any light on the characters , although it occasionally tries and fails - joss's explanation that he quit the priesthood because of the celibacy requirement ( " i guess you could say i'm a man of the cloth , but without the cloth " ) , for example , is more like a punchline to a joke than character development .	4	-3	 the[0] romance[3] rarely[0] if[0] ever[0] sheds[0] any[0] light[0] on[0] the[0] characters[0] although[0] it[0] occasionally[0] tries[0] and[0] fails[-2] joss's[0] explanation[0] that[0] he[0] quit[-1] the[0] priesthood[0] because[0] of[0] the[0] celibacy[0] requirement[0] i[0] guess[0] you[0] could[0] say[0] i'm[0] a[0] man[0] of[0] the[0] cloth[0] but[0] without[0] the[0] cloth[0] for[0] example[0] is[0] more[0] like[1] a[0] punchline[-1] to[0] a[0] joke[1] than[0] character[0] development[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
instead , the romance mostly seems to exist for the sake of later plot developments . 	instead , the romance mostly seems to exist for the sake of later plot developments .	4	-1	 instead[0] the[0] romance[3] mostly[0] seems[0] to[0] exist[0] for[0] the[0] sake[0] of[0] later[0] plot[0] developments[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
granted , this is a plot- and idea-driven film and the characters are secondary , but this just seemed like laziness on the writers' part more than anything else . 	granted , this is a plot- and idea-driven film and the characters are secondary , but this just seemed like laziness on the writers' part more than anything else .	2	-1	 granted[0] this[0] is[0] a[0] plot[0] and[0] idea[0] driven[0] film[0] and[0] the[0] characters[0] are[0] secondary[0] but[0] this[0] just[0] seemed[0] like[1] laziness[0] on[0] the[0] writers'[0] part[0] more[0] than[0] anything[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the successes of contact , however , far outweigh its failures . 	the successes of contact , however , far outweigh its failures .	3	-3	 the[0] successes[2] of[0] contact[0] however[0] far[0] outweigh[0] its[0] failures[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even if the social commentary had fizzled altogether ( which it didn't ) , the simple yet mysterious story of alien communication still would have made it a memorable film . 	even if the social commentary had fizled altogether ( which it didn't ) , the simple yet mysterious story of alien communication still would have made it a memorable film .	1	-2	 even[0] if[0] the[0] social[0] commentary[0] had[0] fizzled/fizled[0] altogether[0] which[0] it[0] didn't[0] the[0] simple[0] yet[0] mysterious[0] story[0] of[0] alien[-1] communication[0] still[0] would[0] have[0] made[0] it[0] a[0] memorable[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
contact doesn't quite cover all the bases , but it covers about as much as one could hope for in a two-hour film , and its rejection of big-budget theatrics for a more realistic story is certainly admirable . 	contact doesn't quite cover all the bases , but it covers about as much as one could hope for in a two-hour film , and its rejection of big-budget theatrics for a more realistic story is certainly admirable .	3	-2	 contact[0] doesn't[0] quite[0] cover[0] all[0] the[0] bases[0] but[0] it[0] covers[0] about[0] as[0] much[0] as[0] one[0] could[0] hope[2][-1 LastWordBoosterStrength] for[0] in[0] a[0] two[0] hour[0] film[0] and[0] its[0] rejection[-1] of[0] big[0] budget[0] theatrics[0] for[0] a[0] more[0] realistic[0] story[0] is[0] certainly[0] admirable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and i would not be surprised if , ten years from now , contact is mentioned in the same breath as 2001 and blade runner as one of the finest examples of sophisticated and intellectually relevant science fiction . 	and i would not be surprised if , ten years from now , contact is mentioned in the same breath as 2001 and blade runner as one of the finest examples of sophisticated and intellectually relevant science fiction .	1	-1	 and[0] i[0] would[0] not[0] be[0] surprised[0] if[0] ten[0] years[0] from[0] now[0] contact[0] is[0] mentioned[0] in[0] the[0] same[0] breath[0] as[0] 2001[0] and[0] blade[0] runner[0] as[0] one[0] of[0] the[0] finest[0] examples[0] of[0] sophisticated[0] and[0] intellectually[0] relevant[0] science[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
