in october of 1997 , audiences were dazzled by the horror surprise hit i know what you did last summer . 	Translation	Positive	Negative	EmotionRationale
one morning , julie and karla are called up by a local radio station who are offering four tickets to the bahamas if they can correctly identify the capital of brazil . 	one morning , julie and karla are called up by a local radio station who are offering four tickets to the bahamas if they can correctly identify the capital of brazil .	1	-1	 one[0] morning[0] julie[0] and[0] karla[0] are[0] called[0] up[0] by[0] a[0] local[0] radio[0] station[0] who[0] are[0] offering[0] four[0] tickets[0] to[0] the[0] bahamas[0] if[0] they[0] can[0] correctly[0] identify[0] the[0] capital[0] of[0] brazil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , they answer it correctly , and they are off to the bahamas . 	of course , they answer it correctly , and they are off to the bahamas .	1	-1	 of[0] course[0] they[0] answer[0] it[0] correctly[0] and[0] they[0] are[0] off[0] to[0] the[0] bahamas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julie wants ray to come , but he declines the offer , so karla secretly invites will instead to help boost her plan of hooking him up with julie . 	julie wants ray to come , but he declines the offer , so karla secretly invites will instead to help boost her plan of hooking him up with julie .	1	-2	 julie[0] wants[0] ray[0] to[0] come[0] but[0] he[0] declines[-1] the[0] offer[0] so[0] karla[0] secretly[0] invites[0] will[0] instead[0] to[0] help[0] boost[0] her[0] plan[0] of[0] hooking[0] him[0] up[0] with[0] julie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after they arrive at their hotel , it is just them and the staff on the island . 	after they arrive at their hotel , it is just them and the staff on the island .	1	-1	 after[0] they[0] arrive[0] at[0] their[0] hotel[0] it[0] is[0] just[0] them[0] and[0] the[0] staff[0] on[0] the[0] island[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it starts off as the weekend of their dreams . 	it starts off as the weekend of their dreams .	1	-1	 it[0] starts[0] off[0] as[0] the[0] weekend[0] of[0] their[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
something just had to come to mess up the one care-free weekend of julie's life though . 	something just had to come to mess up the one care-free weekend of julie's life though .	2	-1	 something[0] just[0] had[0] to[0] come[0] to[0] mess[0] up[0] the[0] one[0] care[1] free[0] weekend[0] of[0] julie's[0] life[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ben willis ( muse watson ) is back , and he isn't letting anyone survive this time . 	ben willis ( muse watson ) is back , and he isn't letting anyone survive this time .	1	-1	 ben[0] willis[0] muse[0] watson[0] is[0] back[0] and[0] he[0] isn't[0] letting[0] anyone[0] survive[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will ray come to the rescue before he can kill them off one by one ? 	will ray come to the rescue before he can kill them off one by one ?	1	-2	 will[0] ray[0] come[0] to[0] the[0] rescue[0] before[0] he[0] can[0] kill[-1] them[0] off[0] one[0] by[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jennifer love hewitt and brandy turn in respectable performances . 	jennifer love hewitt and brandy turn in respectable performances .	3	-1	 jennifer[0] love[2] hewitt[0] and[0] brandy[0] turn[0] in[0] respectable[2] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
brandy in particular was impressive , considering this is her first feature film . 	brandy in particular was impressive , considering this is her first feature film .	2	-1	 brandy[0] in[0] particular[0] was[0] impressive[1] considering[0] this[0] is[0] her[0] first[0] feature[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you could see that the characters were horrified , and they would do anything possible to survive . 	you could see that the characters were horrified , and they would do anything possible to survive .	1	-4	 you[0] could[0] see[0] that[0] the[0] characters[0] were[0] horrified[-3] and[0] they[0] would[0] do[0] anything[0] possible[0] to[0] survive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
matthew settle and freddie prinze jr . are a completely different story . 	matthew settle and freddie prinze jr .<br> are a completely different story .	1	-1	 matthew[0] settle[0] and[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] are[0] a[0] completely[0] different[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's start with settle . 	let's start with settle .	1	-1	 let's[0] start[0] with[0] settle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew is completely fake in this film . 	matthew is completely fake in this film .	1	-3	 matthew[0] is[0] completely[0] fake[-1][-1 LastWordBoosterStrength] in[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you could not believe a word coming out of his mouth . 	you could not believe a word coming out of his mouth .	1	-1	 you[0] could[0] not[0] believe[0] a[0] word[0] coming[0] out[0] of[0] his[0] mouth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you could tell he was acting , and its reasons like him that this one isn't as good as the first one . 	you could tell he was acting , and its reasons like him that this one isn't as good as the first one .	2	-2	 you[0] could[0] tell[0] he[0] was[0] acting[0] and[0] its[0] reasons[0] like[1] him[0] that[0] this[0] one[0] isn't[0] as[0] good[1][NegatedDueToPreviousWord] as[0] the[0] first[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he does do a good job towards the end , but that doesn't clear up the scars he already left on the film . 	he does do a good job towards the end , but that doesn't clear up the scars he already left on the film .	2	-1	 he[0] does[0] do[0] a[0] good[1] job[0] towards[0] the[0] end[0] but[0] that[0] doesn't[0] clear[0] up[0] the[0] scars[0] he[0] already[0] left[0] on[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
freddie prinze jr . is almost as bad as matthew settle was . 	freddie prinze jr .<br> is almost as bad as matthew settle was .	1	-2	 freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] is[0] almost[0] as[0] bad[-1] as[0] matthew[0] settle[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is almost completely unbelievable , and the majority of his lines are completely meaningless and out of place . 	he is almost completely unbelievable , and the majority of his lines are completely meaningless and out of place .	1	-3	 he[0] is[0] almost[0] completely[0] unbelievable[-1][-1 LastWordBoosterStrength] and[0] the[0] majority[0] of[0] his[0] lines[0] are[0] completely[0] meaningless[-1][-1 LastWordBoosterStrength] and[0] out[0] of[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we don't see him as much as settle , otherwise he could have done just as much damage as settle did . 	we don't see him as much as settle , otherwise he could have done just as much damage as settle did .	1	-1	 we[0] don't[0] see[0] him[0] as[0] much[0] as[0] settle[0] otherwise[0] he[0] could[0] have[0] done[0] just[0] as[0] much[0] damage[0] as[0] settle[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mekhi phifer is alright as tyrell , but yet again the dialogue is out of place . 	mekhi phifer is alright as tyrell , but yet again the dialogue is out of place .	1	-1	 mekhi[0] phifer[0] is[0] alright[0] as[0] tyrell[0] but[0] yet[0] again[0] the[0] dialogue[0] is[0] out[0] of[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot of i still know turns out to be a pretty good one at the end of the movie . 	the plot of i still know turns out to be a pretty good one at the end of the movie .	3	-1	 the[0] plot[0] of[0] i[0] still[0] know[0] turns[0] out[0] to[0] be[0] a[0] pretty[2] good[1] one[0] at[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i like where the filmmakers went with this second installment , but maybe if it occurred in the same town as the first one , it would have been a bit better . 	i like where the filmmakers went with this second instalment , but maybe if it occurred in the same town as the first one , it would have been a bit better .	2	-1	 i[0] like[1] where[0] the[0] filmmakers[0] went[0] with[0] this[0] second[0] installment/instalment[0] but[0] maybe[0] if[0] it[0] occurred[0] in[0] the[0] same[0] town[0] as[0] the[0] first[0] one[0] it[0] would[0] have[0] been[0] a[0] bit[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cinematography and setting of their island are simply wonderful . 	the cinematography and setting of their island are simply wonderful .	3	-1	 the[0] cinematography[0] and[0] setting[0] of[0] their[0] island[0] are[0] simply[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are a lot of very nice shots around their hotel . 	there are a lot of very nice shots around their hotel .	3	-1	 there[0] are[0] a[0] lot[0] of[0] very[0] nice[1][1 LastWordBoosterStrength] shots[0] around[0] their[0] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the sound is pretty good , but still not as creepy as the first film's . 	the sound is pretty good , but still not as creepy as the first film's .	3	-1	 the[0] sound[0] is[0] pretty[2] good[1] but[0] still[0] not[0] as[0] creepy[0] as[0] the[0] first[0] film's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jennifer love hewitt's song , " how do i deal " is also played for about thirty seconds . 	jennifer love hewitt's song , " how do i deal " is also played for about thirty seconds .	3	-1	 jennifer[0] love[2] hewitt's[0] song[0] how[0] do[0] i[0] deal[0] is[0] also[0] played[0] for[0] about[0] thirty[0] seconds[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i still know what you did last summer is nothing compared to the first film . 	i still know what you did last summer is nothing compared to the first film .	1	-1	 i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] nothing[0] compared[0] to[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first film was very suspenseful , and it contained some very memorable scenes . 	the first film was very suspenseful , and it contained some very memorable scenes .	1	-1	 the[0] first[0] film[0] was[0] very[0] suspenseful[0] and[0] it[0] contained[0] some[0] very[0] memorable[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last fifteen minutes of i still know what you did last summer really picked up , and almost reached the same level as the first film . 	the last fifteen minutes of i still know what you did last summer really picked up , and almost reached the same level as the first film .	1	-1	 the[0] last[0] fifteen[0] minutes[0] of[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] really[0] picked[0] up[0] and[0] almost[0] reached[0] the[0] same[0] level[0] as[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before this part in the film , there are many unnecessary deaths and fake scares . 	before this part in the film , there are many unnecessary deaths and fake scares .	1	-4	 before[0] this[0] part[0] in[0] the[0] film[0] there[0] are[0] many[0] unnecessary[-1] deaths[-2] and[0] fake[-1] scares[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that is okay though , because the film is still very much fun and there are a few suspenseful scenes . 	that is okay though , because the film is still very much fun and there are a few suspenseful scenes .	2	-1	 that[0] is[0] okay[0] though[0] because[0] the[0] film[0] is[0] still[0] very[0] much[0] fun[1] and[0] there[0] are[0] a[0] few[0] suspenseful[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think the reason this film wasn't as scary as the original was because in the first one , the killer terrorized the people involved in the incident . 	i think the reason this film wasn't as scary as the original was because in the first one , the killer terrorized the people involved in the incident .	1	-4	 i[0] think[0] the[0] reason[0] this[0] film[0] wasn't[0] as[0] scary[-3] as[0] the[0] original[0] was[0] because[0] in[0] the[0] first[0] one[0] the[0] killer[-1] terrorized[-2] the[0] people[0] involved[0] in[0] the[0] incident[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he made them suffer for what they did . 	he made them suffer for what they did .	1	-4	 he[0] made[0] them[0] suffer[-3] for[0] what[0] they[0] did[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the second film , ben willis just kills anyone he feels like . 	in the second film , ben willis just kills anyone he feels like .	2	-1	 in[0] the[0] second[0] film[0] ben[0] willis[0] just[0] kills[0] anyone[0] he[0] feels[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he doesn't stick with ray and julie , who were the ones he is actually after . 	he doesn't stick with ray and julie , who were the ones he is actually after .	1	-1	 he[0] doesn't[0] stick[0] with[0] ray[0] and[0] julie[0] who[0] were[0] the[0] ones[0] he[0] is[0] actually[0] after[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he had to go after karla , will , and tyrell . 	he had to go after karla , will , and tyrell .	1	-1	 he[0] had[0] to[0] go[0] after[0] karla[0] will[0] and[0] tyrell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the characters he stalked were in some relation to the incident that went on when he was ran over by julie , ray , helen , and barry , it could have been much better , and it would have made a lot more sense . 	if the characters he stalked were in some relation to the incident that went on when he was ran over by julie , ray , helen , and barry , it could have been much better , and it would have made a lot more sense .	1	-1	 if[0] the[0] characters[0] he[0] stalked[0] were[0] in[0] some[0] relation[0] to[0] the[0] incident[0] that[0] went[0] on[0] when[0] he[0] was[0] ran[0] over[0] by[0] julie[0] ray[0] helen[0] and[0] barry[0] it[0] could[0] have[0] been[0] much[0] better[0] and[0] it[0] would[0] have[0] made[0] a[0] lot[0] more[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bottom line- not a disappointment , but a third in the series would be out of hand . 	the bottom line- not a disappointment , but a third in the series would be out of hand .	2	-1	 the[0] bottom[0] line[0] not[0] a[0] disappointment[-1][NegatedDueToPreviousWord] but[0] a[0] third[0] in[0] the[0] series[0] would[0] be[0] out[0] of[0] hand[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
