it's hard not to recommend " the others . " 	Translation	Positive	Negative	EmotionRationale
to make matters worse , the children are upset : nicholas is unusually jittery and anne claims to be seeing ghosts . 	to make matters worse , the children are upset : nicholas is unusually jittery and anne claims to be seeing ghosts .	1	-3	 to[0] make[0] matters[0] worse[-2] the[0] children[0] are[0] upset[-2] nicholas[0] is[0] unusually[0] jittery[-1] and[0] anne[0] claims[0] to[0] be[0] seeing[0] ghosts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
grace attempts to blame the troubles on the new arrivals to her home , only to realize that whatever is happening is beyond them . 	grace attempts to blame the troubles on the new arrivals to her home , only to realize that whatever is happening is beyond them .	3	-2	 grace[2] attempts[0] to[0] blame[-1] the[0] troubles[-1] on[0] the[0] new[0] arrivals[0] to[0] her[0] home[0] only[0] to[0] realize[0] that[0] whatever[0] is[0] happening[0] is[0] beyond[0] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that's essentially the whole story , with the tension growing until the pivotal moment when everything becomes clear . 	that's essentially the whole story , with the tension growing until the pivotal moment when everything becomes clear .	1	-3	 that's[0] essentially[0] the[0] whole[0] story[0] with[0] the[0] tension[-2] growing[0] until[0] the[0] pivotal[0] moment[0] when[0] everything[0] becomes[0] clear[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
earlier , there is an outstanding scene where grace darts outside , only to be enveloped in fold after fold of shimmering fog . 	earlier , there is an outstanding scene where grace darts outside , only to be enveloped in fold after fold of shimmering fog .	3	-1	 earlier[0] there[0] is[0] an[0] outstanding[2] scene[0] where[0] grace[2] darts[0] outside[0] only[0] to[0] be[0] enveloped[0] in[0] fold[0] after[0] fold[0] of[0] shimmering[0] fog[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the visuals in the otherworldly sequence , courtesy of aguirresarobe , are simply astounding . 	the visuals in the otherworldly sequence , courtesy of aguirresarobe , are simply astounding .	1	-1	 the[0] visuals[0] in[0] the[0] otherworldly[0] sequence[0] courtesy[0] of[0] aguirresarobe[0] are[0] simply[0] astounding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also enjoyed the presence of religion , a rarity in films dealing with the supernatural . 	i also enjoyed the presence of religion , a rarity in films dealing with the supernatural .	3	-1	 i[0] also[0] enjoyed[2] the[0] presence[0] of[0] religion[0] a[0] rarity[0] in[0] films[0] dealing[0] with[0] the[0] supernatural[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
grace is a christian and answers her children's questions about life and death with the assurance of a devout worshiper . 	grace is a christian and answers her children's questions about life and death with the assurance of a devout worshiper .	3	-3	 grace[2] is[0] a[0] christian[0] and[0] answers[0] her[0] children's[0] questions[0] about[0] life[0] and[0] death[-2] with[0] the[0] assurance[0] of[0] a[0] devout[0] worshiper[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when mother is away , though , the kids speculate whether her statements are fact or folklore , just as real children do . 	when mother is away , though , the kids speculate whether her statements are fact or folklore , just as real children do .	1	-1	 when[0] mother[0] is[0] away[0] though[0] the[0] kids[0] speculate[0] whether[0] her[0] statements[0] are[0] fact[0] or[0] folklore[0] just[0] as[0] real[0] children[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but those nice touches fail to enliven a film that is too slow or make up for a lackluster ending . 	but those nice touches fail to enliven a film that is too slow or make up for a lackluster ending .	2	-3	 but[0] those[0] nice[1] touches[0] fail[-2] to[0] enliven[0] a[0] film[0] that[0] is[0] too[0] slow[0] or[0] make[0] up[0] for[0] a[0] lackluster[0] ending[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the others " sets out to be a classic ghost story , but fails to grasp that special something that makes such films more than layers of mist . 	 " the others " sets out to be a classic ghost story , but fails to grasp that special something that makes such films more than layers of mist .	2	-3	 the[0] others[0] sets[0] out[0] to[0] be[0] a[0] classic[0] ghost[0] story[0] but[0] fails[-2] to[0] grasp[0] that[0] special[1] something[0] that[0] makes[0] such[0] films[0] more[0] than[0] layers[0] of[0] mist[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
