review : a dog of flanders is the story of an adorable little boy named nello and his trials and tribulations in 19th century flanders . 	Translation	Positive	Negative	EmotionRationale
eager to save his home ( and his aging , dying grandfather ) , nello willingly decides to become an artist , asking aloise to pose for him . 	eager to save his home ( and his aging , dying grandfather ) , nello willingly decides to become an artist , asking aloise to pose for him .	2	-2	 eager[0] to[0] save[1] his[0] home[0] and[0] his[0] aging[0] dying[-1] grandfather[0] nello[0] willingly[0] decides[0] to[0] become[0] an[0] artist[0] asking[0] aloise[0] to[0] pose[0] for[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one night , the two travel to a circus , where they have their fortune told ? one of the film's most delightful scenes ? that great happiness is destined for them . 	one night , the two travel to a circus , where they have their fortune told ?<br> one of the film's most delightful scenes ?<br> that great happiness is destined for them .	4	-1	 one[0] night[0] the[0] two[0] travel[0] to[0] a[0] circus[0] where[0] they[0] have[0] their[0] fortune[0] told[0] [[Sentence=-1,1=word max, 1-5]] one[0] of[0] the[0] film's[0] most[0] delightful[2] scenes[0] [[Sentence=-1,3=word max, 1-5]] that[0] great[2] happiness[2][+1 MultiplePositiveWords] is[0] destined[0] for[0] them[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she gives the kids a ring , whom nello places on aloise's hand . 	she gives the kids a ring , whom nello places on aloise's hand .	1	-1	 she[0] gives[0] the[0] kids[0] a[0] ring[0] whom[0] nello[0] places[0] on[0] aloise's[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ; ) afterwards , the two kids have a rollickingly good time dancing around in front of circus performers . 	 ; ) afterwards , the two kids have a rollickingly good time dancing around in front of circus performers .	2	-1	 afterwards[0] the[0] two[0] kids[0] have[0] a[0] rollickingly[0] good[1] time[0] dancing[0] around[0] in[0] front[0] of[0] circus[0] performers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , things are not all  la-dee-dah' in this tale . 	unfortunately , things are not all  la-dee-dah' in this tale .	1	-2	 unfortunately[-1] things[0] are[0] not[0] all[0] la[0] dee[0] dah'[0] in[0] this[0] tale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aloise's father finally becomes so angry with nello that he forbids him to ever see aloise again . 	aloise's father finally becomes so angry with nello that he forbids him to ever see aloise again .	1	-4	 aloise's[0] father[0] finally[0] becomes[0] so[0] angry[-3] with[0] nello[0] that[0] he[0] forbids[-1] him[0] to[0] ever[0] see[0] aloise[0] again[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bad enough that they can't see each other ( although we know nello and aloise , don't we ? ) , but that's only the start of nello's troubles . 	bad enough that they can't see each other ( although we know nello and aloise , don't we ?<br> ) , but that's only the start of nello's troubles .	1	-2	 bad[-1] enough[0] that[0] they[0] can't[0] see[0] each[0] other[0] although[0] we[0] know[0] nello[0] and[0] aloise[0] don't[0] we[0] [[Sentence=-2,1=word max, 1-5]] but[0] that's[0] only[0] the[0] start[0] of[0] nello's[0] troubles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aloise's farm is burned down , and nello is wrongfully accused ( by the landord of his cottage ) for starting the fire in order to take revenge on being forbidden to see aloise . 	aloise's farm is burned down , and nello is wrongfully accused ( by the landord of his cottage ) for starting the fire in order to take revenge on being forbidden to see aloise .	1	-3	 aloise's[0] farm[0] is[0] burned[-1] down[0] and[0] nello[0] is[0] wrongfully[-2] accused[-1] by[0] the[0] landord[0] of[0] his[0] cottage[0] for[0] starting[0] the[0] fire[0] in[0] order[0] to[0] take[0] revenge[-1] on[0] being[0] forbidden[-1] to[0] see[0] aloise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this decreases nello's reputation around the town , save aloise and her parents , and a kindly miller , william , who is very sweet to nello every time he drops by . 	this decreases nello's reputation around the town , save aloise and her parents , and a kindly miller , william , who is very sweet to nello every time he drops by .	3	-1	 this[0] decreases[0] nello's[0] reputation[0] around[0] the[0] town[0] save[1] aloise[0] and[0] her[0] parents[0] and[0] a[0] kindly[1] miller[0] william[0] who[0] is[0] very[0] sweet[1][1 LastWordBoosterStrength] to[0] nello[0] every[0] time[0] he[0] drops[0] by[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
matters get much worse for nello when his grandfather dies , and he has to pay for his funeral . 	matters get much worse for nello when his grandfather dies , and he has to pay for his funeral .	1	-3	 matters[0] get[0] much[0] worse[-2] for[0] nello[0] when[0] his[0] grandfather[0] dies[0] and[0] he[0] has[0] to[0] pay[0] for[0] his[0] funeral[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but then things really get nasty when the landlord exiles nello from his own home ( for not paying his rental ) ? permanetly . 	but then things really get nasty when the landlord exiles nello from his own home ( for not paying his rental ) ?<br> permanetly .	1	-3	 but[0] then[0] things[0] really[0] get[0] nasty[-2] when[0] the[0] landlord[0] exiles[-1] nello[0] from[0] his[0] own[0] home[0] for[0] not[0] paying[0] his[0] rental[0] [[Sentence=-3,1=word max, 1-5]] permanetly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
this means that nello and patrasche have to starve and walk out in the cold , freezing wind . 	this means that nello and patrasche have to starve and walk out in the cold , freezing wind .	1	-2	 this[0] means[0] that[0] nello[0] and[0] patrasche[0] have[0] to[0] starve[-1] and[0] walk[0] out[0] in[0] the[0] cold[-1] freezing[0] wind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
worst of all , the painting that he has desperately been working on during all this time ,  the portrait of the princess' , fails to win the prize at the festival . 	worst of all , the painting that he has desperately been working on during all this time ,  the portrait of the princess' , fails to win the prize at the festival .	3	-3	 worst[-2] of[0] all[0] the[0] painting[0] that[0] he[0] has[0] desperately[-2] been[0] working[0] on[0] during[0] all[0] this[0] time[0] the[0] portrait[0] of[0] the[0] princess'[0] fails[-2] to[0] win[0] the[0] prize[2] at[0] the[0] festival[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now nello and patrasche are really depressed , and close to freezing to death . 	now nello and patrasche are really depressed , and close to freezing to death .	1	-5	 now[0] nello[0] and[0] patrasche[0] are[0] really[0] depressed[-3][-1 LastWordBoosterStrength] and[0] close[0] to[0] freezing[0] to[0] death[-2] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
will nello be able to find any happiness in his life ? 	will nello be able to find any happiness in his life ?	3	-1	 will[0] nello[0] be[0] able[0] to[0] find[0] any[0] happiness[2] in[0] his[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
will patrasche save the day ? 	will patrasche save the day ?	2	-1	 will[0] patrasche[0] save[1] the[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
will nello make the fateful trip to join his mother and grandfather in paradise ? 	will nello make the fateful trip to join his mother and grandfather in paradise ?	4	-1	 will[0] nello[0] make[0] the[0] fateful[0] trip[0] to[0] join[0] his[0] mother[0] and[0] grandfather[0] in[0] paradise[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
a dog of flanders is a delightful , heartwarming family film that is sure to entertain kids of all ages . 	a dog of flanders is a delightful , heartwarming family film that is sure to entertain kids of all ages .	4	-1	 a[0] dog[0] of[0] flanders[0] is[0] a[0] delightful[2] heartwarming[2][+1 MultiplePositiveWords] family[0] film[0] that[0] is[0] sure[0] to[0] entertain[0] kids[0] of[0] all[0] ages[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even older ones who consider themselves too  sophisticated' for kiddie fare will be surprised to hear that this film is for grown-ups , too . 	even older ones who consider themselves too  sophisticated' for kiddie fare will be surprised to hear that this film is for grown-ups , too .	1	-1	 even[0] older[0] ones[0] who[0] consider[0] themselves[0] too[0] sophisticated'[0] for[0] kiddie[0] fare[0] will[0] be[0] surprised[0] to[0] hear[0] that[0] this[0] film[0] is[0] for[0] grown[0] ups[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there have been other movies of this ilk ( boy and dog ) , and while this one falls into that category , it is mostly a story about overcoming difficulties and finding a good home for yourself . 	there have been other movies of this ilk ( boy and dog ) , and while this one falls into that category , it is mostly a story about overcoming difficulties and finding a good home for yourself .	2	-2	 there[0] have[0] been[0] other[0] movies[0] of[0] this[0] ilk[0] boy[0] and[0] dog[0] and[0] while[0] this[0] one[0] falls[0] into[0] that[0] category[0] it[0] is[0] mostly[0] a[0] story[0] about[0] overcoming[0] difficulties[-1] and[0] finding[0] a[0] good[1] home[0] for[0] yourself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
move over ? or rather , roll over ? old yeller , this dog of flanders is a heartwarming delight . 	move over ?<br> or rather , roll over ?<br> old yeller , this dog of flanders is a heartwarming delight .	4	-1	 move[0] over[0] [[Sentence=-1,1=word max, 1-5]] or[0] rather[0] roll[0] over[0] [[Sentence=-1,1=word max, 1-5]] old[0] yeller[0] this[0] dog[0] of[0] flanders[0] is[0] a[0] heartwarming[2] delight[2][+1 MultiplePositiveWords] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the cinematography , courtesy of walther van den ende is beautiful , and really adds to the powerful drama of the film . 	the cinematography , courtesy of walther van den ende is beautiful , and really adds to the powerful drama of the film .	3	-1	 the[0] cinematography[0] courtesy[0] of[0] walther[0] van[0] den[0] ende[0] is[0] beautiful[2] and[0] really[0] adds[0] to[0] the[0] powerful[0] drama[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it also gives a feel of being in flanders ( the whole film was respectably shot in flanders ) . 	it also gives a feel of being in flanders ( the whole film was respectably shot in flanders ) .	3	-2	 it[0] also[0] gives[0] a[0] feel[0] of[0] being[0] in[0] flanders[0] the[0] whole[0] film[0] was[0] respectably[2] shot[-1] in[0] flanders[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the music from richard friedman is also remarkable ; an evocative , poignant score that recaptures music from the 19th century . 	the music from richard friedman is also remarkable ; an evocative , poignant score that recaptures music from the 19th century .	1	-1	 the[0] music[0] from[0] richard[0] friedman[0] is[0] also[0] remarkable[0] an[0] evocative[0] poignant[0] score[0] that[0] recaptures[0] music[0] from[0] the[0] 19th[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening song over the credits is very beautiful ( i hope the soundtrack is available ! ) , and there's a brief excerpt of  cheer up , charlie' from willy wonka and the chocolate factory ( sung by aloise , to nello , in another delightful scene ) . 	the opening song over the credits is very beautiful ( i hope the soundtrack is available !<br> ) , and there's a brief excerpt of  cheer up , charlie' from wily wonka and the chocolate factory ( sung by aloise , to nello , in another delightful scene ) .	4	-2	 the[0] opening[0] song[0] over[0] the[0] credits[0] is[0] very[0] beautiful[2][1 LastWordBoosterStrength] i[0] hope[2] the[0] soundtrack[0] is[0] available[0] [[Sentence=-1,4=word max, 1-5]] and[0] there's[0] a[0] brief[0] excerpt[0] of[0] cheer[1] up[0] charlie'[0] from[0] willy/wily[-1] wonka[0] and[0] the[0] chocolate[0] factory[0] sung[0] by[0] aloise[0] to[0] nello[0] in[0] another[0] delightful[2] scene[0] [[Sentence=-2,3=word max, 1-5]][[[4,-2 max of sentences]]]
the cast is first-rate : jesse james and jeremy james kissner , who play nello , are some of the most endearing , adorable young stars i have ever seen in my whole life ( so are the girls who play aloise , madyline sweeten as the younger , and farren monet as the older ) . 	the cast is first-rate : jesse james and jeremy james kissner , who play nello , are some of the most endearing , adorable young stars i have ever seen in my whole life ( so are the girls who play aloise , madyline sweeten as the younger , and farren monet as the older ) .	4	-1	 the[0] cast[0] is[0] first[0] rate[0] jesse[0] james[0] and[0] jeremy[0] james[0] kissner[2] who[0] play[0] nello[0] are[0] some[0] of[0] the[0] most[0] endearing[0] adorable[3] young[0] stars[0] i[0] have[0] ever[0] seen[0] in[0] my[0] whole[0] life[0] so[0] are[0] the[0] girls[0] who[0] play[0] aloise[0] madyline[0] sweeten[0] as[0] the[0] younger[0] and[0] farren[0] monet[0] as[0] the[0] older[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
not that they are the only good stars , however . 	not that they are the only good stars , however .	2	-1	 not[0] that[0] they[0] are[0] the[0] only[0] good[1] stars[0] however[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jack warden is ideal as jehan , eliciting just the right amount of humor and compassion required for the character . 	jack warden is ideal as jehan , eliciting just the right amount of humor and compassion required for the character .	3	-1	 jack[0] warden[0] is[0] ideal[0] as[0] jehan[0] eliciting[0] just[0] the[0] right[0] amount[0] of[0] humor[2] and[0] compassion[1] required[0] for[0] the[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( the scenes involving him and nello are heartwarming , touching ones . ) 	 ( the scenes involving him and nello are heartwarming , touching ones .<br> )	3	-1	 the[0] scenes[0] involving[0] him[0] and[0] nello[0] are[0] heartwarming[2] touching[0] ones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also , bruce mcgill is charming as the kindly miller william . 	also , bruce mcgill is charming as the kindly miller william .	2	-1	 also[0] bruce[0] mcgill[0] is[0] charming[1] as[0] the[0] kindly[1] miller[0] william[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's another one of my favorite characters in the film . 	he's another one of my favorite characters in the film .	2	-1	 he's[0] another[0] one[0] of[0] my[0] favorite[1] characters[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but jon voight , as i mentioned before , is the perfect choice for michel . 	but jon voight , as i mentioned before , is the perfect choice for michel .	2	-1	 but[0] jon[0] voight[0] as[0] i[0] mentioned[0] before[0] is[0] the[0] perfect[1] choice[0] for[0] michel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he brings a mysterious , yet gentle performance that makes us all feel good again when he reassures insecure nello that he * can * win the contest . 	he brings a mysterious , yet gentle performance that makes us all feel good again when he reassures insecure nello that he * can * win the contest .	2	-2	 he[0] brings[0] a[0] mysterious[0] yet[0] gentle[1] performance[0] that[0] makes[0] us[0] all[0] feel[0] good[1] again[0] when[0] he[0] reassures[1] insecure[-1] nello[0] that[0] he[0] can[0] win[0] the[0] contest[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but what makes this film fun to watch is how well-defined the characters are , and the pace of the story ( best of all , it has a happy ending ? though i will * not * give it away ; sorry ) is strong and powerful enough for us to identify with the characters . 	but what makes this film fun to watch is how well-defined the characters are , and the pace of the story ( best of all , it has a happy ending ?<br> though i will * not * give it away ; sorry ) is strong and powerful enough for us to identify with the characters .	2	-2	 but[0] what[0] makes[0] this[0] film[0] fun[1] to[0] watch[0] is[0] how[0] well[0] defined[0] the[0] characters[0] are[0] and[0] the[0] pace[0] of[0] the[0] story[0] best[1] of[0] all[0] it[0] has[0] a[0] happy[1] ending[0] [[Sentence=-1,2=word max, 1-5]] though[0] i[0] will[0] not[0] give[0] it[0] away[0] sorry[-1] is[0] strong[0] and[0] powerful[0] enough[0] for[0] us[0] to[0] identify[0] with[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
for the first time since the beginning of 1999 , there comes a film which doesn't rely on popular formula stuff , such as big-budget special effects , commercial rock soundtracks , or any of that stuff . 	for the first time since the beginning of 199 , there comes a film which doesn't rely on popular formula stuff , such as big-budget special effects , commercial rock soundtracks , or any of that stuff .	2	-1	 for[0] the[0] first[0] time[0] since[0] the[0] beginning[0] of[0] 1999/199[0] there[0] comes[0] a[0] film[0] which[0] doesn't[0] rely[0] on[0] popular[0] formula[0] stuff[0] such[0] as[0] big[0] budget[0] special[1] effects[0] commercial[0] rock[1] soundtracks[0] or[0] any[0] of[0] that[0] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this one relies on telling a fully character-oriented story , with just the right amount of heart , humor , and drama . 	this one relies on telling a fully character-oriented story , with just the right amount of heart , humor , and drama .	3	-1	 this[0] one[0] relies[0] on[0] telling[0] a[0] fully[0] character[0] oriented[0] story[0] with[0] just[0] the[0] right[0] amount[0] of[0] heart[0] humor[2] and[0] drama[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that , to me , is what makes a dog of flanders all the more delightful . 	that , to me , is what makes a dog of flanders all the more delightful .	3	-1	 that[0] to[0] me[0] is[0] what[0] makes[0] a[0] dog[0] of[0] flanders[0] all[0] the[0] more[0] delightful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
eleanor o'sullivan of  the home news & tribune' noticed this , and was kind and generous enough to welcome it :  for want of a better word , a glow surrounds a dog of flanders . 	eleanor o'sullivan of  the home news & tribune' noticed this , and was kind and generous enough to welcome it :  for want of a better word , a glow surrounds a dog of flanders .	2	-1	 eleanor[0] o'sullivan[0] of[0] the[0] home[0] news[0] &[0] tribune'[0] noticed[0] this[0] and[0] was[0] kind[1] and[0] generous[1] enough[0] to[0] welcome[1] it[0] for[0] want[0] of[0] a[0] better[0] word[0] a[0] glow[0] surrounds[0] a[0] dog[0] of[0] flanders[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
its heart is in the right place and it engages you . 	its heart is in the right place and it engages you .	1	-1	 its[0] heart[0] is[0] in[0] the[0] right[0] place[0] and[0] it[0] engages[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can guess where the film is going because this is well-traveled territory , but with pros like voight and appealing young performers like kissner , an often-told story is well worth a revisit . ' 	you can guess where the film is going because this is well-traveled territory , but with pros like voight and appealing young performers like kissner , an often-told story is well worth a revisit .<br> '	3	-1	 you[0] can[0] guess[0] where[0] the[0] film[0] is[0] going[0] because[0] this[0] is[0] well[0] traveled[0] territory[0] but[0] with[0] pros[0] like[1] voight[0] and[0] appealing[0] young[0] performers[0] like[1] kissner[2] an[0] often[0] told[0] story[0] is[0] well[0] worth[0] a[0] revisit[0] [[Sentence=-1,3=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
in addition , there were a couple of other enthusiasts , such as chicago-sun times and the washington post ( you should read their reviews ; they're really positive ) . 	in addition , there were a couple of other enthusiasts , such as chicago-sun times and the washington post ( you should read their reviews ; they're really positive ) .	4	-1	 in[0] addition[0] there[0] were[0] a[0] couple[0] of[0] other[0] enthusiasts[2] such[0] as[0] chicago[0] sun[0] times[0] and[0] the[0] washington[0] post[0] you[0] should[0] read[0] their[0] reviews[0] they're[0] really[0] positive[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
other critics , however , were not so kind . 	other critics , however , were not so kind .	1	-2	 other[0] critics[0] however[0] were[0] not[0] so[0] kind[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stephen holden of  the new york times' had more than a share of beatings to lay upon a dog of flanders via pen writing . 	stephen holden of  the new york times' had more than a share of beatings to lay upon a dog of flanders via pen writing .	1	-3	 stephen[0] holden[0] of[0] the[0] new[0] york[0] times'[0] had[0] more[0] than[0] a[0] share[0] of[0] beatings[-2] to[0] lay[0] upon[0] a[0] dog[0] of[0] flanders[0] via[0] pen[0] writing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he found the film to be a  sea of sugary bromides' and condemned mr . voight's character as  hopelessly wooden ? adopts an accent even more indeterminate than the one he came up with for anaconda . ' 	he found the film to be a  sea of sugary bromides' and condemned mr .<br> voight's character as  hopelessly wooden ?<br> adopts an accent even more indeterminate than the one he came up with for anaconda .<br> '	1	-4	 he[0] found[0] the[0] film[0] to[0] be[0] a[0] sea[0] of[0] sugary[0] bromides'[0] and[0] condemned[-1] mr[0] [[Sentence=-2,1=word max, 1-5]] voight's[0] character[0] as[0] hopelessly[-3] wooden[0] [[Sentence=-4,1=word max, 1-5]] adopts[0] an[0] accent[0] even[0] more[0] indeterminate[-1] than[0] the[0] one[0] he[0] came[0] up[0] with[0] for[0] anaconda[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
in addition ,  entertainment weekly' slam-dunked the film , condemning it as  the worst family film of the year . ' 	in addition ,  entertainment weekly' slam-dunked the film , condemning it as  the worst family film of the year .<br> '	1	-3	 in[0] addition[0] entertainment[0] weekly'[0] slam[-1] dunked[0] the[0] film[0] condemning[-1] it[0] as[0] the[0] worst[-2] family[0] film[0] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
there have been so many other bad reviews like this , too . 	there have been so many other bad reviews like this , too .	2	-2	 there[0] have[0] been[0] so[0] many[0] other[0] bad[-1] reviews[0] like[1] this[0] too[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my suggestion : disregard the critics . 	my suggestion : disregard the critics .	1	-2	 my[0] suggestion[0] disregard[-1] the[0] critics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they just have a big problem with touching family films , and one should never pay attention to them . 	they just have a big problem with touching family films , and one should never pay attention to them .	1	-2	 they[0] just[0] have[0] a[0] big[0] problem[-1] with[0] touching[0] family[0] films[0] and[0] one[0] should[0] never[0] pay[0] attention[0] to[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
