 " take a number , fill out a form , and wait your turn . " 	Translation	Positive	Negative	EmotionRationale
this sets the tone for the rest of the movie . 	this sets the tone for the rest of the movie .	1	-1	 this[0] sets[0] the[0] tone[0] for[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is humour and idiosyncracy at the periphery , but at the centre there is frustration and futility , and sorrow for the ways in which the logic of profit reduces people , until their worth is equated solely with their earning capacity . 	there is humour and idiosyncracy at the periphery , but at the centre there is frustration and futility , and sorrow for the ways in which the logic of profit reduces people , until their worth is equated solely with their earning capacity .	3	-3	 there[0] is[0] humour[2] and[0] idiosyncracy[0] at[0] the[0] periphery[0] but[0] at[0] the[0] centre[0] there[0] is[0] frustration[-2] and[0] futility[-1] and[0] sorrow[-2] for[0] the[0] ways[0] in[0] which[0] the[0] logic[0] of[0] profit[1] reduces[0] people[0] until[0] their[0] worth[0] is[0] equated[0] solely[0] with[0] their[0] earning[0] capacity[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there is an element of political commentary in this critique of the mechanisms of capitalism and the stultifying social environment it creates , but in drifting clouds the political is subsumed by the personal : the movie is about two people and what happens to them , and nothing else matters . 	there is an element of political commentary in this critique of the mechanisms of capitalism and the stultifying social environment it creates , but in drifting clouds the political is subsumed by the personal : the movie is about two people and what happens to them , and nothing else matters .	1	-1	 there[0] is[0] an[0] element[0] of[0] political[0] commentary[0] in[0] this[0] critique[0] of[0] the[0] mechanisms[0] of[0] capitalism[0] and[0] the[0] stultifying[0] social[0] environment[0] it[0] creates[0] but[0] in[0] drifting[0] clouds[0] the[0] political[0] is[0] subsumed[0] by[0] the[0] personal[0] the[0] movie[0] is[0] about[0] two[0] people[0] and[0] what[0] happens[0] to[0] them[0] and[0] nothing[0] else[0] matters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lauri and ilona live lives starved for friendship , respect , culture , passion . 	lauri and ilona live lives starved for friendship , respect , culture , passion .	3	-2	 lauri[0] and[0] ilona[0] live[0] lives[0] starved[-1] for[0] friendship[1] respect[2] culture[0] passion[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they go to the movies , and walk out past old posters for l'atalante and l'argent , but the movie they have just seen is a pointless , violent , unfunny comedy . 	they go to the movies , and walk out past old posters for l'atalante and l'argent , but the movie they have just seen is a pointless , violent , unfunny comedy .	1	-3	 they[0] go[0] to[0] the[0] movies[0] and[0] walk[0] out[0] past[0] old[0] posters[0] for[0] l'atalante[0] and[0] l'argent[0] but[0] the[0] movie[0] they[0] have[0] just[0] seen[0] is[0] a[0] pointless[-1] violent[-2] unfunny[0] comedy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their house and workplaces are uniformly unpleasant , painted and upholstered in lifeless colours ( ugly greens , dull reds , insipid blues ) , full of inelegantly functional objects and appliances . 	their house and workplaces are uniformly unpleasant , painted and upholstered in lifeless colours ( ugly greens , dull reds , insipid blues ) , full of inelegantly functional objects and appliances .	1	-3	 their[0] house[0] and[0] workplaces[0] are[0] uniformly[0] unpleasant[-2] painted[0] and[0] upholstered[0] in[0] lifeless[-1] colours[0] ugly[-2] greens[0] dull[-1] reds[0] insipid[0] blues[0] full[0] of[0] inelegantly[0] functional[0] objects[0] and[0] appliances[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the art design is impeccable in its tawdriness , and director aki kaurism ? ki often matches the colour of characters' clothes with the background colour and/or lighting , so that it seems as if they are almost physically fading into the environment . 	the art design is impeccable in its tawdriness , and director aki kaurism ?<br> ki often matches the colour of characters' clothes with the background colour and/or lighting , so that it seems as if they are almost physically fading into the environment .	1	-1	 the[0] art[0] design[0] is[0] impeccable[0] in[0] its[0] tawdriness[0] and[0] director[0] aki[0] kaurism[0] [[Sentence=-1,1=word max, 1-5]] ki[0] often[0] matches[0] the[0] colour[0] of[0] characters'[0] clothes[0] with[0] the[0] background[0] colour[0] and/or[0] lighting[0] so[0] that[0] it[0] seems[0] as[0] if[0] they[0] are[0] almost[0] physically[0] fading[0] into[0] the[0] environment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no suggestion of sexuality in the relationship ; ilona and lauri sleep in separate beds and their gestures of affection lack the heat of desire ; their lives are now bound by something more complex and desperate than love . 	there is no suggestion of sexuality in the relationship ; ilona and lauri sleep in separate beds and their gestures of affection lack the heat of desire ; their lives are now bound by something more complex and desperate than love .	3	-3	 there[0] is[0] no[0] suggestion[0] of[0] sexuality[0] in[0] the[0] relationship[0] ilona[0] and[0] lauri[0] sleep[0] in[0] separate[0] beds[0] and[0] their[0] gestures[0] of[0] affection[2] lack[-1] the[0] heat[0] of[0] desire[0] their[0] lives[0] are[0] now[0] bound[0] by[0] something[0] more[0] complex[0] and[0] desperate[-2] than[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
their downward , downsized , downtrodden lives have a momentum that is almost comic , as one setback succeeds another , bottoming out when lauri stakes all their remaining money on the spin of a roulette wheel . 	their downward , downsized , downtrodden lives have a momentum that is almost comic , as one setback succeeds another , bottoming out when lauri stakes all their remaining money on the spin of a roulette wheel .	3	-1	 their[0] downward[0] downsized[0] downtrodden[0] lives[0] have[0] a[0] momentum[0] that[0] is[0] almost[0] comic[0] as[0] one[0] setback[0] succeeds[2] another[0] bottoming[0] out[0] when[0] lauri[0] stakes[0] all[0] their[0] remaining[0] money[0] on[0] the[0] spin[0] of[0] a[0] roulette[0] wheel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it must have been tempting to play the story for more laughs , more farce , more deadpan wit , but the film's great strength is the sober , empathic manner in which it observes lauri and ilona's misfortunes . 	it must have been tempting to play the story for more laughs , more farce , more deadpan wit , but the film's great strength is the sober , empathic manner in which it observes lauri and ilona's misfortunes .	3	-2	 it[0] must[0] have[0] been[0] tempting[0] to[0] play[0] the[0] story[0] for[0] more[0] laughs[1] more[0] farce[-1] more[0] deadpan[0] wit[0] but[0] the[0] film's[0] great[2] strength[0] is[0] the[0] sober[0] empathic[0] manner[0] in[0] which[0] it[0] observes[0] lauri[0] and[0] ilona's[0] misfortunes[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
irony would be an injustice . 	irony would be an injustice .	1	-2	 irony[-1] would[0] be[0] an[0] injustice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
situations and settings are broad and exaggerated--this is not realism--but they are not distorted . 	situations and settings are broad and exaggerated-this is not realism-but they are not distorted .	2	-2	 situations[0] and[0] settings[0] are[0] broad[0] and[0] exaggerated[-1] this[0] is[0] not[0] realism[0] but[0] they[0] are[0] not[0] distorted[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the emotions are authentic . 	the emotions are authentic .	1	-1	 the[0] emotions[0] are[0] authentic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if it is difficult to laugh at anything that happens , despite the droll performances , the laconic humour , that's because kaurism ? ki brings such compassion and understanding to the manifold indignities that are suffered . 	if it is difficult to laugh at anything that happens , despite the droll performances , the laconic humour , that's because kaurism ?<br> ki brings such compassion and understanding to the manifold indignities that are suffered .	3	-4	 if[0] it[0] is[0] difficult[-1] to[0] laugh[1] at[0] anything[0] that[0] happens[0] despite[0] the[0] droll[0] performances[0] the[0] laconic[0] humour[2] that's[0] because[0] kaurism[0] [[Sentence=-2,3=word max, 1-5]] ki[0] brings[0] such[0] compassion[1] and[0] understanding[0] to[0] the[0] manifold[0] indignities[0] that[0] are[0] suffered[-3] [[Sentence=-4,2=word max, 1-5]][[[3,-4 max of sentences]]]
he shows us how humiliating it must be for a woman of thirty-eight , who has worked long and hard to win a respectable position , to be forced to accept a job as a dishwasher in a two-bit restaurant ; how humiliating it must be for a man nearing 50 to confront his wife's former employer , demanding the rest of her wages , only to have the crap beaten out of him , unable to land a single punch , when the employer and his cronies refuse to give him the money . 	he shows us how humiliating it must be for a woman of thirty-eight , who has worked long and hard to win a respectable position , to be forced to accept a job as a dishwasher in a two-bit restaurant ; how humiliating it must be for a man nearing 50 to confront his wife's former employer , demanding the rest of her wages , only to have the crap beaten out of him , unable to land a single punch , when the employer and his cronies refuse to give him the money .	3	-4	 he[0] shows[0] us[0] how[0] humiliating[-3] it[0] must[0] be[0] for[0] a[0] woman[0] of[0] thirty[0] eight[0] who[0] has[0] worked[0] long[0] and[0] hard[0] to[0] win[0] a[0] respectable[2] position[0] to[0] be[0] forced[0] to[0] accept[0] a[0] job[0] as[0] a[0] dishwasher[0] in[0] a[0] two[0] bit[0] restaurant[0] how[0] humiliating[-3] it[0] must[0] be[0] for[0] a[0] man[0] nearing[0] 50[0] to[0] confront[-2] his[0] wife's[0] former[0] employer[0] demanding[0] the[0] rest[0] of[0] her[0] wages[0] only[0] to[0] have[0] the[0] crap[-2] beaten[0] out[0] of[0] him[0] unable[0] to[0] land[0] a[0] single[0] punch[-1] when[0] the[0] employer[0] and[0] his[0] cronies[0] refuse[-1] to[0] give[0] him[0] the[0] money[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
all this is observed keenly , with great economy : every cut , every line of dialogue , is judicious . 	all this is observed keenly , with great economy : every cut , every line of dialogue , is judicious .	3	-1	 all[0] this[0] is[0] observed[0] keenly[0] with[0] great[2] economy[0] every[0] cut[0] every[0] line[0] of[0] dialogue[0] is[0] judicious[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if most films are novelistic in their telling , this one brings the focus and concentration of a short story to bear . 	if most films are novelistic in their telling , this one brings the focus and concentration of a short story to bear .	1	-1	 if[0] most[0] films[0] are[0] novelistic[0] in[0] their[0] telling[0] this[0] one[0] brings[0] the[0] focus[0] and[0] concentration[0] of[0] a[0] short[0] story[0] to[0] bear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what is gained in nuance and acumen is rather undermined by the sense that the material barely accommodates the 96-minute running length . 	but what is gained in nuance and acumen is rather undermined by the sense that the material barely accommodates the 96-minute running length .	1	-2	 but[0] what[0] is[0] gained[0] in[0] nuance[0] and[0] acumen[0] is[0] rather[0] undermined[-1] by[0] the[0] sense[0] that[0] the[0] material[0] barely[0] accommodates[0] the[0] 96[0] minute[0] running[0] length[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have seen many movies far less profound , less humane , less necessary than drifting clouds , but they filled me with an urge to watch them again , and this one did not . 	i have seen many movies far less profound , less humane , less necessary than drifting clouds , but they filled me with an urge to watch them again , and this one did not .	1	-1	 i[0] have[0] seen[0] many[0] movies[0] far[0] less[0] profound[0] less[0] humane[0] less[0] necessary[0] than[0] drifting[0] clouds[0] but[0] they[0] filled[0] me[0] with[0] an[0] urge[0] to[0] watch[0] them[0] again[0] and[0] this[0] one[0] did[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it does not need to be seen twice : its every detail and implication can be absorbed in one viewing . 	it does not need to be seen twice : its every detail and implication can be absorbed in one viewing .	1	-1	 it[0] does[0] not[0] need[0] to[0] be[0] seen[0] twice[0] its[0] every[0] detail[0] and[0] implication[0] can[0] be[0] absorbed[0] in[0] one[0] viewing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not a movie that will be seen by a large audience , because it cannot be pitched to one . 	it is not a movie that will be seen by a large audience , because it cannot be pitched to one .	1	-1	 it[0] is[0] not[0] a[0] movie[0] that[0] will[0] be[0] seen[0] by[0] a[0] large[0] audience[0] because[0] it[0] cannot[0] be[0] pitched[0] to[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no selling point . 	there is no selling point .	1	-1	 there[0] is[0] no[0] selling[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is all understatement , restraint , melancholy . 	it is all understatement , restraint , melancholy .	1	-4	 it[0] is[0] all[0] understatement[0] restraint[0] melancholy[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters are unremarkable , their best years behind them , their dreams dissipated ; it takes all the effort they can muster just to pay the bills . 	the characters are unremarkable , their best years behind them , their dreams dissipated ; it takes all the effort they can muster just to pay the bills .	2	-1	 the[0] characters[0] are[0] unremarkable[0] their[0] best[1] years[0] behind[0] them[0] their[0] dreams[0] dissipated[0] it[0] takes[0] all[0] the[0] effort[0] they[0] can[0] muster[0] just[0] to[0] pay[0] the[0] bills[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this does not make them less fascinating , merely less marketable , which is a shame , because this is a movie which should be seen , precisely because it pays attention to people and emotions that most movies prefer to ignore . 	this does not make them less fascinating , merely less marketable , which is a shame , because this is a movie which should be seen , precisely because it pays attention to people and emotions that most movies prefer to ignore .	1	-3	 this[0] does[0] not[0] make[0] them[0] less[0] fascinating[0] merely[0] less[0] marketable[0] which[0] is[0] a[0] shame[-2] because[0] this[0] is[0] a[0] movie[0] which[0] should[0] be[0] seen[0] precisely[0] because[0] it[0] pays[0] attention[0] to[0] people[0] and[0] emotions[0] that[0] most[0] movies[0] prefer[0] to[0] ignore[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it engages us and touches us and resolves--surprisingly , and movingly--into something resembling a happy ending . 	it engages us and touches us and resolves-surprisingly , and movingly-into something resembling a happy ending .	2	-1	 it[0] engages[0] us[0] and[0] touches[0] us[0] and[0] resolves[1] surprisingly[0] and[0] movingly[0] into[0] something[0] resembling[0] a[0] happy[1] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only thing greater than the ill-luck that governs the characters' lives is their refusal to give in to despair . 	the only thing greater than the ill-luck that governs the characters' lives is their refusal to give in to despair .	3	-4	 the[0] only[0] thing[0] greater[2] than[0] the[0] ill[-1] luck[2] that[0] governs[0] the[0] characters'[0] lives[0] is[0] their[0] refusal[-1] to[0] give[0] in[0] to[0] despair[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
their persistence is rewarded with what might be called a " feel-good " ending elsewhere , but not here , because this ending differs in kind from most such endings : this one has truly been earned . 	their persistence is rewarded with what might be called a " feel-good " ending elsewhere , but not here , because this ending differs in kind from most such endings : this one has truly been earned .	2	-1	 their[0] persistence[0] is[0] rewarded[1] with[0] what[0] might[0] be[0] called[0] a[0] feel[0] good[1] ending[0] elsewhere[0] but[0] not[0] here[0] because[0] this[0] ending[0] differs[0] in[0] kind[1] from[0] most[0] such[0] endings[0] this[0] one[0] has[0] truly[1] been[0] earned[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
