you've probably heard the one about the priest and the rabbi , but never with the same dosage of featherweight charm that is sprinkled over `keeping the faith' . 	Translation	Positive	Negative	EmotionRationale
after shockingly bitter roles in  american history x' and , most recently , david fincher's vicious  fight club' , a quaint romantic comedy might seem like a peculiar choice . 	after shockingly bitter roles in  american history x' and , most recently , david fincher's vicious  fight club' , a quaint romantic comedy might seem like a peculiar choice .	4	-4	 after[0] shockingly[-2] bitter[-1] roles[0] in[0] american[0] history[0] x'[0] and[0] most[0] recently[0] david[0] fincher's[0] vicious[-3] fight[-2][-1 MultiplePositiveWords] club'[0] a[0] quaint[0] romantic[3] comedy[0] might[0] seem[0] like[1] a[0] peculiar[0] choice[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
not in the least . 	not in the least .	1	-1	 not[0] in[0] the[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
norton slips into the director's chair for the first time with  keeping the faith' , and here his incisive , resourceful approach helps add additional craft to a surprisingly perceptive screenplay by stuart blumberg . 	norton slips into the director's chair for the first time with  keeping the faith' , and here his incisive , resourceful approach helps add additional craft to a surprisingly perceptive screenplay by stuart blumberg .	2	-1	 norton[0] slips[0] into[0] the[0] director's[0] chair[0] for[0] the[0] first[0] time[0] with[0] keeping[0] the[0] faith'[1] and[0] here[0] his[0] incisive[0] resourceful[0] approach[0] helps[0] add[0] additional[0] craft[0] to[0] a[0] surprisingly[0] perceptive[0] screenplay[0] by[0] stuart[0] blumberg[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
weighing every aspect , it is unanimously an impressive directorial debut . 	weighing every aspect , it is unanimously an impressive directorial debut .	2	-1	 weighing[0] every[0] aspect[0] it[0] is[0] unanimously[0] an[0] impressive[1] directorial[0] debut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in addition , norton pushes all the right buttons with the sheepish sweetheart brian , generating a thoroughly likable screen presence . 	in addition , norton pushes all the right buttons with the sheepish sweetheart brian , generating a thoroughly likable screen presence .	4	-1	 in[0] addition[0] norton[0] pushes[0] all[0] the[0] right[0] buttons[0] with[0] the[0] sheepish[0] sweetheart[3] brian[0] generating[0] a[0] thoroughly[0] likable[0] screen[0] presence[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
stiller ( the zipper guy from  there's something about mary' ) is firm and funny , boasting a fully-ripened comic maturity . 	stiller ( the zipper guy from  there's something about mary' ) is firm and funny , boasting a fully-ripened comic maturity .	2	-2	 stiller[0] the[0] zipper[0] guy[0] from[0] there's[0] something[0] about[0] mary'[0] is[0] firm[0] and[0] funny[1] boasting[-1] a[0] fully[0] ripened[0] comic[0] maturity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
elfman's perky repetition can grow tiresome ( such is occasionally the case on tv's  dharma and greg' ) , but she seems perfectly rambunctious here . 	elfman's perky repetition can grow tiresome ( such is occasionally the case on tv's  dharma and greg' ) , but she seems perfectly rambunctious here .	2	-2	 elfman's[0] perky[0] repetition[0] can[0] grow[0] tiresome[-1] such[0] is[0] occasionally[0] the[0] case[0] on[0] tv's[0] dharma[0] and[0] greg'[0] but[0] she[0] seems[0] perfectly[1] rambunctious[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the remaining cast members offer fine support , from anne bancroft as jacob's animated jewish mom to milos forman as an elderly priest quick to contribute intelligent advice . 	the remaining cast members offer fine support , from anne bancroft as jacob's animated jewish mom to milos forman as an elderly priest quick to contribute intelligent advice .	3	-1	 the[0] remaining[0] cast[0] members[0] offer[0] fine[2] support[1] from[0] anne[0] bancroft[0] as[0] jacob's[0] animated[0] jewish[0] mom[0] to[0] milos[0] forman[0] as[0] an[0] elderly[0] priest[0] quick[0] to[0] contribute[0] intelligent[1] advice[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 keeping the faith' is the perfect date flick . . . 	 keeping the faith' is the perfect date flick .<br> .<br> .	2	-1	 keeping[0] the[0] faith'[1] is[0] the[0] perfect[1] date[0] flick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
though perfection is not a word to associate with the film in general . 	though perfection is not a word to associate with the film in general .	2	-1	 though[0] perfection[1] is[0] not[0] a[0] word[0] to[0] associate[0] with[0] the[0] film[0] in[0] general[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is turbulence during the process of lift-off , as numerous failed attempts at establishing the situation cloud the projected comedy ahead . 	there is turbulence during the process of lift-off , as numerous failed attempts at establishing the situation cloud the projected comedy ahead .	1	-3	 there[0] is[0] turbulence[0] during[0] the[0] process[0] of[0] lift[0] off[0] as[0] numerous[0] failed[-2] attempts[0] at[0] establishing[0] the[0] situation[0] cloud[0] the[0] projected[0] comedy[0] ahead[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once the film does settle in , it is often funny and always cheerful . 	once the film does settle in , it is often funny and always cheerful .	3	-1	 once[0] the[0] film[0] does[0] settle[0] in[0] it[0] is[0] often[0] funny[1] and[0] always[0] cheerful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stiller , norton and elfman have created three enormously lovable personalities . 	stiller , norton and elfman have created three enormously lovable personalities .	1	-1	 stiller[0] norton[0] and[0] elfman[0] have[0] created[0] three[0] enormously[0] lovable[0] personalities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we enjoy their interaction , understand their various dilemmas and feel humbled to realize everything rings perfectly true . 	we enjoy their interaction , understand their various dilemmas and feel humbled to realize everything rings perfectly true .	3	-1	 we[0] enjoy[2] their[0] interaction[0] understand[0] their[0] various[0] dilemmas[0] and[0] feel[0] humbled[0] to[0] realize[0] everything[0] rings[0] perfectly[1] true[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is excluding the ending , which is acceptable and all , but seems to lack the charm and spontaneity of the preceding romantic entanglements . 	this is excluding the ending , which is acceptable and all , but seems to lack the charm and spontaneity of the preceding romantic entanglements .	4	-2	 this[0] is[0] excluding[0] the[0] ending[0] which[0] is[0] acceptable[0] and[0] all[0] but[0] seems[0] to[0] lack[-1] the[0] charm[1] and[0] spontaneity[0] of[0] the[0] preceding[0] romantic[3] entanglements[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
nonetheless , a narrowly mishandled finale certainly won't wipe the smile off your face , nor anyone else's in the audience . 	nonetheless , a narrowly mishandled finale certainly won't wipe the smile off your face , nor anyone else's in the audience .	3	-2	 nonetheless[0] a[0] narrowly[0] mishandled[-1] finale[0] certainly[0] won't[0] wipe[0] the[0] smile[2] off[0] your[0] face[0] nor[0] anyone[0] else's[0] in[0] the[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 keeping the faith' is a highly enjoyable romantic comedy , although one that is more observant while surveying the questions of love rather than religion . 	 keeping the faith' is a highly enjoyable romantic comedy , although one that is more observant while surveying the questions of love rather than religion .	5	-1	 keeping[0] the[0] faith'[1] is[0] a[0] highly[0] enjoyable[2] romantic[3][+1 MultiplePositiveWords] comedy[0] although[0] one[0] that[0] is[0] more[0] observant[0] while[0] surveying[0] the[0] questions[0] of[0] love[2] rather[0] than[0] religion[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
aww , what the hell . 	aw , what the hell .	1	-2	 aww/aw[0] what[0] the[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the quality is not quite heaven-sent , but this little charmer could revive our  faith' in a potentially tired filmmaking genre . 	the quality is not quite heaven-sent , but this little charmer could revive our  faith' in a potentially tired filmmaking genre .	2	-2	 the[0] quality[0] is[0] not[0] quite[0] heaven[1][NegatedDueToPreviousWord] sent[0] but[0] this[0] little[0] charmer[1] could[0] revive[0] our[0] faith'[1] in[0] a[0] potentially[0] tired[-1] filmmaking[0] genre[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
