review- peter jackson's the frighteners has received some notice for setting the record for most computer effects ever in a movie , and still coming in at the extremely cheap $30 million price tag . 	Translation	Positive	Negative	EmotionRationale
fox sees that alvarado is next on the soul collector's hit list , and the last half hour of the movie deals with fox's attempts to save her from this evil spirit . 	fox sees that alvarado is next on the soul collector's hit list , and the last half hour of the movie deals with fox's attempts to save her from this evil spirit .	2	-3	 fox[0] sees[0] that[0] alvarado[0] is[0] next[0] on[0] the[0] soul[0] collector's[0] hit[0] list[0] and[0] the[0] last[0] half[0] hour[0] of[0] the[0] movie[0] deals[0] with[0] fox's[0] attempts[0] to[0] save[1] her[0] from[0] this[0] evil[-2] spirit[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are many wonderful twists and turns in the screenplay written by peter jackson and frances walsh . 	there are many wonderful twists and turns in the screenplay written by peter jackson and frances walsh .	3	-1	 there[0] are[0] many[0] wonderful[2] twists[0] and[0] turns[0] in[0] the[0] screenplay[0] written[0] by[0] peter[0] jackson[0] and[0] frances[0] walsh[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie starts off as a black comedy , and ends up a horror-action film . 	the movie starts off as a black comedy , and ends up a horror-action film .	1	-4	 the[0] movie[0] starts[0] off[0] as[0] a[0] black[0] comedy[0] and[0] ends[0] up[0] a[0] horror[-3] action[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the mix between these genres are perfect . 	the mix between these genres are perfect .	2	-1	 the[0] mix[0] between[0] these[0] genres[0] are[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no laughs are sacrificed in the name of horror , and vice versa . 	no laughs are sacrificed in the name of horror , and vice versa .	2	-4	 no[0] laughs[1] are[0] sacrificed[0] in[0] the[0] name[0] of[0] horror[-3] and[0] vice[-1] versa[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one point of contention might be a lackluster score by danny elfman . 	one point of contention might be a lackluster score by danny elfman .	1	-1	 one[0] point[0] of[0] contention[0] might[0] be[0] a[0] lackluster[0] score[0] by[0] danny[0] elfman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that hardly seems like a flaw when you have such a diverse cast all in top form . 	but that hardly seems like a flaw when you have such a diverse cast all in top form .	2	-2	 but[0] that[0] hardly[0] seems[0] like[1] a[0] flaw[-1] when[0] you[0] have[0] such[0] a[0] diverse[0] cast[0] all[0] in[0] top[0] form[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
michael j . fox delivers one of his best performances to date as a man who hides the sorrow of his wife's death , and then is forced to confront this later on . 	michael j .<br> fox delivers one of his best performances to date as a man who hides the sorrow of his wife's death , and then is forced to confront this later on .	2	-3	 michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] delivers[0] one[0] of[0] his[0] best[1] performances[0] to[0] date[0] as[0] a[0] man[0] who[0] hides[0] the[0] sorrow[-2] of[0] his[0] wife's[0] death[-2] and[0] then[0] is[0] forced[0] to[0] confront[-2] this[0] later[0] on[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
alvarado , looking like andie macdowell , makes a great frightened , tough , and smart heroine . 	alvarado , looking like andie macdowell , makes a great frightened , tough , and smart heroine .	3	-4	 alvarado[0] looking[0] like[1] andie[0] macdowell[0] makes[0] a[0] great[2] frightened[-3] tough[-1] and[0] smart[1] heroine[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and jeffery combs , as a paranoid fbi agent , is brilliantly bizaare . 	and jeffery combs , as a paranoid fbi agent , is brilliantly bizare .	2	-3	 and[0] jeffery[0] combs[0] as[0] a[0] paranoid[-2] fbi[0] agent[0] is[0] brilliantly[1] bizaare/bizare[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the frighteners never once feels like it is running long . 	the frighteners never once feels like it is running long .	2	-4	 the[0] frighteners[-3] never[0] once[0] feels[0] like[1] it[0] is[0] running[0] long[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the first hour is as funny as any comedy this year , and the last half hour is as thrilling as any of the big budget blockbusters . 	the first hour is as funny as any comedy this year , and the last half hour is as thrilling as any of the big budget blockbusters .	4	-2	 the[0] first[0] hour[0] is[0] as[0] funny[1] as[0] any[0] comedy[0] this[0] year[0] and[0] the[0] last[0] half[0] hour[0] is[0] as[0] thrilling[3] as[0] any[0] of[0] the[0] big[0] budget[0] blockbusters[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this movie is probably what casper would've looked like if david lynch directed it . 	this movie is probably what casper would've looked like if david lynch directed it .	2	-1	 this[0] movie[0] is[0] probably[0] what[0] casper[0] would've[0] looked[0] like[1] if[0] david[0] lynch[0] directed[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's easily the best film of the year , so far . 	it's easily the best film of the year , so far .	2	-1	 it's[0] easily[0] the[0] best[1] film[0] of[0] the[0] year[0] so[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
