the uncompromising nudity bared throughout petrice chereau's intimacy has already garnered much notoriety , but it's in the naked faces of fearless actors mark rylance ( angels & insects ) and kerry fox ( welcome to sarajevo ) that the tender ache of emotional resonance is discovered . 	Translation	Positive	Negative	EmotionRationale
as the weeks draw on , jay obsessively takes it upon himself to uncover claire's personal routines . 	as the weeks draw on , jay obsessively takes it upon himself to uncover claire's personal routines .	1	-3	 as[0] the[0] weeks[0] draw[0] on[0] jay[0] obsessively[-2] takes[0] it[0] upon[0] himself[0] to[0] uncover[0] claire's[0] personal[0] routines[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in his attempt to gain a fuller semblance of who she is , he opens wounds that hadn't existed before by single-handedly corrupting the fantasy . 	in his attempt to gain a fuller semblance of who she is , he opens wounds that hadn't existed before by single-handedly corrupting the fantasy .	1	-3	 in[0] his[0] attempt[0] to[0] gain[0] a[0] fuller[0] semblance[0] of[0] who[0] she[0] is[0] he[0] opens[0] wounds[-1] that[0] hadn't[0] existed[0] before[0] by[0] single[0] handedly[0] corrupting[-2] the[0] fantasy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if it weren't for a few unnecessary subplots involving jay's brother and his bevy of disgruntled co-workers , this minimalist premise might be described as a modern fable on the perils of wish fulfillment . 	if it weren't for a few unnecessary subplots involving jay's brother and his bevy of disgruntled co-workers , this minimalist premise might be described as a modern fable on the perils of wish fulfilment .	1	-2	 if[0] it[0] weren't[0] for[0] a[0] few[0] unnecessary[-1] subplots[0] involving[0] jay's[0] brother[0] and[0] his[0] bevy[0] of[0] disgruntled[0] co[0] workers[0] this[0] minimalist[0] premise[0] might[0] be[0] described[0] as[0] a[0] modern[0] fable[0] on[0] the[0] perils[-1] of[0] wish[0] fulfillment/fulfilment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chareau's restless camera ( once again wielded by superb and ever-attentive cinematographer eric gautier ) is less appropriate here than in his family transit-oriented those who love me can take the train . 	chareau's restless camera ( once again wielded by superb and ever-attentive cinematographer eric gautier ) is less appropriate here than in his family transit-oriented those who love me can take the train .	3	-2	 chareau's[0] restless[-1] camera[0] once[0] again[0] wielded[0] by[0] superb[0] and[0] ever[0] attentive[0] cinematographer[0] eric[0] gautier[0] is[0] less[0] appropriate[0] here[0] than[0] in[0] his[0] family[0] transit[0] oriented[0] those[0] who[0] love[2] me[0] can[0] take[0] the[0] train[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the scenes that linger are the still ones where rylance and fox separately , pensively attempt to carry on with their makeshift household routines . 	the scenes that linger are the still ones where rylance and fox separately , pensively attempt to carry on with their makeshift household routines .	1	-1	 the[0] scenes[0] that[0] linger[0] are[0] the[0] still[0] ones[0] where[0] rylance[0] and[0] fox[0] separately[0] pensively[0] attempt[0] to[0] carry[0] on[0] with[0] their[0] makeshift[0] household[0] routines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are often captured in lingering , unblinking wide shots that view them stranded amidst their drab workplaces and homes . 	these are often captured in lingering , unblinking wide shots that view them stranded amidst their drab workplaces and homes .	1	-2	 these[0] are[0] often[0] captured[-1] in[0] lingering[0] unblinking[0] wide[0] shots[0] that[0] view[0] them[0] stranded[0] amidst[0] their[0] drab[-1] workplaces[0] and[0] homes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
separation proves haunting in a melancholy series of intercut shots as rylance and fox undress on opposite sides of the room , crawling across the floor to meet in the center . 	separation proves haunting in a melancholy series of intercut shots as rylance and fox undress on opposite sides of the room , crawling across the floor to meet in the center .	1	-4	 separation[0] proves[0] haunting[0] in[0] a[0] melancholy[-3] series[0] of[0] intercut[0] shots[0] as[0] rylance[0] and[0] fox[0] undress[0] on[0] opposite[0] sides[0] of[0] the[0] room[0] crawling[0] across[0] the[0] floor[0] to[0] meet[0] in[0] the[0] center[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despite being as restless as a fly during the hyperactive restaurant scenes ( all the better to blend in with a hustling crowd of gabby trendsetters ) , you'd be hard pressed to find a single uninteresting image . 	despite being as restless as a fly during the hyperactive restaurant scenes ( all the better to blend in with a hustling crowd of gabby trendsetters ) , you'd be hard pressed to find a single uninteresting image .	1	-2	 despite[0] being[0] as[0] restless[-1] as[0] a[0] fly[0] during[0] the[0] hyperactive[0] restaurant[0] scenes[0] all[0] the[0] better[0] to[0] blend[0] in[0] with[0] a[0] hustling[0] crowd[0] of[0] gabby[0] trendsetters[0] you'd[0] be[0] hard[0] pressed[0] to[0] find[0] a[0] single[0] uninteresting[0] image[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
intimacy takes an interest in its sordid world of the lower-middle class , with lonely pubs and busy shopping streets -- it also understands the people who inhabit those spaces , viewing them with sympathy scraped raw . 	intimacy takes an interest in its sordid world of the lower-middle class , with lonely pubs and busy shopping streets - it also understands the people who inhabit those spaces , viewing them with sympathy scraped raw .	2	-2	 intimacy[0] takes[0] an[0] interest[1] in[0] its[0] sordid[0] world[0] of[0] the[0] lower[0] middle[0] class[0] with[0] lonely[-1] pubs[0] and[0] busy[0] shopping[0] streets[0] it[0] also[0] understands[0] the[0] people[0] who[0] inhabit[0] those[0] spaces[0] viewing[0] them[0] with[0] sympathy[0] scraped[0] raw[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an evaluation would be incomplete without highlighting the great timothy spall ( the robust scene-stealer of many a mike leigh collaboration ) . 	an evaluation would be incomplete without highlighting the great timothy spall ( the robust scene-stealer of many a mike leigh collaboration ) .	3	-3	 an[0] evaluation[0] would[0] be[0] incomplete[0] without[0] highlighting[0] the[0] great[2] timothy[0] spall[0] the[0] robust[0] scene[0] stealer[-2] of[0] many[0] a[0] mike[0] leigh[0] collaboration[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as claire's cuckolded husband , this jocular heavyweight plays out his handful of bitter pill scenes with the unforced menace and self-effacing embarrassment of his imposing bulk . 	as claire's cuckolded husband , this jocular heavyweight plays out his handful of bitter pill scenes with the unforced menace and self-effacing embarrassment of his imposing bulk .	2	-3	 as[0] claire's[0] cuckolded[0] husband[0] this[0] jocular[0] heavyweight[0] plays[1] out[0] his[0] handful[0] of[0] bitter[-1] pill[0] scenes[0] with[0] the[0] unforced[0] menace[-2] and[0] self[0] effacing[0] embarrassment[-2] of[0] his[0] imposing[0] bulk[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bangs in his eyes , his mouth forming into quizzical pouts and dry smirks , he may seem the fool in his barroom encounters opposite a sarcastic , gleaming mark rylance ( whose jay has arrived on the scene looking to stir up some trouble ) , but spall is no one to trifle with . 	bangs in his eyes , his mouth forming into quizical pouts and dry smirks , he may seem the fool in his barroom encounters opposite a sarcastic , gleaming mark rylance ( whose jay has arrived on the scene looking to stir up some trouble ) , but spall is no one to trifle with .	1	-3	 bangs[0] in[0] his[0] eyes[0] his[0] mouth[0] forming[0] into[0] quizzical/quizical[0] pouts[-1] and[0] dry[0] smirks[0] he[0] may[0] seem[0] the[0] fool[-1] in[0] his[0] barroom[0] encounters[0] opposite[0] a[0] sarcastic[-2] gleaming[0] mark[0] rylance[0] whose[0] jay[0] has[0] arrived[0] on[0] the[0] scene[0] looking[0] to[0] stir[0] up[0] some[0] trouble[-1][--1 LastWordBoosterStrength] but[0] spall[0] is[0] no[0] one[0] to[0] trifle[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his overreaching best pal demeanor suggests a mind abuzz with secret passageways of guile , his pointed questions only na ? ve if you choose not to read into their crafty insinuations . 	his overreaching best pal demeanor suggests a mind abuz with secret passageways of guile , his pointed questions only na ?<br> ve if you choose not to read into their crafty insinuations .	2	-2	 his[0] overreaching[0] best[1] pal[0] demeanor[0] suggests[0] a[0] mind[0] abuzz/abuz[0] with[0] secret[0] passageways[0] of[0] guile[0] his[0] pointed[0] questions[0] only[0] na[0] [[Sentence=-1,2=word max, 1-5]] ve[0] if[0] you[0] choose[0] not[0] to[0] read[0] into[0] their[0] crafty[-1] insinuations[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
in his unassuming way , spall's carefully etched interpretation of hostility buried under a mountain of surface propriety may become one of the most criminally underappreciated performances of the year , but maybe also one of the best . 	in his unassuming way , spall's carefully etched interpretation of hostility buried under a mountain of surface propriety may become one of the most criminally underappreciated performances of the year , but maybe also one of the best .	2	-4	 in[0] his[0] unassuming[0] way[0] spall's[0] carefully[0] etched[0] interpretation[0] of[0] hostility[-2] buried[-2][-1 MultiplePositiveWords] under[0] a[0] mountain[0] of[0] surface[0] propriety[0] may[0] become[0] one[0] of[0] the[0] most[0] criminally[-1] underappreciated[0] performances[0] of[0] the[0] year[0] but[0] maybe[0] also[0] one[0] of[0] the[0] best[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he's that good . 	he's that good .	2	-1	 he's[0] that[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
