in " the sweet hereafter , " writer/director atom egoyan takes us beyond the tragedy of death into the tragedy of living . 	Translation	Positive	Negative	EmotionRationale
and , for his work , stephens will receive one-third of the settlement money . 	and , for his work , stephens will receive one-third of the settlement money .	1	-1	 and[0] for[0] his[0] work[0] stephens[0] will[0] receive[0] one[0] third[0] of[0] the[0] settlement[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , it is immediately apparent that stephens has little or no interest in the money . 	however , it is immediately apparent that stephens has little or no interest in the money .	2	-1	 however[0] it[0] is[0] immediately[0] apparent[0] that[0] stephens[0] has[0] little[0] or[0] no[0] interest[1] in[0] the[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is driven by something else , something deeper that he shares in common with the grieving parents . 	he is driven by something else , something deeper that he shares in common with the grieving parents .	1	-4	 he[0] is[0] driven[0] by[0] something[0] else[0] something[0] deeper[0] that[0] he[0] shares[0] in[0] common[0] with[0] the[0] grieving[-3] parents[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he has lost a child , too , but not in the same manner . 	he has lost a child , too , but not in the same manner .	1	-1	 he[0] has[0] lost[0] a[0] child[0] too[0] but[0] not[0] in[0] the[0] same[0] manner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his daughter , zoe ( caerthan banks ) , who once almost died in his arms as a young child after a spider bite , has been in and out of drug re-hab clinics and detox stations for ten years . 	his daughter , zoe ( caerthan banks ) , who once almost died in his arms as a young child after a spider bite , has been in and out of drug re-hab clinics and detox stations for ten years .	1	-1	 his[0] daughter[0] zoe[0] caerthan[0] banks[0] who[0] once[0] almost[0] died[0] in[0] his[0] arms[0] as[0] a[0] young[0] child[0] after[0] a[0] spider[0] bite[0] has[0] been[0] in[0] and[0] out[0] of[0] drug[0] re[0] hab[0] clinics[0] and[0] detox[0] stations[0] for[0] ten[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she calls him on an irregular basis , begging him for money , but refusing to tell him what she needs it for . 	she calls him on an irregular basis , begging him for money , but refusing to tell him what she needs it for .	1	-2	 she[0] calls[0] him[0] on[0] an[0] irregular[-1] basis[0] begging[0] him[0] for[0] money[0] but[0] refusing[0] to[0] tell[0] him[0] what[0] she[0] needs[0] it[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " i don't know who i'm taking to , " he tells her . 	 " i don't know who i'm taking to , " he tells her .	1	-1	 i[0] don't[0] know[0] who[0] i'm[0] taking[0] to[0] he[0] tells[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his mind , his daughter is dead . 	in his mind , his daughter is dead .	1	-3	 in[0] his[0] mind[0] his[0] daughter[0] is[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the lawsuit is , to stephens , not only a way to mend the town's pain , but also his own . 	the lawsuit is , to stephens , not only a way to mend the town's pain , but also his own .	1	-4	 the[0] lawsuit[-1] is[0] to[0] stephens[0] not[0] only[0] a[0] way[0] to[0] mend[0] the[0] town's[0] pain[-3] but[0] also[0] his[0] own[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , not everyone in town wants it to happen . 	however , not everyone in town wants it to happen .	1	-1	 however[0] not[0] everyone[0] in[0] town[0] wants[0] it[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
billy ansell ( bruce greenwood ) , who was driving behind the bus when the accident happened and lost two children , wants nothing to do with it . 	billy ansell ( bruce greenwood ) , who was driving behind the bus when the accident happened and lost two children , wants nothing to do with it .	1	-2	 billy[0] ansell[0] bruce[0] greenwood[0] who[0] was[0] driving[0] behind[0] the[0] bus[0] when[0] the[0] accident[-1] happened[0] and[0] lost[0] two[0] children[0] wants[0] nothing[0] to[0] do[0] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has already lost his wife , and he buries his grief in an affair with a married woman . 	he has already lost his wife , and he buries his grief in an affair with a married woman .	1	-4	 he[0] has[0] already[0] lost[0] his[0] wife[0] and[0] he[0] buries[0] his[0] grief[-3] in[0] an[0] affair[0] with[0] a[0] married[0] woman[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he doesn't want to talk about the accident , and he sees the lawsuit as nothing more than the unnecessary opening of old wounds . 	he doesn't want to talk about the accident , and he sees the lawsuit as nothing more than the unnecessary opening of old wounds .	1	-2	 he[0] doesn't[0] want[0] to[0] talk[0] about[0] the[0] accident[-1] and[0] he[0] sees[0] the[0] lawsuit[-1] as[0] nothing[0] more[0] than[0] the[0] unnecessary[-1] opening[0] of[0] old[0] wounds[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to him , the town should be able to take care of its own pain , and it doesn't need outsiders like stephens getting in the way . 	to him , the town should be able to take care of its own pain , and it doesn't need outsiders like stephens getting in the way .	2	-4	 to[0] him[0] the[0] town[0] should[0] be[0] able[0] to[0] take[0] care[1] of[0] its[0] own[0] pain[-3] and[0] it[0] doesn't[0] need[0] outsiders[-1] like[1] stephens[0] getting[0] in[0] the[0] way[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
central to " the sweet hereafter " is the tale of nicole burnell ( sarah polley ) , a teenage girl who dreams of being a singer before the accident turned her into " a wheelchair girl , " as she puts it . 	central to " the sweet hereafter " is the tale of nicole burnell ( sarah polley ) , a teenage girl who dreams of being a singer before the accident turned her into " a wheelchair girl , " as she puts it .	2	-2	 central[0] to[0] the[0] sweet[1] hereafter[0] is[0] the[0] tale[0] of[0] nicole[0] burnell[-1] sarah[0] polley[0] a[0] teenage[0] girl[0] who[0] dreams[0] of[0] being[0] a[0] singer[0] before[0] the[0] accident[-1] turned[0] her[0] into[0] a[0] wheelchair[0] girl[0] as[0] she[0] puts[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aside from stephens , nicole is the most complex character in the film , and it is she who ultimately decides the fate of the town and how the lawsuit will turn out . 	aside from stephens , nicole is the most complex character in the film , and it is she who ultimately decides the fate of the town and how the lawsuit will turn out .	1	-2	 aside[0] from[0] stephens[0] nicole[0] is[0] the[0] most[0] complex[0] character[0] in[0] the[0] film[0] and[0] it[0] is[0] she[0] who[0] ultimately[0] decides[0] the[0] fate[0] of[0] the[0] town[0] and[0] how[0] the[0] lawsuit[-1] will[0] turn[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is also her sad , haunted voice that we often hear on the soundtrack , reading robert browning's poem about the pied piper , and how when he led all the town's children away , one was left behind because he was crippled . 	it is also her sad , haunted voice that we often hear on the soundtrack , reading robert browning's poem about the pied piper , and how when he led all the town's children away , one was left behind because he was crippled .	1	-4	 it[0] is[0] also[0] her[0] sad[-3] haunted[0] voice[0] that[0] we[0] often[0] hear[0] on[0] the[0] soundtrack[0] reading[0] robert[0] browning's[0] poem[0] about[0] the[0] pied[0] piper[0] and[0] how[0] when[0] he[0] led[0] all[0] the[0] town's[0] children[0] away[0] one[0] was[0] left[0] behind[0] because[0] he[0] was[0] crippled[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
obviously , nicole is that child , and she feels somehow betrayed that the rest of the town's children left her alone by dying in the wreck . 	obviously , nicole is that child , and she feels somehow betrayed that the rest of the town's children left her alone by dying in the wreck .	1	-3	 obviously[0] nicole[0] is[0] that[0] child[0] and[0] she[0] feels[0] somehow[0] betrayed[-2] that[0] the[0] rest[0] of[0] the[0] town's[0] children[0] left[0] her[0] alone[0] by[0] dying[-1] in[0] the[0] wreck[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her situation is further complicated because she is involved in a loving , but incestuous relationship with her father ( tom mccamus ) . 	her situation is further complicated because she is involved in a loving , but incestuous relationship with her father ( tom mccamus ) .	4	-2	 her[0] situation[0] is[0] further[0] complicated[-1] because[0] she[0] is[0] involved[0] in[0] a[0] loving[3] but[0] incestuous[0] relationship[0] with[0] her[0] father[0] tom[0] mccamus[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
there is only one , fleeting scene that suggests this relationship , but it is somehow tied into the final act of the film . 	there is only one , fleeting scene that suggests this relationship , but it is somehow tied into the final act of the film .	1	-2	 there[0] is[0] only[0] one[0] fleeting[-1] scene[0] that[0] suggests[0] this[0] relationship[0] but[0] it[0] is[0] somehow[0] tied[0] into[0] the[0] final[0] act[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of all the storylines in " the sweet hereafter , " this is the most complicated and unresolved , although its implications stretch throughout the entirety of the film . 	of all the storylines in " the sweet hereafter , " this is the most complicated and unresolved , although its implications stretch throughout the entirety of the film .	2	-2	 of[0] all[0] the[0] storylines[0] in[0] the[0] sweet[1] hereafter[0] this[0] is[0] the[0] most[0] complicated[-1] and[0] unresolved[0] although[0] its[0] implications[0] stretch[0] throughout[0] the[0] entirety[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
egoyan knows that the kinds of questions he brings up have no simple answers -- if any at all -- and he doesn't condescend to the audience by trying to neatly wrap it up . 	egoyan knows that the kinds of questions he brings up have no simple answers - if any at all - and he doesn't condescend to the audience by trying to neatly wrap it up .	1	-3	 egoyan[0] knows[0] that[0] the[0] kinds[0] of[0] questions[0] he[0] brings[0] up[0] have[0] no[0] simple[0] answers[0] if[0] any[0] at[0] all[0] and[0] he[0] doesn't[0] condescend[-2] to[0] the[0] audience[0] by[0] trying[0] to[0] neatly[0] wrap[0] it[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what egoyan has done in " the sweet hereafter " is really nothing short of miraculous . 	what egoyan has done in " the sweet hereafter " is really nothing short of miraculous .	3	-1	 what[0] egoyan[0] has[0] done[0] in[0] the[0] sweet[1] hereafter[0] is[0] really[0] nothing[0] short[0] of[0] miraculous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in his adaptation of the novel by russell banks , he has made a deeply moving film about a lawyer by transcending the pettiness of law and driving headlong into the deeper meaning of what is loss , and how pitiful monetary and material possessions are when compared to human life . 	in his adaptation of the novel by russell banks , he has made a deeply moving film about a lawyer by transcending the pettiness of law and driving headlong into the deeper meaning of what is loss , and how pitiful monetary and material possessions are when compared to human life .	1	-3	 in[0] his[0] adaptation[0] of[0] the[0] novel[0] by[0] russell[0] banks[0] he[0] has[0] made[0] a[0] deeply[0] moving[0] film[0] about[0] a[0] lawyer[0] by[0] transcending[0] the[0] pettiness[0] of[0] law[0] and[0] driving[0] headlong[0] into[0] the[0] deeper[0] meaning[0] of[0] what[0] is[0] loss[-2] and[0] how[0] pitiful[-2] monetary[0] and[0] material[0] possessions[0] are[0] when[0] compared[0] to[0] human[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
egoyan has always been a talented , but distant and cerebral filmmaker whose work suffered only in that it felt so cold . 	egoyan has always been a talented , but distant and cerebral filmmaker whose work suffered only in that it felt so cold .	2	-4	 egoyan[0] has[0] always[0] been[0] a[0] talented[1] but[0] distant[0] and[0] cerebral[0] filmmaker[0] whose[0] work[0] suffered[-3] only[0] in[0] that[0] it[0] felt[0] so[0] cold[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " the sweet hereafter " is quite the opposite ; egoyan's stylistic and narrative structures work brilliantly to heighten the impact of the natural emotion , and draw the audience into the tragedy . 	 " the sweet hereafter " is quite the opposite ; egoyan's stylistic and narrative structures work brilliantly to heighten the impact of the natural emotion , and draw the audience into the tragedy .	2	-3	 the[0] sweet[1] hereafter[0] is[0] quite[0] the[0] opposite[0] egoyan's[0] stylistic[0] and[0] narrative[0] structures[0] work[0] brilliantly[1] to[0] heighten[0] the[0] impact[0] of[0] the[0] natural[0] emotion[0] and[0] draw[0] the[0] audience[0] into[0] the[0] tragedy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the sweet hereafter " seems to contain the combined emotional impact that all his other films lacked . 	 " the sweet hereafter " seems to contain the combined emotional impact that all his other films lacked .	2	-2	 the[0] sweet[1] hereafter[0] seems[0] to[0] contain[0] the[0] combined[0] emotional[-1] impact[0] that[0] all[0] his[0] other[0] films[0] lacked[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is filled with beautiful , subtle performances from all the actors , especially ian holm as the lawyer and sarah polley as the sad child who was left behind . 	the film is filled with beautiful , subtle performances from all the actors , especially ian holm as the lawyer and sarah polley as the sad child who was left behind .	3	-4	 the[0] film[0] is[0] filled[0] with[0] beautiful[2] subtle[0] performances[0] from[0] all[0] the[0] actors[0] especially[0] ian[0] holm[0] as[0] the[0] lawyer[0] and[0] sarah[0] polley[0] as[0] the[0] sad[-3] child[0] who[0] was[0] left[0] behind[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the beautiful , roving camerawork by paul sarossy and the haunting , melodic musical score by mychael danna ( both previous egoyan collaborators ) give the film a visual and aural cohesiveness with the thematic elements . 	the beautiful , roving camerawork by paul sarossy and the haunting , melodic musical score by mychael danna ( both previous egoyan collaborators ) give the film a visual and aural cohesiveness with the thematic elements .	3	-1	 the[0] beautiful[2] roving[0] camerawork[0] by[0] paul[0] sarossy[0] and[0] the[0] haunting[0] melodic[0] musical[0] score[0] by[0] mychael[0] danna[0] both[0] previous[0] egoyan[0] collaborators[0] give[0] the[0] film[0] a[0] visual[0] and[0] aural[0] cohesiveness[0] with[0] the[0] thematic[0] elements[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like his earlier films , egoyan weaves together multiple storylines that form a blanketing whole . 	like his earlier films , egoyan weaves together multiple storylines that form a blanketing whole .	2	-1	 like[1] his[0] earlier[0] films[0] egoyan[0] weaves[0] together[0] multiple[0] storylines[0] that[0] form[0] a[0] blanketing[0] whole[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he works with time as a fluid substance , shifting back and forth between the past , the distant past , and the present with effortless ease . 	he works with time as a fluid substance , shifting back and forth between the past , the distant past , and the present with effortless ease .	1	-1	 he[0] works[0] with[0] time[0] as[0] a[0] fluid[0] substance[0] shifting[0] back[0] and[0] forth[0] between[0] the[0] past[0] the[0] distant[0] past[0] and[0] the[0] present[0] with[0] effortless[0] ease[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actual bus wreck itself doesn't happen until midway through the film , but by that time the event has built up so much emotion that egoyan can film it from a distance with no graphic detail , and still have it carry great , devastating weight . 	the actual bus wreck itself doesn't happen until midway through the film , but by that time the event has built up so much emotion that egoyan can film it from a distance with no graphic detail , and still have it carry great , devastating weight .	3	-5	 the[0] actual[0] bus[0] wreck[-1] itself[0] doesn't[0] happen[0] until[0] midway[0] through[0] the[0] film[0] but[0] by[0] that[0] time[0] the[0] event[0] has[0] built[0] up[0] so[0] much[0] emotion[0] that[0] egoyan[0] can[0] film[0] it[0] from[0] a[0] distance[0] with[0] no[0] graphic[0] detail[0] and[0] still[0] have[0] it[0] carry[0] great[2] devastating[-4] weight[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
because human life has become such a cheap commodity in movies , it is astounding that egoyan can convey so much heartbreak in such simple , direct terms . 	because human life has become such a cheap commodity in movies , it is astounding that egoyan can convey so much heartbreak in such simple , direct terms .	1	-4	 because[0] human[0] life[0] has[0] become[0] such[0] a[0] cheap[-1] commodity[0] in[0] movies[0] it[0] is[0] astounding[0] that[0] egoyan[0] can[0] convey[0] so[0] much[0] heartbreak[-3] in[0] such[0] simple[0] direct[0] terms[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
certainly one of the best films of 1997 , " the sweet hereafter " is a deeply rewarding , mystifying , and ultimately human film . 	certainly one of the best films of 1997 , " the sweet hereafter " is a deeply rewarding , mystifying , and ultimately human film .	2	-1	 certainly[0] one[0] of[0] the[0] best[1] films[0] of[0] 1997[0] the[0] sweet[1] hereafter[0] is[0] a[0] deeply[0] rewarding[1] mystifying[0] and[0] ultimately[0] human[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
