`run lola run' , a german import that gained a stellar reputation at the sundance film festival , is a dazzling and kinetic film that deals with the subjects of fate and chance . 	Translation	Positive	Negative	EmotionRationale
as a heroine , potente does little more than run wildly through the streets ( as the title suggests ) , but she has a certain flair and charisma . 	as a heroine , potente does little more than run wildly through the streets ( as the title suggests ) , but she has a certain flair and charisma .	3	-1	 as[0] a[0] heroine[2] potente[0] does[0] little[0] more[0] than[0] run[0] wildly[0] through[0] the[0] streets[0] as[0] the[0] title[0] suggests[0] but[0] she[0] has[0] a[0] certain[0] flair[0] and[0] charisma[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her exemplary running form made me wonder if she is actually a track star . 	her exemplary running form made me wonder if she is actually a track star .	1	-1	 her[0] exemplary[0] running[0] form[0] made[0] me[0] wonder[0] if[0] she[0] is[0] actually[0] a[0] track[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , bleibtreu does an equally fantastic job of bringing the dopey but passionate manni to life . 	meanwhile , bleibtreu does an equally fantastic job of bringing the dopey but passionate manni to life .	3	-1	 meanwhile[0] bleibtreu[0] does[0] an[0] equally[0] fantastic[2] job[0] of[0] bringing[0] the[0] dopey[0] but[0] passionate[2] manni[0] to[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both actors perform beyond the call of duty . 	both actors perform beyond the call of duty .	1	-2	 both[0] actors[0] perform[0] beyond[0] the[0] call[0] of[0] duty[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dazzling fun comes from predicting what each episode holds in store for lola , and the outcome is ultimately rewarding - several twists and turns are unique and unexpected . 	the dazling fun comes from predicting what each episode holds in store for lola , and the outcome is ultimately rewarding - several twists and turns are unique and unexpected .	2	-1	 the[0] dazzling/dazling[0] fun[1] comes[0] from[0] predicting[0] what[0] each[0] episode[0] holds[0] in[0] store[0] for[0] lola[0] and[0] the[0] outcome[0] is[0] ultimately[0] rewarding[1] several[0] twists[0] and[0] turns[0] are[0] unique[0] and[0] unexpected[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other characters lola runs into ( both purposely and inadvertently ) include her banker father ( herbert kraup ) and a friendly security guard ( armin rohde ) , but aside from the two leads , no one has more than a few minutes of screen time . 	the other characters lola runs into ( both purposely and inadvertently ) include her banker father ( herbert kraup ) and a friendly security guard ( armin rohde ) , but aside from the two leads , no one has more than a few minutes of screen time .	2	-1	 the[0] other[0] characters[0] lola[0] runs[0] into[0] both[0] purposely[0] and[0] inadvertently[0] include[0] her[0] banker[0] father[0] herbert[0] kraup[0] and[0] a[0] friendly[1] security[1] guard[0] armin[0] rohde[0] but[0] aside[0] from[0] the[0] two[0] leads[0] no[0] one[0] has[0] more[0] than[0] a[0] few[0] minutes[0] of[0] screen[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
additional stars that couldn't possibly be ignored are cinematographer frank griebe and editor mathilde bonnefroy , who are both responsible for the film's eye-catching visual elegance . 	additional stars that couldn't possibly be ignored are cinematographer frank griebe and editor mathilde bonnefroy , who are both responsible for the film's eye-catching visual elegance .	2	-1	 additional[0] stars[0] that[0] couldn't[0] possibly[0] be[0] ignored[0] are[0] cinematographer[0] frank[0] griebe[0] and[0] editor[0] mathilde[0] bonnefroy[0] who[0] are[0] both[0] responsible[0] for[0] the[0] film's[0] eye[0] catching[0] visual[0] elegance[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 run lola run' is subtitled , so be prepared to meet the challenge of reading the lightning-fast dialogue - occasional sections of it are especially fast . 	 run lola run' is subtitled , so be prepared to meet the challenge of reading the lightning-fast dialogue - occasional sections of it are especially fast .	1	-2	 run[0] lola[0] run'[0] is[0] subtitled[0] so[0] be[0] prepared[0] to[0] meet[0] the[0] challenge[-1] of[0] reading[0] the[0] lightning[0] fast[0] dialogue[0] occasional[0] sections[0] of[0] it[0] are[0] especially[0] fast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is only one of the minor chores involved in watching . 	this is only one of the minor chores involved in watching .	1	-3	 this[0] is[0] only[0] one[0] of[0] the[0] minor[0] chores[-2] involved[0] in[0] watching[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the other is the sense that we never get to really recognize who the real people are in this hyperactive situation . 	the other is the sense that we never get to really recognize who the real people are in this hyperactive situation .	1	-1	 the[0] other[0] is[0] the[0] sense[0] that[0] we[0] never[0] get[0] to[0] really[0] recognize[0] who[0] the[0] real[0] people[0] are[0] in[0] this[0] hyperactive[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most are just chess pieces in tykwer's elaborate game of visual presentation , and he never really makes a significant move with any . 	most are just chess pieces in tykwer's elaborate game of visual presentation , and he never really makes a significant move with any .	1	-1	 most[0] are[0] just[0] chess[0] pieces[0] in[0] tykwer's[0] elaborate[0] game[0] of[0] visual[0] presentation[0] and[0] he[0] never[0] really[0] makes[0] a[0] significant[0] move[0] with[0] any[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , the average viewer is likely to be so absorbed in the action that few will realize the lack of potency in a few elements of the screenplay . 	but , the average viewer is likely to be so absorbed in the action that few will realize the lack of potency in a few elements of the screenplay .	1	-2	 but[0] the[0] average[0] viewer[0] is[0] likely[0] to[0] be[0] so[0] absorbed[0] in[0] the[0] action[0] that[0] few[0] will[0] realize[0] the[0] lack[-1] of[0] potency[0] in[0] a[0] few[0] elements[0] of[0] the[0] screenplay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a few petty gripes aside , this film is a wild , exhilarating ride that turns maniacally on its wheel of originality . 	a few petty gripes aside , this film is a wild , exhilarating ride that turns maniacally on its wheel of originality .	1	-3	 a[0] few[0] petty[0] gripes[0] aside[0] this[0] film[0] is[0] a[0] wild[0] exhilarating[0] ride[0] that[0] turns[0] maniacally[-2] on[0] its[0] wheel[0] of[0] originality[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most people believe foreign films are mainly boring , talky character studies . 	most people believe foreign films are mainly boring , talky character studies .	1	-2	 most[0] people[0] believe[0] foreign[-1] films[0] are[0] mainly[0] boring[-1] talky[0] character[0] studies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps  run lola run' will recharge their batteries . 	perhaps  run lola run' will recharge their batteries .	1	-1	 perhaps[0] run[0] lola[0] run'[0] will[0] recharge[0] their[0] batteries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only does this film offer insight into some intriguing questions of fate and destiny , it also delivers a white-knuckle visual rollercoaster ride of overwhelming audacity . 	not only does this film offer insight into some intriguing questions of fate and destiny , it also delivers a white-knuckle visual rollercoaster ride of overwhelming audacity .	1	-3	 not[0] only[0] does[0] this[0] film[0] offer[0] insight[0] into[0] some[0] intriguing[0] questions[0] of[0] fate[0] and[0] destiny[0] it[0] also[0] delivers[0] a[0] white[0] knuckle[0] visual[0] rollercoaster[0] ride[0] of[0] overwhelming[-2] audacity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like how the experience must have been for the persistent title character ,  run lola run' is exhausting . 	like how the experience must have been for the persistent title character ,  run lola run' is exhausting .	2	-2	 like[1] how[0] the[0] experience[0] must[0] have[0] been[0] for[0] the[0] persistent[0] title[0] character[0] run[0] lola[0] run'[0] is[0] exhausting[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
