seen september 5 , 1998 at 10 p . m . at the sony nickelodeon theaters ( boston , ma ) , theater #2 , with matt perreault for free using my sony/loews critic's pass . 	Translation	Positive	Negative	EmotionRationale
another couple is jerry ( stiller ) and terri ( keener ) who live together and seem to have been involved with each other for a long time , yet they constantly argue over anything and everything . 	another couple is jerry ( stiller ) and terri ( keener ) who live together and seem to have been involved with each other for a long time , yet they constantly argue over anything and everything .	1	-2	 another[0] couple[0] is[0] jerry[0] stiller[0] and[0] terri[0] keener[0] who[0] live[0] together[0] and[0] seem[0] to[0] have[0] been[0] involved[0] with[0] each[0] other[0] for[0] a[0] long[0] time[0] yet[0] they[0] constantly[0] argue[-1] over[0] anything[0] and[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their sex life is also fraught with problems and for some reason they continue to do it throughout their infidelitous relationship . 	their sex life is also fraught with problems and for some reason they continue to do it throughout their infidelitous relationship .	1	-2	 their[0] sex[0] life[0] is[0] also[0] fraught[-1] with[0] problems[-1] and[0] for[0] some[0] reason[0] they[0] continue[0] to[0] do[0] it[0] throughout[0] their[0] infidelitous[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if only one aspect of the film could use improvement , it would be this area . 	if only one aspect of the film could use improvement , it would be this area .	2	-1	 if[0] only[0] one[0] aspect[0] of[0] the[0] film[0] could[0] use[0] improvement[1] it[0] would[0] be[0] this[0] area[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's natural for a married couple to become bored with each other , but why would two people who can barely stand each other continue to have sex and live together ? 	it's natural for a married couple to become bored with each other , but why would two people who can barely stand each other continue to have sex and live together ?	1	-2	 it's[0] natural[0] for[0] a[0] married[0] couple[0] to[0] become[0] bored[-1] with[0] each[0] other[0] but[0] why[0] would[0] two[0] people[0] who[0] can[0] barely[0] stand[0] each[0] other[0] continue[0] to[0] have[0] sex[0] and[0] live[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what did they ever see in the other person to begin with ? 	what did they ever see in the other person to begin with ?	1	-1	 what[0] did[0] they[0] ever[0] see[0] in[0] the[0] other[0] person[0] to[0] begin[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
labute never really answers , but since the film is more concerned with the payoff than the process , it still makes for good drama , tension , and manip ulation so intricate and deceitful it's fascinating . 	labute never really answers , but since the film is more concerned with the payoff than the process , it still makes for good drama , tension , and manip ulation so intricate and deceitful it's fascinating .	2	-3	 labute[0] never[0] really[0] answers[0] but[0] since[0] the[0] film[0] is[0] more[0] concerned[-1] with[0] the[0] payoff[0] than[0] the[0] process[0] it[0] still[0] makes[0] for[0] good[1] drama[0] tension[-2] and[0] manip[0] ulation[0] so[0] intricate[0] and[0] deceitful[-2] it's[0] fascinating[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
two other characters act as catalysts , cary ( jason patric ) and cheri ( natassja kinski ) . 	two other characters act as catalysts , cary ( jason patric ) and cheri ( natassja kinski ) .	1	-1	 two[0] other[0] characters[0] act[0] as[0] catalysts[0] cary[0] jason[0] patric[0] and[0] cheri[0] natassja[0] kinski[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cary is an arrogant , hostile sex-maniac who defines the word " bastard . " 	cary is an arrogant , hostile sex-maniac who defines the word " bastard .<br> "	1	-4	 cary[0] is[0] an[0] arrogant[-2] hostile[-2][-1 MultiplePositiveWords] sex[0] maniac[-2] who[0] defines[0] the[0] word[0] bastard[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
somehow he is able to bend women to his will , either through charm or just attitude , into getting his way . 	somehow he is able to bend women to his will , either through charm or just attitude , into getting his way .	2	-1	 somehow[0] he[0] is[0] able[0] to[0] bend[0] women[0] to[0] his[0] will[0] either[0] through[0] charm[1] or[0] just[0] attitude[0] into[0] getting[0] his[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's the kind of guy everyone should stay away from as we realize he's secretly perverted , but somehow barry finds comfort in his company , although jerry is always nervous around him . 	he's the kind of guy everyone should stay away from as we realize he's secretly perverted , but somehow barry finds comfort in his company , although jerry is always nervous around him .	2	-3	 he's[0] the[0] kind[1] of[0] guy[0] everyone[0] should[0] stay[0] away[0] from[0] as[0] we[0] realize[0] he's[0] secretly[0] perverted[-1] but[0] somehow[0] barry[0] finds[0] comfort[1] in[0] his[0] company[0] although[0] jerry[0] is[0] always[0] nervous[-2] around[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
patric gives an outstanding performance , so much so that we want to know more about him despite how intimidating and unlikable he is . 	patric gives an outstanding performance , so much so that we want to know more about him despite how intimidating and unlikable he is .	3	-4	 patric[0] gives[0] an[0] outstanding[2] performance[0] so[0] much[0] so[0] that[0] we[0] want[0] to[0] know[0] more[0] about[0] him[0] despite[0] how[0] intimidating[-3] and[0] unlikable[0] he[0] is[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
cheri is a character labute uses as a catalyst to see how the other characters react to her . 	cheri is a character labute uses as a catalyst to see how the other characters react to her .	1	-1	 cheri[0] is[0] a[0] character[0] labute[0] uses[0] as[0] a[0] catalyst[0] to[0] see[0] how[0] the[0] other[0] characters[0] react[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she works in an art museum and at some point throughout the film , each character will engage her in almost the exact same conversation and her reaction is always different , from becoming involved in a relationship with one , to brushing it off as small talk with another , to being outright appalled by yet another . 	she works in an art museum and at some point throughout the film , each character will engage her in almost the exact same conversation and her reaction is always different , from becoming involved in a relationship with one , to brushing it off as small talk with another , to being outright appalled by yet another .	1	-4	 she[0] works[0] in[0] an[0] art[0] museum[0] and[0] at[0] some[0] point[0] throughout[0] the[0] film[0] each[0] character[0] will[0] engage[0] her[0] in[0] almost[0] the[0] exact[0] same[0] conversation[0] and[0] her[0] reaction[0] is[0] always[0] different[0] from[0] becoming[0] involved[0] in[0] a[0] relationship[0] with[0] one[0] to[0] brushing[0] it[0] off[0] as[0] small[0] talk[0] with[0] another[0] to[0] being[0] outright[0] appalled[-3] by[0] yet[0] another[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she's a sweet woman , perhaps the most normal of any of the characters , and although her symbolism is obvious , her role as the outsider is the most relatable . 	she's a sweet woman , perhaps the most normal of any of the characters , and although her symbolism is obvious , her role as the outsider is the most relatable .	2	-2	 she's[0] a[0] sweet[1] woman[0] perhaps[0] the[0] most[0] normal[0] of[0] any[0] of[0] the[0] characters[0] and[0] although[0] her[0] symbolism[0] is[0] obvious[0] her[0] role[0] as[0] the[0] outsider[-1] is[0] the[0] most[0] relatable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i will not reveal who cheats on who and how each character is specifically affected by the others' action , as that's the hook of the film . 	i will not reveal who cheats on who and how each character is specifically affected by the others' action , as that's the hook of the film .	1	-3	 i[0] will[0] not[0] reveal[0] who[0] cheats[-2] on[0] who[0] and[0] how[0] each[0] character[0] is[0] specifically[0] affected[0] by[0] the[0] others'[0] action[0] as[0] that's[0] the[0] hook[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the first two acts begin to set up the characters and each's scenarios , but it's often difficult to tell what they will do about it and with whom . 	the first two acts begin to set up the characters and each's scenarios , but it's often difficult to tell what they will do about it and with whom .	1	-2	 the[0] first[0] two[0] acts[0] begin[0] to[0] set[0] up[0] the[0] characters[0] and[0] each's[0] scenarios[0] but[0] it's[0] often[0] difficult[-1] to[0] tell[0] what[0] they[0] will[0] do[0] about[0] it[0] and[0] with[0] whom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is sometimes surprising , other times predictable , but the actual course of actions is always fascinating . 	the result is sometimes surprising , other times predictable , but the actual course of actions is always fascinating .	1	-1	 the[0] result[0] is[0] sometimes[0] surprising[0] other[0] times[0] predictable[0] but[0] the[0] actual[0] course[0] of[0] actions[0] is[0] always[0] fascinating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a while everyone has their fun , but ultimately each character's guilt , attitude , or ignorance will disserve them . 	for a while everyone has their fun , but ultimately each character's guilt , attitude , or ignorance will disserve them .	2	-4	 for[0] a[0] while[0] everyone[0] has[0] their[0] fun[1] but[0] ultimately[0] each[0] character's[0] guilt[-3] attitude[0] or[0] ignorance[-2] will[0] disserve[0] them[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one of the most important things to note is how realistic the story is supposed to be . 	one of the most important things to note is how realistic the story is supposed to be .	1	-1	 one[0] of[0] the[0] most[0] important[0] things[0] to[0] note[0] is[0] how[0] realistic[0] the[0] story[0] is[0] supposed[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since the characters only interact with each other there isn't much pop culture references , as almost everything has a deeper philosophy behind it . 	since the characters only interact with each other there isn't much pop culture references , as almost everything has a deeper philosophy behind it .	1	-1	 since[0] the[0] characters[0] only[0] interact[0] with[0] each[0] other[0] there[0] isn't[0] much[0] pop[0] culture[0] references[0] as[0] almost[0] everything[0] has[0] a[0] deeper[0] philosophy[0] behind[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are we to assume that these people are , as the title states , our friends and neighbors ? 	are we to assume that these people are , as the title states , our friends and neighbors ?	2	-1	 are[0] we[0] to[0] assume[0] that[0] these[0] people[0] are[0] as[0] the[0] title[0] states[0] our[0] friends[1] and[0] neighbors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't know of anyone going through the same situations as these people . 	i don't know of anyone going through the same situations as these people .	1	-1	 i[0] don't[0] know[0] of[0] anyone[0] going[0] through[0] the[0] same[0] situations[0] as[0] these[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
often times the film is not unlike a network melodrama , other times situations are like those not seen outside a porno movie . 	often times the film is not unlike a network melodrama , other times situations are like those not seen outside a porno movie .	2	-1	 often[0] times[0] the[0] film[0] is[0] not[0] unlike[0] a[0] network[0] melodrama[0] other[0] times[0] situations[0] are[0] like[1] those[0] not[0] seen[0] outside[0] a[0] porno[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what this film does have that the others don't is repercussions in the end . 	but what this film does have that the others don't is repercussions in the end .	1	-1	 but[0] what[0] this[0] film[0] does[0] have[0] that[0] the[0] others[0] don't[0] is[0] repercussions[0] in[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the film creates its own reality , it goes to show that even the immoral aren't immortal . 	although the film creates its own reality , it goes to show that even the immoral aren't immortal .	1	-3	 although[0] the[0] film[0] creates[0] its[0] own[0] reality[0] it[0] goes[0] to[0] show[0] that[0] even[0] the[0] immoral[-2] aren't[0] immortal[1][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in what way " your friends and neighbors " is supposed to work is open to interpretation . 	in what way " your friends and neighbors " is supposed to work is open to interpretation .	2	-1	 in[0] what[0] way[0] your[0] friends[1] and[0] neighbors[0] is[0] supposed[0] to[0] work[0] is[0] open[0] to[0] interpretation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it definitely has a lot to say about the price that comes with infidelity , but it could have been even better had it expanded on that theme more specifically . 	it definitely has a lot to say about the price that comes with infidelity , but it could have been even better had it expanded on that theme more specifically .	1	-1	 it[0] definitely[0] has[0] a[0] lot[0] to[0] say[0] about[0] the[0] price[0] that[0] comes[0] with[0] infidelity[0] but[0] it[0] could[0] have[0] been[0] even[0] better[0] had[0] it[0] expanded[0] on[0] that[0] theme[0] more[0] specifically[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , it's an accomplishment in film-making because it has put a timeless theme into a modern perspective . 	still , it's an accomplishment in film-making because it has put a timeless theme into a modern perspective .	2	-1	 still[0] it's[0] an[0] accomplishment[1] in[0] film[0] making[0] because[0] it[0] has[0] put[0] a[0] timeless[0] theme[0] into[0] a[0] modern[0] perspective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
