i didn't realize how apt the name of this movie was until i called the mpaa ( the motion picture association of america - the folks who decide what's g , nc 17 , pg , r or x ) to ask why the preview was rated r . so that we can make some sense of their response , let me tell you about the movie itself . 	Translation	Positive	Negative	EmotionRationale
our little eyes are trained to see that . " 	our little eyes are trained to see that .<br> "	1	-1	 our[0] little[0] eyes[0] are[0] trained[0] to[0] see[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no really . 	no really .	1	-1	 no[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the words of dave barry , " i am not making this up . " 	in the words of dave barry , " i am not making this up .<br> "	1	-1	 in[0] the[0] words[0] of[0] dave[0] barry[0] i[0] am[0] not[0] making[0] this[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are " trained " to " see that ? " 	they are " trained " to " see that ?<br> "	1	-1	 they[0] are[0] trained[0] to[0] see[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when someone who was shocked at the rating the first time and made a note to watch it carefully the following five times or so managed to let it slip past her ? 	when someone who was shocked at the rating the first time and made a note to watch it carefully the following five times or so managed to let it slip past her ?	1	-3	 when[0] someone[0] who[0] was[0] shocked[-2] at[0] the[0] rating[0] the[0] first[0] time[0] and[0] made[0] a[0] note[0] to[0] watch[0] it[0] carefully[0] the[0] following[0] five[0] times[0] or[0] so[0] managed[0] to[0] let[0] it[0] slip[0] past[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gosh , i certainly don't mean to question the mpaa , or " the handbook " . 	gosh , i certainly don't mean to question the mpa , or " the handbook " .	1	-1	 gosh[0] i[0] certainly[0] don't[0] mean[0] to[0] question[0] the[0] mpaa/mpa[0] or[0] the[0] handbook[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would , however , like to suggest that it's they who are in the closet on this one . 	i would , however , like to suggest that it's they who are in the closet on this one .	2	-1	 i[0] would[0] however[0] like[1] to[0] suggest[0] that[0] it's[0] they[0] who[0] are[0] in[0] the[0] closet[0] on[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the light ain't good in there . 	and the light ain't good in there .	2	-1	 and[0] the[0] light[0] ain't[0] good[1] in[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , having seen " the celluloid closet , " and being one of a handful of straight people involved in a primarily gay and lesbian weekly bible study ( email me and i'll give you the details ) , none of this was any big surprise . 	but , having seen " the celluloid closet , " and being one of a handful of straight people involved in a primarily gay and lesbian weekly bible study ( email me and i'll give you the details ) , none of this was any big surprise .	1	-2	 but[0] having[0] seen[0] the[0] celluloid[0] closet[0] and[0] being[0] one[0] of[0] a[0] handful[0] of[0] straight[0] people[0] involved[0] in[0] a[0] primarily[0] gay[-1] and[0] lesbian[0] weekly[0] bible[0] study[0] email[0] me[0] and[0] i'll[0] give[0] you[0] the[0] details[0] none[0] of[0] this[0] was[0] any[0] big[0] surprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the point of the movie was that homosexuality , even in the politically correct 90s , is ridiculously perceived as a threat to a mostly heterosexual society . 	the point of the movie was that homosexuality , even in the politically correct 90s , is ridiculously perceived as a threat to a mostly heterosexual society .	1	-3	 the[0] point[0] of[0] the[0] movie[0] was[0] that[0] homosexuality[0] even[0] in[0] the[0] politically[0] correct[0] 90s[0] is[0] ridiculously[-2] perceived[0] as[0] a[0] threat[-2] to[0] a[0] mostly[0] heterosexual[0] society[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a point well made in this candid and honest film . 	a point well made in this candid and honest film .	1	-1	 a[0] point[0] well[0] made[0] in[0] this[0] candid[0] and[0] honest[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , i could go off on the mpaa's ruling that a trailer must contain " no homosexuality or lesbianism " and ask how that is defined , particularly in light of some of the things , both sexual and non-sexual , that i've watched straight people do in trailers . 	now , i could go off on the mpa's ruling that a trailer must contain " no homosexuality or lesbianism " and ask how that is defined , particularly in light of some of the things , both sexual and non-sexual , that i've watched straight people do in trailers .	1	-1	 now[0] i[0] could[0] go[0] off[0] on[0] the[0] mpaa's/mpa's[0] ruling[0] that[0] a[0] trailer[0] must[0] contain[0] no[0] homosexuality[0] or[0] lesbianism[0] and[0] ask[0] how[0] that[0] is[0] defined[0] particularly[0] in[0] light[0] of[0] some[0] of[0] the[0] things[0] both[0] sexual[0] and[0] non[0] sexual[0] that[0] i've[0] watched[0] straight[0] people[0] do[0] in[0] trailers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just don't feel the need to go there , because it seems so obvious . 	i just don't feel the need to go there , because it seems so obvious .	1	-1	 i[0] just[0] don't[0] feel[0] the[0] need[0] to[0] go[0] there[0] because[0] it[0] seems[0] so[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll instead suggest that the mpaa re-evaluated their evaluation criteria . 	i'll instead suggest that the mpa re-evaluated their evaluation criteria .	1	-1	 i'll[0] instead[0] suggest[0] that[0] the[0] mpaa/mpa[0] re[0] evaluated[0] their[0] evaluation[0] criteria[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let the ratings reflect not subject content , like " sex " and " violence " . 	let the ratings reflect not subject content , like " sex " and " violence " .	2	-4	 let[0] the[0] ratings[0] reflect[0] not[0] subject[0] content[0] like[1] sex[0] and[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
let them reflect attitude content . 	let them reflect attitude content .	1	-1	 let[0] them[0] reflect[0] attitude[0] content[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the future , i'd be interested in knowing whether the movie is rated d for disrespectful or s for stereotyped . 	in the future , i'd be interested in knowing whether the movie is rated d for disrespectful or s for stereotyped .	2	-1	 in[0] the[0] future[0] i'd[0] be[0] interested[1] in[0] knowing[0] whether[0] the[0] movie[0] is[0] rated[0] d[0] for[0] disrespectful[0] or[0] s[0] for[0] stereotyped[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then i'd truly be able to make an informed decision about how i spent my time . 	then i'd truly be able to make an informed decision about how i spent my time .	2	-1	 then[0] i'd[0] truly[1] be[0] able[0] to[0] make[0] an[0] informed[0] decision[0] about[0] how[0] i[0] spent[0] my[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
