this christmas , little ralphie parker ( peter billingsley ) wants nothing more than a red ryder bb gun under the tree . 	Translation	Positive	Negative	EmotionRationale
on top of that , young billingsley's stupefied reactions to each predicament is absolutely perfect in contrast with the narration . 	on top of that , young billingsley's stupefied reactions to each predicament is absolutely perfect in contrast with the narration .	3	-2	 on[0] top[0] of[0] that[0] young[0] billingsley's[0] stupefied[0] reactions[0] to[0] each[0] predicament[-1] is[0] absolutely[0] perfect[1][1 LastWordBoosterStrength] in[0] contrast[0] with[0] the[0] narration[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director bob clark captures the look and feel of the era with wonderful technicality . 	director bob clark captures the look and feel of the era with wonderful technicality .	3	-2	 director[0] bob[0] clark[0] captures[-1] the[0] look[0] and[0] feel[0] of[0] the[0] era[0] with[0] wonderful[2] technicality[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i can hardly imagine a more accurate depiction of what christmas for young ralphie must have been like . 	i can hardly imagine a more accurate depiction of what christmas for young ralphie must have been like .	2	-1	 i[0] can[0] hardly[0] imagine[0] a[0] more[0] accurate[0] depiction[0] of[0] what[0] christmas[0] for[0] young[0] ralphie[0] must[0] have[0] been[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2 ) mom and dad . 	2 ) mom and dad .	1	-1	 2[0] mom[0] and[0] dad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both melinda dillon ( as mom ) and darren mcgavin ( as ? the old man' ) are perfect in their roles . 	both melinda dillon ( as mom ) and darren mcgavin ( as ?<br> the old man' ) are perfect in their roles .	2	-1	 both[0] melinda[0] dillon[0] as[0] mom[0] and[0] darren[0] mcgavin[0] as[0] [[Sentence=-1,1=word max, 1-5]] the[0] old[0] man'[0] are[0] perfect[1] in[0] their[0] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's hard to fathom a more agreeable pair for the requirements of a story like this one , with each possessing at least one memorable trait that instantly separates them from the wooden caricatures that could have been featured . 	it's hard to fathom a more agreeable pair for the requirements of a story like this one , with each possessing at least one memorable trait that instantly separates them from the wooden caricatures that could have been featured .	2	-1	 it's[0] hard[0] to[0] fathom[0] a[0] more[0] agreeable[0] pair[0] for[0] the[0] requirements[0] of[0] a[0] story[0] like[1] this[0] one[0] with[0] each[0] possessing[0] at[0] least[0] one[0] memorable[0] trait[0] that[0] instantly[0] separates[0] them[0] from[0] the[0] wooden[0] caricatures[0] that[0] could[0] have[0] been[0] featured[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for instance , he is a bloodthirsty turkey hound , and she is forgiving and understanding when it comes to some serious issues . 	for instance , he is a bloodthirsty turkey hound , and she is forgiving and understanding when it comes to some serious issues .	2	-2	 for[0] instance[0] he[0] is[0] a[0] bloodthirsty[-1] turkey[0] hound[0] and[0] she[0] is[0] forgiving[1] and[0] understanding[0] when[0] it[0] comes[0] to[0] some[0] serious[-1][--1 LastWordBoosterStrength] issues[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in portraying the writer as a persistent but mild-mannered young lad , peter billingsley has struck quite the chord . 	in portraying the writer as a persistent but mild-mannered young lad , peter billingsley has struck quite the chord .	1	-2	 in[0] portraying[0] the[0] writer[0] as[0] a[0] persistent[0] but[0] mild[0] mannered[0] young[0] lad[0] peter[0] billingsley[0] has[0] struck[-1] quite[0] the[0] chord[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his performance is richly textured , making all of the humorous situations he stumbles into radiate with flavor and enjoyment . 	his performance is richly textured , making all of the humorous situations he stumbles into radiate with flavor and enjoyment .	3	-1	 his[0] performance[0] is[0] richly[0] textured[0] making[0] all[0] of[0] the[0] humorous[2] situations[0] he[0] stumbles[0] into[0] radiate[0] with[0] flavor[0] and[0] enjoyment[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
which brings us to . . . . 	which brings us to .<br> .<br> .<br> .	1	-1	 which[0] brings[0] us[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3 ) the comic situations . 	3 ) the comic situations .	1	-1	 3[0] the[0] comic[0] situations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are plenty of memorable moments in  a christmas story' . 	there are plenty of memorable moments in  a christmas story' .	1	-1	 there[0] are[0] plenty[0] of[0] memorable[0] moments[0] in[0] a[0] christmas[0] story'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moments that undoubtedly will improve in comic potency upon each new viewing , with so much more to explore and to cherish . 	moments that undoubtedly will improve in comic potency upon each new viewing , with so much more to explore and to cherish .	3	-1	 moments[0] that[0] undoubtedly[0] will[0] improve[1] in[0] comic[0] potency[0] upon[0] each[0] new[0] viewing[0] with[0] so[0] much[0] more[0] to[0] explore[0] and[0] to[0] cherish[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i am particularly partial of the ? f-word scene' , in which ralphie blurts out the shocking four-letter obscenity while helping the old man in the yard . 	i am particularly partial of the ?<br> f-word scene' , in which ralphie blurts out the shocking four-letter obscenity while helping the old man in the yard .	1	-3	 i[0] am[0] particularly[0] partial[0] of[0] the[0] [[Sentence=-1,1=word max, 1-5]] f[0] word[0] scene'[0] in[0] which[0] ralphie[0] blurts[-1] out[0] the[0] shocking[-2] four[0] letter[0] obscenity[0] while[0] helping[0] the[0] old[0] man[0] in[0] the[0] yard[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
again , shepard's method of handling this amusing scenario is nothing short of comic wizardry . 	again , shepard's method of handling this amusing scenario is nothing short of comic wizardry .	2	-1	 again[0] shepard's[0] method[0] of[0] handling[0] this[0] amusing[1] scenario[0] is[0] nothing[0] short[0] of[0] comic[0] wizardry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the numerous sequences that stick in one's mind include , of course , the famous department store santa scene - in which billingsley has some problems in telling old saint nick what he wants under the tree . 	the numerous sequences that stick in one's mind include , of course , the famous department store santa scene - in which billingsley has some problems in telling old saint nick what he wants under the tree .	1	-1	 the[0] numerous[0] sequences[0] that[0] stick[0] in[0] one's[0] mind[0] include[0] of[0] course[0] the[0] famous[0] department[0] store[0] santa[0] scene[0] in[0] which[0] billingsley[0] has[0] some[0] problems[-1][--1 LastWordBoosterStrength] in[0] telling[0] old[0] saint[0] nick[0] what[0] he[0] wants[0] under[0] the[0] tree[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could go on , but i'll finish on this note :  a christmas story' is a standout among holiday movies , because it captures so much in a meager 90 minutes . 	i could go on , but i'll finish on this note :  a christmas story' is a standout among holiday movies , because it captures so much in a meager 90 minutes .	1	-2	 i[0] could[0] go[0] on[0] but[0] i'll[0] finish[0] on[0] this[0] note[0] a[0] christmas[0] story'[0] is[0] a[0] standout[0] among[0] holiday[0] movies[0] because[0] it[0] captures[-1] so[0] much[0] in[0] a[0] meager[-1] 90[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only is it funny , it's often genuinely hilarious . . . . not to mention warm , fluffy and touching in all the appropriate places . 	not only is it funny , it's often genuinely hilarious .<br> .<br> .<br> .<br> not to mention warm , fluffy and touching in all the appropriate places .	3	-1	 not[0] only[0] is[0] it[0] funny[1] it's[0] often[0] genuinely[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]] not[0] to[0] mention[0] warm[0] fluffy[0] and[0] touching[0] in[0] all[0] the[0] appropriate[0] places[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
i plan on making  a christmas story' a christmas tradition . 	i plan on making  a christmas story' a christmas tradition .	1	-1	 i[0] plan[0] on[0] making[0] a[0] christmas[0] story'[0] a[0] christmas[0] tradition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why don't you ? 	why don't you ?	1	-1	 why[0] don't[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
