seen may 31 , 1999 on home video ( rented ) . 	Translation	Positive	Negative	EmotionRationale
in fact , this is the way all stories begin since it's impossible to know the history of a character , their feelings , values , morals , etc . until after we've observed them for a while . 	in fact , this is the way all stories begin since it's impossible to know the history of a character , their feelings , values , morals , etc .<br> until after we've observed them for a while .	2	-1	 in[0] fact[0] this[0] is[0] the[0] way[0] all[0] stories[0] begin[0] since[0] it's[0] impossible[0] to[0] know[0] the[0] history[0] of[0] a[0] character[0] their[0] feelings[0] values[1] morals[0] etc[0] [[Sentence=-1,2=word max, 1-5]] until[0] after[0] we've[0] observed[0] them[0] for[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
but in this case , the total feeling of amnesia is an excellent tool towards characterization , developing the mood and outlining the story . 	but in this case , the total feeling of amnesia is an excellent tool towards characterization , developing the mood and outlining the story .	4	-1	 but[0] in[0] this[0] case[0] the[0] total[0] feeling[0] of[0] amnesia[0] is[0] an[0] excellent[3] tool[0] towards[0] characterization[0] developing[0] the[0] mood[0] and[0] outlining[0] the[0] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
eventually , some semblance of a plot begins to unfold as it appears that john is a serial killer wanted by the police . 	eventually , some semblance of a plot begins to unfold as it appears that john is a serial killer wanted by the police .	1	-2	 eventually[0] some[0] semblance[0] of[0] a[0] plot[0] begins[0] to[0] unfold[0] as[0] it[0] appears[0] that[0] john[0] is[0] a[0] serial[0] killer[-1] wanted[0] by[0] the[0] police[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we met inspector frank bumstead ( hurt ) , a quiet , unemotional , soft-spoken deadpan man who appears to have been on the trail of the killer for some time . 	we met inspector frank bumstead ( hurt ) , a quiet , unemotional , soft-spoken deadpan man who appears to have been on the trail of the killer for some time .	1	-3	 we[0] met[0] inspector[0] frank[0] bumstead[0] hurt[-2] a[0] quiet[0] unemotional[0] soft[0] spoken[0] deadpan[0] man[0] who[0] appears[0] to[0] have[0] been[0] on[0] the[0] trail[0] of[0] the[0] killer[-1] for[0] some[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
two other important characters are also introduced : dr . daniel p . schreber ( sutherland ) , a neurotic psychiatrist who claims to be john's doctor ; and emma murdoch ( connelly ) , a jazz singer dolled up to look like a caraciture right out of the old dick tracy serials or any given leading lady of the old film-noir movies . 	two other important characters are also introduced : dr .<br> daniel p .<br> schreber ( sutherland ) , a neurotic psychiatrist who claims to be john's doctor ; and emma murdoch ( connelly ) , a jaz singer dolled up to look like a caraciture right out of the old dick tracy serials or any given leading lady of the old film-noir movies .	2	-3	 two[0] other[0] important[0] characters[0] are[0] also[0] introduced[0] dr[0] [[Sentence=-1,1=word max, 1-5]] daniel[0] p[0] [[Sentence=-1,1=word max, 1-5]] schreber[0] sutherland[0] a[0] neurotic[-2] psychiatrist[0] who[0] claims[0] to[0] be[0] john's[0] doctor[0] and[0] emma[0] murdoch[0] connelly[0] a[0] jazz/jaz[0] singer[0] dolled[0] up[0] to[0] look[0] like[1] a[0] caraciture[0] right[0] out[0] of[0] the[0] old[0] dick[0] tracy[0] serials[0] or[0] any[0] given[0] leading[0] lady[0] of[0] the[0] old[0] film[0] noir[0] movies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it was schreber who contacted john for reasons that are continually revealed throughout the course of the film . 	it was schreber who contacted john for reasons that are continually revealed throughout the course of the film .	1	-1	 it[0] was[0] schreber[0] who[0] contacted[0] john[0] for[0] reasons[0] that[0] are[0] continually[0] revealed[0] throughout[0] the[0] course[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also contacts emma , which further helps the film reveal what is seemingly a complex , mysterious back story . 	he also contacts emma , which further helps the film reveal what is seemingly a complex , mysterious back story .	1	-1	 he[0] also[0] contacts[0] emma[0] which[0] further[0] helps[0] the[0] film[0] reveal[0] what[0] is[0] seemingly[0] a[0] complex[0] mysterious[0] back[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but absolutely nothing is as it appears to be in  dark city , ' which is what makes it so fascinating throughout its continual scenes of confusion and vertigo . 	but absolutely nothing is as it appears to be in  dark city , ' which is what makes it so fascinating throughout its continual scenes of confusion and vertigo .	1	-2	 but[0] absolutely[0] nothing[0] is[0] as[0] it[0] appears[0] to[0] be[0] in[0] dark[0] city[0] '[0] which[0] is[0] what[0] makes[0] it[0] so[0] fascinating[0] throughout[0] its[0] continual[0] scenes[0] of[0] confusion[-1] and[0] vertigo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything the filmmakers want us to see has some significance - considering how intricate the detail is to every single shot , its lighting , art direction and overall production design , they don't seem to be able to afford any gratuities . 	everything the filmmakers want us to see has some significance - considering how intricate the detail is to every single shot , its lighting , art direction and overall production design , they don't seem to be able to afford any gratuities .	1	-2	 everything[0] the[0] filmmakers[0] want[0] us[0] to[0] see[0] has[0] some[0] significance[0] considering[0] how[0] intricate[0] the[0] detail[0] is[0] to[0] every[0] single[0] shot[-1] its[0] lighting[0] art[0] direction[0] and[0] overall[0] production[0] design[0] they[0] don't[0] seem[0] to[0] be[0] able[0] to[0] afford[0] any[0] gratuities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , that might also be what's keeping it from reaching its maximum potential . 	however , that might also be what's keeping it from reaching its maximum potential .	1	-1	 however[0] that[0] might[0] also[0] be[0] what's[0] keeping[0] it[0] from[0] reaching[0] its[0] maximum[0] potential[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by continuing to follow john as he wanders around this strange place , so much unlike the real world we know , we come to realize that it's all a hoax . 	by continuing to follow john as he wanders around this strange place , so much unlike the real world we know , we come to realize that it's all a hoax .	1	-1	 by[0] continuing[0] to[0] follow[0] john[0] as[0] he[0] wanders[0] around[0] this[0] strange[0] place[0] so[0] much[0] unlike[0] the[0] real[0] world[0] we[0] know[0] we[0] come[0] to[0] realize[0] that[0] it's[0] all[0] a[0] hoax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone in the city is the subject of an experiment being conducted by a race of aliens to understand what makes humans tick in their efforts to somehow save themselves from extinction . 	everyone in the city is the subject of an experiment being conducted by a race of aliens to understand what makes humans tick in their efforts to somehow save themselves from extinction .	2	-1	 everyone[0] in[0] the[0] city[0] is[0] the[0] subject[0] of[0] an[0] experiment[0] being[0] conducted[0] by[0] a[0] race[0] of[0] aliens[0] to[0] understand[0] what[0] makes[0] humans[0] tick[0] in[0] their[0] efforts[0] to[0] somehow[0] save[1] themselves[0] from[0] extinction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , as the film's tagline says ,  last night , one of us went off . ' 	but , as the film's tagline says ,  last night , one of us went off .<br> '	1	-1	 but[0] as[0] the[0] film's[0] tagline[0] says[0] last[0] night[0] one[0] of[0] us[0] went[0] off[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for reasons that are never clearly explained , it appears that john possesses telekinetic powers to can do pretty much whatever his mind can conceive ( a process known as  tuning' ) . 	for reasons that are never clearly explained , it appears that john possesses telekinetic powers to can do pretty much whatever his mind can conceive ( a process known as  tuning' ) .	3	-1	 for[0] reasons[0] that[0] are[0] never[0] clearly[0] explained[0] it[0] appears[0] that[0] john[0] possesses[0] telekinetic[0] powers[0] to[0] can[0] do[0] pretty[2] much[0] whatever[0] his[0] mind[0] can[0] conceive[0] a[0] process[0] known[0] as[0] tuning'[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the aliens , which look like very old bald human men with pasty skin , also possess the power en masse and use it to change the city every night at midnight . 	the aliens , which look like very old bald human men with pasty skin , also possess the power en masse and use it to change the city every night at midnight .	2	-1	 the[0] aliens[0] which[0] look[0] like[1] very[0] old[0] bald[0] human[0] men[0] with[0] pasty[0] skin[0] also[0] possess[0] the[0] power[0] en[0] masse[0] and[0] use[0] it[0] to[0] change[0] the[0] city[0] every[0] night[0] at[0] midnight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the same time all the humans fall asleep and after the changes are made , they awake and either continue where they left off or begin a new life they have no idea they did not have until then . 	at the same time all the humans fall asleep and after the changes are made , they awake and either continue where they left off or begin a new life they have no idea they did not have until then .	1	-1	 at[0] the[0] same[0] time[0] all[0] the[0] humans[0] fall[0] asleep[0] and[0] after[0] the[0] changes[0] are[0] made[0] they[0] awake[0] and[0] either[0] continue[0] where[0] they[0] left[0] off[0] or[0] begin[0] a[0] new[0] life[0] they[0] have[0] no[0] idea[0] they[0] did[0] not[0] have[0] until[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this premise certainly is interesting and director and co-screenwriter alex proyas is able to keep the film consistently mysterious in this regard . 	this premise certainly is interesting and director and co-screenwriter alex proyas is able to keep the film consistently mysterious in this regard .	2	-1	 this[0] premise[0] certainly[0] is[0] interesting[1] and[0] director[0] and[0] co[0] screenwriter[0] alex[0] proyas[0] is[0] able[0] to[0] keep[0] the[0] film[0] consistently[0] mysterious[0] in[0] this[0] regard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he does provide some explanations such as that dr . schreber is an assistant to  the strangers' because he somehow could synthesize memory into chemical form . 	he does provide some explanations such as that dr .<br> schreber is an assistant to  the strangers' because he somehow could synthesize memory into chemical form .	1	-1	 he[0] does[0] provide[0] some[0] explanations[0] such[0] as[0] that[0] dr[0] [[Sentence=-1,1=word max, 1-5]] schreber[0] is[0] an[0] assistant[0] to[0] the[0] strangers'[0] because[0] he[0] somehow[0] could[0] synthesize[0] memory[0] into[0] chemical[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the aliens mix and match the memories of the city's population to see who will change and who will not . 	the aliens mix and match the memories of the city's population to see who will change and who will not .	1	-1	 the[0] aliens[0] mix[0] and[0] match[0] the[0] memories[0] of[0] the[0] city's[0] population[0] to[0] see[0] who[0] will[0] change[0] and[0] who[0] will[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the process this creates for a good deal of deep , thought-provoking philosophies that could be applied to the real world . 	in the process this creates for a good deal of deep , thought-provoking philosophies that could be applied to the real world .	2	-1	 in[0] the[0] process[0] this[0] creates[0] for[0] a[0] good[1] deal[0] of[0] deep[0] thought[0] provoking[0] philosophies[0] that[0] could[0] be[0] applied[0] to[0] the[0] real[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , where the film errs is by not playing up the idea of memory versus the human heart as to what makes a person who he or she is . 	however , where the film errs is by not playing up the idea of memory versus the human heart as to what makes a person who he or she is .	1	-2	 however[0] where[0] the[0] film[0] errs[0] is[0] by[0] not[0] playing[1][NegatedDueToPreviousWord] up[0] the[0] idea[0] of[0] memory[0] versus[0] the[0] human[0] heart[0] as[0] to[0] what[0] makes[0] a[0] person[0] who[0] he[0] or[0] she[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main characters are all closely intertwined within the seemingly complex murder mystery which never actually happened , yet when they start to go through some of the expected emotions it comes off as distant , static and cold ( mediocre performances by hurt and connelly don't help either ) . 	the main characters are all closely intertwined within the seemingly complex murder mystery which never actually happened , yet when they start to go through some of the expected emotions it comes off as distant , static and cold ( mediocre performances by hurt and connelly don't help either ) .	1	-4	 the[0] main[0] characters[0] are[0] all[0] closely[0] intertwined[0] within[0] the[0] seemingly[0] complex[0] murder[-3] mystery[0] which[0] never[0] actually[0] happened[0] yet[0] when[0] they[0] start[0] to[0] go[0] through[0] some[0] of[0] the[0] expected[0] emotions[0] it[0] comes[0] off[0] as[0] distant[0] static[-1] and[0] cold[-1] mediocre[-1] performances[0] by[0] hurt[-2] and[0] connelly[0] don't[0] help[0] either[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for example , john realizes emma is not and probably never was his wife so he does not feel an emotional bond to her , yet in some scenes crucial to the film's plot , we are expected to believe they do have a genuine love for each other , which is also part of the film's climax and ending . 	for example , john realizes emma is not and probably never was his wife so he does not feel an emotional bond to her , yet in some scenes crucial to the film's plot , we are expected to believe they do have a genuine love for each other , which is also part of the film's climax and ending .	3	-2	 for[0] example[0] john[0] realizes[0] emma[0] is[0] not[0] and[0] probably[0] never[0] was[0] his[0] wife[0] so[0] he[0] does[0] not[0] feel[0] an[0] emotional[-1] bond[0] to[0] her[0] yet[0] in[0] some[0] scenes[0] crucial[0] to[0] the[0] film's[0] plot[0] we[0] are[0] expected[0] to[0] believe[0] they[0] do[0] have[0] a[0] genuine[0] love[2] for[0] each[0] other[0] which[0] is[0] also[0] part[0] of[0] the[0] film's[0] climax[0] and[0] ending[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and that's what proyas seems to be inferring with the film , but never quite manages to convey in its fullest sense . 	and that's what proyas seems to be inferring with the film , but never quite manages to convey in its fullest sense .	1	-1	 and[0] that's[0] what[0] proyas[0] seems[0] to[0] be[0] inferring[0] with[0] the[0] film[0] but[0] never[0] quite[0] manages[0] to[0] convey[0] in[0] its[0] fullest[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically , this is what made his first film  the crow' work so well , which had a similar theme of struggling to find hope and the human spirit within a nearly identical , dark twisted world . 	ironically , this is what made his first film  the crow' work so well , which had a similar theme of struggling to find hope and the human spirit within a nearly identical , dark twisted world .	3	-2	 ironically[-1] this[0] is[0] what[0] made[0] his[0] first[0] film[0] the[0] crow'[0] work[0] so[0] well[0] which[0] had[0] a[0] similar[0] theme[0] of[0] struggling[-1] to[0] find[0] hope[2] and[0] the[0] human[0] spirit[0] within[0] a[0] nearly[0] identical[0] dark[0] twisted[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with  dark city' the messenger seems to be mistaken for the message . 	with  dark city' the messenger seems to be mistaken for the message .	1	-2	 with[0] dark[0] city'[0] the[0] messenger[0] seems[0] to[0] be[0] mistaken[-1] for[0] the[0] message[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , the film is by no means bad and is consistently entertaining and enjoyable . 	still , the film is by no means bad and is consistently entertaining and enjoyable .	3	-2	 still[0] the[0] film[0] is[0] by[0] no[0] means[0] bad[-1] and[0] is[0] consistently[0] entertaining[0] and[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's a lot to like here , most notably the sheer visual look and style of it all which accounts for at least half the reasons the film is able to tell the story it does . 	there's a lot to like here , most notably the sheer visual look and style of it all which accounts for at least half the reasons the film is able to tell the story it does .	2	-1	 there's[0] a[0] lot[0] to[0] like[1] here[0] most[0] notably[0] the[0] sheer[0] visual[0] look[0] and[0] style[0] of[0] it[0] all[0] which[0] accounts[0] for[0] at[0] least[0] half[0] the[0] reasons[0] the[0] film[0] is[0] able[0] to[0] tell[0] the[0] story[0] it[0] does[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story as a whole is one of the most original to come out of hollywood in years . 	the story as a whole is one of the most original to come out of hollywood in years .	1	-1	 the[0] story[0] as[0] a[0] whole[0] is[0] one[0] of[0] the[0] most[0] original[0] to[0] come[0] out[0] of[0] hollywood[0] in[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 dark city' is what the movies are all about - the escape from the real world . 	 dark city' is what the movies are all about - the escape from the real world .	1	-1	 dark[0] city'[0] is[0] what[0] the[0] movies[0] are[0] all[0] about[0] the[0] escape[0] from[0] the[0] real[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
