roberto benigni is a clown in the tradition of chaplin and keaton . 	Translation	Positive	Negative	EmotionRationale
it is at this juncture in life is beautiful may tend to offend those whom the holocaust has touched . 	it is at this juncture in life is beautiful may tend to offend those whom the holocaust has touched .	3	-3	 it[0] is[0] at[0] this[0] juncture[0] in[0] life[0] is[0] beautiful[2] may[0] tend[0] to[0] offend[-2] those[0] whom[0] the[0] holocaust[0] has[0] touched[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for the scenes in the concentration camp lack the horror , the pain , the unimaginable suffering of a schindler's list . 	for the scenes in the concentration camp lack the horror , the pain , the unimaginable suffering of a schindler's list .	1	-4	 for[0] the[0] scenes[0] in[0] the[0] concentration[0] camp[0] lack[-1] the[0] horror[-3] the[0] pain[-3] the[0] unimaginable[0] suffering[-3] of[0] a[0] schindler's[0] list[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
true , many italian jews were not deported until the war was nearly over , and most were not sent to the death camps , but to work camps where they were used as slave labor . 	true , many italian jews were not deported until the war was nearly over , and most were not sent to the death camps , but to work camps where they were used as slave labor .	2	-3	 true[1] many[0] italian[0] jews[0] were[0] not[0] deported[0] until[0] the[0] war[-2] was[0] nearly[0] over[0] and[0] most[0] were[0] not[0] sent[0] to[0] the[0] death[-2] camps[0] but[0] to[0] work[0] camps[0] where[0] they[0] were[0] used[0] as[0] slave[0] labor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unlike steven spielberg , benigni is not out to tell the story of the holocaust . 	unlike steven spielberg , benigni is not out to tell the story of the holocaust .	2	-1	 unlike[0] steven[0] spielberg[0] benigni[1] is[0] not[0] out[0] to[0] tell[0] the[0] story[0] of[0] the[0] holocaust[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his story is about family and the lengths a parent will go to protect a child . 	his story is about family and the lengths a parent will go to protect a child .	1	-1	 his[0] story[0] is[0] about[0] family[0] and[0] the[0] lengths[0] a[0] parent[0] will[0] go[0] to[0] protect[0] a[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for guido , to save his son , transforms the entire experience into an elaborate game . 	for guido , to save his son , transforms the entire experience into an elaborate game .	2	-1	 for[0] guido[0] to[0] save[1] his[0] son[0] transforms[0] the[0] entire[0] experience[0] into[0] an[0] elaborate[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
giosue ? must follow the rules without question to amass 1 , 000 points . 	giosue ?<br> must follow the rules without question to amass 1 , 00 points .	1	-1	 giosue[0] [[Sentence=-1,1=word max, 1-5]] must[0] follow[0] the[0] rules[0] without[0] question[0] to[0] amass[0] 1[0] 000/00[0] points[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the winner takes home a tank . 	the winner takes home a tank .	2	-1	 the[0] winner[1] takes[0] home[0] a[0] tank[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
therefore , guido tells him , he must remain hidden in the barracks . 	therefore , guido tells him , he must remain hidden in the barracks .	1	-1	 therefore[0] guido[0] tells[0] him[0] he[0] must[0] remain[0] hidden[0] in[0] the[0] barracks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he cannot make a sound nor allow the guards to see him . 	he cannot make a sound nor allow the guards to see him .	1	-1	 he[0] cannot[0] make[0] a[0] sound[0] nor[0] allow[0] the[0] guards[0] to[0] see[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guido explains this during a hilarious sequence when a german guard barks the camp instructions to the newly arrived inmates . 	guido explains this during a hilarious sequence when a german guard barks the camp instructions to the newly arrived inmates .	3	-2	 guido[0] explains[0] this[0] during[0] a[0] hilarious[2] sequence[0] when[0] a[0] german[-1] guard[0] barks[0] the[0] camp[0] instructions[0] to[0] the[0] newly[0] arrived[0] inmates[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
guido , lying that he understands german and can translate for his fellow prisoners , instead lays down the rules for his son to allow him a chance to survive . 	guido , lying that he understands german and can translate for his fellow prisoners , instead lays down the rules for his son to allow him a chance to survive .	1	-4	 guido[0] lying[-3] that[0] he[0] understands[0] german[-1] and[0] can[0] translate[0] for[0] his[0] fellow[0] prisoners[-1] instead[0] lays[0] down[0] the[0] rules[0] for[0] his[0] son[0] to[0] allow[0] him[0] a[0] chance[0] to[0] survive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
throughout their imprisonment , guido's quick thinking continually keeps his son from harm's way . 	throughout their imprisonment , guido's quick thinking continually keeps his son from harm's way .	1	-2	 throughout[0] their[0] imprisonment[-1] guido's[0] quick[0] thinking[0] continually[0] keeps[0] his[0] son[0] from[0] harm's[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ultimately , the allies rescue the camp . 	ultimately , the allies rescue the camp .	1	-1	 ultimately[0] the[0] allies[0] rescue[0] the[0] camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a poignant scene , giosue ? comes out of hiding just as an american tank rolls into the compound . 	in a poignant scene , giosue ?<br> comes out of hiding just as an american tank rolls into the compound .	1	-1	 in[0] a[0] poignant[0] scene[0] giosue[0] [[Sentence=-1,1=word max, 1-5]] comes[0] out[0] of[0] hiding[0] just[0] as[0] an[0] american[0] tank[0] rolls[0] into[0] the[0] compound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the boy goes wide-eyed with wonderment and delight , thinking he has won the game . 	the boy goes wide-eyed with wonderment and delight , thinking he has won the game .	3	-1	 the[0] boy[0] goes[0] wide[0] eyed[0] with[0] wonderment[0] and[0] delight[2] thinking[0] he[0] has[0] won[0] the[0] game[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the price for his victory is most high . 	the price for his victory is most high .	1	-1	 the[0] price[0] for[0] his[0] victory[0] is[0] most[0] high[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
benigni has succeeded in using the blackest moment in human history to prove that even in hell , a ray of hope and salvation can penetrate the darkness . 	benigni has succeeded in using the blackest moment in human history to prove that even in hell , a ray of hope and salvation can penetrate the darkness .	3	-2	 benigni[1] has[0] succeeded[2] in[0] using[0] the[0] blackest[0] moment[0] in[0] human[0] history[0] to[0] prove[0] that[0] even[0] in[0] hell[-1] a[0] ray[0] of[0] hope[2] and[0] salvation[0] can[0] penetrate[0] the[0] darkness[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
life is beautiful is a fantasy , a fable . 	life is beautiful is a fantasy , a fable .	3	-1	 life[0] is[0] beautiful[2] is[0] a[0] fantasy[0] a[0] fable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is not to be taken as a record of the holocaust . 	it is not to be taken as a record of the holocaust .	1	-1	 it[0] is[0] not[0] to[0] be[0] taken[0] as[0] a[0] record[0] of[0] the[0] holocaust[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those who object to it are missing its point . 	those who object to it are missing its point .	1	-1	 those[0] who[0] object[0] to[0] it[0] are[0] missing[0] its[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that is simply where there is hope , where there is life and where there is love , the spark of humanity will never be extinguished . 	and that is simply where there is hope , where there is life and where there is love , the spark of humanity will never be extinguished .	3	-1	 and[0] that[0] is[0] simply[0] where[0] there[0] is[0] hope[2] where[0] there[0] is[0] life[0] and[0] where[0] there[0] is[0] love[2] the[0] spark[0] of[0] humanity[0] will[0] never[0] be[0] extinguished[-1][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
committed to lifelong learning through effective communication 	committed to lifelong learning through effective communication	1	-1	 committed[0] to[0] lifelong[0] learning[0] through[0] effective[0] communication[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
