imagine this scenario : you and any of your family members are scudding through one of those long , excruciating cross-country car trips , far from the city and into the deserted rural routes . 	Translation	Positive	Negative	EmotionRationale
jeff manages to re-start the car himself , but when he arrives at the diner , she is nowhere in sight . 	jeff manages to re-start the car himself , but when he arrives at the diner , she is nowhere in sight .	1	-1	 jeff[0] manages[0] to[0] re[0] start[0] the[0] car[0] himself[0] but[0] when[0] he[0] arrives[0] at[0] the[0] diner[0] she[0] is[0] nowhere[0] in[0] sight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disconcerted , the coffee shop's bartender informs jeff where to search for his wife , a town about twenty miles from here . 	disconcerted , the coffee shop's bartender informs jeff where to search for his wife , a town about twenty miles from here .	1	-2	 disconcerted[-1] the[0] coffee[0] shop's[0] bartender[0] informs[0] jeff[0] where[0] to[0] search[0] for[0] his[0] wife[0] a[0] town[0] about[0] twenty[0] miles[0] from[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there , trouble arises . 	there , trouble arises .	1	-2	 there[0] trouble[-1] arises[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i shall not reveal anything else , since that would be spoiling the fun of what's head . 	and i shall not reveal anything else , since that would be spoiling the fun of what's head .	2	-2	 and[0] i[0] shall[0] not[0] reveal[0] anything[0] else[0] since[0] that[0] would[0] be[0] spoiling[-1] the[0] fun[1] of[0] what's[0] head[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are many involving , tight scenes in breakdown but the final climactic period which includes a magnificent chase with three cars and a huge truck , will have you feeling as if your legs are made out of pure foam . 	there are many involving , tight scenes in breakdown but the final climactic period which includes a magnificent chase with three cars and a huge truck , will have you feeling as if your legs are made out of pure foam .	4	-2	 there[0] are[0] many[0] involving[0] tight[0] scenes[0] in[0] breakdown[-1] but[0] the[0] final[0] climactic[0] period[0] which[0] includes[0] a[0] magnificent[3] chase[-1] with[0] three[0] cars[0] and[0] a[0] huge[0] truck[0] will[0] have[0] you[0] feeling[0] as[0] if[0] your[0] legs[0] are[0] made[0] out[0] of[0] pure[0] foam[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it is a pleasure to be part of a classic confrontation of good vs evil , and rooting for the good guys , in this case jeff . 	it is a pleasure to be part of a classic confrontation of good vs evil , and rooting for the good guys , in this case jeff .	3	-3	 it[0] is[0] a[0] pleasure[2] to[0] be[0] part[0] of[0] a[0] classic[0] confrontation[-2] of[0] good[1] vs[0] evil[-2] and[0] rooting[0] for[0] the[0] good[1] guys[0] in[0] this[0] case[0] jeff[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kurt russell is one of the few top-notch hollywood actors which doesn't overblow his acting , and gradually gains reliance on his role as it progresses . 	kurt russell is one of the few top-notch hollywood actors which doesn't overblow his acting , and gradually gains reliance on his role as it progresses .	1	-1	 kurt[0] russell[0] is[0] one[0] of[0] the[0] few[0] top[0] notch[0] hollywood[0] actors[0] which[0] doesn't[0] overblow[0] his[0] acting[0] and[0] gradually[0] gains[0] reliance[0] on[0] his[0] role[0] as[0] it[0] progresses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so you can assume his alteration in breakdown is letter-perfect . 	so you can assume his alteration in breakdown is letter-perfect .	2	-2	 so[0] you[0] can[0] assume[0] his[0] alteration[0] in[0] breakdown[-1] is[0] letter[0] perfect[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
suffice it is to say he undergoes a transformation , from a jolly man , to a guy frantically pursuing a loved one . 	suffice it is to say he undergoes a transformation , from a jolly man , to a guy frantically pursuing a loved one .	4	-2	 suffice[0] it[0] is[0] to[0] say[0] he[0] undergoes[0] a[0] transformation[0] from[0] a[0] jolly[2] man[0] to[0] a[0] guy[0] frantically[-1] pursuing[0] a[0] loved[3] one[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
not many well-paid actors can deliver these type of performances , but russell is one of them . 	not many well-paid actors can deliver these type of performances , but russell is one of them .	1	-1	 not[0] many[0] well[0] paid[0] actors[0] can[0] deliver[0] these[0] type[0] of[0] performances[0] but[0] russell[0] is[0] one[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as an everyday man , he pulls it off extremely convincingly , what also surprised me more was his rigorous physicality , which he effectively practices almost all throughout the films 93 minutes . 	as an everyday man , he pulls it off extremely convincingly , what also surprised me more was his rigorous physicality , which he effectively practices almost all throughout the films 93 minutes .	1	-1	 as[0] an[0] everyday[0] man[0] he[0] pulls[0] it[0] off[0] extremely[0] convincingly[0] what[0] also[0] surprised[0] me[0] more[0] was[0] his[0] rigorous[0] physicality[0] which[0] he[0] effectively[0] practices[0] almost[0] all[0] throughout[0] the[0] films[0] 93[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the film is blotted with a couple of portentous action sequences ( very well done ) yet the tightness is generated by the subtle circumstances this man is presented with . 	although the film is blotted with a couple of portentous action sequences ( very well done ) yet the tightness is generated by the subtle circumstances this man is presented with .	1	-1	 although[0] the[0] film[0] is[0] blotted[0] with[0] a[0] couple[0] of[0] portentous[0] action[0] sequences[0] very[0] well[0] done[0] yet[0] the[0] tightness[0] is[0] generated[0] by[0] the[0] subtle[0] circumstances[0] this[0] man[0] is[0] presented[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
faced with an enigma about his wife's whereabouts , the movie succeeds by conveying us in realistic territory with veritable characters , including the cryptic villains , who in essence , make the movie what it is . 	faced with an enigma about his wife's whereabouts , the movie succeeds by conveying us in realistic territory with veritable characters , including the cryptic villains , who in essence , make the movie what it is .	3	-3	 faced[0] with[0] an[0] enigma[0] about[0] his[0] wife's[0] whereabouts[0] the[0] movie[0] succeeds[2] by[0] conveying[0] us[0] in[0] realistic[0] territory[0] with[0] veritable[0] characters[0] including[0] the[0] cryptic[0] villains[-2] who[0] in[0] essence[0] make[0] the[0] movie[0] what[0] it[0] is[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what's most impressive however , is the feature debut by writer/director jonathan mostow . 	what's most impressive however , is the feature debut by writer/director jonathan mostow .	2	-1	 what's[0] most[0] impressive[1] however[0] is[0] the[0] feature[0] debut[0] by[0] writer/director[0] jonathan[0] mostow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mostow , hitherto directed the showtime thriller flight of a black angle , alleviates the contrivances and generics of the script by gingerly pursuing the trajectory of the plot , efficiently letting the tone and the mood of the story generate that nail-biting suspense sought for in a well- made affair . 	mostow , hitherto directed the showtime thriller flight of a black angle , alleviates the contrivances and generics of the script by gingerly pursuing the trajectory of the plot , efficiently letting the tone and the mood of the story generate that nail-biting suspense sought for in a well- made affair .	2	-1	 mostow[0] hitherto[0] directed[0] the[0] showtime[0] thriller[1] flight[0] of[0] a[0] black[0] angle[0] alleviates[0] the[0] contrivances[0] and[0] generics[0] of[0] the[0] script[0] by[0] gingerly[0] pursuing[0] the[0] trajectory[0] of[0] the[0] plot[0] efficiently[0] letting[0] the[0] tone[0] and[0] the[0] mood[0] of[0] the[0] story[0] generate[0] that[0] nail[0] biting[0] suspense[0] sought[0] for[0] in[0] a[0] well[0] made[0] affair[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
contrary to most american thrillers , he doesn't rely on visual flair , but on aesthetics and substance . 	contrary to most american thrillers , he doesn't rely on visual flair , but on aesthetics and substance .	2	-2	 contrary[-1] to[0] most[0] american[0] thrillers[1] he[0] doesn't[0] rely[0] on[0] visual[0] flair[0] but[0] on[0] aesthetics[0] and[0] substance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after breakdown , he should gain vast notoriety . 	after breakdown , he should gain vast notoriety .	1	-2	 after[0] breakdown[-1] he[0] should[0] gain[0] vast[0] notoriety[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the villains in the movie aren't your routine out-of-this-world idiosyncratic psychos that are harming for no particular objective . 	the villains in the movie aren't your routine out-of-this-world idiosyncratic psychos that are harming for no particular objective .	1	-3	 the[0] villains[-2] in[0] the[0] movie[0] aren't[0] your[0] routine[0] out[0] of[0] this[0] world[0] idiosyncratic[0] psychos[0] that[0] are[0] harming[-2] for[0] no[0] particular[0] objective[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the baddies in breakdown , all well acted , are normal , seemingly inoffensive townspeople who beneath their trustworthy layer , conduct an amoral business of corruption and murder . 	the baddies in breakdown , all well acted , are normal , seemingly inoffensive townspeople who beneath their trustworthy layer , conduct an amoral business of corruption and murder .	2	-4	 the[0] baddies[0] in[0] breakdown[-1] all[0] well[0] acted[0] are[0] normal[0] seemingly[0] inoffensive[0] townspeople[0] who[0] beneath[0] their[0] trustworthy[1] layer[0] conduct[0] an[0] amoral[-2] business[0] of[0] corruption[-2] and[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie smartly portrays these men as loathsome rednecks , and , of all things in the world , it is becoming rather easy to root for villains ( jon voight in anaconda ) in today's movies . 	the movie smartly portrays these men as loathsome rednecks , and , of all things in the world , it is becoming rather easy to root for villains ( jon voight in anaconda ) in today's movies .	2	-3	 the[0] movie[0] smartly[1] portrays[0] these[0] men[0] as[0] loathsome[0] rednecks[0] and[0] of[0] all[0] things[0] in[0] the[0] world[0] it[0] is[0] becoming[0] rather[0] easy[0] to[0] root[0] for[0] villains[-2] jon[0] voight[0] in[0] anaconda[0] in[0] today's[0] movies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
worth a special mentioning is j . t walsh ( who previously worked with kurt russell in executive decision ) as the leader of the gang , he renders a deliciously wicked performance , temporarily stepping out of the minor roles he is known for . 	worth a special mentioning is j .<br> t walsh ( who previously worked with kurt russell in executive decision ) as the leader of the gang , he renders a deliciously wicked performance , temporarily stepping out of the minor roles he is known for .	4	-2	 worth[0] a[0] special[1] mentioning[0] is[0] j[0] [[Sentence=-1,2=word max, 1-5]] t[0] walsh[0] who[0] previously[0] worked[0] with[0] kurt[0] russell[0] in[0] executive[0] decision[0] as[0] the[0] leader[0] of[0] the[0] gang[0] he[0] renders[0] a[0] deliciously[2] wicked[2][+1 MultiplePositiveWords] performance[0] temporarily[-1] stepping[0] out[0] of[0] the[0] minor[0] roles[0] he[0] is[0] known[0] for[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
alfred hitchcock used suspense--and action-- not only to stimulate , but as a way of aiding his audience's fascination in his stories , which were slowly realizing man's biggest fears . 	alfred hitchcock used suspense-and action- not only to stimulate , but as a way of aiding his audience's fascination in his stories , which were slowly realizing man's biggest fears .	1	-3	 alfred[0] hitchcock[0] used[0] suspense[0] and[0] action[0] not[0] only[0] to[0] stimulate[0] but[0] as[0] a[0] way[0] of[0] aiding[0] his[0] audience's[0] fascination[0] in[0] his[0] stories[0] which[0] were[0] slowly[0] realizing[0] man's[0] biggest[0] fears[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
breakdown yields exactly that . 	breakdown yields exactly that .	1	-2	 breakdown[-1] yields[0] exactly[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it magnificently taps into the psyche of an ordinary man , acting like an ordinary man , looking like an ordinary and some sort of superhero . 	it magnificently taps into the psyche of an ordinary man , acting like an ordinary man , looking like an ordinary and some sort of superhero .	4	-1	 it[0] magnificently[3] taps[0] into[0] the[0] psyche[0] of[0] an[0] ordinary[0] man[0] acting[0] like[1] an[0] ordinary[0] man[0] looking[0] like[1] an[0] ordinary[0] and[0] some[0] sort[0] of[0] superhero[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
despite one or two iffy moments even hitchcock , i think , would approve of breakdown . 	despite one or two iffy moments even hitchcock , i think , would approve of breakdown .	1	-2	 despite[0] one[0] or[0] two[0] iffy[0] moments[0] even[0] hitchcock[0] i[0] think[0] would[0] approve[0] of[0] breakdown[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( 1 : 33 ) 	 ( 1 : 33 )	1	-1	 1[0] 33[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
