since their film debut in 1984 with the tightly wrought texas thriller " blood simple , " joel and ethan coen have been one of the most eclectic , original , and downright fascinating creative teams in modern hollywood . 	Translation	Positive	Negative	EmotionRationale
 " the big lebowski " plays like an amalgam of all the coen brothers' earlier efforts . 	 " the big lebowski " plays like an amalgam of all the coen brothers' earlier efforts .	2	-1	 the[0] big[0] lebowski[0] plays[1] like[1] an[0] amalgam[0] of[0] all[0] the[0] coen[0] brothers'[0] earlier[0] efforts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it shares their previous films' strong sense of time and place , as well as their send-ups of movie genres and political and cultural ideologies . 	it shares their previous films' strong sense of time and place , as well as their send-ups of movie genres and political and cultural ideologies .	1	-1	 it[0] shares[0] their[0] previous[0] films'[0] strong[0] sense[0] of[0] time[0] and[0] place[0] as[0] well[0] as[0] their[0] send[0] ups[0] of[0] movie[0] genres[0] and[0] political[0] and[0] cultural[0] ideologies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " lebowski " has the same kind of crazed caricatures that made " raising arizona " such a hoot ; it has surrealistic dream sequences ( one of which involves a busby berkley-like dance number ) that characterized the ending of " barton fink " ; and it has the same kind of cartoonish look and feel that pervaded " the hudsucker proxy . " 	 " lebowski " has the same kind of crazed caricatures that made " raising arizona " such a hoot ; it has surrealistic dream sequences ( one of which involves a busby berkley-like dance number ) that characterized the ending of " barton fink " ; and it has the same kind of cartoonish look and feel that pervaded " the hudsucker proxy .<br> "	2	-1	 lebowski[0] has[0] the[0] same[0] kind[1] of[0] crazed[0] caricatures[0] that[0] made[0] raising[0] arizona[0] such[0] a[0] hoot[0] it[0] has[0] surrealistic[0] dream[0] sequences[0] one[0] of[0] which[0] involves[0] a[0] busby[0] berkley[0] like[1] dance[0] number[0] that[0] characterized[0] the[0] ending[0] of[0] barton[0] fink[0] and[0] it[0] has[0] the[0] same[0] kind[1] of[0] cartoonish[0] look[0] and[0] feel[0] that[0] pervaded[0] the[0] hudsucker[0] proxy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film was shot by veteran cinematographer roger deakins , who has worked with the coens on three other films , " barton fink , " " the hudsucker proxy , " and " fargo . " 	the film was shot by veteran cinematographer roger deakins , who has worked with the coens on three other films , " barton fink , " " the hudsucker proxy , " and " fargo .<br> "	1	-2	 the[0] film[0] was[0] shot[-1] by[0] veteran[0] cinematographer[0] roger[0] deakins[0] who[0] has[0] worked[0] with[0] the[0] coens[0] on[0] three[0] other[0] films[0] barton[0] fink[0] the[0] hudsucker[0] proxy[0] and[0] fargo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
deakins always gives the coens' films a distinctive visual style , and here he does a brilliant job of capturing the bright colors of seedy los angeles in the early nineties , whether that by the obnoxious blue bowling suit worn by the dude's main competitor jesus quintana ( john turturro ) , or the strikingly manic dream sequences , one of which involves the dizzy spectacle of watching a strike from a bowling ball's point of view . 	deakins always gives the coens' films a distinctive visual style , and here he does a brilliant job of capturing the bright colors of seedy los angeles in the early nineties , whether that by the obnoxious blue bowling suit worn by the dude's main competitor jesus quintana ( john turturro ) , or the strikingly manic dream sequences , one of which involves the dizy spectacle of watching a strike from a bowling ball's point of view .	2	-3	 deakins[0] always[0] gives[0] the[0] coens'[0] films[0] a[0] distinctive[0] visual[0] style[0] and[0] here[0] he[0] does[0] a[0] brilliant[1] job[0] of[0] capturing[0] the[0] bright[0] colors[0] of[0] seedy[0] los[0] angeles[0] in[0] the[0] early[0] nineties[0] whether[0] that[0] by[0] the[0] obnoxious[-2] blue[0] bowling[0] suit[0] worn[-1] by[0] the[0] dude's[0] main[0] competitor[0] jesus[0] quintana[0] john[0] turturro[0] or[0] the[0] strikingly[0] manic[0] dream[0] sequences[0] one[0] of[0] which[0] involves[0] the[0] dizzy/dizy[0] spectacle[0] of[0] watching[0] a[0] strike[-1] from[0] a[0] bowling[0] ball's[0] point[0] of[0] view[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if " fargo " was the coen brothers' most restrained effort in years , " the big lebowski " marks their return to over-the-edge filmmaking . 	if " fargo " was the coen brothers' most restrained effort in years , " the big lebowski " marks their return to over-the-edge filmmaking .	1	-1	 if[0] fargo[0] was[0] the[0] coen[0] brothers'[0] most[0] restrained[0] effort[0] in[0] years[0] the[0] big[0] lebowski[0] marks[0] their[0] return[0] to[0] over[0] the[0] edge[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is overflowing with style and attitude , which helps make up for the scattered plot fragments that never quite come together in the end . 	it is overflowing with style and attitude , which helps make up for the scattered plot fragments that never quite come together in the end .	1	-2	 it[0] is[0] overflowing[-1] with[0] style[0] and[0] attitude[0] which[0] helps[0] make[0] up[0] for[0] the[0] scattered[0] plot[0] fragments[0] that[0] never[0] quite[0] come[0] together[0] in[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the coens fill the screen with lighting , set design , music , and hilarious performances from all the leads , especially bridges and the always reliable john goodman , who shows real comic timing in his untimely 'nam-inspired outbursts and his intense dedication to his adopted judaism . 	the coens fill the screen with lighting , set design , music , and hilarious performances from all the leads , especially bridges and the always reliable john goodman , who shows real comic timing in his untimely 'nam-inspired outbursts and his intense dedication to his adopted judaism .	3	-2	 the[0] coens[0] fill[0] the[0] screen[0] with[0] lighting[0] set[0] design[0] music[0] and[0] hilarious[2] performances[0] from[0] all[0] the[0] leads[0] especially[0] bridges[0] and[0] the[0] always[0] reliable[0] john[0] goodman[0] who[0] shows[0] real[0] comic[0] timing[0] in[0] his[0] untimely[-1] 'nam[0] inspired[2] outbursts[-1] and[0] his[0] intense[0] dedication[0] to[0] his[0] adopted[0] judaism[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with joel directing , ethan producing , and both writing , the coen brothers seem limitless in their capacity to turn our world inside out . 	with joel directing , ethan producing , and both writing , the coen brothers seem limitless in their capacity to turn our world inside out .	1	-1	 with[0] joel[0] directing[0] ethan[0] producing[0] and[0] both[0] writing[0] the[0] coen[0] brothers[0] seem[0] limitless[0] in[0] their[0] capacity[0] to[0] turn[0] our[0] world[0] inside[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their talent lies not in their ability to reflect the norms of reality , but in their potential to dig out the darkest corners of life and bring them to light . 	their talent lies not in their ability to reflect the norms of reality , but in their potential to dig out the darkest corners of life and bring them to light .	2	-3	 their[0] talent[1] lies[-2] not[0] in[0] their[0] ability[0] to[0] reflect[0] the[0] norms[0] of[0] reality[0] but[0] in[0] their[0] potential[0] to[0] dig[0] out[0] the[0] darkest[0] corners[0] of[0] life[0] and[0] bring[0] them[0] to[0] light[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the coens rejoice in the oddballs of the world , and they put them center-stage to show that it's not just guys like the dude who are nuts , but the entire planet . 	the coens rejoice in the oddballs of the world , and they put them center-stage to show that it's not just guys like the dude who are nuts , but the entire planet .	4	-2	 the[0] coens[0] rejoice[3] in[0] the[0] oddballs[0] of[0] the[0] world[0] and[0] they[0] put[0] them[0] center[0] stage[0] to[0] show[0] that[0] it's[0] not[0] just[0] guys[0] like[1][NegatedDueToPreviousWord] the[0] dude[0] who[0] are[0] nuts[0] but[0] the[0] entire[0] planet[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
