casting " doogie howser " star neil patrick harris as mind-reading military intelligence is only one of the guilty pleasures of " starship troopers , " a hugely entertaining , mega-budgeted sci-fi yarn directed by paul verhoeven , who's making quite a recovery from his 1995 g-string epic " showgirls . " 	Translation	Positive	Negative	EmotionRationale
once we get past the campy character introductions and the numerous ( but never boring ) training sessions , " starship troopers " really kicks into high gear . 	once we get past the campy character introductions and the numerous ( but never boring ) training sessions , " starship troopers " really kicks into high gear .	2	-3	 once[0] we[0] get[0] past[0] the[0] campy[0] character[0] introductions[0] and[0] the[0] numerous[0] but[0] never[0] boring[-1][NegatedDueToPreviousWord] training[0] sessions[0] starship[0] troopers[0] really[0] kicks[-1][-1 LastWordBoosterStrength] into[0] high[0] gear[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
its last half is all gruesomely violent action -- a fury of severed limbs , decapitations , disembowelments , brain removal , explosions and other jolt-inducers that are really going to please the 13- and 14-year-old boys lucky enough to dodge getting carded or caught on their way into this deservedly r-rated show . 	its last half is all gruesomely violent action - a fury of severed limbs , decapitations , disembowelments , brain removal , explosions and other jolt-inducers that are really going to please the 13- and 14-year-old boys lucky enough to dodge getting carded or caught on their way into this deservedly are-rated show .	2	-4	 its[0] last[0] half[0] is[0] all[0] gruesomely[0] violent[-2] action[0] a[0] fury[-3] of[0] severed[-1] limbs[0] decapitations[0] disembowelments[0] brain[0] removal[0] explosions[-1] and[0] other[0] jolt[0] inducers[0] that[0] are[0] really[0] going[0] to[0] please[1] the[0] 13[0] and[0] 14[0] year[0] old[0] boys[0] lucky[1] enough[0] to[0] dodge[0] getting[0] carded[0] or[0] caught[0] on[0] their[0] way[0] into[0] this[0] deservedly[0] r[0] rated[0] show[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the creature design and special effects are amazing as expected , and their interaction with the human actors are a realistic , imaginative high point . 	the creature design and special effects are amazing as expected , and their interaction with the human actors are a realistic , imaginative high point .	3	-1	 the[0] creature[0] design[0] and[0] special[1] effects[0] are[0] amazing[2] as[0] expected[0] and[0] their[0] interaction[0] with[0] the[0] human[0] actors[0] are[0] a[0] realistic[0] imaginative[1] high[0] point[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's nice to see intergalactic beasties that aren't too derivative of the titular menace from " alien . " 	it's nice to see intergalactic beasties that aren't too derivative of the titular menace from " alien .<br> "	2	-3	 it's[0] nice[1] to[0] see[0] intergalactic[0] beasties[0] that[0] aren't[0] too[0] derivative[0] of[0] the[0] titular[0] menace[-2] from[0] alien[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
these monsters are appropriately terrifying sights , especially the arachnids , a spider-scorpion-crab combo that's all sharp talons and even sharper legs . 	these monsters are appropriately terrifying sights , especially the arachnids , a spider-scorpion-crab combo that's all sharp talons and even sharper legs .	1	-4	 these[0] monsters[0] are[0] appropriately[0] terrifying[-3] sights[0] especially[0] the[0] arachnids[0] a[0] spider[0] scorpion[0] crab[0] combo[0] that's[0] all[0] sharp[0] talons[0] and[0] even[0] sharper[0] legs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they attack in packs of hundreds , and it's a funny , scary sight to see these bugs take repeated hits and still crawl , jerk and struggle towards their intended victims in a determined , gooey mess . 	they attack in packs of hundreds , and it's a funny , scary sight to see these bugs take repeated hits and still crawl , jerk and struggle towards their intended victims in a determined , gooey mess .	2	-4	 they[0] attack[-2] in[0] packs[0] of[0] hundreds[0] and[0] it's[0] a[0] funny[1] scary[-3] sight[0] to[0] see[0] these[0] bugs[0] take[0] repeated[0] hits[0] and[0] still[0] crawl[0] jerk[-2] and[0] struggle[-1] towards[0] their[0] intended[0] victims[-2] in[0] a[0] determined[0] gooey[0] mess[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it matters not that they actually have a laughable master plan in mind ( ask yourself if a species like this seems capable of carrying out such a plot ) ; these sequences of insect warfare are numerous , bloody and immensely satisfying . 	it matters not that they actually have a laughable master plan in mind ( ask yourself if a species like this seems capable of carrying out such a plot ) ; these sequences of insect warfare are numerous , bloody and immensely satisfying .	2	-3	 it[0] matters[0] not[0] that[0] they[0] actually[0] have[0] a[0] laughable[-1] master[0] plan[0] in[0] mind[0] ask[0] yourself[0] if[0] a[0] species[0] like[1] this[0] seems[0] capable[0] of[0] carrying[0] out[0] such[0] a[0] plot[0] these[0] sequences[0] of[0] insect[0] warfare[-2] are[0] numerous[0] bloody[-1] and[0] immensely[0] satisfying[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the occasional dramatic moments -- one cast member's death , the final resolution to johnny's love triangle -- are botched , a testament to how " starship troopers " fails to create any strong , outstanding characters . 	the occasional dramatic moments - one cast member's death , the final resolution to johnny's love triangle - are botched , a testament to how " starship troopers " fails to create any strong , outstanding characters .	3	-3	 the[0] occasional[0] dramatic[0] moments[0] one[0] cast[0] member's[0] death[-2] the[0] final[0] resolution[0] to[0] johnny's[0] love[2] triangle[0] are[0] botched[0] a[0] testament[0] to[0] how[0] starship[0] troopers[0] fails[-2] to[0] create[0] any[0] strong[0] outstanding[2] characters[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
these bland ken-and-barbie archetypes serve the story adequately enough to keep any distractions at arm's length , but restrain the film from achieving a higher ground a la " star wars , " where even the slightest aliens had definite personality . 	these bland ken-and-barbie archetypes serve the story adequately enough to keep any distractions at arm's length , but restrain the film from achieving a higher ground a la " star wars , " where even the slightest aliens had definite personality .	1	-3	 these[0] bland[-1] ken[0] and[0] barbie[0] archetypes[0] serve[0] the[0] story[0] adequately[0] enough[0] to[0] keep[0] any[0] distractions[-1] at[0] arm's[0] length[0] but[0] restrain[0] the[0] film[0] from[0] achieving[0] a[0] higher[0] ground[0] a[0] la[0] star[0] wars[-2] where[0] even[0] the[0] slightest[0] aliens[0] had[0] definite[0] personality[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting is decent ( but never spectacular ) ; most of the performers hail from aaron spelling territory -- smallish roles on " beverly hills 90210 " and/or " melrose place " -- and it occasionally shows . 	the acting is decent ( but never spectacular ) ; most of the performers hail from aron spelling territory - smallish roles on " beverly hills 90210 " and/or " melrose place " - and it occasionally shows .	1	-1	 the[0] acting[0] is[0] decent[0] but[0] never[0] spectacular[0] most[0] of[0] the[0] performers[0] hail[0] from[0] aaron/aron[0] spelling[0] territory[0] smallish[0] roles[0] on[0] beverly[0] hills[0] 90210[0] and/or[0] melrose[0] place[0] and[0] it[0] occasionally[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van dien , for example , is limited but perfectly likeable . 	van dien , for example , is limited but perfectly likeable .	3	-1	 van[0] dien[0] for[0] example[0] is[0] limited[0] but[0] perfectly[1] likeable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in smaller parts are the afore-mentioned neil patrick harris as johnny's best friend and jake busey ( gary's son ) as johnny's sidekick ; the latter excels at playing creeps ( see " the frighteners " or " contact " ) but seems off-kilter as a second banana . 	in smaller parts are the afore-mentioned neil patrick harris as johnny's best friend and jake busey ( gary's son ) as johnny's sidekick ; the latter excels at playing creeps ( see " the frighteners " or " contact " ) but seems off-kilter as a second banana .	3	-4	 in[0] smaller[0] parts[0] are[0] the[0] afore[0] mentioned[0] neil[0] patrick[0] harris[0] as[0] johnny's[0] best[1] friend[1] and[0] jake[0] busey[0] gary's[0] son[0] as[0] johnny's[0] sidekick[0] the[0] latter[0] excels[2] at[0] playing[1] creeps[0] see[0] the[0] frighteners[-3] or[0] contact[0] but[0] seems[0] off[0] kilter[0] as[0] a[0] second[0] banana[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " starship troopers " is based on the novel by robert heinlein , a sci-fi writer who hasn't exactly seen any recent adaptation justice done to any of his books what with 1994's howler " the puppet masters . " 	 " starship troopers " is based on the novel by robert heinlein , a sci-fi writer who hasn't exactly seen any recent adaptation justice done to any of his books what with 1994's howler " the puppet masters .<br> "	1	-1	 starship[0] troopers[0] is[0] based[0] on[0] the[0] novel[0] by[0] robert[0] heinlein[0] a[0] sci[0] fi[0] writer[0] who[0] hasn't[0] exactly[0] seen[0] any[0] recent[0] adaptation[0] justice[0] done[0] to[0] any[0] of[0] his[0] books[0] what[0] with[0] 1994's[0] howler[0] the[0] puppet[0] masters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the overall familiarity to the " alien " trilogy -- and the promise of great gobs of gore -- could act as a crowd-drawer . 	but the overall familiarity to the " alien " trilogy - and the promise of great gobs of gore - could act as a crowd-drawer .	3	-2	 but[0] the[0] overall[0] familiarity[0] to[0] the[0] alien[-1] trilogy[0] and[0] the[0] promise[1] of[0] great[2] gobs[0] of[0] gore[0] could[0] act[0] as[0] a[0] crowd[0] drawer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
its own possible influence , however , might well work against it when the franchise continuation " alien : resurrection " opens in a few weeks . 	its own possible influence , however , might well work against it when the franchise continuation " alien : resurrection " opens in a few weeks .	1	-2	 its[0] own[0] possible[0] influence[0] however[0] might[0] well[0] work[0] against[-1] it[0] when[0] the[0] franchise[0] continuation[0] alien[-1] resurrection[0] opens[0] in[0] a[0] few[0] weeks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we will know then which film to crown as the best summer movie of the fall . 	we will know then which film to crown as the best summer movie of the fall .	2	-1	 we[0] will[0] know[0] then[0] which[0] film[0] to[0] crown[0] as[0] the[0] best[1] summer[0] movie[0] of[0] the[0] fall[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
