the premise is simple , if not bizarre . 	Translation	Positive	Negative	EmotionRationale
we basically watch as our three leads watch , only we get the pleasure of eavesdropping on their hilarious commentary . 	we basically watch as our three leads watch , only we get the pleasure of eavesdropping on their hilarious commentary .	3	-1	 we[0] basically[0] watch[0] as[0] our[0] three[0] leads[0] watch[0] only[0] we[0] get[0] the[0] pleasure[2] of[0] eavesdropping[0] on[0] their[0] hilarious[2] commentary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plots behind the movies ripped apart are really quite irrelevant , but for the sake of those who might want to know , i'll explain this one . 	the plots behind the movies ripped apart are really quite irrelevant , but for the sake of those who might want to know , i'll explain this one .	1	-1	 the[0] plots[0] behind[0] the[0] movies[0] ripped[0] apart[0] are[0] really[0] quite[0] irrelevant[0] but[0] for[0] the[0] sake[0] of[0] those[0] who[0] might[0] want[0] to[0] know[0] i'll[0] explain[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this island earth is the tale of two scientists , a man and a woman , who wind up aboard a spaceship whose crew intends to destroy the earth . 	this island earth is the tale of two scientists , a man and a woman , who wind up aboard a spaceship whose crew intends to destroy the earth .	1	-3	 this[0] island[0] earth[0] is[0] the[0] tale[0] of[0] two[0] scientists[0] a[0] man[0] and[0] a[0] woman[0] who[0] wind[0] up[0] aboard[0] a[0] spaceship[0] whose[0] crew[0] intends[0] to[0] destroy[-2] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
together the two fight to survive as well as save their home planet . 	together the two fight to survive as well as save their home planet .	2	-3	 together[0] the[0] two[0] fight[-2] to[0] survive[0] as[0] well[0] as[0] save[1] their[0] home[0] planet[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to make mst3k work , the film-within-the-film naturally has to be as horrible as possible , and although the tv-series introduced us to several worse films than this island earth , it's a bad enough flick to bring about some hysterical cruelty . 	to make mst3k work , the film-within-the-film naturally has to be as horrible as possible , and although the tv-series introduced us to several worse films than this island earth , it's a bad enough flick to bring about some hysterical cruelty .	1	-4	 to[0] make[0] mst3k[0] work[0] the[0] film[0] within[0] the[0] film[0] naturally[0] has[0] to[0] be[0] as[0] horrible[-3] as[0] possible[0] and[0] although[0] the[0] tv[0] series[0] introduced[0] us[0] to[0] several[0] worse[-2] films[0] than[0] this[0] island[0] earth[0] it's[0] a[0] bad[-1] enough[0] flick[0] to[0] bring[0] about[0] some[0] hysterical[-1][--1 LastWordBoosterStrength] cruelty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mst3k , which doesn't actually contain the complete this island earth , is a short 73 minutes , but this is a step very wisely taken . 	mst3k , which doesn't actually contain the complete this island earth , is a short 73 minutes , but this is a step very wisely taken .	1	-1	 mst3k[0] which[0] doesn't[0] actually[0] contain[0] the[0] complete[0] this[0] island[0] earth[0] is[0] a[0] short[0] 73[0] minutes[0] but[0] this[0] is[0] a[0] step[0] very[0] wisely[0] taken[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as funny as some of their observations are , it can only go so long . 	as funny as some of their observations are , it can only go so long .	2	-1	 as[0] funny[1] as[0] some[0] of[0] their[0] observations[0] are[0] it[0] can[0] only[0] go[0] so[0] long[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
occasional breaks from this island earth also help the film tremendously . 	occasional breaks from this island earth also help the film tremendously .	1	-1	 occasional[0] breaks[0] from[0] this[0] island[0] earth[0] also[0] help[0] the[0] film[0] tremendously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it takes a second to get back into the right mode after this premise has been left for a moment , it's better than overkilling the whole concept post haste . 	although it takes a second to get back into the right mode after this premise has been left for a moment , it's better than overkilling the whole concept post haste .	1	-1	 although[0] it[0] takes[0] a[0] second[0] to[0] get[0] back[0] into[0] the[0] right[0] mode[0] after[0] this[0] premise[0] has[0] been[0] left[0] for[0] a[0] moment[0] it's[0] better[0] than[0] overkilling[0] the[0] whole[0] concept[0] post[0] haste[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mst3k lovers will likely hail the film greatly , but if you don't know what you're in for , it could be a jarring disappointment . 	mst3k lovers will likely hail the film greatly , but if you don't know what you're in for , it could be a jarring disappointment .	4	-2	 mst3k[0] lovers[3] will[0] likely[0] hail[0] the[0] film[0] greatly[2] but[0] if[0] you[0] don't[0] know[0] what[0] you're[0] in[0] for[0] it[0] could[0] be[0] a[0] jarring[0] disappointment[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
although i thought the sharp wit of this film was worth three stars , it is a movie to be seen on home video , late at night when your brain is not functioning to full capacity anyway , and with a large , saracastic crowd - new year's at midnight for example , which is when i saw it . 	although i thought the sharp wit of this film was worth three stars , it is a movie to be seen on home video , late at night when your brain is not functioning to full capacity anyway , and with a large , saracastic crowd - new year's at midnight for example , which is when i saw it .	1	-1	 although[0] i[0] thought[0] the[0] sharp[0] wit[0] of[0] this[0] film[0] was[0] worth[0] three[0] stars[0] it[0] is[0] a[0] movie[0] to[0] be[0] seen[0] on[0] home[0] video[0] late[0] at[0] night[0] when[0] your[0] brain[0] is[0] not[0] functioning[0] to[0] full[0] capacity[0] anyway[0] and[0] with[0] a[0] large[0] saracastic[0] crowd[0] new[0] year's[0] at[0] midnight[0] for[0] example[0] which[0] is[0] when[0] i[0] saw[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
warning : although mst3k has more to its end credits than most ( the three leads use the credits to poke some more fun ) , they are actually more annoying than most . 	warning : although mst3k has more to its end credits than most ( the three leads use the credits to poke some more fun ) , they are actually more annoying than most .	2	-3	 warning[0] although[0] mst3k[0] has[0] more[0] to[0] its[0] end[0] credits[0] than[0] most[0] the[0] three[0] leads[0] use[0] the[0] credits[0] to[0] poke[0] some[0] more[0] fun[1] they[0] are[0] actually[0] more[0] annoying[-2] than[0] most[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the name slandering and asinine one-liners were extremely unfunny , and after laughing for about 70 minutes straight , it put a heavy damper on the overall experience . 	the name slandering and asinine one-liners were extremely unfunny , and after laughing for about 70 minutes straight , it put a heavy damper on the overall experience .	2	-2	 the[0] name[0] slandering[-1] and[0] asinine[-1] one[0] liners[0] were[0] extremely[0] unfunny[0] and[0] after[0] laughing[1] for[0] about[0] 70[0] minutes[0] straight[0] it[0] put[0] a[0] heavy[0] damper[0] on[0] the[0] overall[0] experience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most people will likely stay to see what the smart-alec's have to say , but for me , it almost ruined an otherwise good film . 	most people will likely stay to see what the smart-alec's have to say , but for me , it almost ruined an otherwise good film .	2	-2	 most[0] people[0] will[0] likely[0] stay[0] to[0] see[0] what[0] the[0] smart[1] alec's[0] have[0] to[0] say[0] but[0] for[0] me[0] it[0] almost[0] ruined[-1] an[0] otherwise[0] good[1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
