 ( warning to those who have not seen seven : this review contains some spoiler information . ) 	Translation	Positive	Negative	EmotionRationale
yet , seven is more than just a technical accomplishment . 	yet , seven is more than just a technical accomplishment .	2	-1	 yet[0] seven[0] is[0] more[0] than[0] just[0] a[0] technical[0] accomplishment[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in addition to style , fincher supplies substance . 	in addition to style , fincher supplies substance .	1	-1	 in[0] addition[0] to[0] style[0] fincher[0] supplies[0] substance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seven has compelling characters that it wants us to know and understand , and fincher ties them all together in a completely pessimistic view of society . 	seven has compelling characters that it wants us to know and understand , and fincher ties them all together in a completely pessimistic view of society .	1	-4	 seven[0] has[0] compelling[0] characters[0] that[0] it[0] wants[0] us[0] to[0] know[0] and[0] understand[0] and[0] fincher[0] ties[0] them[0] all[0] together[0] in[0] a[0] completely[0] pessimistic[-2][-1 LastWordBoosterStrength] view[0] of[0] society[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
detective william somerset ( morgan freeman ) is a man who has nearly given up on the world . 	detective william somerset ( morgan freeman ) is a man who has nearly given up on the world .	1	-1	 detective[0] william[0] somerset[0] morgan[0] freeman[0] is[0] a[0] man[0] who[0] has[0] nearly[0] given[0] up[0] on[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its easy to see why . 	its easy to see why .	1	-1	 its[0] easy[0] to[0] see[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the world doesn't make sense . 	the world doesn't make sense .	1	-1	 the[0] world[0] doesn't[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( somerset drives this point home with a rather ghastly story of a robbery victim who was attacked just blocks from the police precinct . 	 ( somerset drives this point home with a rather ghastly story of a robbery victim who was attacked just blocks from the police precinct .	1	-3	 somerset[0] drives[0] this[0] point[0] home[0] with[0] a[0] rather[0] ghastly[-1] story[0] of[0] a[0] robbery[-1] victim[-2] who[0] was[0] attacked[-2] just[0] blocks[-1][--1 LastWordBoosterStrength] from[0] the[0] police[0] precinct[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after knocked down and robbed of his wallet , the attacker stabbed the helpless man in both eyes . ) 	after knocked down and robbed of his wallet , the attacker stabbed the helpless man in both eyes .<br> )	1	-3	 after[0] knocked[0] down[0] and[0] robbed[0] of[0] his[0] wallet[0] the[0] attacker[-2] stabbed[-1] the[0] helpless[-1] man[0] in[0] both[0] eyes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why should somerset believe that by following this murder investigation and " picking up the pieces " he will be able to catch the killer ? 	why should somerset believe that by following this murder investigation and " picking up the pieces " he will be able to catch the killer ?	1	-4	 why[0] should[0] somerset[0] believe[0] that[0] by[0] following[0] this[0] murder[-3] investigation[0] and[0] picking[0] up[0] the[0] pieces[0] he[0] will[0] be[0] able[0] to[0] catch[0] the[0] killer[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
somersets new partner , david mills ( brad pitt ) has not given up on the world , perhaps because he is still young ( and perhaps by having this optimism he's naive in this films portrayal of the world ) . 	somersets new partner , david mills ( brad pit ) has not given up on the world , perhaps because he is still young ( and perhaps by having this optimism he's naive in this films portrayal of the world ) .	2	-2	 somersets[0] new[0] partner[0] david[0] mills[0] brad[0] pitt/pit[0] has[0] not[0] given[0] up[0] on[0] the[0] world[0] perhaps[0] because[0] he[0] is[0] still[0] young[0] and[0] perhaps[0] by[0] having[0] this[0] optimism[1] he's[0] naive[-1] in[0] this[0] films[0] portrayal[0] of[0] the[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he completely disagrees with somersets abandonment of hope . 	he completely disagrees with somersets abandonment of hope .	3	-3	 he[0] completely[0] disagrees[-1][-1 LastWordBoosterStrength] with[0] somersets[0] abandonment[-1] of[0] hope[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , david's wife ( gwyneth paltrow ) has so much fear of her urban surroundings , she isn't even sure if she wants to * tell * her husband about her recent pregnancy , let alone carry it until birth and attempt to raise it in this environment . 	however , david's wife ( gwyneth paltrow ) has so much fear of her urban surroundings , she isn't even sure if she wants to * tell * her husband about her recent pregnancy , let alone carry it until birth and attempt to raise it in this environment .	1	-4	 however[0] david's[0] wife[0] gwyneth[0] paltrow[0] has[0] so[0] much[0] fear[-3] of[0] her[0] urban[0] surroundings[0] she[0] isn't[0] even[0] sure[0] if[0] she[0] wants[0] to[0] tell[0] her[0] husband[0] about[0] her[0] recent[0] pregnancy[0] let[0] alone[0] carry[0] it[0] until[0] birth[0] and[0] attempt[0] to[0] raise[0] it[0] in[0] this[0] environment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these three characters are all performed with skill and authenticity that makes them feel like real people and not the typical hollywood characters a lesser film might have offered . 	these three characters are all performed with skill and authenticity that makes them feel like real people and not the typical hollywood characters a lesser film might have offered .	2	-1	 these[0] three[0] characters[0] are[0] all[0] performed[0] with[0] skill[0] and[0] authenticity[0] that[0] makes[0] them[0] feel[0] like[1] real[0] people[0] and[0] not[0] the[0] typical[0] hollywood[0] characters[0] a[0] lesser[0] film[0] might[0] have[0] offered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and in addition to making clear how each of these characters sees the world , fincher gives us support for * why * they feel the way they do . 	and in addition to making clear how each of these characters sees the world , fincher gives us support for * why * they feel the way they do .	2	-1	 and[0] in[0] addition[0] to[0] making[0] clear[0] how[0] each[0] of[0] these[0] characters[0] sees[0] the[0] world[0] fincher[0] gives[0] us[0] support[1] for[0] why[0] they[0] feel[0] the[0] way[0] they[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but if there's one character that underlines the message seven is trying to convey , it has to be the killer , john doe ( kevin spacey ) . 	but if there's one character that underlines the message seven is trying to convey , it has to be the killer , john doe ( kevin spacey ) .	1	-2	 but[0] if[0] there's[0] one[0] character[0] that[0] underlines[0] the[0] message[0] seven[0] is[0] trying[0] to[0] convey[0] it[0] has[0] to[0] be[0] the[0] killer[-1] john[0] doe[0] kevin[0] spacey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seven's payoff lies in its ability to allow us to see how the killer views the world and what drives him to do what he does . 	seven's payoff lies in its ability to allow us to see how the killer views the world and what drives him to do what he does .	1	-3	 seven's[0] payoff[0] lies[-2] in[0] its[0] ability[0] to[0] allow[0] us[0] to[0] see[0] how[0] the[0] killer[-1] views[0] the[0] world[0] and[0] what[0] drives[0] him[0] to[0] do[0] what[0] he[0] does[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one important thing to remember about doe is how easy it is to simply dismiss him as a " psycho , " with no motives behind his slayings . 	one important thing to remember about doe is how easy it is to simply dismiss him as a " psycho , " with no motives behind his slayings .	1	-2	 one[0] important[0] thing[0] to[0] remember[0] about[0] doe[0] is[0] how[0] easy[0] it[0] is[0] to[0] simply[0] dismiss[-1] him[0] as[0] a[0] psycho[0] with[0] no[0] motives[0] behind[0] his[0] slayings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is exactly the mistake mills makes . 	this is exactly the mistake mills makes .	1	-2	 this[0] is[0] exactly[0] the[0] mistake[-1] mills[0] makes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the extremely intense and superbly performed closing scenes , were allowed to see that doe is , in his mind , merely a product of society . 	in the extremely intense and superbly performed closing scenes , were allowed to see that doe is , in his mind , merely a product of society .	1	-1	 in[0] the[0] extremely[0] intense[0] and[0] superbly[0] performed[0] closing[0] scenes[0] were[0] allowed[0] to[0] see[0] that[0] doe[0] is[0] in[0] his[0] mind[0] merely[0] a[0] product[0] of[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's a killer who kills those who are bringing society down . 	he's a killer who kills those who are bringing society down .	1	-2	 he's[0] a[0] killer[-1] who[0] kills[0] those[0] who[0] are[0] bringing[0] society[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his mind he didn't kill " innocent " people , and , perhaps , they were not completely innocent ( but , then again , who is ? ) . 	in his mind he didn't kill " innocent " people , and , perhaps , they were not completely innocent ( but , then again , who is ?<br> ) .	2	-3	 in[0] his[0] mind[0] he[0] didn't[0] kill[-1] innocent[1] people[0] and[0] perhaps[0] they[0] were[0] not[0] completely[0] innocent[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] but[0] then[0] again[0] who[0] is[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hes absolutely infuriated that mills believes that the murder victims were innocent . 	hes absolutely infuriated that mills believes that the murder victims were innocent .	2	-4	 hes[0] absolutely[0] infuriated[-1][-1 LastWordBoosterStrength] that[0] mills[0] believes[0] that[0] the[0] murder[-3] victims[-2][-1 MultiplePositiveWords] were[0] innocent[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
really , seven doesn't just comment on the superficial obviousness of how screwed-up john doe is . 	really , seven doesn't just comment on the superficial obviousness of how screwed-up john doe is .	1	-2	 really[0] seven[0] doesn't[0] just[0] comment[0] on[0] the[0] superficial[-1] obviousness[0] of[0] how[0] screwed[0] up[0] john[0] doe[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seven makes larger statements about how screwed-up society is , hinting that society's degradation is simply conducive of creating more john does . 	seven makes larger statements about how screwed-up society is , hinting that society's degradation is simply conducive of creating more john does .	1	-3	 seven[0] makes[0] larger[0] statements[0] about[0] how[0] screwed[0] up[0] society[0] is[0] hinting[0] that[0] society's[0] degradation[-2] is[0] simply[0] conducive[0] of[0] creating[0] more[0] john[0] does[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
besides the stylistic and larger-issue arguments for seeing this film , i recommend seven because it is , after all , also a very slick and well-made thriller . 	besides the stylistic and larger-issue arguments for seeing this film , i recommend seven because it is , after all , also a very slick and well-made thriller .	2	-2	 besides[0] the[0] stylistic[0] and[0] larger[0] issue[0] arguments[-1] for[0] seeing[0] this[0] film[0] i[0] recommend[0] seven[0] because[0] it[0] is[0] after[0] all[0] also[0] a[0] very[0] slick[0] and[0] well[0] made[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it features exciting plot developments , commanding performances , lots of suspense , and a conclusion that is chilling , riveting , and quite unfair . 	it features exciting plot developments , commanding performances , lots of suspense , and a conclusion that is chilling , riveting , and quite unfair .	3	-2	 it[0] features[0] exciting[2] plot[0] developments[0] commanding[0] performances[0] lots[0] of[0] suspense[0] and[0] a[0] conclusion[0] that[0] is[0] chilling[0] riveting[0] and[0] quite[0] unfair[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but then again , its a cruel world . 	but then again , its a cruel world .	1	-4	 but[0] then[0] again[0] its[0] a[0] cruel[-3] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
